date,股票代码,open,close,high,low,volume,turnover,amplitude,change_pct,change_amount,turnover_rate
2025-07-01,600498,21.04,20.88,21.05,20.74,139296.0,290451427.0,1.47,-0.71,-0.15,1.19
2025-07-02,600498,20.89,20.58,20.9,20.48,133800.0,276049688.0,2.01,-1.44,-0.3,1.15
2025-07-03,600498,20.54,20.81,20.98,20.53,123823.0,257354249.0,2.19,1.12,0.23,1.06
2025-07-04,600498,20.75,20.61,20.83,20.57,108826.0,225057995.0,1.25,-0.96,-0.2,0.93
2025-07-07,600498,20.62,20.4,20.62,20.32,89989.0,183674378.0,1.46,-1.02,-0.21,0.77
2025-07-08,600498,20.4,21.27,21.3,20.33,319850.0,672443309.0,4.75,4.26,0.87,2.74
2025-07-09,600498,21.2,21.15,21.27,21.0,166279.0,351439391.0,1.27,-0.56,-0.12,1.43
2025-07-10,600498,21.16,21.41,21.55,21.1,256357.0,548187418.0,2.13,1.23,0.26,2.2
2025-07-11,600498,21.37,21.4,21.49,21.19,167130.0,357195243.0,1.4,-0.05,-0.01,1.43
2025-07-14,600498,21.52,21.33,21.53,21.32,116451.0,249048291.0,0.98,-0.33,-0.07,1.0
2025-07-15,600498,21.33,21.48,21.68,21.3,211000.0,453641994.0,1.78,0.7,0.15,1.81
2025-07-16,600498,21.59,21.43,21.82,21.34,193888.0,418288652.0,2.23,-0.23,-0.05,1.66
2025-07-17,600498,21.35,22.03,22.05,21.34,309626.0,674571226.0,3.31,2.8,0.6,2.65
2025-07-18,600498,22.1,21.79,22.15,21.74,196481.0,429908909.0,1.86,-1.09,-0.24,1.68
2025-07-21,600498,21.74,21.77,21.86,21.55,160215.0,347503996.0,1.42,-0.09,-0.02,1.37
2025-07-22,600498,21.83,21.8,22.04,21.66,194086.0,423333431.0,1.75,0.14,0.03,1.66
2025-07-23,600498,21.69,21.45,21.71,21.39,195458.0,420717716.0,1.47,-1.61,-0.35,1.68
2025-07-24,600498,21.5,21.6,21.65,21.42,144242.0,310563604.0,1.07,0.7,0.15,1.24
2025-07-25,600498,21.55,21.7,21.74,21.5,173417.0,374809297.0,1.11,0.46,0.1,1.49
2025-07-28,600498,21.88,21.86,22.02,21.73,201630.0,441006320.0,1.34,0.74,0.16,1.73
2025-07-29,600498,21.78,22.17,22.19,21.52,322598.0,707496294.0,3.06,1.42,0.31,2.77
2025-07-30,600498,22.1,21.86,22.1,21.71,202621.0,442901793.0,1.76,-1.4,-0.31,1.74
2025-07-31,600498,21.89,22.46,22.78,21.77,605127.0,1362865575.0,4.62,2.74,0.6,5.19
2025-08-01,600498,22.45,22.11,22.5,21.71,416912.0,922413693.0,3.52,-1.56,-0.35,3.57
2025-08-04,600498,21.98,22.09,22.38,21.81,204788.0,450407151.0,2.58,-0.09,-0.02,1.76
2025-08-05,600498,22.18,22.23,22.3,21.9,238520.0,527125670.0,1.81,0.63,0.14,2.04
2025-08-06,600498,22.2,22.35,22.55,21.99,237945.0,530750802.0,2.52,0.54,0.12,2.04
2025-08-07,600498,22.36,22.91,23.2,21.96,586852.0,1328368629.0,5.55,2.51,0.56,5.03
2025-08-08,600498,22.85,23.08,23.28,22.5,476666.0,1094294263.0,3.4,0.74,0.17,4.09
2025-08-11,600498,23.38,24.2,24.66,23.35,694503.0,1670580736.0,5.68,4.85,1.12,5.95
2025-08-12,600498,24.2,25.2,25.2,23.92,695942.0,1728258061.0,5.29,4.13,1.0,5.97
2025-08-13,600498,25.2,25.45,25.54,24.8,714134.0,1794489632.0,2.94,0.99,0.25,6.12
2025-08-14,600498,25.68,24.83,25.72,24.65,482583.0,1206133554.0,4.2,-2.44,-0.62,4.14
2025-08-15,600498,24.69,24.87,25.25,24.69,332138.0,828440966.0,2.26,0.16,0.04,2.85
2025-08-18,600498,24.93,25.59,26.02,24.9,537353.0,1379186840.0,4.5,2.9,0.72,4.61
2025-08-19,600498,25.35,25.93,26.35,25.26,498701.0,1281692646.0,4.26,1.33,0.34,4.27
2025-08-20,600498,25.68,25.8,25.93,24.9,418997.0,1065789590.0,3.97,-0.5,-0.13,3.59
