date,open,close,high,low,volume,turnover,amplitude,change_pct,change_amount,turnover_rate,换手率
2025-06-30,603212,11.55,12.49,12.49,11.55,281280,346276555.0,8.28,10.04,1.14,6.43
2025-07-01,603212,12.84,12.87,13.29,12.6,909368,1181606880.0,5.52,3.04,0.38,20.79
2025-07-02,603212,12.86,14.16,14.16,12.44,835254,1109170026.0,13.36,10.02,1.29,19.09
2025-07-03,603212,14.5,13.45,14.58,13.31,912237,1259060285.0,8.97,-5.01,-0.71,20.85
2025-07-04,603212,13.67,12.9,14.15,12.84,755815,1027346597.0,9.74,-4.09,-0.55,17.28
2025-07-07,603212,12.37,12.61,12.98,12.27,498579,628257075.0,5.5,-2.25,-0.29,11.4
2025-07-08,603212,12.5,13.08,13.44,12.35,626536,808950161.0,8.64,3.73,0.47,14.32
2025-07-09,603212,12.83,12.41,12.92,12.32,491103,616621921.0,4.59,-5.12,-0.67,11.23
2025-07-10,603212,12.21,12.12,12.65,12.11,354288,436224555.0,4.35,-2.34,-0.29,8.1
2025-07-11,603212,12.21,12.18,12.28,11.9,248748,301828986.0,3.14,0.5,0.06,5.69
2025-07-14,603212,12.22,12.35,12.38,12.13,236956,290207954.0,2.05,1.4,0.17,5.42
2025-07-15,603212,12.14,11.48,12.15,11.41,368876,431039560.0,5.99,-7.04,-0.87,8.43
2025-07-16,603212,11.59,11.58,11.65,11.44,161884,186648095.0,1.83,0.87,0.1,3.7
2025-07-17,603212,11.66,11.69,11.82,11.53,190685,222166505.0,2.5,0.95,0.11,4.36
2025-07-18,603212,11.64,11.65,11.84,11.56,158029,184460183.0,2.4,-0.34,-0.04,3.61
2025-07-21,603212,11.72,11.75,11.75,11.6,145176,169882376.0,1.29,0.86,0.1,3.32
2025-07-22,603212,11.69,11.81,11.94,11.61,210441,247954083.0,2.81,0.51,0.06,4.81
2025-07-23,603212,11.76,11.46,11.85,11.4,206488,239082084.0,3.81,-2.96,-0.35,4.72
2025-07-24,603212,11.41,11.73,11.74,11.4,184106,213924688.0,2.97,2.36,0.27,4.21
2025-07-25,603212,11.73,11.59,11.76,11.56,109105,126934055.0,1.71,-1.19,-0.14,2.49
2025-07-28,603212,11.59,11.66,11.67,11.51,93677,108771186.0,1.38,0.6,0.07,2.14
2025-07-29,603212,11.66,11.75,11.8,11.49,147877,172192261.0,2.66,0.77,0.09,3.38
2025-07-30,603212,11.71,11.48,11.72,11.35,134739,155132307.0,3.15,-2.3,-0.27,3.08
2025-07-31,603212,11.42,11.2,11.56,11.15,130093,147216066.0,3.57,-2.44,-0.28,2.97
2025-08-01,603212,11.18,11.38,11.53,11.16,108352,123403481.0,3.3,1.61,0.18,2.48
2025-08-04,603212,11.38,11.41,11.43,11.18,79275,89840436.0,2.2,0.26,0.03,1.81
2025-08-05,603212,11.4,11.46,11.48,11.36,71275,81400827.0,1.05,0.44,0.05,1.63
2025-08-06,603212,11.42,11.5,11.51,11.35,71561,81986925.0,1.4,0.35,0.04,1.64
2025-08-07,603212,11.49,11.43,11.49,11.3,91015,103643891.0,1.65,-0.61,-0.07,2.08
2025-08-08,603212,11.42,11.32,11.46,11.28,95030,107933553.0,1.57,-0.96,-0.11,2.17
2025-08-11,603212,11.32,11.64,11.66,11.32,159422,184162816.0,3.0,2.83,0.32,3.64
2025-08-12,603212,11.68,11.84,12.02,11.42,318869,374048438.0,5.15,1.72,0.2,7.29
2025-08-13,603212,11.72,11.78,11.95,11.64,177367,208414835.0,2.62,-0.51,-0.06,4.05
2025-08-14,603212,11.78,11.35,11.78,11.33,175419,202114110.0,3.82,-3.65,-0.43,4.01
2025-08-15,603212,11.33,11.77,11.8,11.33,216479,252441011.0,4.14,3.7,0.42,4.95
2025-08-18,603212,11.88,11.81,11.94,11.73,180574,213242411.0,1.78,0.34,0.04,4.13
2025-08-19,603212,11.81,11.87,11.95,11.67,153542,181833765.0,2.37,0.51,0.06,3.51
2025-08-20,603212,12.0,11.97,12.23,11.81,219475,262848152.0,3.54,0.84,0.1,5.02
2025-08-21,603212,11.88,11.86,12.05,11.8,157213,186855630.0,2.09,-0.92,-0.11,3.59
2025-08-22,603212,11.81,11.9,12.0,11.8,140269,167022557.0,1.69,0.34,0.04,3.21
2025-08-25,603212,11.72,11.79,11.92,11.7,177365,209145446.0,1.85,-0.92,-0.11,4.05
2025-08-26,603212,11.88,11.84,12.18,11.81,162576,193779150.0,3.14,0.42,0.05,3.72
2025-08-27,603212,11.74,11.39,11.84,11.38,168786,196965156.0,3.89,-3.8,-0.45,3.86
2025-08-28,603212,11.37,11.48,11.54,11.0,164885,187149950.0,4.74,0.79,0.09,3.77
2025-08-29,603212,11.43,11.38,11.6,11.3,120491,137788486.0,2.61,-0.87,-0.1,2.75
2025-09-01,603212,11.4,11.78,11.78,11.4,151450,176021435.0,3.34,3.51,0.4,3.46
2025-09-02,603212,11.83,12.56,12.96,11.8,770170,984097169.0,9.85,6.62,0.78,17.6
2025-09-03,603212,12.3,12.15,12.66,12.07,556013,681318554.0,4.7,-3.26,-0.41,12.71
2025-09-04,603212,12.19,12.55,12.7,12.19,514024,641999101.0,4.2,3.29,0.4,11.75
2025-09-05,603212,12.51,13.27,13.28,12.34,622822,808945963.0,7.49,5.74,0.72,14.24
2025-09-08,603212,13.27,12.98,13.3,12.77,395759,510827439.0,3.99,-2.19,-0.29,9.05
2025-09-09,603212,12.8,12.45,12.84,12.39,297588,373632569.0,3.47,-4.08,-0.53,6.8
2025-09-10,603212,12.49,12.37,12.6,12.16,234380,288889166.0,3.53,-0.64,-0.08,5.36
2025-09-11,603212,12.25,12.42,12.43,12.11,179863,220699982.0,2.59,0.4,0.05,4.11
2025-09-12,603212,12.32,12.26,12.4,12.12,177691,217694100.0,2.25,-1.29,-0.16,4.06
2025-09-15,603212,12.31,12.3,12.57,12.26,155068,192081252.0,2.53,0.33,0.04,3.54
2025-09-16,603212,12.2,12.17,12.33,11.95,190216,230245838.0,3.09,-1.06,-0.13,4.35
2025-09-17,603212,12.09,12.04,12.24,12.02,138031,167046937.0,1.81,-1.07,-0.13,3.16
2025-09-18,603212,12.06,11.85,12.34,11.78,206755,247517387.0,4.65,-1.58,-0.19,4.73
2025-09-19,603212,11.8,11.53,11.83,11.5,145764,169509586.0,2.78,-2.7,-0.32,3.33
2025-09-22,603212,11.53,11.63,11.64,11.41,92637,106893140.0,1.99,0.87,0.1,2.12
2025-09-23,603212,11.54,11.29,11.63,11.11,129580,146213137.0,4.47,-2.92,-0.34,2.96
2025-09-24,603212,11.27,11.64,11.64,11.19,120620,138316979.0,3.99,3.1,0.35,2.76
2025-09-25,603212,11.61,11.48,11.95,11.48,163671,190963688.0,4.04,-1.37,-0.16,3.74
2025-09-26,603212,11.31,11.46,11.59,11.31,92045,105760792.0,2.44,-0.17,-0.02,2.1
2025-09-29,603212,11.4,11.55,11.71,11.25,112348,129951416.0,4.01,0.79,0.09,2.57
2025-09-30,603212,11.55,11.57,11.69,11.5,92598,107478377.0,1.65,0.17,0.02,2.12
2025-10-09,603212,11.66,11.8,11.89,11.54,132539,155490360.0,3.03,1.99,0.23,3.03
2025-10-10,603212,11.7,11.43,11.77,11.41,116824,134813932.0,3.05,-3.14,-0.37,2.67
2025-10-13,603212,11.01,11.33,11.36,10.95,111234,124472065.0,3.59,-0.87,-0.1,2.54
2025-10-14,603212,11.45,11.47,11.88,11.38,170995,198900890.0,4.41,1.24,0.14,3.91
2025-10-15,603212,11.53,11.69,11.75,11.43,123057,143173487.0,2.79,1.92,0.22,2.81
2025-10-16,603212,11.61,11.53,11.68,11.49,71722,82954040.0,1.63,-1.37,-0.16,1.64
2025-10-17,603212,11.45,10.99,11.62,10.95,121251,135971363.0,5.81,-4.68,-0.54,2.77
2025-10-20,603212,11.08,11.18,11.2,11.06,61550,68587359.0,1.27,1.73,0.19,1.41
2025-10-21,603212,11.19,11.25,11.26,11.09,58932,65929134.0,1.52,0.63,0.07,1.35
2025-10-22,603212,11.21,11.13,11.29,11.1,50806,56847822.0,1.69,-1.07,-0.12,1.16
2025-10-23,603212,11.13,11.2,11.22,10.95,66732,73825120.0,2.43,0.63,0.07,1.53
2025-10-24,603212,11.25,11.28,11.43,11.2,68784,77662358.0,2.05,0.71,0.08,1.57
