date,open,close,high,low,volume,extra_0,extra_1,extra_2,extra_3,extra_4
2025-07-08,23.89,24.09,24.11,23.83,384155264,9427214336.0,1.18,1.18,0.28,0.0
2025-07-09,24.05,23.83,24.05,23.75,381470624,9314494720.0,1.25,-1.08,-0.26,0.0
2025-07-10,23.81,23.97,24.01,23.75,462069936,11291551744.0,1.09,0.59,0.14,0.0
2025-07-11,23.97,24.07,24.47,23.97,693364928,17233799168.0,2.09,0.42,0.1,0.0
2025-07-14,24.05,24.15,24.21,24.01,333722496,8232442368.0,0.83,0.33,0.08,0.0
2025-07-15,24.29,24.53,24.53,24.07,615710480,15306690304.0,1.9,1.57,0.38,0.0
2025-07-16,24.55,24.43,24.81,24.43,464945760,11700609536.0,1.55,-0.41,-0.1,0.0
2025-07-17,24.51,24.45,24.61,24.39,509136304,12748382976.0,0.9,0.08,0.02,0.0
2025-07-18,24.69,24.77,24.77,24.57,482272640,12170330880.0,0.82,1.31,0.32,0.0
2025-07-21,24.93,24.91,24.95,24.79,368603712,9380436992.0,0.65,0.57,0.14,0.0
2025-07-22,24.97,25.05,25.09,24.85,367824256,9393293824.0,0.96,0.56,0.14,0.0
2025-07-23,25.27,25.47,25.49,25.17,652964816,16900049920.0,1.28,1.68,0.42,0.0
2025-07-24,25.47,25.61,25.69,25.45,593351024,15514293504.0,0.94,0.55,0.14,0.0
2025-07-25,25.49,25.33,25.53,25.31,866870592,22480145152.0,0.86,-1.09,-0.28,0.0
2025-07-28,25.41,25.51,25.63,25.35,489641440,12750746880.0,1.11,0.71,0.18,0.0
2025-07-29,25.37,25.47,25.49,25.19,344361280,8902712320.0,1.18,-0.16,-0.04,0.0
2025-07-30,25.29,25.11,25.45,25.03,562786096,14539055104.0,1.65,-1.41,-0.36,0.0
2025-07-31,24.95,24.71,24.95,24.69,710522384,18004847616.0,1.04,-1.59,-0.4,0.0
2025-08-01,24.71,24.43,24.79,24.43,648334352,16314620160.0,1.46,-1.13,-0.28,0.0
2025-08-04,24.39,24.65,24.69,24.31,1268421104,31827278336.0,1.56,0.9,0.22,0.0
2025-08-05,24.69,24.81,24.87,24.61,719225264,18202719488.0,1.05,0.65,0.16,0.0
2025-08-06,24.81,24.87,24.93,24.75,375381504,9531131648.0,0.73,0.24,0.06,0.0
2025-08-07,24.93,25.01,25.07,24.77,712918416,18177814528.0,1.21,0.56,0.14,0.0
2025-08-08,24.89,24.83,24.95,24.75,277719840,7050290944.0,0.8,-0.72,-0.18,0.0
2025-08-11,24.87,24.85,24.93,24.71,245268393,6224972032.0,0.89,0.08,0.02,0.0
2025-08-12,24.77,24.93,24.97,24.75,423826080,10779347968.0,0.89,0.32,0.08,0.0
2025-08-13,25.11,25.53,25.57,25.11,587026144,15245962240.0,1.85,2.41,0.6,0.0
2025-08-14,25.71,25.47,25.73,25.45,326527728,8530735616.0,1.1,-0.24,-0.06,0.0
2025-08-15,25.27,25.25,25.31,25.11,1148485888,29587385344.0,0.79,-0.86,-0.22,0.0
2025-08-18,25.25,25.11,25.43,25.11,813235296,21000324096.0,1.27,-0.55,-0.14,0.0
2025-08-19,25.17,25.07,25.23,25.03,853082240,21891429376.0,0.8,-0.16,-0.04,0.0
2025-08-20,24.93,25.11,25.17,24.83,978589536,25081101568.0,1.36,0.16,0.04,0.0
2025-08-21,25.15,25.07,25.17,24.95,430233568,11024281856.0,0.88,-0.16,-0.04,0.0
2025-08-22,25.17,25.29,25.33,25.11,418385264,10765540864.0,0.88,0.88,0.22,0.0
2025-08-25,25.57,25.81,25.91,25.55,579142784,15249465088.0,1.42,2.06,0.52,0.0
2025-08-26,25.69,25.47,25.79,25.47,624979952,16356814848.0,1.24,-1.32,-0.34,0.0
2025-08-27,25.57,25.15,25.63,25.11,1499351760,38694792704.0,2.04,-1.26,-0.32,0.0
2025-08-28,25.03,24.95,25.07,24.77,1239398432,31609215232.0,1.19,-0.8,-0.2,0.0
2025-08-29,25.09,25.07,25.27,25.03,430581168,11068706816.0,0.96,0.48,0.12,0.0
2025-09-01,25.43,25.61,25.65,25.43,652840144,17048853248.0,0.88,2.15,0.54,0.0
2025-09-02,25.57,25.49,25.75,25.43,790950624,20663922944.0,1.25,-0.47,-0.12,0.0
2025-09-03,25.69,25.35,25.81,25.27,748231424,19460147200.0,2.12,-0.55,-0.14,0.0
2025-09-04,25.47,25.07,25.53,25.03,684501536,17592274176.0,1.97,-1.1,-0.28,0.0
2025-09-05,25.17,25.43,25.51,25.13,416425408,10784469248.0,1.52,1.44,0.36,0.0
2025-09-08,25.43,25.65,25.71,25.43,348908240,9116403712.0,1.1,0.87,0.22,0.0
2025-09-09,25.77,25.99,26.11,25.71,378083280,10011777024.0,1.56,1.33,0.34,0.0
2025-09-10,26.13,26.25,26.39,26.07,378558864,10152359424.0,1.23,1.0,0.26,0.0
2025-09-11,26.05,26.17,26.35,25.97,609924624,16294226688.0,1.45,-0.3,-0.08,0.0
2025-09-12,26.57,26.45,26.69,26.43,672662848,18223814912.0,0.99,1.07,0.28,0.0
2025-09-15,26.43,26.53,26.65,26.39,761799984,20630456320.0,0.98,0.3,0.08,0.0
2025-09-16,26.61,26.51,26.71,26.43,781077696,21174480128.0,1.06,-0.08,-0.02,0.0
2025-09-17,26.61,26.97,27.05,26.61,562368208,15436536832.0,1.66,1.74,0.46,0.0
2025-09-18,26.93,26.63,27.15,26.43,689600688,18880505088.0,2.67,-1.26,-0.34,0.0
2025-09-19,26.65,26.65,26.73,26.49,838709792,22785293312.0,0.9,0.08,0.02,0.0
2025-09-22,26.55,26.41,26.55,26.29,641796752,17303826688.0,0.98,-0.9,-0.24,0.0
2025-09-23,26.49,26.25,26.53,26.09,898889024,24069849088.0,1.67,-0.61,-0.16,0.0
2025-09-24,26.21,26.63,26.65,26.15,355369904,9600394240.0,1.9,1.45,0.38,0.0
2025-09-25,26.51,26.59,26.73,26.49,556140752,15102140416.0,0.9,-0.15,-0.04,0.0
2025-09-26,26.43,26.23,26.51,26.17,565463648,15213530112.0,1.28,-1.35,-0.36,0.0
2025-09-29,26.45,26.69,26.79,26.43,698376064,18993253888.0,1.37,1.75,0.46,0.0
2025-09-30,26.73,26.97,27.01,26.65,383166720,10487261696.0,1.35,1.05,0.28,0.0
2025-10-02,26.97,27.41,27.49,26.97,465975888,13007849216.0,1.93,1.63,0.44,0.0
2025-10-03,27.33,27.23,27.37,27.05,164529440,4562791936.0,1.17,-0.66,-0.18,0.0
2025-10-06,27.15,27.03,27.25,26.97,245943534,6796451072.0,1.03,-0.73,-0.2,0.0
2025-10-08,27.01,26.91,27.01,26.61,378935616,10347056384.0,1.48,-0.44,-0.12,0.0
2025-10-09,26.97,26.85,27.09,26.57,449791344,12331996160.0,1.93,-0.22,-0.06,0.0
2025-10-10,26.61,26.41,26.67,26.35,375135392,10153520128.0,1.19,-1.64,-0.44,0.0
2025-10-13,25.67,25.99,26.01,25.43,1317057344,34709271296.0,2.2,-1.59,-0.42,0.0
2025-10-14,26.07,25.57,26.19,25.41,951006768,25023396608.0,3.0,-1.62,-0.42,0.0
2025-10-15,25.87,26.01,26.09,25.69,1097213712,29046439680.0,1.56,1.72,0.44,0.0
2025-10-16,25.97,25.99,26.17,25.79,515977920,13670954496.0,1.46,-0.08,-0.02,0.0
2025-10-17,25.93,25.31,25.95,25.23,570565776,14878628352.0,2.77,-2.62,-0.68,0.0
2025-10-20,25.97,25.97,26.05,25.83,556028704,14719588352.0,0.87,2.61,0.66,0.0
2025-10-21,26.29,26.15,26.51,26.13,475025056,12767786240.0,1.46,0.69,0.18,0.0
2025-10-22,26.09,25.87,26.09,25.73,482669904,12764418560.0,1.38,-1.07,-0.28,0.0
2025-10-23,25.81,26.05,26.21,25.71,460512752,12186638336.0,1.93,0.7,0.18,0.0
2025-10-24,26.29,26.25,26.37,26.17,446014272,11953281536.0,0.77,0.77,0.2,0.0
2025-10-27,26.55,26.49,26.63,26.43,578987856,15670673152.0,0.76,0.91,0.24,0.0
2025-10-28,26.63,26.43,26.65,26.35,447168176,12092294912.0,1.13,-0.23,-0.06,0.0
2025-10-30,26.88,26.4,26.88,26.26,1075680272,28471759360.0,2.35,-0.11,-0.03,0.0
2025-10-31,26.38,26.06,26.42,26.04,442359472,11594503168.0,1.44,-1.29,-0.34,0.0
2025-11-03,26.12,26.26,26.34,26.04,531294592,13915825920.0,1.15,0.77,0.2,0.0
2025-11-04,26.26,26.04,26.4,26.02,456271232,11972892672.0,1.45,-0.84,-0.22,0.0
2025-11-05,25.8,26.04,26.1,25.6,537528464,13901467392.0,1.92,0.0,0.0,0.0
2025-11-06,26.2,26.6,26.64,26.18,554722352,14657484800.0,1.77,2.15,0.56,0.0
2025-11-07,26.5,26.34,26.5,26.3,386895248,10208929280.0,0.75,-0.98,-0.26,0.0
2025-11-10,26.44,26.8,26.84,26.44,331961136,8835371008.0,1.52,1.75,0.46,0.0
2025-11-11,26.9,26.84,26.94,26.66,575306752,15399258624.0,1.04,0.15,0.04,0.0
2025-11-12,26.94,27.04,27.16,26.9,462244624,12495378688.0,0.97,0.75,0.2,0.0
2025-11-13,26.92,27.18,27.32,26.86,735260944,19901957120.0,1.7,0.52,0.14,0.0
2025-11-14,26.82,26.72,27.04,26.68,595660496,15996782080.0,1.32,-1.69,-0.46,0.0
2025-11-17,26.62,26.52,26.68,26.4,689586240,18283162880.0,1.05,-0.75,-0.2,0.0
2025-11-18,26.28,26.06,26.32,25.96,504318528,13183014144.0,1.36,-1.73,-0.46,0.0
2025-11-19,26.1,25.98,26.18,25.88,661002576,17190756352.0,1.15,-0.31,-0.08,0.0
2025-11-20,26.14,26.0,26.2,25.82,1187476752,30855474176.0,1.46,0.08,0.02,0.0
2025-11-21,25.66,25.36,25.66,25.32,727619184,18543114240.0,1.31,-2.46,-0.64,0.0
2025-11-24,25.58,25.82,25.92,25.52,490723808,12631415296.0,1.58,1.81,0.46,0.0
2025-11-25,26.08,26.04,26.2,25.88,533695072,13899951616.0,1.24,0.85,0.22,0.0
2025-11-26,26.24,26.08,26.28,26.04,537131360,14044518912.0,0.92,0.15,0.04,0.0
2025-11-27,26.08,26.06,26.26,25.96,546820352,14281995264.0,1.15,-0.08,-0.02,0.0
2025-11-28,26.12,26.04,26.16,25.96,230461371,6000255488.0,0.77,-0.08,-0.02,0.0
2025-12-01,26.1,26.2,26.34,26.04,321924144,8422362880.0,1.15,0.61,0.16,0.0
2025-12-02,26.34,26.24,26.44,26.14,339903584,8934172672.0,1.15,0.15,0.04,0.0
2025-12-03,26.16,25.94,26.18,25.9,398237216,10365822976.0,1.07,-1.14,-0.3,0.0
2025-12-04,26.0,26.14,26.2,25.86,498794544,12991441152.0,1.31,0.77,0.2,0.0
2025-12-05,26.1,26.28,26.36,25.98,298803920,7806092800.0,1.45,0.54,0.14,0.0
2025-12-08,26.26,25.98,26.36,25.96,326054944,8507778048.0,1.52,-1.14,-0.3,0.0
2025-12-09,25.98,25.62,26.02,25.58,395383584,10183826432.0,1.69,-1.39,-0.36,0.0
2025-12-10,25.62,25.7,25.7,25.46,393066672,10053366016.0,0.94,0.31,0.08,0.0
2025-12-11,25.9,25.76,26.0,25.68,422527872,10904808448.0,1.25,0.23,0.06,0.0
2025-12-12,26.0,26.16,26.24,25.92,374899280,9777151232.0,1.24,1.55,0.4,0.0
2025-12-15,25.92,25.84,26.02,25.8,494817248,12830177024.0,0.84,-1.22,-0.32,0.0
2025-12-16,25.76,25.44,25.76,25.3,397147712,10089945088.0,1.78,-1.55,-0.4,0.0
2025-12-17,25.46,25.66,25.72,25.38,505602880,12893676032.0,1.34,0.86,0.22,0.0
2025-12-18,25.52,25.7,25.74,25.46,394536016,10110301696.0,1.09,0.16,0.04,0.0
2025-12-19,25.86,25.9,25.98,25.76,434252608,11229223424.0,0.86,0.78,0.2,0.0
2025-12-22,26.04,26.0,26.06,25.88,265093884,6884676608.0,0.69,0.39,0.1,0.0
2025-12-23,26.1,25.96,26.16,25.94,340169264,8861728000.0,0.85,-0.15,-0.04,0.0
2025-12-24,25.96,26.0,26.08,25.96,178353321,4643144192.0,0.46,0.15,0.04,0.0
2025-12-29,26.18,25.82,26.3,25.82,498503680,13011687424.0,1.85,-0.69,-0.18,0.0
2025-12-30,25.82,26.06,26.14,25.8,358235072,9309341184.0,1.32,0.93,0.24,0.0
2025-12-31,26.0,25.82,26.0,25.76,138364709,3580911792.0,0.92,-0.92,-0.24,0.0
2026-01-02,25.92,26.54,26.58,25.92,430816208,11354759424.0,2.56,2.79,0.72,0.0
