date,open,high,low,close,volume
2025-07-21,1.5,1.57,1.475,1.5,532494
2025-07-22,1.51,1.7,1.495,1.68,1548530
2025-07-23,1.69,1.795,1.69,1.71,1261133
2025-07-24,1.72,1.76,1.655,1.71,677431
2025-07-25,1.74,1.77,1.665,1.74,654403
2025-07-28,1.76,1.81,1.68,1.7,904057
2025-07-29,1.72,1.72,1.53,1.55,1010346
2025-07-30,1.59,1.595,1.54,1.55,542005
2025-07-31,1.52,1.54,1.3907,1.415,1016430
2025-08-01,1.37,1.445,1.34,1.39,804408
2025-08-04,1.39,1.43,1.355,1.4,683959
2025-08-05,1.42,1.51,1.38,1.5,911203
2025-08-06,1.5,1.54,1.425,1.43,658603
2025-08-07,1.43,1.4745,1.4113,1.46,581278
2025-08-08,1.47,1.47,1.38,1.4,490943
2025-08-11,1.43,1.5,1.41,1.48,612973
2025-08-12,1.51,1.585,1.48,1.56,731458
2025-08-13,1.55,1.705,1.53,1.62,1035141
2025-08-14,1.62,1.63,1.55,1.57,812061
2025-08-15,1.58,1.65,1.54,1.64,456865
2025-08-18,1.53,1.6801,1.5064,1.53,563344
2025-08-19,1.52,1.57,1.49,1.52,768771
2025-08-20,1.53,1.53,1.45,1.46,498730
2025-08-21,1.46,1.505,1.44,1.5,1356845
2025-08-22,1.52,1.64,1.51,1.6,1024753
2025-08-25,1.58,1.605,1.53,1.59,617598
2025-08-26,1.6,1.61,1.55,1.6,460805
2025-08-27,1.59,1.615,1.57,1.58,396165
2025-08-28,1.6,1.6165,1.555,1.57,338844
2025-08-29,1.59,1.6,1.5497,1.57,511234
2025-09-02,1.56,1.66,1.55,1.6,678687
2025-09-03,1.49,1.49,1.3301,1.43,2856413
2025-09-04,1.43,1.485,1.405,1.48,992961
2025-09-05,1.47,1.61,1.47,1.61,2977244
2025-09-08,1.63,1.63,1.53,1.55,1265441
2025-09-09,1.53,1.61,1.525,1.61,393612
2025-09-10,1.61,1.63,1.54,1.55,879497
2025-09-11,1.55,1.69,1.54,1.61,1065200
2025-09-12,1.59,1.635,1.55,1.56,1006563
2025-09-15,1.56,1.6306,1.53,1.6,843316
2025-09-16,1.6,1.725,1.59,1.71,1304505
2025-09-17,1.74,1.8,1.65,1.67,1038234
2025-09-18,1.69,1.87,1.67,1.87,910495
2025-09-19,1.86,1.88,1.8,1.84,1885236
2025-09-22,1.85,1.87,1.78,1.78,651472
2025-09-23,1.79,1.89,1.75,1.77,2550738
2025-09-24,1.8,1.94,1.78,1.91,2040866
