date,open,high,low,close,volume
2025-07-21,5.95,6.19,5.95,6.06,16384982
2025-07-22,6.14,6.35,6.0835,6.31,26496563
2025-07-23,6.3,6.385,6.19,6.28,17962003
2025-07-24,6.2,6.26,6.1,6.18,14805125
2025-07-25,6.11,6.2,6.01,6.14,20540163
2025-07-28,6.035,6.06,5.9,5.98,12301086
2025-07-29,5.99,6.05,5.89,6.02,18131484
2025-07-30,5.95,6.05,5.8,5.83,18341554
2025-07-31,5.815,5.835,5.69,5.74,14981547
2025-08-01,5.86,5.895,5.62,5.69,19457959
2025-08-04,5.79,5.98,5.7632,5.97,14614159
2025-08-05,5.9,6.17,5.855,6.14,20461273
2025-08-06,6.17,6.21,6.0445,6.11,21875536
2025-08-07,6.96,7.405,6.94,7.22,67811966
2025-08-08,7.295,7.66,7.19,7.6,32404317
2025-08-11,7.365,7.58,7.25,7.55,23350434
2025-08-12,7.6284,7.77,7.6,7.67,17524677
2025-08-13,7.745,7.82,7.605,7.77,19162989
2025-08-14,7.7125,7.865,7.59,7.66,21170465
2025-08-15,7.67,7.83,7.55,7.67,24215241
2025-08-18,7.72,7.785,7.67,7.75,15556941
2025-08-19,7.74,7.75,7.4,7.44,19431386
2025-08-20,7.5,7.66,7.445,7.6,21329514
2025-08-21,7.56,7.73,7.515,7.69,13725833
2025-08-22,7.61,8.04,7.57,7.89,19201432
2025-08-25,7.95,7.9888,7.84,7.86,14007834
2025-08-26,7.855,8.03,7.85,8.0,21102501
2025-08-27,7.88,8.06,7.78,8.03,16887350
2025-08-28,8.23,8.23,8.015,8.07,17946486
2025-08-29,8.0795,8.54,8.075,8.51,20319331
2025-09-02,8.85,8.94,8.42,8.92,26810271
2025-09-03,9.01,9.0833,8.765,8.98,28184190
2025-09-04,8.82,9.02,8.75,8.85,20796669
2025-09-05,9.09,9.12,8.83,9.02,22825680
2025-09-08,9.445,10.28,9.41,10.12,49598553
2025-09-09,10.015,10.22,9.72,10.18,35594151
2025-09-10,10.26,11.0,10.26,10.97,33589812
2025-09-11,10.835,11.38,10.78,11.15,36456243
2025-09-12,11.3574,11.5098,11.16,11.21,27554686
2025-09-15,11.17,11.9,11.16,11.76,28823979
2025-09-16,11.5611,11.765,11.34,11.35,28865220
2025-09-17,10.88,11.4999,10.876,11.03,30349587
2025-09-18,10.91,11.01,10.38,10.77,27170000
2025-09-19,10.83,11.1,10.66,10.96,145814144
2025-09-22,11.42,11.52,10.995,11.23,35300244
2025-09-23,11.295,11.57,11.09,11.17,27568922
2025-09-24,11.17,11.425,10.91,10.95,21235994
2025-09-25,11.16,11.69,11.07,11.53,25660459
2025-09-26,11.64,11.958,11.52,11.67,24282789
2025-09-29,12.0,12.04,11.72,11.89,23532567
2025-09-30,11.56,12.26,11.4801,12.1,20725496
2025-10-01,12.22,12.55,12.07,12.26,15678204
2025-10-02,12.38,12.4713,11.57,12.06,17427018
2025-10-03,12.02,12.195,11.575,11.9,21030612
2025-10-06,12.08,12.7199,12.0,12.47,18933850
2025-10-07,12.45,12.46,11.95,11.95,16618194
2025-10-08,12.41,13.36,12.2088,13.34,22754769
2025-10-09,13.7,13.84,12.51,12.79,23796580
2025-10-10,13.03,13.145,12.3835,12.54,19922094
2025-10-13,13.5,13.73,13.31,13.48,19179771
2025-10-14,13.145,13.645,13.09,13.29,13625093
2025-10-15,13.8,14.64,13.755,14.16,22147231
2025-10-16,14.285,15.44,14.1,15.24,27116022
2025-10-17,14.79,14.88,13.5601,13.93,24893199
2025-10-20,14.31,14.56,14.0382,14.47,13110031
2025-10-21,12.98,13.1599,12.625,12.81,20667605
2025-10-22,12.34,13.2,12.29,12.99,16725148
2025-10-23,13.295,13.35,12.86,12.93,13830612
2025-10-24,12.67,13.075,12.65,12.95,12861899
2025-10-27,12.405,12.87,12.02,12.36,16738181
2025-10-28,12.15,12.91,12.033,12.75,13444191
2025-10-29,13.2,13.25,12.4,12.53,18566173
2025-10-30,12.46,13.04,12.345,12.9,13871115
2025-10-31,12.9,12.95,12.57,12.87,25647746
2025-11-03,12.785,13.22,12.53,12.76,18094607
2025-11-04,12.21,12.44,11.83,11.97,16349956
2025-11-05,12.31,12.38,11.81,12.11,17277756
2025-11-06,13.82,15.42,13.325,13.55,36366683
2025-11-07,13.56,14.06,13.25,13.88,19522976
2025-11-10,14.53,15.3,14.43,15.02,19403799
2025-11-11,15.17,15.35,14.42,14.77,11708770
2025-11-12,14.915,16.095,14.8,15.53,20744605
2025-11-13,15.5,15.515,14.685,14.84,17164423
2025-11-14,13.92,14.8072,13.68,14.6,13728095
2025-11-17,14.3,14.705,13.6702,13.98,13702948
2025-11-18,14.11,14.38,13.84,14.06,12091771
2025-11-19,14.425,14.85,13.77,14.11,11475563
2025-11-20,14.245,14.685,13.11,13.21,16853893
2025-11-21,13.17,13.4,12.8,13.38,23587542
2025-11-24,13.38,14.53,13.38,14.46,14776974
2025-11-25,14.47,15.255,14.385,14.98,15963344
2025-11-26,15.2,16.205,15.04,15.97,19718047
2025-11-28,16.425,16.955,16.26,16.82,14115727
2025-12-01,17.24,17.4,16.55,17.1,24529375
2025-12-02,17.12,17.55,16.5,17.52,20950520
2025-12-03,17.65,18.1187,17.2101,17.36,15206689
2025-12-04,17.11,17.25,16.64,16.82,16620155
2025-12-05,17.06,17.475,16.73,16.97,16472887
2025-12-08,17.01,17.055,15.84,15.85,15204846
2025-12-09,15.99,17.2754,15.95,17.0,16835655
2025-12-10,16.85,17.44,16.65,17.19,17799919
2025-12-11,17.525,19.675,17.34,19.35,34340624
2025-12-12,20.04,20.19,18.385,18.81,25492443
2025-12-15,19.63,19.74,18.54,18.84,17759095
2025-12-16,18.71,19.3,18.52,19.02,16188089
2025-12-17,19.63,19.7256,19.105,19.41,19415355
2025-12-18,19.24,19.96,18.99,19.03,18615275
2025-12-19,19.15,20.57,19.145,19.67,139790090
2025-12-22,20.5,20.95,20.25,20.55,23634992
2025-12-23,21.035,21.19,19.86,20.3,19527709
2025-12-24,20.38,20.38,19.43,19.83,11256364
2025-12-26,20.33,20.38,19.615,20.2,20251831
2025-12-29,19.18,19.77,18.7,19.2,23633123
2025-12-30,19.665,19.936,19.195,19.49,17505932
2025-12-31,18.99,19.66,18.93,19.19,14486938
2026-01-02,19.65,19.68,18.04,18.87,17776568
2026-01-05,19.4,20.46,19.1062,19.73,22053109
2026-01-06,20.03,22.28,19.9,22.27,29408725
2026-01-07,21.09,21.405,19.31,21.37,27037015
2026-01-08,20.47,21.12,20.21,21.01,16883819
2026-01-09,21.485,22.62,21.18,22.45,20405702
2026-01-12,23.93,24.885,23.26,24.46,25656757
2026-01-13,25.14,25.4798,24.045,24.31,22621756
2026-01-14,25.25,25.35,23.52,23.8,24194156
