date,open,high,low,close,volume
2025-07-07,1.38,1.38,1.29,1.34,51947
2025-07-08,1.31,1.37,1.27,1.33,109178
2025-07-09,1.34,1.34,1.26,1.28,60236
2025-07-10,1.26,1.29,1.25,1.25,37862
2025-07-11,1.27,1.27,1.2233,1.26,40615
2025-07-14,1.26,1.2699,1.22,1.24,45527
2025-07-15,1.24,1.24,1.15,1.2,94593
2025-07-16,1.2,1.2,1.15,1.17,49745
2025-07-17,1.2,1.25,1.2,1.23,59990
2025-07-18,1.23,1.2699,1.21,1.23,98617
2025-07-21,1.26,1.35,1.26,1.34,104786
2025-07-22,1.32,1.3398,1.2501,1.28,80802
2025-07-23,1.29,1.3,1.25,1.26,31855
2025-07-24,1.25,1.3,1.2301,1.25,44006
2025-07-25,1.25,1.27,1.24,1.25,21478
2025-07-28,1.29,1.29,1.23,1.24,76919
2025-07-29,1.24,1.24,1.22,1.22,21029
2025-07-30,1.24,1.24,1.1713,1.21,43848
2025-07-31,1.2,1.23,1.18,1.23,51786
2025-08-01,1.2,1.23,1.15,1.17,25115
2025-08-04,1.16,1.2299,1.1083,1.2,19820
2025-08-05,1.21,1.23,1.19,1.2,21397
2025-08-06,1.2,1.2,1.08,1.145,43423
2025-08-07,1.15,1.15,1.095,1.095,49044
2025-08-08,1.08,1.16,1.04,1.14,45238
2025-08-11,1.13,1.165,1.1005,1.1102,46882
2025-08-12,1.12,1.24,1.12,1.229,87223
2025-08-13,1.2,1.29,1.2,1.27,66599
2025-08-14,1.25,1.67,1.25,1.62,759490
2025-08-15,1.61,1.62,1.29,1.3259,541519
2025-08-18,1.36,1.4,1.3,1.34,80843
2025-08-19,1.32,1.3773,1.1,1.29,209798
2025-08-20,1.2901,1.35,1.23,1.33,55651
2025-08-21,1.33,1.4896,1.33,1.45,128305
2025-08-22,1.45,1.46,1.37,1.3901,89982
2025-08-25,1.41,1.41,1.25,1.33,84050
2025-08-26,1.33,1.37,1.3,1.31,32373
2025-08-27,1.33,1.35,1.29,1.32,43699
2025-08-28,1.3,1.38,1.28,1.35,37017
2025-08-29,1.35,1.35,1.3,1.34,15183
2025-09-02,1.3,1.32,1.2607,1.3,27281
2025-09-03,1.3,1.3,1.22,1.275,58206
2025-09-04,1.24,1.29,1.2329,1.245,54395
2025-09-05,1.23,1.3006,1.1701,1.19,73141
2025-09-08,1.2,1.335,1.1991,1.31,160715
2025-09-09,1.31,1.33,1.17,1.19,220342
2025-09-10,1.2,1.2,1.14,1.17,123815
2025-09-11,1.17,1.2214,1.1554,1.2,87187
2025-09-12,1.2,1.2199,1.18,1.19,33876
2025-09-15,1.22,1.24,1.2,1.21,42193
2025-09-16,1.18,1.22,1.18,1.22,56894
2025-09-17,1.2001,1.21,1.19,1.19,38074
2025-09-18,1.2,1.25,1.12,1.24,97484
2025-09-19,1.24,1.24,1.15,1.15,57259
2025-09-22,1.18,1.21,1.1501,1.2,68086
2025-09-23,1.2,1.2175,1.16,1.17,55510
2025-09-24,1.17,1.17,1.14,1.15,40102
2025-09-25,1.14,1.17,1.1,1.1217,58129
2025-09-26,1.12,1.15,1.1,1.15,54396
2025-09-29,1.15,1.188,1.15,1.16,43163
2025-09-30,1.15,1.2,1.15,1.18,19430
2025-10-01,1.16,1.18,1.15,1.15,33849
2025-10-02,1.15,1.18,1.11,1.1624,91247
2025-10-03,1.2,1.41,1.17,1.41,4759956
2025-10-06,3.1703,6.28,2.73,5.3,209298540
2025-10-07,4.06,5.05,3.82,4.57,6698440
2025-10-08,4.95,5.48,4.0,4.12,4848831
2025-10-09,4.04,4.4676,3.3605,3.4,1581986
2025-10-10,3.2,3.6,3.1,3.1,949949
2025-10-13,3.23,3.25,2.616,2.72,924646
2025-10-14,2.75,3.11,2.75,2.94,551051
2025-10-15,3.015,3.07,2.71,2.77,387066
2025-10-16,2.84,2.84,2.5,2.52,385755
2025-10-17,2.6,3.1,2.5548,3.08,579431
2025-10-20,3.3,3.51,3.21,3.37,594693
2025-10-21,3.33,3.36,2.84,2.88,311005
2025-10-22,2.84,2.84,2.52,2.67,322560
2025-10-23,2.71,3.01,2.63,2.94,217812
2025-10-24,2.85,2.9,2.65,2.65,245540
2025-10-27,2.77,3.14,2.74,3.04,374358
2025-10-28,2.94,3.0291,2.8511,2.91,121978
2025-10-29,2.87,3.0,2.7766,2.8,116562
2025-10-30,2.77,2.77,2.52,2.57,223053
2025-10-31,2.52,2.5991,2.34,2.5,169598
