date,open,high,low,close,volume,amount,change_pct
2025-07-08,18.7,18.7,18.7,18.7,4036960,75491152.0,10.0
2025-07-09,20.38,20.57,19.6,20.57,21173103,428752665.95,10.0
2025-07-10,22.0,22.63,19.64,19.78,39332292,835515709.45,-3.8405
2025-07-11,19.45,19.77,18.31,18.31,26451916,496162442.04,-7.4317
2025-07-14,18.02,18.41,18.02,18.02,14000944,254326321.44,-1.5838
2025-07-15,18.09,18.14,17.63,17.73,10894591,193779938.53,-1.6093
2025-07-16,17.68,18.08,17.67,17.82,7809300,139440126.76,0.5076
2025-07-17,17.88,17.91,17.7,17.79,5672948,100935955.6,-0.1684
2025-07-18,17.8,17.9,17.68,17.89,5977004,106304760.56,0.5621
2025-07-21,17.91,17.99,17.82,17.99,5688000,101927802.0,0.559
2025-07-22,17.9,18.17,17.81,17.96,6758560,121412861.6,-0.1668
2025-07-23,17.85,17.92,17.66,17.66,5175100,92086767.0,-1.6704
2025-07-24,17.61,17.91,17.6,17.86,4998340,88614303.8,1.1325
2025-07-25,17.9,17.9,17.65,17.72,3392165,60123359.32,-0.7839
2025-07-28,17.72,17.89,17.7,17.83,2771600,49338238.0,0.6208
2025-07-29,17.77,17.85,17.51,17.73,3647300,64382280.0,-0.5609
2025-07-30,17.72,17.72,17.39,17.54,3903000,68408035.0,-1.0716
2025-07-31,17.54,17.68,17.31,17.33,3196616,55867883.12,-1.1973
2025-08-01,17.3,17.58,17.3,17.53,2650400,46278057.0,1.1541
2025-08-04,17.42,17.66,17.4,17.66,2167100,38137026.0,0.7416
2025-08-05,17.78,18.15,17.67,17.97,6973460,124442932.2,1.7554
2025-08-06,18.1,18.14,17.8,17.98,5626593,101210559.14,0.0556
2025-08-07,17.95,18.05,17.84,17.93,3701493,66360616.79,-0.2781
2025-08-08,17.9,18.3,17.83,18.15,7216084,130530192.0,1.227
2025-08-11,18.19,19.35,18.19,19.03,12449040,234419363.8,4.8485
2025-08-12,19.08,20.77,18.89,19.72,20878990,410086640.25,3.6259
2025-08-13,19.52,19.92,19.4,19.8,12033120,236307948.6,0.4057
2025-08-14,19.77,19.81,19.05,19.06,8538740,165239680.4,-3.7374
2025-08-15,19.2,19.54,19.04,19.16,7935320,152235786.2,0.5247
2025-08-18,19.11,19.6,19.11,19.21,7386200,142497843.0,0.261
2025-08-19,19.4,19.45,19.1,19.17,5134634,98634397.68,-0.2082
2025-08-20,19.39,20.3,19.39,19.87,13129200,260396497.01,3.6515
2025-08-21,19.84,19.99,19.51,19.63,6550906,129107955.98,-1.2079
2025-08-22,19.76,19.76,19.47,19.66,4332400,85022130.0,0.1528
2025-08-25,19.85,20.05,19.58,19.82,6182475,122493047.41,0.8138
2025-08-26,19.8,20.88,19.52,20.6,11554668,235671525.28,3.9354
2025-08-27,20.48,20.75,19.95,20.0,9546684,195143506.12,-2.9126
2025-08-28,20.21,20.55,19.7,20.38,7777380,156347022.4,1.9
2025-08-29,20.3,20.37,19.53,19.56,7286892,143811424.96,-4.0236
2025-09-01,19.67,20.73,19.62,20.25,8138900,163902552.0,3.5276
2025-09-02,20.24,20.54,19.3,19.55,6700100,131274965.0,-3.4568
2025-09-03,19.47,19.65,18.71,18.88,5487100,105205786.0,-3.4271
2025-09-04,18.93,19.28,18.36,18.71,4788692,90764807.0,-0.9004
2025-09-05,18.85,19.25,18.54,19.22,3299500,62510864.0,2.7258
2025-09-08,19.41,19.72,19.25,19.59,3566306,69538884.3,1.9251
2025-09-09,19.59,19.67,19.05,19.13,3109000,60077301.0,-2.3481
2025-09-10,19.07,19.28,18.91,18.93,2382057,45373097.29,-1.0455
2025-09-11,18.86,19.34,18.61,19.31,3634440,69261601.08,2.0074
2025-09-12,19.32,19.65,18.96,19.21,4836740,93052420.48,-0.5179
2025-09-15,19.22,19.25,18.85,18.86,3004540,56998908.4,-1.822
2025-09-16,18.87,19.4,18.8,19.33,3571897,68507604.64,2.492
2025-09-17,19.33,19.67,19.25,19.37,3782192,73649743.32,0.2069
2025-09-18,19.37,21.31,19.26,20.45,18320328,377749827.26,5.5756
2025-09-19,20.15,21.5,20.15,20.88,17818696,374379715.64,2.1027
2025-09-22,20.91,21.88,20.73,21.43,12447218,266523127.84,2.6341
2025-09-23,21.37,22.18,20.8,21.72,13795874,294908061.82,1.3532
2025-09-24,22.28,23.89,21.53,23.89,17021554,395044472.92,9.9908
2025-09-25,24.99,24.99,23.05,23.14,26071153,624964431.2,-3.1394
2025-09-26,22.66,24.55,22.5,23.81,19372131,460114157.91,2.8954
2025-09-29,24.29,26.19,24.01,26.19,11685811,295206583.6,9.9958
2025-09-30,26.5,28.5,25.18,27.18,26392408,702240931.27,3.7801
2025-10-09,26.65,27.56,25.9,26.54,19485924,514012673.58,-2.3547
2025-10-10,26.45,29.0,25.9,26.07,22393784,605936034.65,-1.7709
2025-10-13,23.46,26.95,23.46,25.9,18856890,487350879.14,-0.6521
2025-10-14,26.51,27.16,25.78,25.85,15505508,409768562.02,-0.1931
2025-10-15,25.91,26.01,24.71,24.91,14368448,361343441.3,-3.6364
2025-10-16,24.92,26.33,24.54,25.15,12805022,324426420.2,0.9635
2025-10-17,25.5,25.86,24.0,25.2,13004284,322411013.3,0.1988
2025-10-20,27.12,27.12,24.62,25.05,18900728,484609121.16,-0.5952
2025-10-21,25.09,27.0,24.6,26.0,21112256,549016573.38,3.7924
2025-10-22,25.8,26.1,24.83,24.83,12814780,323033513.44,-4.5
2025-10-23,24.7,24.83,23.48,24.07,9226972,220871945.0,-3.0608
2025-10-24,24.34,24.99,24.07,24.41,7392892,180419909.24,1.4125
2025-10-27,24.54,25.18,24.37,24.72,6682700,164901654.0,1.27
2025-10-28,24.73,24.82,23.81,24.0,6376400,154520264.0,-2.9126
2025-10-29,23.82,24.0,23.52,23.82,4926000,116949404.0,-0.75
2025-10-30,24.2,24.96,23.79,23.8,10957096,267180999.32,-0.084
2025-10-31,23.79,24.78,23.58,24.42,8145900,197447341.0,2.605
2025-11-03,24.26,25.02,24.03,24.9,7208100,177069542.64,1.9656
2025-11-04,24.8,24.92,23.9,24.06,5923984,143824344.28,-3.3735
2025-11-05,23.67,24.37,23.43,24.18,4681196,111803096.28,0.4988
2025-11-06,24.13,24.62,23.81,24.43,4953092,120231069.64,1.0339
2025-11-07,24.33,25.49,24.22,24.37,6980400,173122842.48,-0.2456
2025-11-10,24.15,24.66,23.83,24.46,5429586,131143274.28,0.3693
2025-11-11,24.5,25.11,23.82,23.85,6763389,163734949.08,-2.4939
