date,open,close,high,low,volume,turnover,amplitude,change_pct,change_amount,turnover_rate
2025-01-06,4.34,4.31,4.364,4.294,611395488,2640624272.0,1.62,-0.19,-0.008,0.0
2025-01-07,4.274,4.274,4.316,4.192,791259616,3351235632.0,2.88,-0.84,-0.036,0.0
2025-01-08,4.268,4.22,4.286,4.168,500147728,2109986768.0,2.76,-1.26,-0.054,0.0
2025-01-09,4.22,4.22,4.282,4.212,455367184,1933193568.0,1.66,0.0,0.0,0.0
2025-01-10,4.244,4.178,4.272,4.168,923335056,3893701280.0,2.46,-1.0,-0.042,0.0
2025-01-13,4.14,4.136,4.158,4.086,1139680576,4700989440.0,1.72,-1.01,-0.042,0.0
2025-01-14,4.136,4.264,4.294,4.136,664025984,2806967744.0,3.82,3.09,0.128,0.0
2025-01-15,4.26,4.282,4.3,4.23,784772016,3347982816.0,1.64,0.42,0.018,0.0
2025-01-16,4.32,4.33,4.4,4.276,600970464,2605336368.0,2.9,1.12,0.048,0.0
2025-01-17,4.32,4.378,4.404,4.304,845785488,3691632384.0,2.31,1.11,0.048,0.0
2025-01-20,4.446,4.494,4.548,4.444,1318496816,5938014464.0,2.38,2.65,0.116,0.0
2025-01-21,4.57,4.598,4.63,4.516,1397556288,6397246976.0,2.54,2.31,0.104,0.0
2025-01-22,4.55,4.488,4.576,4.47,674751648,3041109952.0,2.31,-2.39,-0.11,0.0
2025-01-23,4.524,4.416,4.568,4.406,1149805216,5149185536.0,3.61,-1.6,-0.072,0.0
2025-01-24,4.42,4.562,4.582,4.42,683816224,3097542560.0,3.67,3.31,0.146,0.0
2025-01-27,4.588,4.594,4.654,4.574,488196512,2255360208.0,1.75,0.7,0.032,0.0
2025-01-28,4.636,4.63,4.644,4.584,418400960,1932598368.0,1.31,0.78,0.036,0.0
2025-02-03,4.562,4.65,4.65,4.476,759529120,3471692624.0,3.76,0.43,0.02,0.0
2025-02-04,4.72,4.87,4.886,4.72,451838544,2175514864.0,3.57,4.73,0.22,0.0
2025-02-05,4.88,4.816,4.88,4.748,1121767248,5404855040.0,2.71,-1.11,-0.054,0.0
