date,open,high,low,close,volume,change_pct
2025-07-16,10.02,10.255,9.25,9.88,2315571,0.0
2025-07-17,9.93,10.455,9.785,10.34,798897,4.6558704453441235
2025-07-18,10.32,10.32,9.86,9.95,620004,-3.771760154738879
2025-07-21,10.14,10.64,10.05,10.14,1486115,1.9095477386934734
2025-07-22,10.69,10.7301,9.955,10.0,5448894,-1.3806706114398493
2025-07-23,63.1,71.35,62.5,68.6,27831874,586.0
2025-07-24,68.978,72.9,67.33,69.76,8339835,1.6909620991253815
2025-07-25,67.975,70.25,65.87,66.49,3540490,-4.687500000000011
2025-07-28,65.69,68.12,65.6715,66.57,1722275,0.1203188449390824
2025-07-29,67.0,70.92,66.11,69.8,2339347,4.852035451404535
2025-07-30,70.96,71.84,69.58,70.835,1379484,1.4828080229226215
2025-07-31,69.77,75.51,69.665,71.77,1465347,1.3199689419072458
2025-08-01,69.69,72.95,69.3696,71.945,1252913,0.2438344712275331
2025-08-04,70.78,72.55,69.64,72.07,526836,0.17374383209396438
2025-08-05,72.02,72.14,68.59,70.91,926471,-1.6095462744553868
2025-08-06,70.32,72.69,67.09,69.09,1636021,-2.566633761105619
2025-08-07,69.07,71.6675,69.07,70.02,1145384,1.3460703430308252
2025-08-08,71.27,72.9799,68.5,70.13,668356,0.15709797200800235
2025-08-11,69.83,70.92,68.54,69.0,584020,-1.6112933124197815
2025-08-12,69.16,72.26,69.1,71.91,959886,4.217391304347817
2025-08-13,71.63,73.9,68.75,69.89,1423945,-2.809066889167011
2025-08-14,69.15,70.48,68.26,69.56,853479,-0.47217055372728023
2025-08-15,69.8,71.45,69.06,70.44,551843,1.2650948821161467
2025-08-18,70.12,71.17,69.71,70.01,533536,-0.6104486087450178
2025-08-19,69.07,69.56,68.4,68.96,1395526,-1.4997857448936003
2025-08-20,67.73,72.01,67.15,71.89,1999450,4.248839907192581
2025-08-21,72.2,74.7883,71.5,74.43,1554229,3.53317568507443
2025-08-22,75.1,78.49,75.05,77.28,1378634,3.8291011688835086
2025-08-25,77.08,77.86,75.99,77.46,696203,0.23291925465838137
2025-08-26,76.02,80.0,75.83,79.7,1721711,2.8918151303898965
2025-08-27,80.405,81.3644,79.37,79.43,1251571,-0.3387703889585869
2025-08-28,78.71,81.949,78.0,81.64,951213,2.782324058919805
2025-08-29,82.0,82.13,79.95,81.03,578725,-0.747182753552178
2025-09-02,80.01,82.51,80.01,81.99,592455,1.1847463902258326
2025-09-03,82.38,83.87,81.73,83.65,637850,2.024637150872066
2025-09-04,83.24,86.22,83.045,85.55,855215,2.271368798565443
2025-09-05,85.01,92.91,82.72,88.03,3204184,2.8988895382817015
2025-09-08,89.42,90.5,86.49,90.0,1437297,2.2378734522321864
2025-09-09,89.4,91.3,87.525,89.25,1202611,-0.8333333333333304
2025-09-10,90.0,90.0,86.145,87.63,715322,-1.8151260504201683
2025-09-11,86.88,86.88,82.5,85.96,1303996,-1.9057400433641458
2025-09-12,83.0,84.82,82.27,84.01,1042202,-2.268496975337353
2025-09-15,82.19,86.72,81.85,85.87,858883,2.2140221402213944
2025-09-16,85.46,85.46,81.82,82.28,778116,-4.180738325375577
2025-09-17,82.64,84.19,80.53,81.0,775236,-1.5556635877491454
2025-09-18,80.8,84.4,80.11,83.31,805264,2.851851851851861
2025-09-19,83.52,83.99,81.28,82.3,592492,-1.2123394550474176
2025-09-22,81.75,82.6899,80.88,82.21,1172421,-0.10935601458080813
2025-09-23,82.99,84.25,81.67,82.02,1232122,-0.23111543607833296
2025-09-24,83.75,84.99,81.71,82.55,1033488,0.6461838575957168
2025-09-25,83.0,84.5,81.02,82.0,636564,-0.6662628709872775
2025-09-26,81.79,83.95,81.57,82.84,767765,1.02439024390244
2025-09-29,83.5,84.59,82.7,83.33,744869,0.5915016900048142
2025-09-30,83.99,85.72,82.56,84.9,1392621,1.8840753630145368
2025-10-01,83.6,85.0,82.15,82.4,866893,-2.9446407538280317
2025-10-02,82.49,83.53,81.9,82.87,504767,0.5703883495145723
2025-10-03,82.68,84.76,82.4957,83.92,741780,1.267044768915171
2025-10-06,89.0,90.7,86.57,86.67,2943578,3.276930409914214
2025-10-07,87.32,87.59,85.0,87.01,729183,0.3922926041306063
2025-10-08,87.01,88.99,85.86,86.51,652428,-0.5746465923457067
2025-10-09,87.11,93.77,87.11,90.61,1355163,4.739336492890978
2025-10-10,93.71,97.83,90.14,93.77,1963937,3.4874737887650387
2025-10-13,97.0,97.18,93.43,95.63,998298,1.9835768369414586
2025-10-14,95.99,98.39,94.32,97.82,1007718,2.2900763358778553
2025-10-15,97.89,98.64,94.42,95.61,789360,-2.259251686771613
2025-10-16,97.21,98.035,92.07,92.91,1778221,-2.8239723878255463
2025-10-17,92.01,93.2,90.81,92.73,598050,-0.19373587342589316
2025-10-20,92.6,94.26,90.07,91.49,746801,-1.3372155720910217
2025-10-21,92.46,92.64,91.03,91.67,458379,0.19674281342223487
2025-10-22,91.07,91.28,87.6,90.71,786019,-1.0472346460128845
2025-10-23,90.81,92.2,90.0,90.47,523454,-0.26457942894939634
2025-10-24,91.91,93.1999,90.75,90.76,795729,0.32054824803802173
2025-10-27,91.49,94.94,90.85,94.84,1242848,4.49537241075364
2025-10-28,95.92,97.1,93.36,94.245,1355909,-0.6273724167018102
2025-10-29,96.51,98.94,93.95,98.94,1492061,4.981696641731648
2025-10-30,101.25,106.73,99.56,104.29,1749237,5.407317566201741
2025-10-31,106.09,108.0,102.41,102.42,897684,-1.7930769968357518
2025-11-03,101.4,101.89,96.52,98.85,1957339,-3.485647334504982
2025-11-04,98.8,104.9861,98.54,98.64,1247708,-0.21244309559939056
2025-11-05,96.12,100.38,96.1,99.61,713486,0.9833738848337381
2025-11-06,102.4,105.2975,100.57,103.9,878135,4.306796506374866
2025-11-07,102.49,106.58,101.37,105.27,925992,1.3185755534167454
2025-11-10,106.17,109.71,104.8101,106.12,818259,0.8074475159114636
2025-11-11,104.03,109.09,103.0,109.06,776407,2.770448548812654
2025-11-12,109.05,109.05,102.03,103.43,904941,-5.162295983862086
2025-11-13,103.17,105.53,100.5,100.9,713827,-2.4460988107899095
2025-11-14,103.0,112.5,103.0,110.39,2422963,9.40535183349851
2025-11-17,111.96,116.43,110.56,113.62,1517111,2.925989672977636
2025-11-18,112.42,115.425,110.25,113.83,1111750,0.1848266150325628
2025-11-19,113.83,115.39,111.33,112.95,797509,-0.7730826671351942
2025-11-20,116.74,126.9899,116.35,122.9,4466432,8.809207613988491
2025-11-21,120.01,122.75,114.06,119.12,1700718,-3.075671277461356
2025-11-24,121.77,127.0,119.45,125.71,1792580,5.532236400268631
2025-11-25,125.0,128.5,122.99,128.23,917889,2.0046137936520436
2025-11-26,128.87,130.25,124.73,125.68,919767,-1.9886142088434755
2025-11-28,126.97,126.97,123.85,124.83,369233,-0.6763208147676725
2025-12-01,125.25,125.51,118.27,119.92,905775,-3.9333493551229615
2025-12-02,120.98,121.472,114.34,114.83,976603,-4.24449633088726
2025-12-03,112.95,115.45,109.0,110.93,2414401,-3.396325002177125
2025-12-04,112.5,112.565,107.055,110.64,2569726,-0.2614261245830751
2025-12-05,109.75,115.12,109.1,114.51,1297146,3.4978308026030414
2025-12-08,116.88,118.88,113.79,115.05,922498,0.4715745349751055
2025-12-09,116.98,123.16,115.71,123.04,2708196,6.9448066058235725
2025-12-10,134.79,138.4899,126.14,127.53,3919848,3.6492197659297787
2025-12-11,125.36,137.97,124.98,133.09,2698633,4.3597584881988505
2025-12-12,129.24,131.02,122.805,125.545,1609878,-5.6690961003831974
2025-12-15,125.57,125.59,116.6,117.91,1746647,-6.081484726592068
2025-12-16,113.0,115.61,108.525,110.98,2266725,-5.877364091256032
2025-12-17,112.24,113.3,109.99,110.82,1326645,-0.1441701207424817
2025-12-18,113.99,117.715,112.01,113.61,968200,2.517596101786679
2025-12-19,117.74,120.52,114.9,114.94,2336596,1.1706715958102354
2025-12-22,136.99,139.62,130.14,138.72,4685172,20.68905515921351
2025-12-23,141.79,142.49,137.4,138.35,1359250,-0.26672433679354457
2025-12-24,140.67,148.83,140.67,145.31,1010150,5.030719190458988
2025-12-26,144.89,144.89,139.42,142.31,665050,-2.0645516482003967
2025-12-29,147.0,147.0,139.865,140.4,982861,-1.3421403977232793
2025-12-30,140.0,140.47,134.0205,138.34,1436613,-1.4672364672364657
2025-12-31,138.0,138.0,129.885,134.855,2756859,-2.519155703339604
2026-01-02,136.8,138.69,132.61,133.77,978145,-0.8045678691928182
2026-01-05,133.05,133.1,121.02,123.23,1858669,-7.879195634297675
2026-01-06,123.51,124.58,116.2,119.1,1810327,-3.351456625821647
2026-01-07,124.86,129.5575,123.0,126.48,2119396,6.196473551637283
2026-01-08,125.1,125.1,108.95,115.49,3850189,-8.68912080961417
2026-01-09,118.62,119.17,113.0,114.4,1709559,-0.943804658411973
