date,open,high,low,close,volume,change_pct
2025-07-21,3.4,3.51,3.31,3.32,429402,0.0
2025-07-22,3.33,3.4189,3.245,3.31,343329,-0.3012048192771011
2025-07-23,3.36,3.86,3.33,3.84,1295861,16.012084592145005
2025-07-24,3.83,4.16,3.77,3.86,1052571,0.5208333333333259
2025-07-25,4.12,4.1396,3.85,3.88,660811,0.5181347150259086
2025-07-28,3.87,4.08,3.75,4.04,1469434,4.123711340206193
2025-07-29,4.08,4.0831,3.86,3.95,1196953,-2.2277227722772297
2025-07-30,3.95,4.28,3.87,4.1,913431,3.7974683544303556
2025-07-31,4.1,4.27,4.035,4.14,507203,0.9756097560975618
2025-08-01,4.07,4.28,4.0,4.13,449242,-0.24154589371979673
2025-08-04,4.14,4.22,4.035,4.09,446310,-0.9685230024213065
2025-08-05,4.11,4.23,4.065,4.2,449545,2.689486552567244
2025-08-06,4.19,4.39,4.1515,4.37,480739,4.047619047619055
2025-08-07,4.36,4.4,4.24,4.33,740087,-0.9153318077803174
2025-08-08,4.29,4.39,4.1,4.3,718447,-0.6928406466512715
2025-08-11,4.25,4.4399,4.25,4.34,824611,0.9302325581395321
2025-08-12,4.35,4.655,4.28,4.46,1130712,2.764976958525356
2025-08-13,4.45,4.57,4.21,4.42,731555,-0.8968609865470878
2025-08-14,4.16,4.45,4.0911,4.39,546805,-0.6787330316742168
2025-08-15,4.45,4.77,4.4422,4.75,865375,8.200455580865619
2025-08-18,4.74,5.131,4.71,4.85,1133983,2.105263157894721
2025-08-19,4.9,4.9,4.45,4.73,603578,-2.4742268041236914
2025-08-20,4.5719,4.7,4.36,4.41,597489,-6.765327695560264
2025-08-21,4.41,4.61,4.33,4.6,444440,4.308390022675734
2025-08-22,4.61,4.8683,4.61,4.84,693197,5.21739130434784
2025-08-25,4.85,5.0,4.79,4.9,956723,1.2396694214876103
2025-08-26,4.89,4.9,4.61,4.78,605139,-2.448979591836742
2025-08-27,4.79,4.92,4.72,4.92,619478,2.9288702928870203
2025-08-28,4.94,4.9782,4.615,4.7,607922,-4.471544715447151
2025-08-29,4.75,4.7629,4.57,4.64,325190,-1.276595744680864
2025-09-02,4.64,4.8,4.61,4.7,663129,1.2931034482758674
2025-09-03,4.73,4.83,4.6516,4.68,591013,-0.42553191489362874
2025-09-04,4.69,4.76,4.32,4.6,573634,-1.7094017094017144
2025-09-05,4.56,4.665,4.41,4.51,498117,-1.9565217391304346
2025-09-08,4.5,4.515,4.28,4.32,414924,-4.212860310421274
2025-09-09,4.27,4.32,4.115,4.27,402297,-1.1574074074074292
2025-09-10,4.27,4.465,4.24,4.3,428798,0.7025761124121788
2025-09-11,4.3,4.42,4.24,4.36,343575,1.3953488372093092
2025-09-12,4.37,4.4091,4.19,4.37,448703,0.2293577981651307
2025-09-15,4.36,4.42,4.23,4.38,357334,0.22883295194506825
2025-09-16,4.37,4.47,4.145,4.16,457466,-5.022831050228305
2025-09-17,4.15,4.35,4.09,4.13,357267,-0.7211538461538547
2025-09-18,4.14,4.34,4.132,4.29,463745,3.874092009685226
2025-09-19,4.29,4.375,4.08,4.17,1995959,-2.7972027972028024
2025-09-22,4.16,4.25,4.09,4.15,401818,-0.47961630695442237
2025-09-23,4.14,4.14,4.03,4.1,421397,-1.2048192771084487
2025-09-24,4.11,4.29,4.07,4.14,401786,0.9756097560975618
2025-09-25,4.14,4.21,3.965,3.99,337512,-3.6231884057970842
2025-09-26,4.0,4.08,3.84,4.05,852273,1.5037593984962294
2025-09-29,4.05,4.085,3.94,3.95,318726,-2.4691358024691246
2025-09-30,3.91,4.005,3.76,3.99,374082,1.0126582278481067
2025-10-01,3.96,4.13,3.94,4.06,582685,1.754385964912264
2025-10-02,4.08,4.1479,3.915,3.96,547789,-2.463054187192115
2025-10-03,4.0,4.0907,3.995,4.02,387370,1.5151515151515138
2025-10-06,4.07,4.1765,3.965,4.12,1018424,2.4875621890547484
2025-10-07,4.12,4.53,4.08,4.51,1732690,9.466019417475714
2025-10-08,4.56,4.665,4.385,4.43,1065746,-1.7738359201773801
2025-10-09,4.42,4.6965,4.42,4.53,676391,2.257336343115135
2025-10-10,4.53,4.66,4.275,4.44,770895,-1.9867549668874163
2025-10-13,4.5,4.72,4.38,4.61,521478,3.828828828828823
2025-10-14,4.55,4.685,4.379,4.63,461850,0.433839479392617
2025-10-15,4.65,4.865,4.58,4.85,724249,4.751619870410373
2025-10-16,4.86,4.905,4.6,4.61,496816,-4.948453608247405
2025-10-17,4.5,4.62,4.4,4.49,1038149,-2.6030368763557465
2025-10-20,4.52,4.77,4.5,4.76,604595,6.013363028953211
2025-10-21,4.74,4.83,4.605,4.64,301190,-2.5210084033613467
2025-10-22,4.62,4.62,4.4,4.49,499889,-3.2327586206896464
2025-10-23,4.5,4.65,4.37,4.61,369456,2.6726057906458767
2025-10-24,4.62,4.72,4.5,4.51,352914,-2.1691973969631295
2025-10-27,4.51,4.81,4.51,4.81,448009,6.651884700665178
2025-10-28,4.77,4.88,4.645,4.81,409121,0.0
2025-10-29,4.81,4.85,4.64,4.71,586723,-2.079002079002068
2025-10-30,4.68,4.81,4.61,4.66,309182,-1.0615711252653925
2025-10-31,4.65,4.8,4.63,4.75,330005,1.93133047210301
2025-11-03,4.71,4.75,4.385,4.56,843730,-4.0000000000000036
2025-11-04,4.44,4.65,4.41,4.55,788577,-0.21929824561403022
2025-11-05,4.57,4.71,4.52,4.57,222070,0.4395604395604602
2025-11-06,4.54,4.845,4.51,4.72,872544,3.2822757111597323
2025-11-07,4.68,4.84,4.4,4.72,1394268,0.0
2025-11-10,4.75,5.1,4.585,5.05,1199531,6.991525423728806
2025-11-11,5.08,5.3995,5.05,5.3,1045087,4.950495049504955
2025-11-12,5.4,5.41,4.9501,5.24,898782,-1.1320754716981019
2025-11-13,5.16,5.36,5.115,5.28,1476667,0.7633587786259444
2025-11-14,4.75,5.6377,4.6,5.52,1721724,4.545454545454541
2025-11-17,5.52,5.73,5.44,5.575,1187588,0.9963768115942129
2025-11-18,5.95,6.445,5.716,6.41,1469677,14.977578475336317
2025-11-19,6.37,6.82,6.2101,6.57,1624763,2.496099843993771
2025-11-20,7.25,7.48,6.91,6.92,1619967,5.327245053272445
2025-11-21,6.85,7.75,6.67,7.3,2424118,5.491329479768781
2025-11-24,7.49,7.5,6.93,7.3,1373420,0.0
2025-11-25,7.37,7.4261,7.1,7.33,797485,0.4109589041095818
2025-11-26,7.41,7.78,7.375,7.64,1155753,4.229195088676674
2025-11-28,7.69,7.73,7.56,7.67,493977,0.39267015706807573
2025-12-01,7.48,7.84,7.31,7.35,1015763,-4.172099087353331
2025-12-02,7.75,7.94,7.4,7.41,1185041,0.8163265306122547
2025-12-03,7.41,7.9699,7.41,7.84,1401254,5.802968960863697
2025-12-04,7.8,8.405,7.63,8.3,1267167,5.867346938775531
2025-12-05,8.5,11.2951,8.43,11.12,4350329,33.97590361445781
2025-12-08,11.0,11.4,10.51,11.16,1914434,0.3597122302158251
2025-12-09,11.15,11.57,10.7501,11.43,961605,2.4193548387096753
2025-12-10,11.5,12.4398,11.33,12.11,1147182,5.949256342957132
2025-12-11,12.1,12.19,11.38,11.61,1092504,-4.128819157720887
2025-12-12,11.57,11.7872,11.132,11.49,799687,-1.033591731266148
2025-12-15,11.56,11.595,11.18,11.31,1107434,-1.5665796344647487
2025-12-16,11.16,11.48,11.0,11.4,434605,0.7957559681697646
2025-12-17,11.38,11.47,10.44,10.58,676129,-7.192982456140351
2025-12-18,10.59,11.71,10.59,11.06,2809090,4.536862003780717
2025-12-19,11.04,11.37,10.994,11.29,1497957,2.0795660036166286
2025-12-22,11.17,11.51,10.99,11.18,893781,-0.9743135518157642
2025-12-23,11.08,11.5481,11.03,11.45,644713,2.415026833631484
2025-12-24,11.57,11.69,11.35,11.4,448499,-0.4366812227074135
2025-12-26,11.34,11.34,10.83,10.97,702609,-3.771929824561404
2025-12-29,10.88,11.1712,10.44,10.45,646608,-4.740200546946227
2025-12-30,10.45,10.485,9.68,9.88,912332,-5.454545454545445
2025-12-31,9.82,9.9122,9.67,9.76,873729,-1.2145748987854366
2026-01-02,9.77,9.865,8.68,8.955,976223,-8.247950819672123
2026-01-05,8.9,8.97,7.85,8.31,1925955,-7.2026800670016655
2026-01-06,22.2,22.3,15.27,16.23,65139559,95.30685920577618
2026-01-07,17.39,18.57,16.7,17.92,9367771,10.41281577325941
2026-01-08,18.25,19.0,17.44,18.18,9889956,1.450892857142838
2026-01-09,18.5,19.91,18.1,19.56,6009722,7.590759075907583
2026-01-12,19.55,21.56,19.55,21.09,4204598,7.8220858895705625
2026-01-13,20.85,23.0,20.2,22.11,4670901,4.836415362731161
