date,open,high,low,close,volume,change_pct
2025-07-15,26.3,26.4899,25.11,25.31,7000848,0.0
2025-07-16,25.26,25.38,24.14,24.69,6375109,-2.4496246542868305
2025-07-17,24.69,25.42,24.31,24.31,5813230,-1.539084649655742
2025-07-18,24.44,25.0175,24.04,24.99,4998881,2.7972027972027913
2025-07-21,25.35,26.37,25.2,25.36,6665568,1.4805922368947622
2025-07-22,25.305,26.03,24.385,25.93,5071014,2.247634069400628
2025-07-23,26.275,26.93,25.74,26.89,6069066,3.7022753567296673
2025-07-24,30.45,33.91,29.9,33.06,39241177,22.945332837486056
2025-07-25,33.55,34.7788,33.21,34.34,16435605,3.8717483363581495
2025-07-28,34.9,34.9,33.51,34.78,12965154,1.2813046010483387
2025-07-29,34.66,35.56,34.0,34.75,9682541,-0.08625646923519081
2025-07-30,35.1,38.08,34.54,37.62,16357451,8.258992805755394
2025-07-31,37.0,39.09,36.81,37.39,18527497,-0.611376927166396
2025-08-01,32.74,38.03,32.52,36.72,17502356,-1.7919229740572362
2025-08-04,37.74,37.8,35.0,36.1,7913773,-1.688453159041392
2025-08-05,36.51,39.15,36.38,37.61,12722158,4.182825484764541
2025-08-06,38.01,39.75,37.8,38.86,9392535,3.3235841531507493
2025-08-07,39.8543,39.8543,35.85,36.8,9586820,-5.3010808028821526
2025-08-08,37.275,37.86,36.47,36.8,4753468,0.0
2025-08-11,37.125,38.57,36.8,37.65,5760425,2.309782608695654
2025-08-12,38.52,41.715,38.18,41.25,13313228,9.561752988047822
2025-08-13,43.0,46.5,42.65,44.08,17088506,6.860606060606056
2025-08-14,41.4208,45.18,41.4204,45.11,9761083,2.3366606170599047
2025-08-15,46.12,47.2099,43.72,45.28,12431934,0.37685657282200413
2025-08-18,45.4,47.12,44.75,46.5,9804556,2.694346289752647
2025-08-19,45.98,46.3,41.92,43.1,12378454,-7.311827956989248
2025-08-20,41.8,44.88,40.56,44.51,14718454,3.2714617169373517
2025-08-21,43.76,45.8,43.62,44.83,9620702,0.7189395641428842
2025-08-22,44.68,48.97,44.64,48.54,13924040,8.275708231095248
2025-08-25,48.45,49.83,47.83,49.35,10668121,1.6687268232385755
2025-08-26,49.01,51.01,48.94,49.94,9307891,1.1955420466058797
2025-08-27,49.47,50.97,49.25,50.85,6844380,1.8221866239487516
2025-08-28,51.95,55.07,51.02,54.8,13062600,7.767944936086524
2025-08-29,53.88,54.524,52.59,52.94,10197420,-3.394160583941608
2025-09-02,50.0,52.1191,48.87,51.35,10226501,-3.0034000755572277
2025-09-03,51.885,53.35,50.05,52.45,7663283,2.142161635832518
2025-09-04,52.76,55.25,52.75,54.91,9831926,4.690181124880821
2025-09-05,56.0,57.33,54.37,57.07,9229242,3.9337097067929427
2025-09-08,57.48,58.7489,53.32,53.44,8561081,-6.360609777466275
2025-09-09,54.0,55.8,52.0,55.0,10151280,2.91916167664672
2025-09-10,60.13,65.63,60.0,62.96,21923952,14.472727272727282
2025-09-11,64.11,68.7405,63.85,67.29,12241442,6.87738246505718
2025-09-12,66.015,67.26,62.6201,67.26,13499559,-0.04458314757022075
2025-09-15,68.0,68.5499,63.94,67.02,11143558,-0.3568242640499708
2025-09-16,71.85,73.42,69.9366,73.29,14054637,9.355416293643714
2025-09-17,73.48,80.7107,72.35,79.67,16355518,8.705143948696946
2025-09-18,80.5,84.02,77.61,80.97,15379834,1.6317308899209237
2025-09-19,84.0,85.4,81.605,84.93,16593580,4.890700259355318
2025-09-22,83.74,86.89,81.0,86.27,10907745,1.5777699281761315
2025-09-23,82.0,86.0,75.6,77.38,22135766,-10.304856844789612
2025-09-24,69.28,69.57,64.272,69.18,33315669,-10.59705350219694
2025-09-25,63.0,69.4892,61.37,68.69,17712779,-0.7082971957213191
2025-09-26,67.25,71.46,66.62,70.32,9355488,2.3729800553210056
2025-09-29,72.71,75.55,71.92,73.6,10757895,4.664391353811159
2025-09-30,72.62,85.67,70.89,84.57,25107878,14.904891304347823
2025-10-01,82.9,91.23,82.67,90.19,20299800,6.645382523353449
2025-10-02,89.14,92.16,85.03,88.0,15349226,-2.428207118305792
2025-10-03,88.96,93.8,86.5,90.29,14071010,2.6022727272727364
2025-10-06,92.99,95.695,86.27,86.97,12271429,-3.6770406468047523
2025-10-07,88.83,92.34,83.47,86.06,10816906,-1.0463378176382654
2025-10-08,88.1,90.0,85.5,87.58,7972917,1.7662096211945144
2025-10-09,87.99,89.44,85.08,86.65,8237133,-1.0618862754053326
2025-10-10,86.1,92.73,85.11,86.87,13482608,0.2538949798038148
2025-10-13,105.72,115.21,102.339,109.91,28744790,26.522389777828927
2025-10-14,107.58,116.88,101.55,114.06,14160852,3.7758165771995422
2025-10-15,120.81,125.745,115.93,116.58,16734878,2.209363492898464
2025-10-16,119.445,122.9,112.72,115.09,13381977,-1.278092297135014
2025-10-17,112.4,114.21,106.35,111.5,10327219,-3.1192979407420274
2025-10-20,116.0,119.6,108.2062,109.06,8369791,-2.188340807174882
2025-10-21,108.35,108.92,98.46,104.38,9655146,-4.291215844489282
2025-10-22,100.68,103.62,88.23,94.37,16244395,-9.589959762406586
2025-10-23,94.33,103.81,93.23,101.42,8228065,7.470594468581115
2025-10-24,106.0,111.37,104.25,110.38,10390165,8.834549398540714
2025-10-27,112.66,113.1647,103.0,108.53,9114364,-1.6760282659902148
2025-10-28,108.25,113.52,105.84,113.28,12989327,4.376670045148812
2025-10-29,129.3,144.2,122.2201,133.71,26830367,18.034957627118644
2025-10-30,131.96,137.045,127.11,127.85,18005473,-4.382619101039575
2025-10-31,132.0,135.01,121.3,132.16,17365336,3.371138052405165
2025-11-03,132.52,147.82,131.5,142.37,17283314,7.725484261501214
2025-11-04,132.52,139.88,128.01,129.05,17492406,-9.355903631383011
2025-11-05,133.45,146.45,133.3,141.41,14957902,9.577683068578068
2025-11-06,141.01,144.42,133.8301,136.86,10155259,-3.217594229545284
2025-11-07,131.71,135.94,123.24,135.21,15641981,-1.2056115738711126
2025-11-10,141.89,147.86,135.51,139.23,10819596,2.9731528733081714
2025-11-11,136.64,136.75,125.55,127.07,11211905,-8.733749910220501
2025-11-12,130.8125,131.015,118.64,126.72,10322374,-0.2754387345557552
2025-11-13,123.42,124.0,98.39,103.55,28921745,-18.284406565656564
2025-11-14,95.88,118.65,93.8693,111.89,23932699,8.05408015451472
2025-11-17,107.15,113.75,103.66,107.11,11691600,-4.27205290910716
2025-11-18,103.67,112.07,103.0,104.97,13050644,-1.9979460367846147
2025-11-19,105.02,115.38,103.35,108.93,13815263,3.7725064304086953
2025-11-20,112.7856,118.58,92.36,93.38,20222062,-14.275222620031226
2025-11-21,94.02,94.5,76.0,89.99,37673045,-3.630327693296209
2025-11-24,90.13,97.3,89.1901,95.56,27792563,6.189576619624404
2025-11-25,92.0622,94.91,85.2,94.29,12313941,-1.329007953118455
2025-11-26,99.85,102.65,92.0,101.14,13297213,7.2648212960017
2025-11-28,104.2,109.25,102.5,109.24,8135564,8.008700810757352
2025-12-01,107.08,110.84,98.905,98.93,13076038,-9.437934822409366
2025-12-02,101.64,109.55,101.0,105.0,15929156,6.135651470736869
2025-12-03,102.425,104.7,99.12,102.5,8390723,-2.3809523809523836
2025-12-04,103.1,119.6399,101.54,118.09,20119642,15.20975609756099
2025-12-05,115.59,119.825,112.53,119.18,13499667,0.9230248115843942
2025-12-08,119.75,119.8971,108.14,111.79,11757521,-6.20070481624434
2025-12-09,110.385,113.3096,108.08,109.44,7040791,-2.102155827891594
2025-12-10,106.59,107.5,100.05,101.29,13918601,-7.447002923976598
2025-12-11,100.5,110.29,96.5,108.99,9207746,7.601935038009655
2025-12-12,105.06,107.1,94.24,94.98,16395435,-12.854390311037701
2025-12-15,96.48,97.0,89.11,89.58,10991730,-5.685407454200886
2025-12-16,87.99,89.1,83.31,87.61,18058588,-2.1991515963384667
2025-12-17,88.3,90.5,75.7,76.97,18163563,-12.14473233649127
2025-12-18,82.91,85.3,78.73,80.21,13399986,4.209432246329725
2025-12-19,81.42,90.2999,81.3,88.82,17699662,10.73432240369032
2025-12-22,93.9,96.49,89.4,92.26,8379840,3.873001576221591
2025-12-23,91.22,93.4029,88.6602,91.43,5379304,-0.89963147626273
2025-12-24,91.18,92.293,89.6,91.88,1791912,0.4921798096904517
2025-12-26,92.52,92.545,88.33,90.18,3850820,-1.8502394427514002
2025-12-29,87.0,92.53,85.63,88.41,7680824,-1.962741184298078
2025-12-30,88.92,90.17,85.88,87.26,5043848,-1.3007578328243286
2025-12-31,87.525,88.98,84.14,86.89,5464669,-0.42402016960807476
2026-01-02,90.57,98.85,88.86,98.69,11573656,13.580388997583137
2026-01-05,104.0,107.35,100.51,103.87,11384755,5.248758739487291
2026-01-06,105.01,107.4399,98.38,103.05,11218572,-0.78944834889767
