date,open,high,low,close,volume,change_pct
2025-07-16,126.915,127.33,122.82,126.0,1666900,0.0
2025-07-17,126.605,127.88,125.34,126.85,1317821,0.6746031746031722
2025-07-18,125.87,126.4822,121.55,123.15,1810362,-2.91683090264091
2025-07-21,125.59,125.7003,121.83,121.9,1244879,-1.0150223304912664
2025-07-22,124.545,131.29,124.0,130.83,2161709,7.32567678424938
2025-07-23,132.45,135.23,132.08,134.72,1888443,2.9733241611251238
2025-07-24,134.05,134.9705,131.77,132.79,1585576,-1.4326009501187675
2025-07-25,134.49,136.68,133.3,136.46,1455646,2.7637623315008852
2025-07-28,135.865,138.445,134.21,135.63,1832160,-0.6082368459621956
2025-07-29,135.2,136.91,132.32,133.42,1240039,-1.629433016294335
2025-07-30,133.02,133.72,125.125,126.11,3207245,-5.478938689851587
2025-07-31,121.94,127.81,118.17,127.13,4595661,0.808817698834341
2025-08-01,126.7,132.27,123.74,130.18,3999763,2.3991190120349337
2025-08-04,129.01,130.94,127.36,128.18,2662650,-1.5363343063450552
2025-08-05,128.84,133.9199,128.18,132.95,2772189,3.72132938055858
2025-08-06,132.78,134.46,130.4245,130.74,2384409,-1.6622790522752728
2025-08-07,133.01,134.56,131.24,131.26,1585639,0.3977359645096934
2025-08-08,131.68,133.9023,130.6401,132.2,1356725,0.7161359134542078
2025-08-11,132.66,134.0999,126.36,128.76,1812136,-2.602118003025722
2025-08-12,130.29,137.75,128.58,137.45,2358769,6.748990369680019
2025-08-13,138.465,144.75,137.95,144.4,3524395,5.0563841396871645
2025-08-14,140.37,141.2,136.49,138.15,2304844,-4.32825484764543
2025-08-15,140.625,140.625,136.55,136.88,1351092,-0.9192906261310196
2025-08-18,137.0,138.7138,135.7901,136.52,1106891,-0.26300409117474555
2025-08-19,138.23,142.2,137.8821,138.15,1629789,1.1939642543217
2025-08-20,137.25,138.55,132.6,132.75,2075889,-3.9087947882736174
2025-08-21,131.42,133.39,130.35,133.22,1628009,0.35404896421844523
2025-08-22,133.43,145.17,131.445,144.45,4185143,8.429665215433113
2025-08-25,142.18,142.8463,140.25,141.91,1887049,-1.7583939079266142
2025-08-26,141.125,143.19,140.29,142.67,2501604,0.5355507011486127
2025-08-27,141.525,143.79,140.3,141.76,1696710,-0.6378355645896061
2025-08-28,143.375,144.0,138.89,140.14,1790203,-1.1427765237020382
2025-08-29,140.295,140.7399,137.65,138.68,1345923,-1.0418153275295938
2025-09-02,136.0,138.25,135.5001,137.36,1581801,-0.9518315546582001
2025-09-03,137.21,137.55,134.53,136.33,1385906,-0.7498543972044303
2025-09-04,137.25,144.01,136.83,143.27,1744498,5.09058901195627
2025-09-05,147.5,151.03,145.8,149.21,2472395,4.1460180079569975
2025-09-08,149.35,149.35,145.7101,147.89,1330081,-0.8846592051471203
2025-09-09,146.25,146.25,138.455,140.45,2108555,-5.030766109946583
2025-09-10,141.69,143.16,139.35,140.25,1571597,-0.14239943040227354
2025-09-11,141.64,148.91,141.03,146.56,2061319,4.499108734402846
2025-09-12,145.47,145.675,142.33,142.73,1239723,-2.6132641921397415
2025-09-15,141.82,142.5,138.52,140.17,1592583,-1.7935963007076339
2025-09-16,142.03,142.26,136.4162,136.99,1609368,-2.268673753299555
2025-09-17,137.375,141.325,129.16,129.28,2730967,-5.628148040002923
2025-09-18,131.0,131.62,127.88,128.93,2299827,-0.27073019801979736
2025-09-19,127.3399,127.58,123.7,124.15,4296100,-3.7074381447297022
2025-09-22,123.49,123.5,120.205,121.81,2811722,-1.8848167539266991
2025-09-23,122.35,123.09,120.31,121.21,1864244,-0.49257039651917633
2025-09-24,119.75,122.13,118.9,119.25,1515573,-1.6170282979952044
2025-09-25,117.28,119.305,116.78,116.91,1932902,-1.9622641509433936
2025-09-26,117.3,118.84,116.3,118.2,1387680,1.1034128817038802
2025-09-29,118.765,120.1799,116.46,119.61,1593917,1.192893401015227
2025-09-30,119.18,121.44,117.09,121.25,2014502,1.3711228158180822
