date,open,high,low,close,volume,change_pct
2025-07-21,44.875,46.8299,39.16,39.57,34070344,0.0
2025-07-22,41.545,42.66,37.1,40.33,27210913,1.920646954763705
2025-07-23,41.37,42.19,38.55,39.5,22067155,-2.0580213240763645
2025-07-24,40.445,45.7,38.3,41.75,50727659,5.696202531645578
2025-07-25,41.4,42.19,38.77,39.8,29196778,-4.670658682634732
2025-07-28,41.325,41.49,34.39,35.11,48779532,-11.783919597989945
2025-07-29,32.1174,34.52,30.6,32.0,49104971,-8.85787524921675
2025-07-30,33.065,36.72,32.74,34.4,39294610,7.499999999999996
2025-07-31,35.88,36.68,33.71,34.64,25853152,0.6976744186046657
2025-08-01,32.945,33.54,30.3,31.68,31156159,-8.545034642032334
2025-08-04,32.96,33.9299,30.94,31.13,35928327,-1.736111111111116
2025-08-05,31.555,33.87,30.67,33.3,25646925,6.970767748152906
2025-08-06,32.98,39.28,31.85,38.47,46866148,15.52552552552553
2025-08-07,41.5,43.45,39.69,41.28,65922051,7.30439303353263
2025-08-08,43.14,54.43,42.63,51.43,92117439,24.58817829457365
2025-08-11,57.96,70.0,56.5,58.98,147160744,14.680147773672946
2025-08-12,64.66,67.5868,55.62,62.44,129641943,5.866395388267209
2025-08-13,67.125,71.74,60.3,61.63,107425083,-1.29724535554131
2025-08-14,58.415,63.75,57.18,60.45,70142513,-1.9146519552166175
2025-08-15,60.84,61.0,54.1,57.81,59864234,-4.367245657568242
2025-08-18,55.65,57.3,52.65,54.87,47985488,-5.085625324338361
2025-08-19,54.6645,55.2999,47.77,49.78,50724589,-9.276471660287944
2025-08-20,50.27,52.42,47.25,52.06,53584454,4.580152671755733
2025-08-21,50.01,51.33,47.73,47.73,37030748,-8.317326162120642
2025-08-22,47.885,55.74,47.02,53.49,83415647,12.067881835323702
2025-08-25,52.675,55.01,49.28,49.6,54505097,-7.272387362123767
2025-08-26,50.38,51.25,48.5469,49.95,45703723,0.7056451612903247
2025-08-27,48.5759,49.1,44.52,46.03,65636508,-7.847847847847856
2025-08-28,47.02,48.0,45.15,45.57,37734113,-0.9993482511405638
2025-08-29,45.31,46.23,43.4501,43.62,34396929,-4.2791310072416096
2025-09-02,43.175,45.05,41.77,42.49,36127326,-2.5905547913800953
2025-09-03,43.752,46.11,43.03,44.86,40496326,5.577783007766524
2025-09-04,43.5591,43.86,40.41,42.19,42147743,-5.951850200624165
2025-09-05,43.89,44.27,39.7,42.04,42793521,-0.3555344868452215
2025-09-08,42.115,44.5,41.92,43.79,37762020,4.162702188392009
2025-09-09,45.355,45.52,43.45,44.6,27443589,1.849737382964145
2025-09-10,46.12,49.12,45.15,45.6,41452820,2.2421524663677195
2025-09-11,46.8,50.1,46.1,47.79,39137881,4.802631578947358
2025-09-12,49.9589,55.29,48.31,55.09,67519982,15.275162167817546
