date,open,high,low,close,volume,change_pct
2025-07-21,13.99,15.17,13.71,13.75,7366112,0.0
2025-07-22,13.95,14.8903,13.6,14.65,6649153,6.545454545454543
2025-07-23,14.55,14.77,13.77,14.75,3153693,0.682593856655278
2025-07-24,14.75,15.63,14.73,15.16,5520829,2.779661016949153
2025-07-25,14.91,14.97,14.266,14.64,2847132,-3.430079155672816
2025-07-28,15.05,15.19,14.11,14.18,2743491,-3.1420765027322495
2025-07-29,14.5,14.5,13.355,13.43,3475054,-5.289139633286322
2025-07-30,13.37,13.72,12.785,13.08,2841073,-2.6061057334326065
2025-07-31,13.26,13.46,12.89,12.89,2569677,-1.4525993883792054
2025-08-01,12.1,12.56,11.88,12.11,3848207,-6.051202482544616
2025-08-04,12.39,13.0,12.19,12.98,2790203,7.184145334434366
2025-08-05,12.89,13.0,12.44,12.74,2075923,-1.8489984591679498
2025-08-06,12.84,13.255,12.6,12.97,2752136,1.8053375196232402
2025-08-07,13.02,13.25,12.6,12.94,1671101,-0.23130300693909867
2025-08-08,12.99,13.025,12.22,12.57,2375883,-2.859350850077269
2025-08-11,12.82,13.565,12.755,12.79,3825894,1.7501988862370643
2025-08-12,12.84,13.42,12.8,13.21,2155045,3.283815480844421
2025-08-13,13.35,14.0,13.25,13.98,4627907,5.82891748675245
2025-08-14,13.67,14.0594,13.22,13.78,2239367,-1.4306151645207543
2025-08-15,13.84,13.84,13.05,13.39,2788949,-2.8301886792452713
2025-08-18,13.7,14.77,12.66,14.36,6188217,7.2442120985810154
2025-08-19,14.05,14.155,12.6,12.935,5139319,-9.923398328690801
2025-08-20,12.88,12.995,12.145,12.94,3211718,0.03865481252414149
2025-08-21,12.795,12.795,12.29,12.61,2632362,-2.5502318392581103
2025-08-22,12.53,13.66,12.34,13.35,3781315,5.868358445678035
2025-08-25,13.03,13.37,12.62,13.12,2006186,-1.7228464419475675
2025-08-26,12.82,13.08,12.68,12.95,2272087,-1.2957317073170715
2025-08-27,13.0,13.855,12.78,13.55,3567324,4.633204633204646
2025-08-28,13.75,14.3632,13.475,13.68,4949921,0.959409594095928
2025-08-29,13.6,14.345,13.22,14.29,5553344,4.459064327485374
2025-09-02,13.73,14.65,13.445,14.24,4053786,-0.3498950314905436
2025-09-03,14.6,14.71,13.18,13.26,4719716,-6.88202247191011
2025-09-04,13.0,13.33,11.945,12.01,4290314,-9.42684766214178
2025-09-05,12.6,12.7,11.85,12.35,3541525,2.830974188176527
2025-09-08,12.35,12.935,12.015,12.7,2470138,2.8340080971659853
2025-09-09,12.93,13.97,12.73,13.85,4848759,9.055118110236226
2025-09-10,14.09,14.22,13.61,13.64,4577286,-1.5162454873646092
2025-09-11,13.87,14.36,13.53,14.11,4698949,3.445747800586507
2025-09-12,14.26,16.18,14.05,16.15,9436205,14.457831325301207
2025-09-15,16.54,16.79,15.56,15.93,6737308,-1.3622291021671784
2025-09-16,15.845,16.585,15.16,16.38,5452781,2.824858757062132
2025-09-17,16.195,17.19,15.8035,16.94,7604116,3.418803418803429
2025-09-18,17.21,17.21,16.2,16.92,7602890,-0.11806375442738881
2025-09-19,17.0,17.05,16.31,16.45,5882669,-2.77777777777779
2025-09-22,16.75,17.995,15.9414,17.96,9441925,9.179331306990889
2025-09-23,18.81,18.84,16.55,16.57,7419468,-7.739420935412033
2025-09-24,16.8,17.92,16.61,17.52,5785729,5.733252866626426
2025-09-25,16.72,16.865,16.05,16.57,5848464,-5.422374429223742
2025-09-26,16.325,16.85,15.65,16.25,4244497,-1.931200965600488
2025-09-29,16.5,17.36,16.39,17.31,3724297,6.52307692307692
2025-09-30,17.085,17.19,16.57,17.09,3923408,-1.2709416522241446
2025-10-01,17.32,19.0,17.2,18.0,6726859,5.324751316559384
2025-10-02,18.31,19.01,17.5,17.61,5966137,-2.1666666666666723
2025-10-03,17.9,20.39,17.55,19.42,11922723,10.278250993753568
2025-10-06,20.41,21.225,19.37,20.89,7934031,7.569515962924811
2025-10-07,20.92,21.13,19.36,20.61,8284587,-1.3403542364767929
2025-10-08,20.3,20.8,19.59,19.95,8735987,-3.2023289665211063
2025-10-09,19.905,20.53,18.5901,20.51,6118974,2.807017543859658
2025-10-10,20.83,22.15,17.7,17.78,11543390,-13.310580204778155
2025-10-13,18.4,20.685,17.945,20.45,11960144,15.01687289088862
2025-10-14,18.5,20.98,18.0,20.12,7373878,-1.6136919315403286
2025-10-15,24.8,27.8,24.15,25.9,32869940,28.727634194830998
2025-10-16,26.075,26.55,24.68,25.88,13345361,-0.07722007722007485
2025-10-17,24.055,25.0,22.9,24.02,8337221,-7.187017001545593
2025-10-20,25.76,26.81,24.9,25.57,8538478,6.452955870108257
2025-10-21,25.07,25.23,23.51,23.67,4829262,-7.430582714118106
2025-10-22,23.0,24.01,20.2,21.42,10006561,-9.505703422053235
2025-10-23,21.45,22.4211,21.155,21.72,4495986,1.4005602240896309
2025-10-24,22.93,23.7,22.59,23.24,5375370,6.998158379373853
2025-10-27,24.19,24.47,23.48,24.16,4635579,3.958691910499157
2025-10-28,23.93,25.28,23.6,24.11,4780048,-0.20695364238411118
2025-10-29,24.475,24.5599,22.355,23.11,7880934,-4.147656574035674
2025-10-30,22.71,23.29,21.97,22.53,3986186,-2.5097360450021533
2025-10-31,23.14,23.29,21.84,22.2,3727240,-1.4647137150466172
2025-11-03,24.3,24.3,22.28,22.85,8436221,2.9279279279279313
2025-11-04,21.68,23.21,20.9,21.34,5753916,-6.608315098468276
2025-11-05,21.81,22.9325,21.65,22.08,4874339,3.467666354264276
2025-11-06,21.83,22.13,21.03,21.22,5096515,-3.8949275362318847
2025-11-07,20.43,22.41,19.88,21.99,7308970,3.6286522148916145
2025-11-10,22.98,23.3,17.34,17.65,12593439,-19.7362437471578
2025-11-11,17.35,17.7,14.96,15.02,9695385,-14.900849858356935
2025-11-12,15.51,15.54,13.6,13.94,8492670,-7.190412782956058
2025-11-13,10.86,11.75,10.54,11.11,39581855,-20.3012912482066
2025-11-14,10.49,11.32,10.21,10.52,12320754,-5.310531053105305
2025-11-17,10.325,11.1,10.13,10.63,13537874,1.0456273764258617
2025-11-18,10.33,10.94,10.15,10.71,7211886,0.7525870178739513
2025-11-19,10.52,10.865,9.92,10.17,9557904,-5.042016806722693
2025-11-20,10.64,11.43,10.09,10.15,10108785,-0.1966568338249708
2025-11-21,9.96,10.52,9.67,10.29,9015215,1.3793103448275668
2025-11-24,10.45,11.61,10.4,11.52,8135029,11.953352769679304
2025-11-25,11.29,12.135,11.13,11.92,8677733,3.472222222222232
2025-11-26,11.94,12.78,11.73,12.67,9193633,6.291946308724827
2025-11-28,13.09,13.69,12.91,13.41,6466689,5.840568271507496
2025-12-01,12.345,13.195,12.245,12.95,7171820,-3.4302759134973937
