date,open,high,low,close,volume,change_pct
2025-07-17,399.7,415.9599,394.277,410.75,16840535,0.0
2025-07-18,419.82,444.645,406.5,419.78,28063197,2.1984175289105234
2025-07-21,425.55,436.3799,413.44,413.63,17018145,-1.4650531230644526
2025-07-22,419.1,420.9799,394.37,404.44,14554940,-2.2217924231801356
2025-07-23,399.99,400.72,387.12,397.81,12433159,-1.6393037286123957
2025-07-24,404.25,405.3077,392.0,396.7,7904563,-0.27902767652899785
2025-07-25,391.9,397.48,386.385,391.66,8643321,-1.2704814721451907
2025-07-28,394.615,395.39,375.26,379.49,11270400,-3.1072869325435404
2025-07-29,383.585,384.7799,365.74,371.44,9334666,-2.1212680176025733
2025-07-30,382.95,386.58,372.71,377.48,11099969,1.6261038121903937
2025-07-31,382.89,387.14,376.83,377.76,12371232,0.07417611529085821
2025-08-01,335.14,337.5825,310.55,314.69,31342212,-16.695785684032195
2025-08-04,319.54,324.0,311.0,318.17,12106371,1.1058502017858851
2025-08-05,307.11,312.85,297.2,297.99,16863874,-6.342521293648051
2025-08-06,297.55,304.77,293.3101,303.58,15982739,1.8759018759018753
2025-08-07,311.23,317.94,306.98,310.79,13857155,2.3749917649384056
2025-08-08,311.44,313.7,301.23,310.54,9253803,-0.08044016860259129
2025-08-11,322.1,333.66,318.8,319.62,14664369,2.9239389450634423
2025-08-12,329.35,329.86,314.159,322.62,9985842,0.9386146048432575
2025-08-13,328.21,345.3899,321.5301,327.01,15399789,1.3607339904531557
2025-08-14,320.49,327.451,316.8,324.89,9403598,-0.648298217179899
2025-08-15,322.85,323.4,314.56,317.55,7881210,-2.259226199636788
2025-08-18,311.48,324.29,307.11,320.73,8798755,1.001417099669344
2025-08-19,320.69,322.59,301.45,302.07,10327734,-5.817977738284541
2025-08-20,304.27,306.45,291.46,304.39,8570325,0.7680338994272784
2025-08-21,301.415,304.9999,297.8001,300.28,5743375,-1.3502414665396367
2025-08-22,300.59,322.26,297.19,319.85,13029182,6.517250566138277
2025-08-25,312.175,315.59,305.1,306.0,8473899,-4.330154760043781
2025-08-26,304.0,309.2,300.37,308.48,7745448,0.8104575163398797
2025-08-27,307.21,312.41,306.69,308.97,5746292,0.15884336099585283
2025-08-28,312.56,315.95,306.0,308.47,6292468,-0.16182800919183338
2025-08-29,306.19,308.22,301.5,304.54,6611440,-1.2740298894544089
2025-09-02,299.97,310.41,295.4,303.56,6814856,-0.32179680830104473
2025-09-03,305.01,308.371,301.15,302.31,5220799,-0.4117802081960775
2025-09-04,301.96,307.7705,300.01,306.8,6211763,1.485230392643322
2025-09-05,313.85,315.74,292.56,299.07,11366974,-2.519556714471971
2025-09-08,301.88,306.6,297.1501,302.2,8824124,1.0465777242785856
2025-09-09,303.77,319.3905,303.6,318.78,10361311,5.486432825943077
2025-09-10,321.4,328.6691,312.53,315.34,8664815,-1.079114122592384
2025-09-11,319.0,326.0,315.53,323.95,7702730,2.7303862497621623
2025-09-12,328.025,329.49,319.8,323.04,6929358,-0.28090754746101787
2025-09-15,322.87,328.44,320.965,327.02,6896855,1.2320455671124275
2025-09-16,332.25,333.6,321.3,327.91,7434920,0.27215460828085014
2025-09-17,325.96,328.49,311.3,320.56,8921227,-2.2414686956786944
