date,open,high,low,close,volume,change_pct
2025-07-14,97.16,100.55,94.63,98.7,3840705,0.0
2025-07-15,101.9,103.18,99.495,102.59,3763550,3.9412360688956483
2025-07-16,102.5,103.38,98.3119,101.19,4001030,-1.3646554245053233
2025-07-17,101.78,104.35,97.68,98.45,4873739,-2.7077774483644568
2025-07-18,98.43,98.43,91.15,93.47,7199213,-5.058405281868971
2025-07-21,93.275,98.43,92.91,95.74,4510569,2.428586712314118
2025-07-22,93.22,95.2978,88.42,92.93,4899583,-2.935032379360758
2025-07-23,92.84,98.45,92.5,98.41,4447114,5.896911653933046
2025-07-24,99.9,102.29,97.2122,101.17,4193343,2.8045930291637156
2025-07-25,100.15,102.92,99.8,101.22,2304781,0.049421765345458724
2025-07-28,104.63,108.04,103.42,107.95,4507560,6.648883619837975
2025-07-29,110.0,112.67,108.52,109.38,4566094,1.3246873552570593
2025-07-30,111.98,116.5991,111.25,116.01,4712814,6.061437191442676
2025-07-31,117.975,118.9499,110.88,111.55,5513443,-3.8444961641237896
2025-08-01,105.48,110.11,102.81,107.56,5722736,-3.5768713581353584
2025-08-04,109.09,114.9,107.56,114.7,3192349,6.638155448121985
2025-08-05,114.98,115.7,108.5,110.29,3485053,-3.8448125544899736
2025-08-06,111.17,118.41,110.1,117.34,4519108,6.392238643576031
2025-08-07,119.8,121.4956,116.2,119.78,3133149,2.0794273052667345
2025-08-08,120.9,121.05,118.11,120.41,2921743,0.5259642678243415
2025-08-11,119.71,122.7999,117.5,118.57,2358157,-1.5281122830329785
2025-08-12,119.18,125.44,117.225,125.38,3235989,5.743442692080625
2025-08-13,128.4,128.56,116.27,121.13,4676919,-3.3896953262083307
2025-08-14,119.45,120.46,114.57,117.33,4400763,-3.1371254024601614
2025-08-15,116.69,116.77,112.51,116.74,2936858,-0.5028551947498516
2025-08-18,116.42,119.5,114.14,118.74,2974360,1.7132088401576206
2025-08-19,116.29,116.735,104.79,106.3,5390917,-10.476671719723763
2025-08-20,104.5,106.18,100.06,105.99,5526790,-0.2916274694261589
2025-08-21,105.84,111.22,105.0,110.86,3461832,4.594773091801119
2025-08-22,107.39,116.35,105.86,114.04,4815231,2.868482771062597
2025-08-25,113.84,117.18,112.5,115.41,2160413,1.2013328656611533
2025-08-26,115.28,121.3875,115.09,120.1,3567784,4.063772636686602
2025-08-27,120.73,123.98,118.64,122.73,3447885,2.1898417985012575
2025-08-28,123.69,134.35,123.69,131.82,4880681,7.4065020777315915
2025-08-29,130.87,131.1999,121.0,123.055,4965911,-6.649218631467146
2025-09-02,121.91,124.5892,116.16,124.27,6412912,0.9873633741010135
2025-09-03,124.34,127.28,122.1,124.77,9170309,0.40234972237869204
2025-09-04,137.995,141.09,132.73,134.0,14059120,7.39761160535386
2025-09-05,137.9,142.5699,136.24,140.82,7242960,5.089552238805961
2025-09-08,144.27,149.08,140.99,147.53,7085063,4.76494816077262
2025-09-09,149.45,151.72,147.22,149.03,4276962,1.0167423574866108
2025-09-10,156.104,164.06,154.58,163.96,7452601,10.018117157619265
2025-09-11,168.23,168.42,158.61,159.32,6295631,-2.829958526469878
2025-09-12,160.03,164.98,158.9,161.99,3549214,1.6758724579462925
2025-09-15,161.5,167.915,159.51,163.98,4300983,1.2284708932650101
2025-09-16,163.51,168.14,160.6,164.42,4137364,0.2683254055372508
2025-09-17,163.93,167.15,157.77,164.44,3599609,0.012163970319911677
2025-09-18,173.1,176.7,170.7,172.31,5338256,4.785940160544877
2025-09-19,172.84,174.0,167.32,169.56,12625081,-1.595960768382565
2025-09-22,167.85,176.5,159.56,164.1,6067858,-3.2200990799716944
2025-09-23,163.42,164.05,155.21,162.26,4831609,-1.1212675198050026
2025-09-24,158.99,158.99,146.8,149.38,7768869,-7.9378774805867085
2025-09-25,139.835,148.5814,138.0,144.94,6634578,-2.972285446512246
2025-09-26,146.305,146.9999,139.25,142.93,4861815,-1.3867807368566187
