date,open,high,low,close,volume,change_pct
2025-07-18,472.31,477.26,465.76,475.96,2903393,0.0
2025-07-21,478.715,490.04,474.11,481.58,3416152,1.1807714934028102
2025-07-22,481.5,485.4558,470.0,471.23,1975565,-2.1491756302171927
2025-07-23,471.23,471.9999,454.04,461.52,3024019,-2.0605649046113395
2025-07-24,463.98,468.5,460.12,462.03,2486054,0.11050442017681572
2025-07-25,462.0,470.81,460.3,467.92,1794737,1.274808995086918
2025-07-28,471.0,476.57,468.0,472.18,1825776,0.9104120362455115
2025-07-29,473.87,480.72,458.0,465.51,2749934,-1.412596891016138
2025-07-30,463.52,466.68,453.42,463.15,2117492,-0.5069708491761804
2025-07-31,465.76,467.9,453.76,454.57,2832848,-1.8525315772427886
2025-08-01,448.95,454.0,438.09,446.66,3014399,-1.740106034274147
2025-08-04,452.9,457.49,448.0,454.86,1882796,1.8358482962432143
2025-08-05,454.63,457.8,438.5001,441.75,3104579,-2.8822055137844638
2025-08-06,445.0,451.9,442.0101,451.69,2035670,2.2501414827390986
2025-08-07,451.69,451.985,422.0,425.0,5710129,-5.908919834399695
2025-08-08,431.0,434.5,420.42,424.49,3632121,-0.11999999999999789
2025-08-11,423.82,434.0,419.74,426.43,2525352,0.4570190110485539
2025-08-12,428.01,438.3,427.49,435.8,2314312,2.1973125718171893
2025-08-13,440.0,442.425,427.8601,432.12,2461103,-0.8444240477283205
2025-08-14,432.34,435.0,419.81,424.86,2911580,-1.6800888642043876
2025-08-15,425.28,428.932,423.0001,427.9,2264392,0.7155298215882899
2025-08-18,426.0,428.97,421.6985,426.34,2252677,-0.36457116148632673
2025-08-19,431.0,436.0,415.9,418.6,2786833,-1.8154524557864482
2025-08-20,417.425,420.94,409.31,419.17,2212608,0.13616817964643424
2025-08-21,417.79,417.9299,413.66,414.06,1800410,-1.219075792637836
2025-08-22,415.0,423.9926,412.5508,420.55,2202292,1.567405689996626
2025-08-25,422.61,425.9999,418.525,418.83,2413277,-0.4089882296992142
2025-08-26,419.32,425.0,416.7,417.6,3146731,-0.29367523816344887
2025-08-27,421.6,427.415,419.98,422.61,8119591,1.1997126436781524
2025-08-28,410.0,442.17,409.2501,442.0,9981803,4.588154563308966
2025-08-29,444.865,448.0,420.39,423.7,5485070,-4.140271493212677
2025-09-02,417.109,418.02,407.695,413.5,3762756,-2.407363700731646
2025-09-03,412.985,414.4799,404.28,413.2,3036499,-0.0725513905683206
2025-09-04,413.2,415.4899,402.66,412.46,2763401,-0.17909002904162863
2025-09-05,414.07,418.1117,407.06,417.63,2169328,1.2534548804732593
2025-09-08,419.0,428.845,416.4201,428.06,2545825,2.4974259512008157
2025-09-09,428.17,431.007,420.63,423.51,2126813,-1.0629351025557177
2025-09-10,427.565,433.8069,422.17,424.87,2278833,0.32112582937828815
2025-09-11,428.25,438.2599,427.1,433.38,2411944,2.002965613011032
2025-09-12,435.39,443.0,435.0,436.1,2764705,0.6276247173381488
2025-09-15,441.575,448.87,436.75,444.77,2879358,1.9880761293281202
2025-09-16,444.8,448.32,434.8,444.98,2908043,0.04721541470873447
