date,open,high,low,close,volume,change_pct
2025-07-14,130.38,135.67,129.99,132.375,11432878,0.0
2025-07-15,144.24,146.75,140.05,140.59,17316206,6.205854579792258
2025-07-16,143.15,146.99,139.02,143.04,10875592,1.7426559499253091
2025-07-17,141.37,141.37,131.34,132.21,12204698,-7.571308724832204
2025-07-18,132.52,132.52,122.19,123.02,12863607,-6.951062703275102
2025-07-21,126.53,134.3,124.11,124.91,11231230,1.5363355551942792
2025-07-22,125.925,132.4,122.7001,129.77,9407275,3.8908013769914485
2025-07-23,132.0,132.12,125.3831,126.05,6691174,-2.8666101564306157
2025-07-24,125.75,126.32,120.0,120.0,7629928,-4.799682665608884
2025-07-25,119.93,119.93,114.23,115.62,10297510,-3.6499999999999977
2025-07-28,115.0,116.8,109.6,110.28,9628063,-4.618578100674631
2025-07-29,108.84,113.44,106.3,108.74,10513259,-1.39644541167937
2025-07-30,108.755,109.5,100.8,102.89,11052032,-5.379805039543861
2025-07-31,112.63,119.59,111.5,114.13,24987827,10.924288074642806
2025-08-01,104.9,109.3,103.105,104.14,13055033,-8.753176202576007
2025-08-04,106.675,107.58,101.6,106.01,9034851,1.7956596888803578
2025-08-05,105.225,114.25,104.503,111.84,11902823,5.49948118102066
2025-08-06,110.5,111.9999,105.56,110.24,7794309,-1.4306151645207543
2025-08-07,115.48,122.2,115.02,121.08,17715871,9.833091436865015
2025-08-08,128.05,130.9799,121.7,129.55,17159705,6.995374958704992
2025-08-11,134.8,141.5,130.18,139.78,19430289,7.896565032805869
2025-08-12,135.825,148.8,130.43,148.75,28929798,6.417227071111742
2025-08-13,132.975,134.5,117.6,117.76,37157592,-20.833613445378152
2025-08-14,115.26,116.8799,98.8101,99.505,51195165,-15.501868206521753
2025-08-15,95.9,102.0,94.7,99.97,52661059,0.4673132003417013
2025-08-18,102.21,103.91,96.7,96.8,33761102,-3.1709512853856148
2025-08-19,96.44,96.5,88.65,92.89,32158872,-4.039256198347108
2025-08-20,90.155,91.65,85.26,91.52,32919787,-1.4748627408763149
2025-08-21,94.015,95.84,90.65,90.79,27261778,-0.7976398601398538
2025-08-22,91.09,98.6,88.58,93.99,34000406,3.5246172485956517
2025-08-25,94.0,94.0,90.0,92.38,14803443,-1.7129481859772366
2025-08-26,91.82,94.77,90.32,91.39,16042721,-1.0716605325828077
2025-08-27,93.95,97.5,92.65,96.93,32747405,6.061932377721857
2025-08-28,100.64,105.5,99.9,102.79,45313150,6.0455999174662045
2025-08-29,100.9,103.08,96.3193,103.04,24208320,0.24321432045919522
