date,open,high,low,close,volume,change_pct
2025-07-09,152.94,153.96,152.48,153.02,9495898,0.0
2025-07-10,152.79,155.28,151.68,154.17,8398810,0.7515357469611628
2025-07-11,154.285,155.89,153.57,155.31,8333214,0.7394434714925069
2025-07-14,154.9,154.9,151.14,151.65,10706325,-2.356577168244156
2025-07-15,151.6,152.31,150.25,150.69,7346346,-0.6330365974282937
2025-07-16,150.765,151.48,149.22,149.92,7923427,-0.5109828123963212
2025-07-17,149.16,151.835,148.6,151.38,8359596,0.9738527214514514
2025-07-18,155.02,155.91,146.53,150.04,45782636,-0.8851895891134887
2025-07-21,151.2,151.67,149.13,149.68,17982218,-0.23993601706210343
2025-07-22,149.255,150.94,148.48,150.04,26196489,0.24051309460180192
2025-07-23,150.905,153.14,150.465,153.12,13162816,2.052785923753664
2025-07-24,152.685,155.995,152.2,155.83,15701024,1.769853709508884
2025-07-25,155.83,156.2,153.955,154.84,7875498,-0.635307707116739
2025-07-28,155.4,156.55,154.9484,156.28,8755412,0.9299922500645819
2025-07-29,156.4,157.21,155.45,157.03,6446038,0.4799078576913196
2025-07-30,156.29,156.31,152.7,153.56,9191661,-2.209768833980763
2025-07-31,152.0,153.93,151.14,151.64,10237099,-1.2503256056264789
2025-08-01,152.545,154.65,150.355,151.4,10706494,-0.15826958586123707
2025-08-04,151.25,152.08,149.82,151.04,10116631,-0.23778071334215056
2025-08-05,150.78,153.1,149.895,153.04,8604079,1.3241525423728806
2025-08-06,154.48,155.16,152.22,152.78,7840914,-0.16989022477782445
2025-08-07,153.795,155.15,152.83,153.16,6510670,0.2487236549286509
2025-08-08,153.99,155.75,153.5,155.01,6332807,1.207887176808553
2025-08-11,155.425,155.93,152.985,153.45,6169716,-1.0063866847300207
2025-08-12,153.68,156.05,153.36,154.44,6645373,0.6451612903225934
2025-08-13,154.55,156.01,154.2031,155.87,6582191,0.92592592592593
2025-08-14,155.7,155.7,154.1,155.16,7337258,-0.45550779495734384
2025-08-15,155.48,158.54,155.29,156.55,11617047,0.8958494457334432
2025-08-18,156.13,156.49,154.75,155.32,8174280,-0.7856914723730513
2025-08-19,153.46,153.94,151.855,152.0,8567476,-2.137522534123093
2025-08-20,152.39,153.49,151.93,153.22,8076269,0.802631578947377
2025-08-21,152.82,155.67,152.73,155.55,7533625,1.5206892050646292
2025-08-22,155.32,158.79,155.32,158.18,9084344,1.6907746705239424
2025-08-25,157.9,158.32,157.17,158.2,7029967,0.01264382349221993
2025-08-26,157.51,160.0,156.55,157.36,10270028,-0.5309734513274211
2025-08-27,157.4,159.99,157.205,159.24,7482961,1.1947127605490548
2025-08-28,159.01,159.5174,157.8482,159.32,6502447,0.05023863350914759
2025-08-29,159.7,161.1,159.45,160.6,6934840,0.8034145116746272
2025-09-02,160.48,161.86,159.38,161.83,8947302,0.7658779576587893
2025-09-03,160.0,161.85,157.02,158.06,9556116,-2.329605141197555
2025-09-04,158.06,159.65,157.5,157.69,7242974,-0.23408832089080178
2025-09-05,156.06,156.72,153.4899,153.66,11011667,-2.5556471558120353
2025-09-08,153.91,155.03,152.875,154.0,9461969,0.22126773395809707
2025-09-09,154.85,156.985,154.6,154.85,7769177,0.551948051948048
2025-09-10,155.05,157.92,155.0,157.79,7440811,1.8986115595737818
