date,open,high,low,close,volume,change_pct
2025-07-14,136.13,137.0861,133.55,136.1,3244123,0.0
2025-07-15,136.895,137.44,129.73,129.82,4997225,-4.61425422483468
2025-07-16,130.6,132.75,129.11,131.51,5599897,1.3018024957633711
2025-07-17,131.3,132.13,130.56,131.65,3683275,0.10645578283021706
2025-07-18,132.69,133.45,130.05,131.8,5126553,0.11393847322447304
2025-07-21,132.175,133.3,129.22,131.22,6883887,-0.4400606980273225
2025-07-22,144.63,153.75,141.0,153.5,13102861,16.979119036732214
2025-07-23,153.755,154.1916,147.61,148.17,5946624,-3.472312703583069
2025-07-24,147.5,147.68,144.33,144.7,5070288,-2.3419045690760587
2025-07-25,145.35,145.59,143.44,145.32,3752459,0.42847270214236843
2025-07-28,144.74,147.13,144.02,146.2,2891915,0.6055601431323998
2025-07-29,146.25,147.64,145.23,147.35,3068140,0.7865937072503382
2025-07-30,146.9899,148.09,142.4358,143.31,4277098,-2.741771292840167
2025-07-31,141.33,144.395,141.0718,142.84,3513996,-0.32796036564092246
2025-08-01,147.19,150.92,145.79,150.3,7147930,5.222626715205836
2025-08-04,150.01,153.63,150.0,153.28,3328670,1.9827012641383757
2025-08-05,153.66,157.56,153.41,154.83,3726368,1.0112212943632626
2025-08-06,155.01,156.94,154.0,154.06,3355229,-0.4973196408964764
2025-08-07,155.025,158.22,153.58,153.89,2440770,-0.11034661820070735
2025-08-08,154.03,156.5,154.0,156.5,3547651,1.6960166352589567
2025-08-11,157.0,158.5,152.265,154.96,2914944,-0.9840255591054281
2025-08-12,157.27,158.9,154.37,158.26,2856965,2.129581827568394
2025-08-13,159.48,167.22,159.14,165.55,5055631,4.606343990901052
2025-08-14,161.15,164.23,159.6513,163.9,3796626,-0.9966777408637939
2025-08-15,169.5,169.9965,163.78,165.62,5931728,1.049420378279442
2025-08-18,166.5,167.345,165.16,165.16,3640808,-0.2777442337881908
2025-08-19,166.51,168.95,166.27,168.11,4572424,1.7861467667716235
2025-08-20,168.55,170.48,163.04,163.37,3696890,-2.8195824162750682
2025-08-21,163.0,163.186,158.27,161.87,3807884,-0.9181612291118357
2025-08-22,162.85,171.7,161.02,170.68,6112797,5.442639154877371
2025-08-25,169.895,170.17,168.62,168.96,3478832,-1.0077337707991574
2025-08-26,169.09,169.71,167.46,168.37,4224217,-0.34919507575758013
2025-08-27,168.25,169.05,166.445,167.5,2797046,-0.5167191304864316
2025-08-28,168.11,169.145,166.22,168.91,2539664,0.8417910447761079
2025-08-29,168.74,169.75,167.95,169.48,2338881,0.3374578177727683
2025-09-02,167.725,171.12,167.0,170.26,3265635,0.4602312957281196
2025-09-03,169.895,173.84,169.41,172.17,3183045,1.1218136966991699
2025-09-04,173.89,177.5,173.07,176.69,3386862,2.625312191438711
2025-09-05,180.445,183.62,179.61,181.8,3750416,2.892070858565865
2025-09-08,181.295,184.545,180.03,184.04,3665765,1.2321232123212233
2025-09-09,182.02,183.0799,176.21,177.88,3839513,-3.3470984568572004
2025-09-10,178.68,178.925,174.3,176.13,3758680,-0.9838093096469547
2025-09-11,177.03,181.47,176.99,181.01,2216675,2.770680747175369
2025-09-12,178.72,180.64,177.3,177.87,2369735,-1.7347107894591374
2025-09-15,177.0,177.05,170.1601,172.09,5746718,-3.2495642885253306
2025-09-16,172.15,172.8242,168.02,171.69,3133486,-0.23243651577663504
2025-09-17,172.725,177.58,168.56,169.98,3540025,-0.9959811287786224
2025-09-18,169.6,170.65,167.0,169.61,2950648,-0.21767266737261481
2025-09-19,166.57,170.02,164.76,168.3,8261126,-0.7723601202759278
2025-09-22,167.105,167.15,162.82,164.23,4036406,-2.418300653594785
2025-09-23,165.36,166.35,162.85,166.27,3420365,1.242160384826163
2025-09-24,165.5,168.83,164.49,167.45,2978702,0.7096890599626926
2025-09-25,165.29,168.9368,164.0,165.0,2440472,-1.463123320394144
2025-09-26,165.995,168.38,165.0,167.2,2174333,1.3333333333333197
2025-09-29,168.335,170.566,166.56,169.83,1913037,1.5729665071770427
2025-09-30,168.925,170.12,166.805,169.47,1794267,-0.2119766825649294
2025-10-01,169.89,172.53,169.78,172.44,2160142,1.7525225703664438
2025-10-02,171.5,172.265,169.195,171.47,1926108,-0.5625144977963292
2025-10-03,171.8,176.22,171.68,174.95,2096269,2.0295095351956505
2025-10-06,175.8,176.045,170.87,171.53,1981304,-1.9548442412117728
2025-10-07,166.9722,167.29,160.75,161.16,6069214,-6.045589692765119
2025-10-08,160.895,161.0,155.74,158.66,5034738,-1.5512534127575028
2025-10-09,157.585,157.88,150.88,151.39,6579029,-4.582125299382334
2025-10-10,152.3,153.29,149.69,151.58,3631161,0.12550366602814833
2025-10-13,151.35,153.38,150.795,152.59,3022433,0.6663148172582067
2025-10-14,151.83,158.56,151.815,156.74,3244825,2.719706402778699
2025-10-15,157.205,158.5,154.97,155.24,2541752,-0.9569988516013761
2025-10-16,155.79,156.0,151.5,152.92,3474622,-1.4944601906725197
2025-10-17,152.8,154.195,151.38,153.69,3675749,0.5035312581742168
2025-10-20,154.42,155.325,153.3,153.76,3086613,0.0455462294228548
2025-10-21,150.5,159.53,149.48,158.63,4191302,3.1672736732570206
2025-10-22,158.18,161.345,157.12,158.21,3155148,-0.264767068019911
2025-10-23,157.93,159.71,156.5,158.55,1876181,0.21490424119841034
2025-10-24,161.005,161.579,157.93,157.95,2234604,-0.37842951750237663
2025-10-27,158.25,161.05,157.94,158.86,2904779,0.5761316872428202
2025-10-28,148.0,157.99,147.0,153.75,4768707,-3.216668764950281
2025-10-29,151.06,154.06,147.32,148.29,5517308,-3.551219512195125
2025-10-30,148.065,151.23,147.02,149.29,2569227,0.674354305752245
2025-10-31,148.62,150.35,147.0,149.08,2991890,-0.14066581820616486
2025-11-03,148.38,148.62,144.215,145.06,4226172,-2.6965387711295974
2025-11-04,144.5,146.97,144.01,145.59,2197835,0.3653660554253424
2025-11-05,145.18,146.65,143.83,145.27,2181150,-0.21979531561233667
2025-11-06,145.635,145.96,144.39,145.22,2163428,-0.03441866868589827
2025-11-07,144.455,145.74,142.2975,144.77,2942287,-0.3098746729100599
2025-11-10,144.485,145.18,142.34,144.57,2745188,-0.13815016923396373
2025-11-11,145.58,147.455,144.97,146.99,2004899,1.6739295842844504
2025-11-12,146.88,148.22,145.671,146.03,2081955,-0.653105653445818
2025-11-13,143.1243,146.115,143.1243,143.4,2561025,-1.8009997945627632
2025-11-14,143.92,146.23,142.06,142.43,2584756,-0.6764295676429555
2025-11-17,141.55,141.7999,137.51,137.76,2992089,-3.2788036228322825
2025-11-18,136.445,139.63,134.74,138.45,2707250,0.5008710801393645
2025-11-19,139.01,139.15,136.39,137.53,2694974,-0.6644998194293872
2025-11-20,137.92,139.62,136.725,137.32,2336126,-0.1526939576819708
2025-11-21,138.545,148.14,138.545,146.71,5410324,6.838042528400834
2025-11-24,145.48,147.06,143.25,146.08,4556764,-0.42941858087383045
2025-11-25,147.74,155.18,147.0,154.53,4592217,5.78450164293538
2025-11-26,153.69,157.4694,153.69,156.76,2571337,1.44308548501908
2025-11-28,156.38,159.08,156.375,159.01,2130162,1.4353151314110635
2025-12-01,156.525,159.78,156.23,157.37,2576861,-1.0313816741085335
2025-12-02,158.07,159.84,156.11,158.46,3027282,0.6926351909512629
2025-12-03,159.0,165.17,159.0,165.0,4044086,4.127224536160545
2025-12-04,164.615,165.97,159.9,160.73,3442049,-2.5878787878787946
2025-12-05,161.09,162.1,158.52,158.62,2167409,-1.3127605300814915
2025-12-08,158.0,158.0,152.06,152.43,3229245,-3.9024082713403074
2025-12-09,151.13,152.0,148.77,149.35,3916007,-2.0205996194974873
2025-12-10,150.345,155.545,150.21,155.27,3776042,3.963843321057925
2025-12-11,156.55,158.0,154.8,155.2,1669629,-0.04508275906487391
2025-12-12,155.97,157.21,154.69,156.45,2477296,0.8054123711340289
2025-12-15,157.225,158.2,154.98,156.47,2401323,0.012783636944724286
2025-12-16,156.61,156.88,153.446,155.12,2871446,-0.8627851984405965
2025-12-17,152.0,153.26,150.145,152.0,4082351,-2.0113460546673623
2025-12-18,156.225,156.35,151.205,151.4,3849843,-0.39473684210525883
2025-12-19,148.9437,149.88,146.09,147.18,6879641,-2.7873183619550823
2025-12-22,146.21,147.34,144.73,145.38,2486470,-1.2229922543823935
2025-12-23,145.39,145.94,143.29,144.47,2968144,-0.6259457972210725
2025-12-24,144.1,147.2,143.73,146.63,996970,1.4951200941371923
2025-12-26,146.13,146.74,145.055,146.32,1143972,-0.21141649048626032
2025-12-29,146.05,146.55,144.76,145.96,1447507,-0.24603608529250032
