date,open,high,low,close,volume,change_pct
2025-07-16,22.0,22.185,21.38,21.46,351211,0.0
2025-07-17,21.33,23.71,21.12,23.34,792136,8.760484622553587
2025-07-18,23.86,24.38,22.48,22.66,349364,-2.9134532990574113
2025-07-21,22.66,23.405,21.79,21.87,365150,-3.486319505736979
2025-07-22,21.61,22.24,21.375,21.56,278226,-1.4174668495656295
2025-07-23,21.74,22.37,21.25,22.35,176465,3.6641929499072523
2025-07-24,22.44,22.83,21.8,21.95,222821,-1.7897091722595126
2025-07-25,21.87,22.45,21.04,21.2,183614,-3.4168564920273314
2025-07-28,21.25,21.25,20.08,20.67,338821,-2.499999999999991
2025-07-29,20.92,20.92,19.75,20.07,243801,-2.9027576197387606
2025-07-30,20.23,20.415,19.02,19.32,304018,-3.7369207772795177
2025-07-31,19.0,19.44,18.53,18.81,409296,-2.6397515527950444
2025-08-01,18.45,18.905,18.18,18.73,490125,-0.4253056884635731
2025-08-04,18.83,19.33,18.415,18.74,273183,0.05339028296849069
2025-08-05,18.83,19.27,18.52,19.22,516788,2.5613660618996725
2025-08-06,19.07,20.26,18.435,18.84,436275,-1.9771071800208095
2025-08-07,18.85,19.43,17.76,17.9,345808,-4.989384288747356
2025-08-08,17.77,18.42,17.4275,17.69,574228,-1.1731843575418899
2025-08-11,17.81,18.58,17.79,18.115,227322,2.4024872809496722
2025-08-12,18.17,19.08,18.17,18.89,289755,4.278222467568327
2025-08-13,19.05,20.11,18.13,19.985,361218,5.7967178401270525
2025-08-14,19.94,21.39,19.2,19.77,319833,-1.075806855141359
2025-08-15,19.95,20.785,19.63,20.22,346790,2.2761760242792084
2025-08-18,20.46,21.0122,19.75,19.75,263257,-2.3244312561819913
2025-08-19,20.23,20.315,19.01,19.76,223908,0.0506329113924231
2025-08-20,19.71,20.03,19.41,19.66,286353,-0.5060728744939347
2025-08-21,19.66,20.275,19.3,19.84,808904,0.9155645981688609
2025-08-22,19.99,21.07,19.62,20.85,830394,5.090725806451624
2025-08-25,20.98,21.0,19.92,19.945,452989,-4.340527577937658
2025-08-26,20.05,20.9,19.96,20.32,381374,1.8801704687891663
2025-08-27,20.27,20.91,20.2601,20.68,487888,1.7716535433070835
2025-08-28,20.59,21.1373,20.261,20.36,467563,-1.5473887814313358
2025-08-29,20.46,20.99,19.92,20.27,589226,-0.4420432220039294
2025-09-02,20.27,21.3,20.12,20.89,355056,3.0587074494326627
2025-09-03,20.69,21.1795,20.35,20.95,381743,0.2872187649592961
2025-09-04,20.96,21.02,19.95,20.01,310255,-4.486873508353206
2025-09-05,20.19,20.895,19.89,20.15,432313,0.6996501749125361
2025-09-08,20.15,20.82,19.92,20.02,626448,-0.6451612903225712
2025-09-09,19.94,20.27,19.11,19.72,461505,-1.4985014985015033
2025-09-10,19.81,20.235,19.035,19.22,369670,-2.535496957403649
2025-09-11,19.02,19.97,18.8,19.92,633330,3.642039542143616
2025-09-12,19.9,20.15,19.2575,19.96,618547,0.20080321285140812
2025-09-15,20.1,20.3,18.11,18.5,624244,-7.314629258517035
2025-09-16,18.41,19.07,18.01,18.43,580713,-0.3783783783783745
2025-09-17,18.57,19.5,18.57,19.02,560706,3.201302224633751
2025-09-18,19.22,19.99,18.78,19.925,1313766,4.758149316508953
2025-09-19,19.96,20.22,18.91,18.96,2310053,-4.843161856963619
2025-09-22,18.82,20.03,18.5,19.92,423260,5.063291139240511
