date,open,high,low,close,volume,change_pct
2025-07-15,5.44,5.48,5.08,5.17,16080775,0.0
2025-07-16,5.28,5.39,4.82,5.07,11825672,-1.934235976789156
2025-07-17,5.1,5.35,4.9,5.3,17475041,4.536489151873768
2025-07-18,5.95,6.5,5.76,5.87,42044201,10.754716981132084
2025-07-21,6.11,6.23,5.85,6.0,24322507,2.2146507666098714
2025-07-22,5.945,6.12,5.66,6.03,14708451,0.5000000000000115
2025-07-23,6.25,6.45,5.91,6.24,16759942,3.482587064676612
2025-07-24,6.23,6.52,6.12,6.36,13469565,1.9230769230769162
2025-07-25,6.26,6.66,6.18,6.37,11904858,0.15723270440251014
2025-07-28,6.45,6.54,6.045,6.18,10380037,-2.982731554160134
2025-07-29,6.29,6.31,5.79,5.955,10232477,-3.6407766990291246
2025-07-30,5.925,6.3,5.91,5.92,15768156,-0.5877413937867337
2025-07-31,5.47,6.55,5.41,5.7,24980300,-3.716216216216217
2025-08-01,5.47,5.64,5.27,5.51,13993286,-3.3333333333333437
2025-08-04,5.67,6.35,5.645,6.21,15657692,12.704174228675136
2025-08-05,6.205,6.54,6.06,6.51,16632494,4.8309178743961345
2025-08-06,6.51,6.7589,6.3,6.46,13892151,-0.7680491551459223
2025-08-07,6.565,6.91,6.51,6.56,15975142,1.5479876160990669
2025-08-08,6.6,6.6903,6.195,6.37,11401571,-2.896341463414631
2025-08-11,6.37,6.54,6.29,6.35,8545259,-0.31397174254317317
2025-08-12,6.21,6.2616,6.0,6.11,11764870,-3.779527559055107
2025-08-13,6.14,6.35,5.84,6.34,15201524,3.7643207855973637
2025-08-14,6.12,6.605,6.1,6.33,9905087,-0.1577287066246047
2025-08-15,6.35,6.35,5.83,5.86,15502045,-7.424960505529221
2025-08-18,5.96,6.4,5.925,6.33,13499808,8.020477815699657
2025-08-19,6.25,6.27,5.95,6.05,7951256,-4.423380726698268
2025-08-20,5.91,6.01,5.77,5.99,7629911,-0.9917355371900749
2025-08-21,5.94,6.03,5.84,6.02,4582861,0.5008347245408995
2025-08-22,6.03,6.38,5.96,6.32,8341785,4.983388704318958
2025-08-25,6.32,6.38,6.145,6.27,5349831,-0.7911392405063444
2025-08-26,6.345,6.94,6.31,6.92,15722183,10.366826156299847
2025-08-27,6.95,7.14,6.8,7.12,11215688,2.8901734104046284
2025-08-28,7.269,7.34,6.865,7.13,11205604,0.1404494382022392
2025-08-29,7.13,7.21,6.76,6.9,8689457,-3.2258064516129004
2025-09-02,6.71,7.6,6.51,7.51,19824525,8.840579710144914
2025-09-03,7.67,8.085,7.55,7.62,16714549,1.4647137150466172
2025-09-04,7.62,7.6699,7.04,7.34,12364809,-3.6745406824147064
2025-09-05,7.54,7.62,7.0,7.21,12937394,-1.7711171662125325
2025-09-08,7.2,7.47,6.81,6.87,14809257,-4.715672676837723
2025-09-09,6.925,7.045,6.66,6.98,9915863,1.6011644832605532
2025-09-10,7.05,7.37,6.8,6.87,12893948,-1.5759312320916985
