date,open,high,low,close,volume,change_pct
2025-07-17,569.0,581.265,566.22,570.17,2569448,0.0
2025-07-18,570.61,579.025,567.0001,574.6,2052804,0.7769612571689288
2025-07-21,577.0,577.625,564.66,565.91,2146844,-1.512356421858696
2025-07-22,558.51,558.51,537.155,548.99,3938494,-2.989874715060692
2025-07-23,594.07,633.72,585.0,629.03,7081275,14.579500537350398
2025-07-24,632.27,633.07,615.3,623.97,3918587,-0.804413144047178
2025-07-25,630.0,651.22,626.0,644.59,3604472,3.3046460567014435
2025-07-28,638.26,648.5178,631.16,647.66,2920550,0.4762717386245452
2025-07-29,648.63,655.65,629.99,632.67,2749930,-2.314485995738502
2025-07-30,637.97,656.17,635.17,655.0,2699556,3.529486146016092
2025-07-31,660.85,677.2899,656.07,660.29,3343017,0.8076335877862606
2025-08-01,638.18,664.26,632.46,656.5,3077392,-0.5739902164200505
2025-08-04,660.2,674.97,653.95,662.77,2155916,0.955064737242961
2025-08-05,661.8,665.11,643.96,649.72,2180246,-1.9690088567678066
2025-08-06,645.51,666.29,644.0,664.55,1894867,2.2825217016560817
2025-08-07,665.77,669.3827,638.52,645.86,2239865,-2.8124294635467506
2025-08-08,654.75,656.25,639.1701,649.09,1888714,0.5001083826216224
2025-08-11,641.566,653.42,637.37,650.76,1687604,0.25728327350598157
2025-08-12,658.0846,662.8351,651.0,657.44,1804875,1.0264921015428197
2025-08-13,662.32,666.15,614.23,634.31,3936413,-3.518191774154311
2025-08-14,627.0,640.2799,620.28,625.27,2534442,-1.4251706578802148
2025-08-15,623.92,624.03,607.86,621.91,2488202,-0.5373678570857465
2025-08-18,619.0,628.5452,614.23,625.02,1860413,0.5000723577366584
2025-08-19,620.0,620.98,595.19,603.13,3096700,-3.5022879267863405
2025-08-20,592.61,607.77,581.23,604.59,3575848,0.24207053205778095
2025-08-21,606.93,620.0,605.31,606.0,2566592,0.23321589837741463
2025-08-22,608.1,623.98,602.5,607.07,2727705,0.17656765676568043
2025-08-25,608.0,614.471,597.0336,602.31,2129951,-0.7840940912909766
2025-08-26,603.5,628.58,603.0424,625.91,2689366,3.918248078232134
2025-08-27,625.22,629.9348,618.0,622.39,1862850,-0.5623811730120942
2025-08-28,628.5,646.95,626.78,633.69,2256421,1.8155818698886605
2025-08-29,632.59,634.9999,609.34,612.97,2266374,-3.269737568842812
2025-09-02,590.55,594.0,567.86,579.68,5267320,-5.430934629753503
2025-09-03,586.285,586.285,565.43,577.04,3657481,-0.4554236820314639
2025-09-04,580.75,600.37,580.06,598.81,3195354,3.7727020657146726
2025-09-05,601.5,604.5,565.5,582.08,3477710,-2.793874517793604
2025-09-08,594.5,606.0,584.9401,600.23,2513708,3.11812809235843
2025-09-09,604.0,607.69,594.77,605.7,1863901,0.9113173283574749
2025-09-10,625.0,645.19,623.0,643.56,3878653,6.250619118375411
2025-09-11,648.75,653.5,620.1,634.15,4099922,-1.4621791285971741
2025-09-12,632.87,646.8799,624.15,625.55,2640351,-1.3561460222344945
2025-09-15,630.15,639.89,624.1,628.68,1851879,0.5003596834785462
2025-09-16,629.5,633.52,608.73,617.91,3104072,-1.7131131895399831
2025-09-17,616.47,619.1138,601.12,614.79,2058377,-0.5049279021216657
2025-09-18,621.5,627.1,611.0,611.0,2245558,-0.6164706647798335
2025-09-19,612.75,625.66,596.5064,624.17,4107343,2.155482815057286
2025-09-22,620.81,648.5,620.11,644.37,2566029,3.2362978034830236
2025-09-23,644.68,644.7211,622.2002,633.41,2427243,-1.7008861368468464
2025-09-24,639.255,642.0,624.19,628.97,1617199,-0.7009677775848044
2025-09-25,614.905,619.747,593.38,607.52,3202477,-3.4103375359715193
2025-09-26,610.0,615.14,598.11,605.17,1845327,-0.3868185409533931
2025-09-29,612.44,616.44,596.38,602.43,2188685,-0.4527653386651731
2025-09-30,604.88,614.94,603.2989,614.9,1818698,2.0699500356887945
2025-10-01,600.01,610.66,595.0,606.15,2423637,-1.4229956090421214
2025-10-02,611.0,622.5,603.615,606.23,2044562,0.013198053287144518
2025-10-03,610.44,611.75,588.0,594.99,2668461,-1.854081784141337
2025-10-06,606.0,608.59,593.7,603.22,1950843,1.3832165246474792
2025-10-07,603.155,609.39,592.0,606.12,2161662,0.4807532906733858
2025-10-08,612.95,626.4405,599.0,625.45,2286471,3.189137464528491
2025-10-09,628.0,637.15,621.111,634.27,2414018,1.4101846670397267
2025-10-10,630.0,634.27,602.5953,604.56,3003569,-4.684125057152322
2025-10-13,618.0,655.99,613.1401,648.25,3406783,7.226743416699755
2025-10-14,635.0,656.8799,615.84,644.41,2890472,-0.5923640570767552
2025-10-15,649.97,664.6931,613.59,615.95,3246024,-4.416442947812715
2025-10-16,623.625,623.625,595.2,602.0,3500605,-2.2647942203100957
2025-10-17,595.27,608.8188,591.6511,600.0,2747710,-0.33222591362126463
2025-10-20,608.315,610.0,593.68,594.07,2634422,-0.9883333333333244
2025-10-21,593.86,596.7799,581.76,585.33,3956373,-1.4712070968067703
2025-10-22,606.0,609.54,532.72,576.0,10333096,-1.593972630823648
2025-10-23,581.305,600.0,580.0,595.15,3952712,3.3246527777777812
2025-10-24,606.685,613.81,584.18,584.39,3694197,-1.8079475762412867
2025-10-27,590.8,594.075,580.01,584.39,2842374,0.0
2025-10-28,590.0,591.92,565.0,570.98,3589268,-2.294700456886667
2025-10-29,576.27,585.575,569.2712,577.97,2808513,1.2242110056394306
2025-10-30,570.0444,592.67,569.5,574.07,2305116,-0.6747755073792772
2025-10-31,580.0,592.0,576.5,585.14,2789457,1.928336265612196
2025-11-03,590.5,593.27,576.76,581.26,1853237,-0.6630891752401169
2025-11-04,570.05,576.21,541.44,547.96,3994942,-5.728933695764371
2025-11-05,550.0,567.53,541.29,559.7,2844722,2.1424921527118723
2025-11-06,558.09,560.505,545.41,550.17,2215252,-1.7026978738610143
2025-11-07,547.0,576.89,539.1,575.13,2823781,4.536779540869196
2025-11-10,586.95,595.84,568.2,579.8,2555821,0.8119903326204492
2025-11-11,580.605,582.8,563.1,576.08,1748507,-0.6416005519144341
2025-11-12,579.445,588.94,574.01,575.4,2026343,-0.11803916122762326
2025-11-13,574.32,574.32,537.36,558.17,5166875,-2.994438651372966
2025-11-14,545.2,591.81,542.9087,578.31,4037287,3.6082197180070663
2025-11-17,574.785,592.35,569.84,577.02,2998024,-0.22306375473361006
2025-11-18,569.16,576.4783,552.84,554.93,2986001,-3.828290180583005
2025-11-19,560.8,600.0,560.8,595.37,4212143,7.2874056187266945
2025-11-20,607.2,628.01,557.69,558.03,4874636,-6.271730184591096
2025-11-21,563.01,565.75,530.16,555.84,4872810,-0.39245201870865554
2025-11-24,559.5,583.0,558.26,580.49,2748868,4.434729418537708
2025-11-25,575.0,582.0,553.25,572.56,2356480,-1.3660872710985705
2025-11-26,579.48,596.98,579.48,589.72,2223829,2.9970658096968084
2025-11-28,594.96,599.77,588.53,599.77,1006604,1.704198602726703
2025-12-01,588.25,590.0,574.8,576.9,2302455,-3.813128365873586
2025-12-02,586.17,609.84,585.0001,601.58,2890812,4.278037788178213
2025-12-03,596.0,608.8468,575.38,601.97,2754483,0.06482928288840117
2025-12-04,605.0,639.14,602.9,629.11,3698500,4.5085303254315034
2025-12-05,631.0,640.0,621.2,631.32,2348031,0.3512899175025064
2025-12-08,631.0,636.3977,607.4,621.9,2540100,-1.4921117658240002
2025-12-09,617.0,636.88,613.2001,625.3,3017483,0.5467116899823043
2025-12-10,692.15,731.0,679.0001,723.0,11396415,15.624500239884863
2025-12-11,711.15,711.15,681.2,704.2,4830880,-2.6002766251728815
2025-12-12,698.0,698.94,656.37,671.71,5225703,-4.613746094859417
2025-12-15,688.48,695.05,675.0,681.35,3529608,1.43514314212978
2025-12-16,687.0,699.88,671.0052,686.22,3572244,0.7147574667938583
2025-12-17,688.03,693.9999,613.09,614.19,6770081,-10.496633732622184
2025-12-18,649.3,658.69,636.535,639.43,4426464,4.109477523241978
2025-12-19,646.68,660.59,641.6,658.28,4489097,2.9479380072877426
2025-12-22,671.2,671.4,656.8,661.81,2694275,0.5362459743574188
2025-12-23,659.1,664.82,654.0,661.45,1997567,-0.05439627687703341
2025-12-24,661.01,673.5,658.27,667.32,1110890,0.8874442512661673
2025-12-26,667.46,668.2,660.4899,663.46,1155311,-0.5784331355271899
2025-12-29,660.26,671.0,651.6901,663.46,2186083,0.0
2025-12-30,665.65,668.44,659.35,659.64,1206972,-0.5757694510596045
2025-12-31,656.8,666.66,652.75,653.57,1259928,-0.9201988963677077
2026-01-02,661.0,679.77,658.4,679.55,2741768,3.9750906559358423
2026-01-05,690.0,698.74,669.5,680.86,2446599,0.19277463027003172
2026-01-06,681.11,687.045,658.8,686.33,2490832,0.8033957054313756
2026-01-07,684.75,686.99,661.3,662.32,2601080,-3.4983171360715715
2026-01-08,661.12,661.12,619.75,628.4,4310075,-5.121391472400061
2026-01-09,626.26,632.32,621.11,622.5,3105778,-0.938892425206872
2026-01-12,619.87,644.75,617.11,639.77,2828854,2.774297188755015
