date,open,high,low,close,volume,change_pct
2025-07-10,306.11,306.51,304.82,306.2,7059561,0.0
2025-07-11,308.855,310.28,308.5153,309.14,9187302,0.9601567602874006
2025-07-14,309.07,309.38,307.73,308.01,5772879,-0.3655301805007394
2025-07-15,307.73,308.74,305.79,306.73,8149008,-0.4155709230219684
2025-07-16,307.11,311.09,305.73,308.26,17693100,0.49881002836369426
2025-07-17,305.5,307.665,305.12,307.59,6642258,-0.21734899111141015
2025-07-18,309.28,309.37,308.32,308.39,5574281,0.26008647875419566
2025-07-21,311.9,313.31,311.61,313.13,10995756,1.5370148188981414
2025-07-22,314.565,316.24,313.62,316.1,13691849,0.9484878484974368
2025-07-23,314.0213,314.96,311.42,312.18,10547520,-1.2401138880101303
2025-07-24,309.29,310.99,309.06,310.27,7698763,-0.6118265103466025
2025-07-25,307.82,308.31,306.2,307.4,9376386,-0.9250008057498316
2025-07-28,306.46,306.58,304.05,305.41,9275440,-0.6473649967468909
2025-07-29,305.82,307.03,304.985,306.25,5741114,0.2750401100160449
2025-07-30,304.37,304.65,300.955,300.96,13459595,-1.7273469387755203
2025-07-31,304.59,304.61,302.86,302.96,8980956,0.6645401382243454
2025-08-01,308.62,309.55,307.45,309.11,12843364,2.029970953261162
2025-08-04,310.8,311.74,310.37,310.91,7639030,0.5823169745398094
2025-08-05,310.37,312.24,310.22,311.16,6997693,0.0804091216107583
2025-08-06,310.29,311.24,309.84,310.5,7418158,-0.21210952564597596
2025-08-07,311.805,313.135,310.7,313.12,10891459,0.8438003220611945
2025-08-08,312.475,313.53,311.0,313.05,19886802,-0.022355646397542728
2025-08-11,308.565,309.66,307.63,308.55,10326704,-1.4374700527072348
2025-08-12,308.27,309.305,306.71,308.27,9701725,-0.0907470426187107
2025-08-13,309.1,310.39,308.45,309.21,4718586,0.3049274986213435
2025-08-14,307.925,308.34,306.52,307.25,5817726,-0.6338734193590101
2025-08-15,307.4,308.0,306.87,307.43,5990110,0.05858421480879894
2025-08-18,307.8,307.89,306.625,306.95,6150140,-0.15613310347071252
2025-08-19,306.75,307.4788,305.19,305.27,5029939,-0.5473204104903151
2025-08-20,307.565,308.47,307.4,308.36,6515411,1.0122186916500242
2025-08-21,307.93,308.15,307.0314,307.29,4808975,-0.34699701647424863
2025-08-22,306.52,311.025,306.43,310.58,8526492,1.0706498747111715
2025-08-25,309.75,310.84,309.67,309.83,4044429,-0.24148367570352436
2025-08-26,310.62,312.21,310.305,312.08,11698460,0.7262046928961041
2025-08-27,311.39,312.91,310.77,312.71,4320071,0.2018713150474305
2025-08-28,313.32,315.08,313.07,315.03,9610202,0.7419014422308079
2025-08-29,314.64,318.09,314.64,318.07,15642641,0.9649874615116127
2025-09-02,320.948,325.92,320.24,325.59,21247534,2.3642594397459638
2025-09-03,327.76,329.45,326.7301,328.14,16062221,0.7831935870266316
2025-09-04,326.95,327.56,325.35,326.69,11703127,-0.44188456146766475
2025-09-05,329.53,331.44,328.93,331.05,16065150,1.3345985490832435
2025-09-08,333.66,335.67,333.23,334.82,18617325,1.1388007853798454
2025-09-09,337.0,338.31,333.85,334.06,21641935,-0.22698763514723552
2025-09-10,335.73,336.5,326.19,335.26,11945670,0.3592169071424234
2025-09-11,333.395,335.1619,332.97,334.76,9082647,-0.1491379824613781
2025-09-12,335.88,336.39,335.23,335.42,9619709,0.19715617158562182
2025-09-15,336.3075,339.28,336.23,338.91,10569881,1.040486554170883
2025-09-16,340.09,340.88,338.62,339.59,12161527,0.20064323861790356
2025-09-17,338.5,341.24,335.52,336.97,16535307,-0.7715185959539239
2025-09-18,336.22,336.32,333.81,335.62,14913267,-0.40062913612488593
2025-09-19,336.51,339.23,336.3119,339.18,14982567,1.0607234372206564
2025-09-22,342.735,345.07,341.84,345.05,12386419,1.7306444955480949
2025-09-23,348.265,348.75,345.32,346.46,18383982,0.408636429502951
2025-09-24,346.745,346.8299,342.14,343.32,12709068,-0.9063095306817481
2025-09-25,344.33,345.83,342.47,344.75,12639583,0.41652102994291784
2025-09-26,345.84,348.25,345.314,346.74,11698212,0.5772298767222628
2025-09-29,351.79,352.8305,351.28,352.46,15719623,1.649651035357902
2025-09-30,351.155,355.57,350.865,355.47,13312353,0.8539976167508456
2025-10-01,356.19,356.9722,354.79,356.03,15573610,0.1575379075589911
2025-10-02,358.26,358.67,351.4,354.79,16162050,-0.34828525686035894
2025-10-03,357.12,358.14,355.8,357.64,14463960,0.8032920882775629
2025-10-06,362.16,365.3,361.37,364.38,17093657,1.8845766692763721
2025-10-07,366.508,367.27,364.55,366.26,16836765,0.5159448926944421
2025-10-08,371.65,373.57,370.5,372.3,28052276,1.6491017310107603
2025-10-09,373.135,373.22,362.83,365.43,33674823,-1.8452860596293363
2025-10-10,367.53,370.31,365.44,369.12,24192782,1.0097693128642948
2025-10-13,376.48,378.86,375.5797,378.09,18514421,2.430104031209357
2025-10-14,378.21,382.38,377.9,380.79,18409632,0.7141156867412679
2025-10-15,385.93,387.755,384.59,387.39,20598324,1.7332387930355297
2025-10-16,391.15,396.87,390.4,396.45,33621444,2.338728413226976
2025-10-17,397.14,397.28,385.22,388.99,62024965,-1.881700088283511
2025-10-20,397.45,403.3,394.2,403.15,34523022,3.6401964060772674
2025-10-21,386.54,388.89,375.65,377.24,54101416,-6.426888254991936
2025-10-22,372.75,378.47,368.93,377.28,30524126,0.010603329445446619
2025-10-23,381.46,382.25,378.65,378.79,13695495,0.4002332485157023
2025-10-24,378.51,380.77,376.81,377.52,13263803,-0.3352781224425283
2025-10-27,371.13,371.59,365.34,367.01,23657603,-2.783958465776648
2025-10-28,361.81,365.3,360.12,364.38,19257592,-0.7166017274733649
2025-10-29,369.72,370.08,361.3601,363.0,18891849,-0.37872550633953894
2025-10-30,365.05,370.36,364.5,370.13,14812754,1.9641873278236854
2025-10-31,370.5,370.6625,365.5,368.12,11077910,-0.5430524410342308
2025-11-03,368.91,370.84,367.54,368.78,7254265,0.17928936216449198
2025-11-04,363.48,365.74,361.39,362.32,11540059,-1.7517218938120194
2025-11-05,366.46,367.1,364.65,366.51,8357300,1.1564362994038513
2025-11-06,367.16,368.18,364.7,366.07,6891096,-0.1200512946440746
2025-11-07,367.94,370.42,366.42,368.31,11060358,0.611904826945664
2025-11-10,375.93,378.66,374.7814,378.38,13456212,2.734109853112865
