date,open,high,low,close,volume,change_pct
2025-07-09,176.11,180.28,173.88,177.66,31288035,0.0
2025-07-10,176.67,179.59,175.74,178.7,24693712,0.5853878194303608
2025-07-11,177.91,182.61,177.5405,181.31,23975714,1.4605484051483097
2025-07-14,182.07,184.73,180.7109,182.81,20990352,0.8273123379846758
2025-07-15,183.94,185.41,182.39,183.1,23911567,0.15863464799519278
2025-07-16,184.32,185.3352,183.08,183.77,21152555,0.36592026215183093
2025-07-17,183.115,185.1873,181.5,184.7,21654370,0.5060673668171978
2025-07-18,186.62,187.36,184.73,185.94,21033397,0.6713589604764536
2025-07-21,187.1,191.26,187.05,191.15,24664994,2.801979133053667
2025-07-22,192.42,193.36,188.495,192.11,26212909,0.502223384776368
2025-07-23,192.36,193.36,190.18,191.51,34068129,-0.3123210660559206
2025-07-24,198.11,198.97,191.95,193.2,45252060,0.8824604459297225
2025-07-25,192.93,195.275,192.13,194.08,31101847,0.4554865424430732
2025-07-28,194.41,194.82,191.855,193.42,25553546,-0.34006595218467606
2025-07-29,193.3,196.66,192.99,196.43,31891598,1.556198945300391
2025-07-30,196.3,198.4799,195.56,197.44,21150522,0.5141780787048855
2025-07-31,196.6,196.83,192.08,192.86,27852019,-2.319692058346834
2025-08-01,189.78,191.6175,188.7,189.95,21236711,-1.5088665353106046
2025-08-04,191.175,196.08,190.92,195.75,23385950,3.053435114503822
2025-08-05,195.545,198.7,194.675,195.32,19010151,-0.21966794380587906
2025-08-06,195.25,197.38,194.4673,196.92,15383679,0.8191685439279173
2025-08-07,197.71,198.37,195.22,197.28,14660550,0.1828153564899626
2025-08-08,197.98,203.43,197.9,202.09,24379909,2.438158961881598
2025-08-11,201.555,202.16,199.8,201.63,16690235,-0.2276213568212171
2025-08-12,202.095,205.13,201.4,204.16,19871996,1.2547735951991212
2025-08-13,204.98,205.43,198.64,203.03,19573041,-0.5534874608150497
2025-08-14,202.56,205.42,202.3245,203.82,17777145,0.3891050583657574
2025-08-15,204.72,207.33,202.085,204.91,21111380,0.5347855951329583
2025-08-18,205.07,206.14,203.41,204.29,13000162,-0.302571860816947
2025-08-19,203.905,204.29,200.93,202.49,13476582,-0.8811003964951714
2025-08-20,201.68,202.17,197.46,200.19,13971693,-1.1358585609165917
2025-08-21,200.72,203.36,200.4,200.62,11768910,0.2147959438533409
2025-08-22,203.96,209.23,202.13,206.72,25723734,3.0405742199182573
2025-08-25,207.0,211.09,205.95,209.16,22788806,1.1803405572755388
2025-08-26,208.37,208.46,206.4501,207.95,23050971,-0.5785044941671535
2025-08-27,206.46,209.57,206.39,208.21,15248979,0.12503005530175582
2025-08-28,207.84,212.9,207.6,212.37,20915705,1.9979828058210414
2025-08-29,211.27,215.34,210.97,213.53,24682224,0.546216508923103
2025-09-02,208.99,212.369,206.96,211.99,28900069,-0.7212101344073352
2025-09-03,226.48,231.8,225.12,231.1,72250269,9.014576159252785
2025-09-04,230.155,232.77,226.76,232.66,32196009,0.6750324534833485
2025-09-05,232.66,236.1299,232.38,235.17,26127737,1.0788274735665793
2025-09-08,235.79,238.4,233.73,234.16,23128799,-0.429476548879526
2025-09-09,234.19,240.59,233.38,239.94,22854794,2.468397676802181
2025-09-10,239.25,242.08,238.11,239.56,19990138,-0.1583729265649758
2025-09-11,240.14,242.57,236.58,240.78,21308614,0.5092669894807056
2025-09-12,240.8,242.4227,238.5,241.38,14536593,0.24919013207076457
2025-09-15,245.14,252.7499,244.98,251.76,29935150,4.300273427790202
2025-09-16,252.33,253.23,249.715,251.42,24493512,-0.13504925325706907
2025-09-17,251.46,251.95,246.58,249.85,20491324,-0.6244531063558934
2025-09-18,251.86,254.14,250.11,252.33,21166359,0.992595557334397
2025-09-19,253.4,256.7,252.0675,255.24,41616844,1.1532516942099669
2025-09-22,254.78,256.31,250.81,252.88,20078982,-0.924619965522655
2025-09-23,253.655,254.77,251.09,252.34,17521091,-0.21354001898132857
2025-09-24,252.15,252.96,247.22,247.83,16958511,-1.7872711421098475
2025-09-25,244.84,247.315,241.65,246.57,17379793,-0.5084130250575081
2025-09-26,247.785,250.12,246.64,247.18,16594608,0.2473942490976322
2025-09-29,248.275,251.6483,243.2,244.36,23157245,-1.1408690023464674
2025-09-30,243.06,243.675,239.5707,243.55,22541189,-0.33147814699623357
2025-10-01,241.18,247.15,239.2,245.54,23967662,0.8170806815848808
2025-10-02,245.64,247.635,243.105,246.43,20657524,0.3624664005864586
2025-10-03,245.23,247.1177,242.47,246.45,19941381,0.008115894980309513
2025-10-06,245.78,252.2,245.69,251.51,18309030,2.053154798133505
2025-10-07,248.93,251.55,246.81,247.13,13811174,-1.7414814520297361
2025-10-08,246.2,247.26,245.09,245.46,14136494,-0.6757576983773661
2025-10-09,245.06,245.555,239.6801,242.21,19375722,-1.3240446508596126
2025-10-10,242.16,244.84,236.685,237.49,22449083,-1.9487221832294233
2025-10-13,241.03,244.99,240.75,244.64,12464965,3.0106530801296882
2025-10-14,241.755,248.025,241.1775,246.19,17705370,0.6335840418574268
2025-10-15,248.085,252.76,246.79,251.71,16048087,2.242170681181199
2025-10-16,252.465,257.58,250.67,251.88,18945987,0.0675380398077019
