date,open,high,low,close,volume,change_pct
2025-07-18,224.768,224.768,220.567,221.787,3854375,0.0
2025-07-21,221.787,223.483,220.511,220.549,3086726,-0.5581932214241636
2025-07-22,220.474,222.283,219.715,221.824,3635826,0.5781028252225262
2025-07-23,222.781,225.508,222.433,224.347,4083768,1.1373881996537882
2025-07-24,212.017,216.208,209.841,210.479,11938930,-6.181495629538169
2025-07-25,212.204,212.466,208.425,210.254,6366133,-0.1068990255560065
2025-07-28,211.084,213.545,210.704,211.041,5143922,0.374309168909992
2025-07-29,211.613,211.904,207.441,207.891,4014951,-1.4926009637937665
2025-07-30,208.519,210.394,207.422,208.303,5061790,0.19818077742663753
2025-07-31,207.741,209.775,207.497,208.481,3257961,0.08545244187554424
2025-08-01,207.558,207.812,203.615,204.131,4230860,-2.086521073862846
2025-08-04,204.703,207.038,204.215,207.019,3681952,1.4147777652585791
2025-08-05,206.296,207.563,205.819,207.272,2644799,0.12221100478699842
2025-08-06,207.826,208.059,205.34,205.556,2978702,-0.8278976417461004
2025-08-07,206.54,206.756,202.162,203.071,3095558,-1.2089163050458374
2025-08-08,203.249,204.122,202.528,202.819,3263216,-0.12409452851466218
2025-08-11,202.819,203.076,200.84,202.95,2571743,0.06458960945474601
2025-08-12,203.128,203.728,202.105,203.474,4640038,0.2581916728258138
2025-08-13,203.807,206.222,203.662,206.035,3869430,1.2586374671948342
2025-08-14,205.425,205.425,203.728,204.59,3170088,-0.7013371514548505
2025-08-15,205.485,205.485,203.374,204.307,2908430,-0.13832543135051667
2025-08-18,204.27,204.906,203.506,203.959,4364290,-0.1703319024800809
2025-08-19,203.827,205.627,203.082,204.279,2521682,0.1568942777715021
2025-08-20,204.581,206.894,203.789,204.524,4309210,0.11993401181717989
2025-08-21,204.043,205.25,202.639,204.92,2851367,0.19362030861902468
2025-08-22,206.937,210.254,206.107,210.019,3483070,2.488288112434134
2025-08-25,208.992,209.632,207.823,207.926,2394837,-0.9965765002214133
2025-08-26,207.559,210.0,207.201,209.764,4304679,0.8839683348883742
2025-08-27,208.878,209.915,208.002,208.53,2240656,-0.5882801624683021
2025-08-28,208.954,209.142,207.144,208.624,2758987,0.04507744689012938
2025-08-29,208.36,208.86,206.579,206.88,2112591,-0.8359536774292464
2025-09-02,204.552,205.58,203.016,205.09,3450342,-0.8652358855375075
2025-09-03,204.694,204.736,200.339,201.697,3736422,-1.6543956311863117
2025-09-04,201.437,203.233,199.906,202.79,4939491,0.5419019618536636
2025-09-05,202.62,203.855,201.103,201.932,4355245,-0.4230977858868834
2025-09-08,202.469,202.828,200.32,202.403,4842231,0.23324683556840142
2025-09-09,202.601,202.931,199.755,201.885,3125119,-0.25592506039929797
2025-09-10,201.668,202.017,199.222,199.529,4546904,-1.1670010154295696
2025-09-11,199.736,203.732,199.312,202.931,5920924,1.705015311057556
2025-09-12,201.744,202.243,198.811,199.303,3362527,-1.787799794018663
2025-09-15,199.585,200.688,198.577,199.566,4023302,0.13195988018244176
2025-09-16,199.51,201.056,198.492,198.822,3543547,-0.3728089955202796
2025-09-17,199.5,201.367,198.162,199.51,5742485,0.34603816479061855
2025-09-18,198.949,201.131,197.974,198.115,4725221,-0.6992130720264611
2025-09-19,198.963,198.963,195.495,197.333,11677512,-0.39472023824547176
2025-09-22,196.744,198.435,195.41,196.984,5098928,-0.17685840685540688
2025-09-23,197.394,198.888,196.805,197.276,6615661,0.1482353896763211
2025-09-24,197.267,198.19,196.249,196.607,6534443,-0.3391187980291588
2025-09-25,196.89,197.342,195.382,195.759,4322503,-0.4313172979598989
2025-09-26,196.437,197.031,195.429,196.221,3768335,0.23600447489005028
2025-09-29,197.823,198.077,192.62,197.248,5981884,0.5233894435356046
2025-09-30,196.937,198.973,196.466,198.398,4437895,0.5830223880596952
2025-10-01,198.398,200.556,197.912,198.096,4124310,-0.15221927640399757
2025-10-02,198.398,200.773,198.011,198.878,4570392,0.3947580970842246
2025-10-03,198.85,199.835,196.437,197.031,4590421,-0.9287100634559731
2025-10-06,197.926,198.398,195.848,196.984,5471895,-0.023854114327181986
2025-10-07,196.635,197.62,195.862,196.965,4109679,-0.009645453437845397
2025-10-08,196.833,197.813,195.947,197.785,2985765,0.4163176198817009
2025-10-09,197.917,197.926,191.781,192.488,3983981,-2.6781606289657978
2025-10-10,193.186,193.666,189.18,189.359,5870224,-1.625555878808027
2025-10-13,190.773,191.555,189.076,191.244,3950628,0.9954636431328767
2025-10-14,189.84,196.73,189.774,196.616,4297239,2.808977013657943
2025-10-15,196.777,197.37,190.476,190.858,4700527,-2.928551084347164
2025-10-16,191.989,193.091,190.608,191.489,3294306,0.330612287669374
2025-10-17,191.451,193.214,190.405,191.291,4109659,-0.10340019531148714
2025-10-20,192.592,194.331,192.573,194.185,4147624,1.5128782849167077
2025-10-21,194.288,198.501,194.043,197.059,4031774,1.4800319283157837
2025-10-22,197.738,198.101,194.152,194.731,4532951,-1.1813720763832136
2025-10-23,202.639,209.689,201.932,207.983,10045933,6.805285239638281
2025-10-24,208.228,208.228,202.403,203.713,8531239,-2.053052412937606
2025-10-27,206.367,206.607,202.356,202.705,5723125,-0.4948137821346621
2025-10-28,202.46,203.087,200.914,202.083,4500254,-0.3068498557016408
2025-10-29,201.112,202.13,198.398,200.65,4442032,-0.7091145717353697
2025-10-30,201.8,205.22,199.8,200.11,6511205,-0.2691253426364226
2025-10-31,198.8,201.87,198.65,201.33,4067844,0.6096646844235609
2025-11-03,201.33,201.45,197.1,197.77,4963369,-1.768241196046294
2025-11-04,197.66,198.005,194.68,196.46,5726983,-0.6623855994336902
2025-11-05,196.12,199.7263,195.31,197.05,4206372,0.3003155858698925
2025-11-06,195.99,197.25,195.22,195.91,3031274,-0.5785333671657011
2025-11-07,196.045,196.44,193.7,194.07,3706948,-0.9392067786228364
2025-11-10,194.99,196.48,193.62,196.07,3820720,1.0305559849538737
2025-11-11,196.48,201.51,195.7775,200.41,4196922,2.213495180292746
2025-11-12,200.98,202.28,199.58,201.59,4606873,0.5887929744024856
2025-11-13,201.27,203.035,199.5275,199.87,4162180,-0.8532169254427346
2025-11-14,198.46,199.555,195.67,199.04,3725595,-0.4152699254515446
2025-11-17,197.89,199.3499,194.97,196.08,2837805,-1.4871382636655883
2025-11-18,191.825,193.84,190.57,191.45,6072902,-2.3612811097511344
2025-11-19,190.675,191.35,189.005,190.57,3394115,-0.45965003917471936
2025-11-20,192.43,193.245,186.76,188.14,3673159,-1.27512200241382
2025-11-21,188.27,191.08,187.835,190.02,4711716,0.9992558732858647
2025-11-24,190.05,190.19299,187.04,188.66,5304204,-0.715714135354184
2025-11-25,189.815,191.63,189.23,191.02,3663601,1.250927594614648
2025-11-26,192.29,192.29,189.95,189.99,3120871,-0.5392105538687075
2025-11-28,190.0,192.4,189.6,192.19,1644071,1.157955681877998
2025-12-01,190.28,192.16,189.98,190.22,3220527,-1.0250273167178303
2025-12-02,190.8,193.73,189.53,193.15,4477173,1.5403217327305319
2025-12-03,193.33,195.2,192.77,193.47,4181016,0.16567434636292067
2025-12-04,193.46,193.92,191.46,192.23,4006152,-0.6409262417945927
2025-12-05,192.77,193.36,190.6501,191.33,4294581,-0.46818914841594284
2025-12-08,192.14,192.355,190.532,191.99,3240048,0.34495374483876073
2025-12-09,191.17,192.69,189.86,190.17,2772044,-0.9479660398979184
2025-12-10,190.16,192.7,190.1221,192.06,5568149,0.9938476100331384
2025-12-11,192.68,194.434,192.64,193.85,3733699,0.9320004165364937
2025-12-12,194.115,194.7245,192.51,193.66,3324543,-0.09801392829507094
2025-12-15,195.655,197.54,193.37,197.45,3463331,1.957038108024367
2025-12-16,197.5,198.76,196.6875,198.26,4734378,0.41023043808559034
2025-12-17,198.41,202.46,198.12,199.89,6291524,0.8221527287400443
2025-12-18,200.83,201.33,196.66,198.08,4168270,-0.9054980239131427
2025-12-19,198.83,201.06,198.17,199.11,7866898,0.519991922455576
2025-12-22,198.28,199.75,195.2,195.96,4384013,-1.5820400783486566
2025-12-23,195.8,196.21,194.72,195.5,2420021,-0.23474178403756207
2025-12-24,195.5,197.14,195.01,196.93,1480120,0.7314578005115147
2025-12-26,196.73,197.48,195.88,197.37,1457910,0.22342964505153162
2025-12-29,197.35,197.6,196.235,197.09,2068059,-0.14186553174241334
2025-12-30,196.34,197.58,195.41,196.36,1904121,-0.370389162311624
2025-12-31,196.36,197.05,195.05,195.09,2027273,-0.6467712365043843
2026-01-02,195.69,196.583,193.35,195.88,3156404,0.40494130913937276
2026-01-05,195.8,201.78,194.92,201.09,3846164,2.6597917092097134
2026-01-06,200.4,205.56,200.35,204.94,4005014,1.9145656173852554
2026-01-07,205.11,206.0,198.5245,199.51,5087057,-2.649555967600281
2026-01-08,198.94,205.49,198.55,205.24,5192762,2.8720364893990435
2026-01-09,204.65,208.74,203.51,207.38,5708101,1.0426817384525444
