date,open,high,low,close,volume,change_pct
2025-07-10,63.14,64.81,62.8,64.5,84144876,0.0
2025-07-11,66.88,67.235,66.2912,67.21,78031890,4.201550387596886
2025-07-14,69.17,69.46,67.735,68.18,68391579,1.4432376134503988
2025-07-15,66.93,67.4,65.77,66.16,82079384,-2.96274567321797
2025-07-16,67.55,68.24,67.142,67.83,58926959,2.5241837968561054
2025-07-17,67.035,68.215,66.82,67.65,45310322,-0.26536930561696925
2025-07-18,67.54,67.8375,66.545,66.68,51010383,-1.43385070214338
2025-07-21,67.21,67.805,66.23,66.33,47080792,-0.5248950209958081
2025-07-22,67.77,68.39,66.79,67.82,45383901,2.2463440373888144
2025-07-23,67.11,67.51,66.66,67.29,34878675,-0.7814803892656874
2025-07-24,67.5,67.98,66.965,67.66,33249929,0.5498588200326893
2025-07-25,66.09,66.57,65.35,66.36,53995727,-1.9213715637008577
2025-07-28,67.405,67.74,66.7,67.1,38747986,1.1151295961422392
2025-07-29,67.61,67.665,66.37,66.71,38407325,-0.5812220566318915
2025-07-30,66.78,67.53,65.72,66.37,40903139,-0.509668715335021
2025-07-31,67.12,67.58,66.29,66.32,41463076,-0.07533524182614659
2025-08-01,65.65,65.74,64.14,64.22,69829683,-3.1664656212303854
2025-08-04,64.792,65.74,64.7343,65.2,29985169,1.5260043600124673
2025-08-05,64.86,65.12,63.93,64.55,31327663,-0.9969325153374342
2025-08-06,64.71,65.78,64.4777,65.51,26866652,1.487219209914814
2025-08-07,66.19,66.89,65.74,66.83,41363904,2.0149595481605775
2025-08-08,66.38,66.7163,65.82,66.13,29121353,-1.047433787221308
2025-08-11,67.88,68.65,67.37,67.64,43158507,2.283381218811442
2025-08-12,67.73,68.3,67.36,67.95,33721574,0.45830869308101096
2025-08-13,68.55,69.89,68.22,69.84,54824607,2.7814569536423805
2025-08-14,67.21,67.88,66.55,67.03,71199629,-4.023482245131738
2025-08-15,67.31,67.36,66.34,66.44,39585054,-0.8802028942264672
2025-08-18,65.72,66.35,65.18,66.05,33918461,-0.5869957856712849
2025-08-19,65.74,65.8058,63.9,64.19,56556244,-2.8160484481453474
2025-08-20,64.365,64.99,63.74,64.9,40798804,1.1060912914784282
2025-08-21,64.35,64.7658,63.54,63.69,34187113,-1.864406779661032
2025-08-22,63.8,66.755,63.56,66.25,66739180,4.0194693044433905
2025-08-25,63.45,64.1955,62.76,62.88,55863410,-5.08679245283018
2025-08-26,62.41,63.18,62.11,63.1,41469257,0.3498727735368856
2025-08-27,63.245,64.02,63.045,63.65,33800772,0.8716323296354966
2025-08-28,64.215,64.38,63.555,63.58,30895767,-0.10997643362137266
2025-08-29,62.78,62.83,61.31,61.44,52646976,-3.365838313935199
2025-09-02,62.135,63.5399,61.94,62.97,46457438,2.490234375
2025-09-03,63.26,64.0,63.1358,63.77,34218129,1.2704462442433062
2025-09-04,62.93,63.01,62.06,62.35,32780389,-2.2267523914066167
2025-09-05,64.12,64.345,62.545,63.42,47921768,1.716118684843626
2025-09-08,63.76,64.19,63.53,63.7,37129769,0.44150110375276164
2025-09-09,64.1,64.19,62.87,63.22,36145445,-0.7535321821036223
2025-09-10,64.6,65.03,64.27,64.53,45182954,2.072129073078144
2025-09-11,64.625,65.21,64.575,65.03,34658172,0.7748334108166777
2025-09-12,65.32,66.45,65.22,66.38,48551141,2.0759649392587898
2025-09-15,65.36,65.66,64.93,65.5,34018370,-1.3257005122024657
2025-09-16,65.57,66.4699,65.14,66.37,33920588,1.328244274809176
2025-09-17,66.03,66.19,65.1,65.67,46293658,-1.0546933855657747
2025-09-18,66.73,67.04,66.48,66.75,38481187,1.6445865692096717
2025-09-19,66.01,66.2,65.34,65.37,32989380,-2.0674157303370744
2025-09-22,64.175,64.46,63.58,63.65,42504051,-2.631176380602729
2025-09-23,64.16,64.39,63.33,63.41,40144961,-0.3770620581304063
2025-09-24,64.2,64.78,64.07,64.42,30977567,1.592808705251536
2025-09-25,63.38,63.43,61.58,62.1,63817351,-3.601366035392739
2025-09-26,62.01,62.65,61.67,61.94,48826041,-0.25764895330113724
2025-09-29,63.72,65.04,63.65,64.97,51102325,4.891830804003883
2025-09-30,64.4,65.11,64.1,65.0,38099852,0.04617515776512704
2025-10-01,66.3,67.23,66.15,66.74,57783320,2.6769230769230656
2025-10-02,67.76,68.84,67.37,68.77,62252241,3.041654180401565
2025-10-03,68.605,70.53,68.22,69.81,83244108,1.5122873345935872
2025-10-06,71.01,71.82,70.71,71.29,68777377,2.1200401088669274
2025-10-07,70.97,71.0,68.53,69.13,81680220,-3.029877963248717
2025-10-08,69.58,70.59,69.12,70.06,54245583,1.3452914798206317
2025-10-09,70.15,70.16,67.95,68.74,55757576,-1.8840993434199316
2025-10-10,69.32,69.66,65.8,66.2,104949182,-3.6950829211521596
2025-10-13,64.96,65.8756,64.62,65.81,71877425,-0.5891238670694854
2025-10-14,62.91,64.53,62.365,63.91,75710413,-2.8870992250418004
2025-10-15,63.29,63.77,62.49,63.17,49569075,-1.1578782663119958
2025-10-16,63.095,63.3,61.015,61.43,89080556,-2.7544720595219285
2025-10-17,59.89,61.03,59.31,60.47,94055268,-1.5627543545499
2025-10-20,62.88,63.44,62.36,62.93,51770241,4.068132958491821
2025-10-21,61.73,64.8,61.42,63.49,82011139,0.8898776418242438
2025-10-22,61.42,61.975,60.96,61.21,72451122,-3.5911167112931186
2025-10-23,61.96,63.2357,61.71,62.56,41591269,2.2055219735337417
2025-10-24,63.17,63.26,62.295,62.83,39980939,0.43158567774934653
2025-10-27,65.375,65.76,65.0,65.28,49298024,3.8994111093426653
2025-10-28,65.35,65.9699,64.41,64.49,47609826,-1.2101715686274606
2025-10-29,64.485,64.51,62.0,62.75,76944370,-2.6980927275546573
2025-10-30,61.53,61.59,60.28,60.4,57355586,-3.745019920318726
2025-10-31,62.35,63.03,61.62,62.3,47300723,3.14569536423841
2025-11-03,61.015,61.39,59.745,60.53,51820381,-2.8410914927768816
2025-11-04,58.88,59.49,56.485,57.18,105318024,-5.5344457293903915
2025-11-05,58.255,59.39,57.96,58.92,51487193,3.0430220356768123
2025-11-06,58.4,58.41,56.9044,57.26,54876210,-2.8173794976239064
2025-11-07,56.88,58.96,56.39,58.88,64022332,2.8292001397135946
2025-11-10,60.299,60.36,59.4,60.19,51036740,2.224864130434767
2025-11-11,59.33,59.41,58.25,58.35,33993831,-3.056986210333934
2025-11-12,59.47,59.56,57.17,57.59,41656415,-1.3024850042844816
2025-11-13,58.12,58.7,55.48,55.59,78277765,-3.4728251432540325
2025-11-14,54.09,55.285,53.38,53.475,94217090,-3.804641122504049
2025-11-17,53.385,54.445,51.7,52.1,92045921,-2.5712949976624544
2025-11-18,52.025,53.245,51.6,52.66,75629033,1.0748560460652534
2025-11-19,51.705,52.435,50.2,50.73,94744609,-3.665020888720094
2025-11-20,51.86,51.97,48.74,48.96,122462495,-3.4890597279716107
2025-11-21,47.49,48.57,46.68,47.97,168213523,-2.0220588235294157
2025-11-24,48.725,50.66,48.33,50.57,82759070,5.420054200542013
2025-11-25,49.475,50.0,48.84,49.56,65052794,-1.9972315602135637
2025-11-26,49.52,51.33,49.17,51.03,66507238,2.9661016949152463
2025-11-28,52.8,52.85,51.23,51.55,47334564,1.019008426415824
2025-12-01,48.94,49.205,47.55,48.5,89232147,-5.916585838991262
2025-12-02,50.33,52.39,50.15,51.67,72757584,6.536082474226812
2025-12-03,52.55,53.1799,52.08,52.74,57151728,2.0708341397329244
2025-12-04,52.665,52.93,51.58,52.51,40571728,-0.4361016306408838
2025-12-05,51.35,51.935,50.035,50.69,55578532,-3.4660064749571506
2025-12-08,51.835,52.065,50.83,51.52,43121846,1.637403827184869
2025-12-09,51.23,53.72,51.06,52.85,55905888,2.5815217391304213
2025-12-10,52.19,53.655,51.955,52.49,56217008,-0.6811731315042535
2025-12-11,51.16,52.12,50.6502,52.1,50372623,-0.7429986664126531
2025-12-12,52.305,52.62,50.76,51.2,47356249,-1.7274472168905874
2025-12-15,50.72,51.0,48.28,48.66,73130493,-4.960937500000007
2025-12-16,49.31,50.02,49.23,49.71,56074668,2.157829839704073
2025-12-17,49.77,51.265,48.36,48.71,79012849,-2.0116676725005056
2025-12-18,50.2,50.6856,47.87,47.96,71534615,-1.5397249024840853
2025-12-19,49.92,50.71,49.22,49.91,62739231,4.065888240200155
2025-12-22,51.01,51.29,49.82,50.09,50019125,0.3606491685033131
2025-12-23,49.68,50.09,49.07,49.65,43757648,-0.878418846077067
2025-12-24,49.46,49.7,48.96,49.46,22759340,-0.3826787512588026
2025-12-26,50.445,50.5,49.07,49.61,38333126,0.30327537403962435
2025-12-29,49.63,49.99,49.305,49.38,32269287,-0.46361620640998913
2025-12-30,49.95,50.73,49.78,49.83,44071825,0.9113001215066641
2025-12-31,50.43,50.43,49.395,49.65,33834338,-0.36122817579771205
2026-01-02,50.38,51.66,50.14,50.94,65968849,2.598187311178246
2026-01-05,52.61,53.82,52.38,53.46,76547404,4.946996466431108
