date,open,high,low,close,volume,change_pct
2025-07-09,625.75,627.715,623.89,627.03,3019838,0.0
2025-07-10,627.18,629.87,626.01,628.85,2559688,0.29025724446996026
2025-07-11,625.755,627.82,624.5175,626.44,2739232,-0.3832392462431389
2025-07-14,626.17,628.14,624.75,627.74,2590584,0.2075218696124148
2025-07-15,630.52,630.86,624.99,624.99,3813813,-0.43807945964889905
2025-07-16,626.76,627.72,621.0491,627.25,4667287,0.36160578569257584
2025-07-17,627.44,631.42,627.25,630.93,3575395,0.5866879234754707
2025-07-18,632.32,632.385,629.47,630.67,3970702,-0.04120900892333745
2025-07-21,631.8,634.6,631.36,631.73,3558099,0.16807522158974741
2025-07-22,632.12,632.78,629.25,631.74,4955634,0.0015829547433288127
2025-07-23,634.61,637.33,632.7604,637.33,5836500,0.8848576946212106
2025-07-24,637.65,639.19,637.05,637.58,3952767,0.03922614658027346
2025-07-25,638.15,640.64,637.96,640.06,3306196,0.3889707958216748
2025-07-28,640.53,641.1,638.64,639.92,9580953,-0.021872949410994824
2025-07-29,641.43,641.74,637.42,638.4,4958004,-0.23752969121140222
2025-07-30,639.1,640.74,634.59,637.51,4588333,-0.13941102756892532
2025-07-31,642.57,642.94,633.8,634.9,7730478,-0.40940534266129536
2025-08-01,629.36,629.36,622.31,624.65,6864261,-1.614427468892743
2025-08-04,628.73,634.27,628.585,634.17,4654401,1.5240534699431763
2025-08-05,634.89,635.66,630.125,631.12,3641650,-0.48094359556585253
2025-08-06,632.1,636.51,631.19,635.79,3085833,0.73995436683989
2025-08-07,639.35,640.08,632.18,635.44,5354203,-0.05504962330328267
2025-08-08,637.21,640.76,636.85,640.25,2898043,0.7569558101472973
2025-08-11,640.6,642.05,637.75,638.98,3625843,-0.1983600156188925
2025-08-12,641.37,645.99,639.91,645.74,4499719,1.0579360856364906
2025-08-13,648.02,649.31,645.84,648.11,3643852,0.36702078235821833
2025-08-14,645.985,648.79,645.51,648.13,3210379,0.003085895912735559
2025-08-15,649.2,649.27,645.72,646.67,3113143,-0.22526345023375915
2025-08-18,646.0,647.17,645.33,646.37,4463296,-0.04639151344579817
2025-08-19,646.29,647.27,641.66,642.95,2958416,-0.529108714822768
2025-08-20,642.54,642.75,636.04,641.23,3876107,-0.267516914223509
2025-08-21,639.41,641.09,636.9686,638.7,2680030,-0.39455421611589436
2025-08-22,640.93,649.68,640.41,648.5,4024818,1.5343666823234514
2025-08-25,647.23,648.46,645.55,645.64,3811824,-0.44101773323053095
2025-08-26,645.34,648.69,644.75,648.26,3301771,0.4057988972182569
2025-08-27,647.76,650.58,647.65,649.8,3679662,0.23755900410329378
2025-08-28,650.44,652.69,648.5697,652.14,3384996,0.3601108033240985
2025-08-29,650.69,651.06,646.35,648.32,3709195,-0.5857637930505644
2025-09-02,640.64,643.64,638.05,643.42,5796423,-0.7557996051332783
2025-09-03,645.82,647.4,643.64,646.88,3886544,0.5377513910043374
2025-09-04,647.62,652.36,646.7,652.21,5855433,0.8239549839228255
2025-09-05,654.7,655.444,646.54,650.47,3575382,-0.2667852378835045
2025-09-08,651.84,653.06,650.45,652.12,5228348,0.25366273617537516
2025-09-09,652.2,654.11,650.45,653.62,13556553,0.23001901490522503
2025-09-10,656.86,657.82,653.89,655.49,18437458,0.28609895658027185
2025-09-11,657.46,661.64,656.86,660.95,8344075,0.8329646523974388
2025-09-12,660.9,662.46,660.24,660.72,6244954,-0.03479839624782599
2025-09-15,662.94,664.38,662.69,664.17,7453392,0.5221576462041355
2025-09-16,662.82,663.12,660.56,661.3,10650595,-0.4321182829697179
2025-09-17,661.36,663.05,655.62,660.57,20473691,-0.11038862845907937
2025-09-18,663.26,666.27,661.63,663.7,11497956,0.47383320465659295
2025-09-19,665.48,667.72,663.56,666.87,6414881,0.47762543317764194
2025-09-22,665.39,670.52,665.38,670.08,8709679,0.48135318727788867
2025-09-23,669.95,670.55,665.18,666.5,7513356,-0.5342645654250244
2025-09-24,667.705,667.82,662.87,664.26,17964938,-0.33608402100525625
2025-09-25,661.14,662.58,657.57,661.22,5037922,-0.45765212416823964
2025-09-26,662.71,665.55,661.09,664.89,4338480,0.5550346329512124
2025-09-29,667.565,668.43,665.07,666.76,5026776,0.28124952999744046
2025-09-30,666.12,669.86,664.85,669.3,4899443,0.3809466674665529
2025-10-01,666.365,672.62,666.27,671.84,8195767,0.37950097116390413
2025-10-02,673.72,673.81,670.0218,672.5,5694896,0.09823767563705843
2025-10-03,673.24,675.93,671.45,672.42,5608665,-0.011895910780679309
2025-10-06,674.85,675.77,672.71,674.89,4122437,0.36732994259540686
2025-10-07,675.82,676.25,670.92,672.42,4028152,-0.3659855680185009
2025-10-08,673.545,676.49,672.7,676.42,5191955,0.5948663037982138
2025-10-09,676.8,677.19,672.5,674.52,2501820,-0.2808905709470455
2025-10-10,675.425,677.2036,656.0301,656.2,7643628,-2.716005455731474
2025-10-13,663.84,667.85,662.99,666.23,6685043,1.5284974093264125
2025-10-14,660.41,669.06,656.36,665.48,6413027,-0.11257373579695029
2025-10-15,670.08,673.47,662.17,668.28,6902182,0.42074893310091177
2025-10-16,670.08,671.9,660.4,663.98,5132270,-0.6434428682588034
2025-10-17,662.71,668.94,661.395,667.69,6734176,0.5587517696316269
2025-10-20,670.58,675.4982,670.54,674.59,7433185,1.033413709955222
2025-10-21,674.74,676.27,673.27,674.58,10107977,-0.0014823818912268472
2025-10-22,675.27,675.28,666.6,671.16,4929851,-0.5069821222093873
2025-10-23,671.39,676.0,671.08,674.97,5702375,0.5676738780618695
2025-10-24,679.75,681.8,678.96,680.52,7901270,0.8222587670563053
2025-10-27,686.09,688.91,685.445,688.6,8293131,1.1873273379180649
2025-10-28,690.43,692.26,688.2,690.34,5521394,0.2526866105140968
2025-10-29,692.085,693.07,686.22,690.71,6523052,0.05359677839904542
2025-10-30,687.25,689.32,683.2,683.23,6398174,-1.0829436377061352
2025-10-31,688.4,688.44,682.58,685.23,8120195,0.2927271928925945
2025-11-03,689.03,689.16,683.28,686.69,5675371,0.21306714533806392
2025-11-04,679.42,683.27,677.88,678.81,8949897,-1.147533821666269
2025-11-05,678.29,684.21,677.49,680.91,8342722,0.3093649180182956
2025-11-06,679.79,680.71,672.01,673.52,7916244,-1.0853123026537959
2025-11-07,671.2,674.58,664.4604,674.34,10021609,0.12174842617889148
2025-11-10,680.595,685.55,678.38,684.81,8997997,1.5526292374766326
2025-11-11,683.3,686.92,682.09,686.16,12258777,0.1971349717439841
2025-11-12,688.16,688.33,684.3,686.64,8053619,0.06995452955578241
2025-11-13,683.86,684.19,673.835,675.45,9741010,-1.6296749388325704
2025-11-14,668.7,678.98,666.53,675.31,6930478,-0.020726922792224656
2025-11-17,672.99,677.01,665.44,668.99,6151265,-0.9358664909448922
2025-11-18,665.34,668.39,659.09,663.45,9412142,-0.8281140226311212
2025-11-19,664.01,670.63,662.0,665.95,6254278,0.37681814756198584
2025-11-20,676.26,678.9,655.1,655.77,8500897,-1.5286432915384118
2025-11-21,658.2,667.795,654.04,662.28,6113783,0.9927261082391725
2025-11-24,665.94,673.36,664.87,672.06,4876146,1.4767167965211048
2025-11-25,671.95,679.55,667.7862,678.38,5414415,0.9403922268845122
2025-11-26,680.96,685.075,680.11,683.06,3883316,0.6898788289749103
2025-11-28,684.22,687.13,683.91,686.88,3784107,0.5592480894796914
2025-12-01,682.2,686.4,682.13,683.66,8243850,-0.46878639645935305
2025-12-02,685.3,687.23,682.73,684.83,9107248,0.17113770002634698
2025-12-03,684.0,688.32,683.06,687.26,6579148,0.3548325861892687
2025-12-04,688.69,688.76,684.82,687.85,6652957,0.08584815062713247
2025-12-05,688.89,691.81,688.02,689.11,16119390,0.1831794722686686
2025-12-08,690.04,690.061,684.99,687.06,6333483,-0.29748516202058317
2025-12-09,686.61,688.8099,686.02,686.51,6792968,-0.08005123278898019
2025-12-10,685.97,692.3897,684.74,690.92,17850745,0.6423795720382763
2025-12-11,688.57,692.71,685.6,692.59,27041106,0.24170670989407395
2025-12-12,691.64,692.33,682.58,685.17,14659451,-1.0713409087627745
2025-12-15,689.19,689.19,682.66,684.15,9028417,-0.1488681641052536
2025-12-16,680.19,682.06,675.95,679.79,40598501,-0.6372871446320261
2025-12-17,680.9,681.35,672.16,672.41,32809874,-1.085629385545539
2025-12-18,678.57,681.75,675.88,677.5,37055702,0.7569786291102165
2025-12-19,679.58,684.13,679.43,683.49,10176580,0.8841328413284222
2025-12-22,686.93,688.38,685.6901,687.83,14978219,0.6349763712709899
2025-12-23,686.92,691.21,686.86,690.97,8736389,0.45650814881583734
2025-12-24,690.97,693.8621,690.82,693.39,2348171,0.35023228215407265
2025-12-26,693.68,694.7,692.36,693.27,2763763,-0.01730627785229144
2025-12-29,690.56,692.19,689.1,690.91,5395361,-0.3404157110505346
2025-12-30,690.46,691.56,689.59,689.92,4574533,-0.14328928514567574
2025-12-31,690.17,690.39,684.76,684.94,3845935,-0.721822820037088
2026-01-02,688.74,689.9,682.88,686.19,7056867,0.1824977370280534
2026-01-05,689.59,692.47,689.42,690.76,11222675,0.6659962984013168
