date,open,high,low,close,volume,change_pct
2025-07-09,222.57,223.69,221.115,223.65,32425152,0.0
2025-07-10,223.39,226.05,222.86,224.8,33865885,0.5141962888441709
2025-07-11,223.17,223.54,221.5727,221.7,31579641,-1.379003558718872
2025-07-14,221.37,223.335,221.06,223.19,24632248,0.6720793865584218
2025-07-15,224.07,224.23,218.79,218.82,44215375,-1.9579730274653873
2025-07-16,220.22,221.365,216.91,221.02,48199763,1.0053925600950642
2025-07-17,221.08,224.2,220.71,223.92,43548026,1.3120984526287183
2025-07-18,225.29,225.36,221.98,222.33,49009884,-0.710075026795276
2025-07-21,223.54,224.41,221.25,221.43,28191417,-0.40480367021994423
2025-07-22,221.62,223.81,220.66,223.27,30873278,0.8309623808878674
2025-07-23,224.82,226.71,224.065,226.68,37478061,1.5272987862229526
2025-07-24,225.515,225.8499,223.48,223.55,29446650,-1.3808011293453326
2025-07-25,224.42,224.595,222.54,224.38,24555538,0.37128159248489556
2025-07-28,225.32,225.44,223.43,224.12,24934940,-0.11587485515642815
2025-07-29,225.61,225.69,222.055,222.69,28685904,-0.6380510440835319
2025-07-30,223.65,224.931,220.12,221.56,48924406,-0.5074318559432411
2025-07-31,220.455,222.02,218.88,219.39,42913929,-0.9794186676295391
2025-08-01,216.22,216.56,212.34,214.92,63854124,-2.0374675235881323
2025-08-04,216.55,219.74,216.08,219.73,34989623,2.2380420621626707
2025-08-05,220.56,221.26,218.235,220.85,31337056,0.5097164702134505
2025-08-06,220.95,220.99,219.38,220.56,23142100,-0.13131084446456054
2025-08-07,222.76,222.84,218.505,219.84,37088008,-0.32644178454842576
2025-08-08,221.07,221.57,219.74,220.32,28318098,0.21834061135370675
2025-08-11,220.75,221.68,219.81,220.27,25212844,-0.022694262890332606
2025-08-12,221.85,226.975,221.15,226.81,43991900,2.969083397648342
2025-08-13,228.26,231.46,227.83,231.22,41705784,1.944358714342398
2025-08-14,228.44,228.8,226.17,228.24,55945507,-1.2888158463800647
2025-08-15,228.64,228.78,226.035,227.13,33571448,-0.4863301787592089
2025-08-18,227.21,228.46,226.94,227.96,20144107,0.3654294897195598
2025-08-19,228.02,228.98,225.685,226.21,25000687,-0.7676785400947517
2025-08-20,225.93,226.375,223.69,225.41,29229749,-0.3536536846293292
2025-08-21,224.41,226.32,223.78,225.97,24539360,0.24843618295551373
2025-08-22,227.345,235.42,227.18,234.83,58205537,3.920874452360934
2025-08-25,234.14,234.3,232.36,232.36,28453657,-1.051824724268624
2025-08-26,232.83,234.87,232.59,234.28,25121535,0.8263040110173758
2025-08-27,233.74,236.12,233.555,235.94,25395394,0.7085538671674829
2025-08-28,236.96,236.97,235.345,236.22,25011198,0.11867423921336773
2025-08-29,236.74,237.02,234.37,235.17,29254768,-0.4445008890017865
2025-09-02,231.99,234.4,231.47,233.9,33108624,-0.5400348683930689
2025-09-03,233.27,235.26,232.46,233.67,33252351,-0.09833262077811877
2025-09-04,234.25,236.6665,233.58,236.59,30323833,1.2496255402918655
2025-09-05,237.72,239.68,234.95,237.77,47542498,0.4987531172069959
2025-09-08,238.51,238.56,236.39,238.25,31487732,0.20187576229129256
2025-09-09,237.9,237.96,235.42,236.85,35395784,-0.5876180482686233
2025-09-10,237.305,238.27,235.46,236.43,33910156,-0.17732742241924893
2025-09-11,236.85,240.9295,236.24,240.8,43629818,1.848327200439881
2025-09-12,240.205,240.32,238.195,238.34,46097640,-1.0215946843853851
2025-09-15,239.23,240.04,238.55,239.35,33014031,0.42376437022739744
2025-09-16,238.45,238.93,236.76,238.28,37059322,-0.44704407771046784
2025-09-17,238.82,244.28,237.02,238.89,79955604,0.2560013429578678
2025-09-18,240.8,245.15,240.13,244.84,49167670,2.4906860898321392
2025-09-19,245.52,245.57,242.51,242.98,56092037,-0.7596797908838493
2025-09-22,242.24,244.785,241.11,244.39,53572930,0.5802946744587922
2025-09-23,245.01,247.175,243.44,243.84,41854513,-0.22505012480051878
2025-09-24,243.9,244.61,241.555,241.6,36002182,-0.9186351706036766
2025-09-25,238.98,239.99,237.55,239.29,37209480,-0.956125827814569
2025-09-26,239.62,241.68,239.3344,241.34,28942766,0.8567010740106129
2025-09-29,242.84,242.93,240.81,241.62,26391483,0.11601889450567615
2025-09-30,241.11,242.125,239.4,241.96,33447721,0.14071682807714758
2025-10-01,240.57,243.04,240.55,242.49,28519998,0.21904447016036777
2025-10-02,243.0,244.09,241.47,244.02,28687401,0.6309538537671688
2025-10-03,245.35,248.09,245.03,245.83,34579610,0.7417424801245742
2025-10-06,247.73,248.475,246.065,246.81,31507374,0.3986494732131973
2025-10-07,247.36,247.64,243.19,244.16,31766601,-1.0737004173250742
2025-10-08,245.28,246.955,243.8,246.72,25824957,1.0484927916120546
2025-10-09,246.31,247.25,244.01,245.13,26243148,-0.6444552529182856
2025-10-10,245.75,246.885,237.56,237.79,70569415,-2.9943295394280645
2025-10-13,241.83,244.63,241.4001,244.41,36298626,2.7839690483199453
2025-10-14,241.23,249.6,240.36,247.9,45320805,1.4279284808313975
2025-10-15,250.36,252.77,247.06,250.33,45369046,0.9802339653085967
2025-10-16,250.97,251.26,244.0,245.06,52740394,-2.1052211081372674
2025-10-17,243.32,245.16,241.47,243.41,55379514,-0.6733044968579183
2025-10-20,246.62,248.33,246.14,248.16,32545025,1.9514399572737373
2025-10-21,247.43,248.365,245.505,246.96,26337895,-0.4835589941972862
2025-10-22,246.03,246.86,240.765,243.34,46578446,-1.4658244250080998
2025-10-23,244.29,247.12,243.68,246.42,28591002,1.2657187474315768
2025-10-24,249.8,251.11,248.97,249.43,26627005,1.2214917620323007
2025-10-27,251.78,252.21,249.5,250.3,31798148,0.3487952531772365
2025-10-28,249.55,250.9,248.11,248.96,28075893,-0.5353575709149072
2025-10-29,248.84,251.14,244.69,246.84,55951795,-0.8515424164524443
2025-10-30,245.27,248.14,244.63,244.85,44538747,-0.806190244692917
2025-10-31,244.99,246.79,243.69,246.23,37214671,0.5636103736981868
2025-11-03,246.16,246.26,242.485,245.44,28887904,-0.32083824066928557
2025-11-04,241.79,244.06,240.995,241.2,34468704,-1.727509778357239
2025-11-05,241.955,245.7297,241.64,244.68,38229168,1.442786069651758
2025-11-06,244.26,244.785,240.0,240.35,40601196,-1.7696583292463708
2025-11-07,238.41,241.66,236.2744,241.61,54978865,0.5242354899105628
2025-11-10,245.01,245.24,242.25,244.04,31238018,1.0057530731343745
2025-11-11,243.37,244.74,242.52,244.24,27357866,0.08195377806916593
2025-11-12,244.855,246.375,243.33,243.64,34543226,-0.24566000655094067
2025-11-13,241.84,242.68,235.84,236.79,65709950,-2.811525201116394
2025-11-14,233.34,238.725,233.27,237.48,58344442,0.2913974407702913
2025-11-17,236.46,237.84,231.755,232.76,55765896,-1.9875357924877934
2025-11-18,231.31,235.08,230.955,233.47,63092497,0.30503522942086914
2025-11-19,233.8,236.37,232.43,233.43,57280548,-0.01713282220413559
2025-11-20,237.24,239.1,228.9,229.11,95483018,-1.850661868654413
2025-11-21,229.96,237.11,229.58,235.6,99504106,2.832700449565695
2025-11-24,235.96,240.385,235.48,239.9,36135317,1.8251273344652041
2025-11-25,240.74,245.55,240.04,245.13,46160790,2.180075031263029
2025-11-26,245.05,248.825,244.77,247.3,34636590,0.8852445641088558
2025-11-28,247.95,248.81,247.07,248.75,18911812,0.5863323898099404
2025-12-01,245.57,247.685,245.335,245.62,36919964,-1.2582914572864312
2025-12-02,247.37,247.37,245.12,245.17,31918469,-0.18320983633255405
2025-12-03,245.97,249.835,245.48,249.63,32846272,1.8191458987641296
2025-12-04,248.97,252.66,248.54,251.82,40245796,0.8772984016344187
2025-12-05,251.485,252.66,250.275,250.77,36956621,-0.4169644984512666
2025-12-08,252.7,252.77,250.18,250.87,29100029,0.03987717829085913
2025-12-09,250.25,252.95,250.1,251.39,30170111,0.20727867022760638
2025-12-10,250.9,256.565,250.54,254.81,51105179,1.3604359759735951
2025-12-11,254.64,258.01,254.32,257.8,41345164,1.1734233350339407
2025-12-12,257.95,258.2,253.44,253.85,57657743,-1.5321955003879006
2025-12-15,255.545,255.685,251.74,251.93,43120086,-0.7563521764821668
2025-12-16,250.34,252.16,248.47,249.87,43115263,-0.8176874528638911
2025-12-17,250.37,252.16,246.695,247.24,38132440,-1.052547324608799
2025-12-18,250.18,251.355,248.21,248.71,39067968,0.5945639864099572
2025-12-19,249.28,251.3999,249.06,250.79,43610403,0.836315387398967
2025-12-22,252.28,255.115,252.2,253.58,40497273,1.1124845488257096
2025-12-23,252.42,253.22,251.46,252.08,24973497,-0.5915293004180144
2025-12-24,251.97,252.86,251.12,252.71,12102974,0.24992066010789404
2025-12-26,252.58,252.75,250.395,251.42,17429945,-0.5104665426773902
2025-12-29,250.26,251.5,249.35,249.88,25218779,-0.6125208813936855
2025-12-30,249.97,250.15,247.95,248.03,22123639,-0.740355370577872
2025-12-31,248.18,248.28,246.01,246.16,35351972,-0.7539410555174819
2026-01-02,247.63,249.09,245.86,248.78,40007650,1.0643483912902152
2026-01-05,249.79,253.55,249.57,252.73,37262531,1.5877482112709895
