date,open,high,low,close,volume,change_pct
2025-07-14,50.905,52.7,49.5362,51.99,6717881,0.0
2025-07-15,52.15,52.2499,50.23,51.12,4052362,-1.6733987305251108
2025-07-16,51.92,54.97,51.31,54.28,6891532,6.18153364632239
2025-07-17,55.76,59.12,54.69,58.91,8490923,8.529845246868085
2025-07-18,58.745,61.35,58.25,59.12,8057325,0.3564759803089457
2025-07-21,60.01,61.43,58.49,58.78,5653330,-0.5751014884979644
2025-07-22,55.825,57.18,54.36,55.42,6839677,-5.716230010207557
2025-07-23,55.76,58.93,55.3957,58.78,4168505,6.062793215445694
2025-07-24,58.8,61.09,58.0,58.66,4191548,-0.20415107179313496
2025-07-25,58.69,60.4,57.81,59.77,2457979,1.8922604841459467
2025-07-28,61.19,61.2899,57.35,59.36,3749189,-0.6859628576208809
2025-07-29,60.6,60.73,56.62,57.09,4064026,-3.82412398921832
2025-07-30,56.795,58.19,56.308,58.01,3509665,1.6114906288316577
2025-07-31,58.06,59.14,57.51,58.7,2371233,1.1894500948112396
2025-08-01,56.355,57.66,54.5,56.71,4800303,-3.3901192504258937
2025-08-04,57.03,60.0,56.75,59.5,3091908,4.919767236818906
2025-08-05,61.085,62.8,57.9,59.4,5125210,-0.1680672268907557
2025-08-06,58.77,60.1397,57.93,58.93,3437614,-0.7912457912457871
2025-08-07,58.24,59.22,56.8601,59.08,3597849,0.254539283896138
2025-08-08,60.07,66.13,60.0478,63.88,7231195,8.124576844956
2025-08-11,65.95,68.68,64.59,65.41,6001865,2.395115842204132
2025-08-12,65.38,69.44,64.915,69.14,4305706,5.702491973704338
2025-08-13,70.17,71.11,64.89,68.75,5177648,-0.5640728955741969
2025-08-14,70.2,72.7,68.75,69.12,4746705,0.5381818181818154
2025-08-15,69.11,69.39,66.1301,68.5,2870401,-0.896990740740744
2025-08-18,67.69,69.67,67.04,68.74,2493097,0.35036496350364654
2025-08-19,68.37,68.4002,63.61,64.02,4957086,-6.866453302298514
2025-08-20,62.73,64.555,60.71,64.27,3801184,0.390502967822548
2025-08-21,64.14,65.8371,64.06,64.78,2535015,0.7935273066749682
2025-08-22,64.695,67.04,64.04,66.71,2985486,2.979314603272609
2025-08-25,67.66,68.71,66.87,66.9,2419297,0.2848148703342934
2025-08-26,67.0,69.91,67.0,68.05,2958439,1.718983557548559
2025-08-27,68.265,68.74,66.5,67.92,2082683,-0.19103600293900458
2025-08-28,68.04,68.815,67.27,68.51,2294345,0.8686690223792759
2025-08-29,68.49,68.49,65.64,65.84,2395842,-3.897241278645458
2025-09-02,64.41,67.41,63.02,66.09,3188420,0.3797083839611082
2025-09-03,66.28,67.165,64.055,64.5,2147163,-2.4058102587380947
2025-09-04,64.3,64.44,61.75,63.59,2812719,-1.41085271317829
2025-09-05,64.5,65.29,61.4,64.81,2611243,1.9185406510457526
2025-09-08,64.84,65.0,62.33,64.14,2632047,-1.0337910816232143
2025-09-09,64.125,64.83,62.66,64.56,2152892,0.654817586529477
2025-09-10,65.35,66.75,64.19,65.66,2774164,1.703841387856242
2025-09-11,66.09,69.135,65.6,67.67,2962746,3.061224489795933
2025-09-12,67.74,69.71,67.65,69.2,2539140,2.26097236589331
2025-09-15,69.45,71.31,67.9,70.74,3391897,2.2254335260115443
2025-09-16,71.06,76.62,70.8337,76.35,5322877,7.93044953350297
2025-09-17,75.01,77.0279,73.11,75.74,4247233,-0.798952193844138
2025-09-18,76.65,81.44,75.02,80.65,4310122,6.482703987325067
2025-09-19,81.52,82.31,79.9,80.77,35427660,0.14879107253562562
2025-09-22,80.61,82.63,79.3,80.72,6450341,-0.061904172341209485
2025-09-23,81.095,85.48,81.095,83.9,4998297,3.9395441030723566
2025-09-24,84.37,85.0,80.85,81.18,3738143,-3.2419547079856947
2025-09-25,80.0,84.8833,78.87,84.2,4291102,3.720128110372012
2025-09-26,85.0,86.841,84.43,86.28,3009453,2.470308788598574
2025-09-29,88.95,89.6667,87.8,88.08,4535795,2.0862308762169546
2025-09-30,88.39,91.87,88.1,91.37,4542287,3.7352406902815716
2025-10-01,90.5,93.52,88.63,92.96,3855299,1.7401773010834898
2025-10-02,95.0,96.4,92.5252,95.03,2952205,2.226764199655773
2025-10-03,95.685,98.1186,93.86,96.19,3408309,1.2206671577396522
2025-10-06,98.35,103.0,98.02,100.25,5021897,4.220812974321664
2025-10-07,101.15,104.705,100.0,103.69,5802026,3.431421446384042
2025-10-08,103.07,106.305,101.9,105.67,4069929,1.9095380460989464
2025-10-09,107.64,112.572,96.8019,98.55,8103012,-6.7379577931295564
2025-10-10,94.7,102.6453,92.9,94.63,7345856,-3.977676306443434
2025-10-13,97.47,101.5,94.67,96.28,4260558,1.7436330973264358
2025-10-14,93.72,97.1,90.79,95.3,3902388,-1.0178645616950588
2025-10-15,97.95,98.49,89.1601,90.58,5149485,-4.95278069254984
2025-10-16,91.99,92.59,88.485,88.62,4160334,-2.163833075734156
2025-10-17,84.915,86.5152,81.71,83.12,6302584,-6.206273978785825
2025-10-20,87.28,88.72,85.2,86.65,3527634,4.246871992300294
2025-10-21,87.11,90.8,85.2,90.62,3716213,4.581650317368724
2025-10-22,90.0,90.0,80.81,84.3,4516545,-6.974177885676458
2025-10-23,85.2,89.95,84.87,89.32,2469642,5.954922894424675
2025-10-24,92.13,92.9325,89.1781,91.18,2745344,2.0824003582624373
2025-10-27,93.07,94.6,88.26,90.68,2769859,-0.5483658697082672
2025-10-28,91.07,92.4481,89.69,89.78,1808771,-0.9925011027790087
2025-10-29,90.0,93.87,89.96,91.21,2747740,1.5927823568723465
2025-10-30,90.0,91.0,88.04,88.3,1757574,-3.190439644775789
2025-10-31,89.5,92.15,87.91,90.6,2325102,2.6047565118912708
2025-11-03,90.825,91.72,87.9519,91.1,2492863,0.5518763796909409
2025-11-04,88.23,91.59,86.82,90.22,3416107,-0.965971459934134
2025-11-05,82.37,82.5,75.85,77.41,9160154,-14.198625581910884
2025-11-06,77.95,79.47,70.27,72.41,7002408,-6.459113809585326
2025-11-07,70.3,78.35,68.65,77.88,5152155,7.5542052202734356
2025-11-10,81.425,82.0,77.05,79.18,3793114,1.6692347200822022
2025-11-11,77.73,78.9899,75.89,76.59,2194729,-3.2710280373831835
2025-11-12,76.78,78.169,75.5,76.7,2005449,0.14362188275232057
2025-11-13,74.94,75.895,71.31,71.69,2924647,-6.531942633637556
2025-11-14,69.16,73.77,69.0,72.45,2458516,1.0601199609429512
2025-11-17,72.09,72.9525,68.85,70.24,2219646,-3.050379572118711
2025-11-18,68.74,71.25,67.78,70.36,2644767,0.17084282460138045
2025-11-19,69.58,72.18,69.3,70.67,2079272,0.4405912450255789
2025-11-20,74.48,74.48,66.91,67.305,2425596,-4.761567850573078
2025-11-21,66.81,69.34,64.8,69.14,3220238,2.726394770076501
2025-11-24,69.42,74.44,69.14,74.11,2552493,7.188313566676308
2025-11-25,74.16,76.18,72.65,75.05,2086902,1.268384833355829
2025-11-26,75.8,77.17,75.31,75.77,1757152,0.9593604263824052
2025-11-28,76.23,76.4899,75.01,76.1,891060,0.4355285733139702
2025-12-01,76.6,76.6,72.9301,73.21,2435984,-3.7976346911957948
2025-12-02,74.115,74.6,70.87,70.96,2143244,-3.0733506351591333
2025-12-03,71.01,73.0,69.682,72.78,2292291,2.564825253664038
2025-12-04,72.52,78.32,72.28,77.68,2495448,6.732618851332783
2025-12-05,77.69,78.13,74.7601,76.5,1545066,-1.5190525231719931
2025-12-08,77.59,78.07,75.15,77.03,1527392,0.6928104575163463
2025-12-09,76.57,79.66,76.0559,77.03,2041523,0.0
2025-12-10,76.0,78.46,73.2,76.91,2437235,-0.1557834609892339
2025-12-11,76.74,79.47,74.8,78.78,1646466,2.4314133402678406
2025-12-12,78.93,79.4,75.2,75.96,1919292,-3.5795887281035887
2025-12-15,76.27,76.42,73.1,74.26,1748365,-2.2380200105318493
2025-12-16,73.0,74.63,72.4223,73.13,1888601,-1.5216805817398482
2025-12-17,73.13,74.2399,69.31,69.77,2265800,-4.594557637084639
2025-12-18,70.94,72.41,70.1401,71.4,1496137,2.3362476709187563
2025-12-19,71.53,75.785,71.23,75.39,4166768,5.588235294117649
2025-12-22,77.0,81.87,76.81,81.53,3292748,8.144316222310643
2025-12-23,80.47,83.4099,79.85,82.3,2250679,0.9444376303201274
2025-12-24,81.11,81.9355,79.28,79.97,1190215,-2.831105710814097
2025-12-26,79.91,79.91,76.1,77.7,1619534,-2.838564461673121
2025-12-29,76.96,78.22,76.15,77.47,1326447,-0.29601029601029616
2025-12-30,78.19,78.19,75.8,75.98,1276832,-1.9233251581257216
2025-12-31,76.8,76.97,74.88,75.91,2331411,-0.09212950776521511
2026-01-02,76.55,79.73,74.33,79.29,2169617,4.452641285733128
2026-01-05,84.913,90.11,82.1301,89.93,4446496,13.419094463362335
2026-01-06,89.89,92.03,86.7,91.93,2910563,2.2239519626376048
2026-01-07,92.63,95.319,90.51,91.44,3654884,-0.5330142499728185
2026-01-08,99.53,109.8,98.772,104.04,9609324,13.779527559055138
