date,open,high,low,close,volume,change_pct
2025-07-16,469.505,472.6,466.4106,471.47,935241,0.0
2025-07-17,470.5,474.4,467.71,469.2,926150,-0.48147284026556214
2025-07-18,469.5,471.21,460.97,463.96,1845269,-1.1167945439045202
2025-07-21,464.25,467.36,460.53,460.53,1577788,-0.7392878696439342
2025-07-22,422.75,437.45,410.11,410.74,8886507,-10.811456365491923
2025-07-23,413.755,423.37,411.0,419.39,4578552,2.105955105419488
2025-07-24,421.15,426.8838,420.13,420.55,3083942,0.27659219342379693
2025-07-25,421.54,425.67,418.51,421.17,2461751,0.14742598977528498
2025-07-28,425.9,428.86,421.17,421.34,2423723,0.040363748605076744
2025-07-29,422.74,423.65,417.35,420.13,2428781,-0.2871790003322716
2025-07-30,420.0,422.8,417.15,418.68,1632102,-0.345131268892962
2025-07-31,417.41,422.5847,412.5501,420.98,2178023,0.5493455622432419
2025-08-01,420.97,423.96,417.0,421.01,2006314,0.007126229274545537
2025-08-04,420.205,424.6,419.0,423.7,1548178,0.6389396926438806
2025-08-05,423.25,430.07,421.86,428.24,1643922,1.0715128628746795
2025-08-06,427.765,436.62,427.6601,434.85,2032345,1.5435269942088548
2025-08-07,430.43,434.85,428.05,430.75,1490332,-0.9428538576520706
2025-08-08,431.885,433.59,423.91,425.63,1478047,-1.1886244921648248
2025-08-11,425.99,427.82,424.12,426.26,1462070,0.14801588233912533
2025-08-12,425.585,431.59,425.0,431.56,1493389,1.2433725894993586
2025-08-13,432.42,443.45,431.42,442.57,1890577,2.551209565297996
2025-08-14,436.04,443.9,434.84,437.32,1733619,-1.1862530221207979
2025-08-15,438.19,441.425,436.46,437.56,1501663,0.05487972194273549
2025-08-18,439.25,443.77,439.12,440.64,1154395,0.70390346466771
2025-08-19,439.82,444.5,438.6,441.1,1248122,0.10439360929557218
2025-08-20,440.14,447.08,440.14,446.0,1282792,1.1108592155973707
2025-08-21,445.25,448.49,444.7,447.2,1026288,0.2690582959641308
2025-08-22,449.99,452.56,444.8601,446.2,1890334,-0.22361359570661765
2025-08-25,446.75,448.75,445.1,447.72,985189,0.3406544150605262
2025-08-26,450.32,456.37,447.0,455.46,2051502,1.7287590458322066
2025-08-27,456.91,459.47,454.0,454.47,1294214,-0.21736266631536827
2025-08-28,453.44,456.55,450.36,456.18,1386030,0.3762624595682773
2025-08-29,456.87,459.9,454.875,455.63,1373187,-0.12056644307072428
2025-09-02,453.8,455.77,447.5901,452.5,1645554,-0.6869609112657216
2025-09-03,451.0,452.0,446.69,449.06,1541829,-0.7602209944751359
2025-09-04,450.5,457.17,449.5,456.85,1449229,1.7347347793168044
2025-09-05,456.765,463.98,456.765,463.9,1465197,1.54317609718726
2025-09-08,462.925,462.925,452.765,459.11,1477595,-1.0325501185600272
2025-09-09,457.61,457.87,452.42,457.06,1008428,-0.446516085469717
2025-09-10,456.385,464.38,455.71,463.87,1076857,1.489957554806809
2025-09-11,464.33,472.4,462.99,470.73,1623736,1.4788626123698467
2025-09-12,468.93,472.98,467.17,471.31,1041423,0.12321288211925019
2025-09-15,471.5,474.29,468.99,473.25,1148734,0.41161867984977896
2025-09-16,473.26,478.44,471.665,474.32,1156857,0.22609614368727105
2025-09-17,474.52,477.1885,472.635,473.12,1016718,-0.2529937594872633
2025-09-18,471.12,474.36,467.99,473.62,1108002,0.10568143388569595
2025-09-19,474.23,477.0,471.38,472.94,2839217,-0.1435750179468842
2025-09-22,473.63,482.0745,473.01,480.39,1410218,1.5752526747578877
2025-09-23,480.9,486.78,479.34,486.67,1135459,1.307271175503244
2025-09-24,487.505,495.24,485.51,486.25,1424205,-0.0863007787617942
2025-09-25,489.0,490.7448,484.06,484.34,1205694,-0.3928020565552748
2025-09-26,487.85,490.7499,484.57,487.44,914275,0.6400462485031122
2025-09-29,497.0,498.986,489.22,491.98,1391134,0.931396684720176
2025-09-30,492.58,499.89,491.14,499.21,1312722,1.4695719338184476
2025-10-01,496.47,504.07,495.0,499.0,1187448,-0.04206646501472289
2025-10-02,499.0,503.6,497.01,499.36,915832,0.07214428857715838
2025-10-03,499.37,506.81,499.245,504.49,1006534,1.0273149631528256
2025-10-06,506.735,515.43,506.63,514.24,1389696,1.9326448492537063
2025-10-07,514.2,515.98,509.135,511.07,922414,-0.6164436838830167
2025-10-08,515.25,516.0,511.22,514.02,798430,0.5772203416361643
2025-10-09,513.89,515.1912,503.81,507.76,1185975,-1.2178514454690426
2025-10-10,508.44,513.45,500.54,505.05,1313768,-0.5337167165589962
2025-10-13,502.0,507.43,500.0001,503.83,926722,-0.2415602415602458
2025-10-14,501.25,506.9999,499.0,505.18,1078265,0.2679475219816263
2025-10-15,502.215,505.0,485.48,499.41,1678496,-1.142167148343165
2025-10-16,500.74,501.31,492.0,493.25,1099659,-1.2334554774634077
2025-10-17,490.5,496.68,488.1,495.15,1915507,0.385200202736935
2025-10-20,497.195,505.9,496.43,505.9,1433308,2.171059274967191
2025-10-21,482.71,506.6,482.71,489.5,2869991,-3.2417473809053132
2025-10-22,491.47,492.4108,482.54,487.14,1726057,-0.4821246169560811
2025-10-23,488.125,493.98,486.52,488.05,1446086,0.18680461468982834
2025-10-24,491.1,491.82,484.075,485.41,1368445,-0.5409281835877411
2025-10-27,484.29,487.31,479.87,486.91,1423236,0.30901711954842703
2025-10-28,486.485,489.4,483.62,485.77,1220554,-0.23412951058717768
2025-10-29,485.16,488.817,483.6662,485.33,971473,-0.09057784548243131
2025-10-30,485.5,494.46,485.5,489.72,1080955,0.9045391795273305
2025-10-31,489.675,493.61,486.0501,491.88,1185204,0.44106836559665297
2025-11-03,491.1,491.51,484.75,487.94,846724,-0.8010083760266684
2025-11-04,485.225,488.5,481.0,484.98,1169694,-0.606631962946258
2025-11-05,483.035,485.845,473.14,473.14,1708024,-2.441337787125253
2025-11-06,473.14,474.18,466.1147,468.92,1094022,-0.8919135985120619
2025-11-07,468.65,469.405,456.2,458.35,2514529,-2.2541158406551243
2025-11-10,456.2,457.1,448.48,452.1,1630052,-1.3635867786625955
2025-11-11,451.665,461.77,451.0,457.07,1322089,1.099314310993127
2025-11-12,457.0,459.77,455.2245,457.04,935756,-0.006563546065152526
2025-11-13,458.0,460.91,455.1,455.85,819819,-0.26037108349378224
2025-11-14,455.85,466.39,454.0,465.77,1177328,2.1761544367664643
2025-11-17,467.335,471.6,464.72,470.78,1822363,1.0756381905232093
2025-11-18,474.9,485.0,471.1958,474.72,1242107,0.8369089595989809
