date,open,high,low,close,volume,change_pct
2025-07-17,99.46,101.375,98.26,100.79,9745949,0.0
2025-07-18,101.24,101.73,100.36,100.66,8115453,-0.12898104970732183
2025-07-21,100.88,102.59,100.73,101.74,7026672,1.072918736340145
2025-07-22,101.0,101.123,97.04,97.69,14170107,-3.9807352073913838
2025-07-23,98.26,98.38,96.395,97.1,12013926,-0.6039512744395625
2025-07-24,97.57,98.62,97.03,97.78,9076557,0.7003089598352386
2025-07-25,96.7,97.33,96.32,96.96,8914433,-0.8386173041521894
2025-07-28,98.98,99.53,97.915,98.62,8156109,1.7120462046204654
2025-07-29,99.39,100.22,98.03,98.94,7283710,0.3244777935510035
2025-07-30,99.52,100.65,97.95,99.09,12529412,0.15160703456640334
2025-07-31,91.015,95.63,90.935,94.84,27661827,-4.28903017458876
2025-08-01,92.71,96.66,92.47,96.37,16601018,1.6132433572332294
2025-08-04,97.425,98.81,96.64,98.41,11876711,2.1168413406661646
2025-08-05,98.78,99.35,95.62,96.68,12100125,-1.7579514277004216
2025-08-06,96.3,96.47,94.27,95.94,10631883,-0.7654116673562306
2025-08-07,98.595,100.19,97.97,99.15,9572342,3.3458411507192087
2025-08-08,99.15,102.225,98.99,101.75,8765140,2.6222894604135183
2025-08-11,103.9,104.15,101.71,102.0,8637010,0.24570024570025328
2025-08-12,102.65,105.64,101.392,105.28,11892040,3.2156862745098103
2025-08-13,106.5,107.49,105.446,106.74,12118627,1.386778115501519
2025-08-14,106.2,108.02,105.59,107.38,11163780,0.5995877833989027
2025-08-15,104.675,105.885,99.26,99.51,23155664,-7.329111566399693
2025-08-18,99.0,99.8,98.4,98.88,15119258,-0.6331022007838527
2025-08-19,98.83,100.63,98.2,100.33,11622873,1.4664239482200747
2025-08-20,100.985,101.015,97.32,99.15,14287717,-1.1761188079338125
2025-08-21,98.76,99.85,97.14,98.41,10706519,-0.7463439233484692
2025-08-22,99.05,102.55,98.59,100.08,9689672,1.696982014022974
2025-08-25,99.98,101.75,99.9,101.28,5438511,1.1990407673860837
2025-08-26,101.3,103.99,101.1,103.63,11781062,2.3203001579778837
