date,open,high,low,close,volume,change_pct
2025-07-21,12.46,12.47,11.2,11.25,12916398,0.0
2025-07-22,11.22,11.39,10.722,11.28,6668733,0.2666666666666595
2025-07-23,11.42,13.43,11.41,13.37,21006214,18.528368794326244
2025-07-24,13.085,13.6,12.56,12.79,9097353,-4.338070306656694
2025-07-25,12.72,12.925,12.18,12.82,5981105,0.23455824863174435
2025-07-28,13.285,13.7,12.63,12.83,6369852,0.07800312012480326
2025-07-29,12.85,12.89,11.69,11.75,7418941,-8.417770849571315
2025-07-30,11.81,11.968,11.21,11.55,6135088,-1.7021276595744594
2025-07-31,11.575,11.77,11.11,11.16,5882269,-3.3766233766233777
2025-08-01,10.6,10.91,10.3,10.61,6252660,-4.92831541218639
2025-08-04,10.86,11.215,10.62,11.2,4911915,5.560791705937795
2025-08-05,11.425,11.735,11.14,11.47,6000922,2.4107142857142883
2025-08-06,11.4,11.435,10.45,10.5,8325617,-8.456843940714908
2025-08-07,10.04,11.12,9.8712,10.05,10563005,-4.285714285714281
2025-08-08,10.24,10.6,9.69,9.81,8967626,-2.3880597014925398
2025-08-11,9.85,10.41,9.7025,10.15,6742653,3.465851172273182
2025-08-12,10.25,10.5,10.0724,10.46,4405667,3.0541871921182295
2025-08-13,10.6,10.74,10.14,10.49,4943650,0.2868068833651982
2025-08-14,9.29,9.41,8.83,8.99,38992275,-14.299332697807433
2025-08-15,9.04,9.2,8.73,9.085,12492372,1.0567296996663034
2025-08-18,9.08,9.47,8.98,9.08,9432432,-0.05503577325262077
2025-08-19,9.08,9.19,8.64,8.69,9037696,-4.295154185022032
2025-08-20,8.58,8.72,8.3,8.65,6357310,-0.460299194476399
2025-08-21,8.65,8.71,8.5,8.64,3525112,-0.11560693641617936
2025-08-22,8.64,9.14,8.52,8.965,6227601,3.76157407407407
2025-08-25,8.9,9.21,8.74,8.86,7387792,-1.171221416620194
2025-08-26,8.82,9.085,8.76,8.91,4461113,0.5643340857787837
2025-08-27,8.93,9.1,8.841,8.99,6626275,0.8978675645342271
2025-08-28,9.04,9.115,8.86,8.9,4136289,-1.0011123470522798
2025-08-29,8.91,9.0112,8.66,8.77,4890842,-1.4606741573033766
2025-09-02,8.47,8.75,8.355,8.71,4335322,-0.6841505131128689
2025-09-03,8.71,8.7881,8.37,8.46,4870130,-2.870264064293915
2025-09-04,8.45,8.57,8.33,8.42,3468265,-0.47281323877069736
2025-09-05,8.57,8.74,8.3331,8.49,5704695,0.8313539192399189
2025-09-08,8.495,8.625,8.2588,8.44,4271871,-0.5889281507656108
2025-09-09,8.41,8.5,8.3,8.41,3431446,-0.35545023696681444
2025-09-10,8.47,8.57,8.19,8.3,4836746,-1.3079667063020106
2025-09-11,8.28,8.66,8.21,8.52,4568068,2.650602409638547
2025-09-12,8.5,8.94,8.455,8.78,4628078,3.0516431924882514
2025-09-15,9.125,9.415,8.84,9.04,8779106,2.9612756264236983
2025-09-16,9.0,9.21,8.725,9.15,4803616,1.2168141592920456
2025-09-17,9.08,9.6,8.995,9.28,7095138,1.4207650273224015
2025-09-18,9.5,9.76,9.42,9.58,7806558,3.2327586206896575
2025-09-19,9.7,9.9771,9.52,9.71,8423449,1.3569937369519947
2025-09-22,9.56,10.16,9.33,10.13,9954521,4.325437693099898
2025-09-23,10.33,10.8,10.05,10.36,10710565,2.270483711747273
2025-09-24,10.5,10.71,9.96,9.99,7628449,-3.5714285714285587
