date,open,high,low,close,volume,change_pct
2025-07-17,53.81,56.16,52.7115,53.69,10876380,0.0
2025-07-18,54.65,54.8,51.01,52.79,9593830,-1.676289811883025
2025-07-21,53.71,58.1643,51.88,52.37,19795712,-0.79560522826293
2025-07-22,52.15,52.3,49.0,51.01,9913873,-2.5969066259308726
2025-07-23,51.2,52.04,50.44,51.88,7288526,1.7055479317780842
2025-07-24,53.28,53.78,51.02,52.16,7220664,0.5397070161911932
2025-07-25,52.52,52.76,51.32,51.37,6237591,-1.514570552147243
2025-07-28,51.69,52.805,50.554324,52.75,8599545,2.686392836285778
2025-07-29,53.29,54.7,50.0,50.4,10638297,-4.454976303317537
2025-07-30,50.88,52.5,50.25,51.29,8009413,1.7658730158730096
2025-07-31,53.33,57.13,52.9,54.43,22905485,6.12205108208228
2025-08-01,51.97,53.73,50.0982,52.0,11719087,-4.464449751975009
2025-08-04,52.99,54.53,52.88,54.17,7096068,4.173076923076935
2025-08-05,55.845,56.45,53.5379,55.17,8585128,1.846040243677316
2025-08-06,55.89,55.89,53.95,55.09,9731086,-0.14500634402754287
2025-08-07,64.37,70.54,63.38,65.31,44064989,18.551461245235057
2025-08-08,68.175,71.49,66.45,68.78,18451904,5.313122033379258
2025-08-11,69.9,75.9601,69.16,70.24,21552712,2.1227100901424656
2025-08-12,73.425,75.9188,72.0,75.33,16162726,7.2465831435079675
2025-08-13,75.08,75.21,69.08,70.63,18701875,-6.239214124518789
2025-08-14,69.75,71.52,67.1,68.46,13114024,-3.0723488602576787
2025-08-15,68.3,71.97,67.31,71.62,9237569,4.615834063686841
2025-08-18,71.44,72.59,68.27,72.54,10006986,1.2845573862049653
2025-08-19,71.75,71.75,66.2,67.19,12276289,-7.375241246208997
2025-08-20,65.185,67.5,62.01,67.47,14162843,0.4167286798630876
2025-08-21,68.26,68.26,65.45,66.18,8019247,-1.9119608714984304
2025-08-22,65.51,69.68,64.6108,68.98,11017169,4.230885463886369
2025-08-25,69.46,70.74,67.25,70.02,7898724,1.507683386488834
2025-08-26,70.29,72.8,69.31,70.48,7516543,0.6569551556698139
2025-08-27,71.5,71.798,68.652,70.1,6471437,-0.5391600454029644
2025-08-28,70.93,73.5,70.2,72.04,8909357,2.767475035663347
2025-08-29,71.545,71.69,67.6,68.32,7594332,-5.163797890061095
2025-09-02,65.9,67.879,64.11,65.72,9332965,-3.805620608899285
2025-09-03,66.88,67.0,64.8314,65.65,6506241,-0.10651247717589074
2025-09-04,65.445,66.5,64.41,64.91,5473282,-1.1271896420411376
2025-09-05,66.5,67.39,63.26,65.47,5811679,0.8627330149437729
