date,open,high,low,close,volume,change_pct
2025-07-14,68.56,69.55,68.48,68.94,6015857,0.0
2025-07-15,69.44,69.49,66.71,67.22,7250836,-2.4949231215549705
2025-07-16,67.3,68.04,66.99,67.04,5611120,-0.2677774471883221
2025-07-17,66.15,66.410929,64.87,65.29,9041843,-2.610381861575184
2025-07-18,65.67,65.79,64.16,64.31,8051179,-1.5009955582784507
2025-07-21,64.75,65.3315,64.12,64.92,8280730,0.9485305551236278
2025-07-22,65.52,66.97,65.45,66.78,8970258,2.865064695009245
2025-07-23,68.965,70.3799,68.88,70.03,11980355,4.866726564839774
2025-07-24,70.65,71.38,70.225,70.73,10161045,0.9995716121662168
2025-07-25,71.03,71.795,70.575,71.7,7350188,1.3714124134030836
2025-07-28,70.96,71.28,68.465,69.0,7156222,-3.765690376569042
2025-07-29,53.95,55.37,53.51,53.94,110735641,-21.82608695652174
2025-07-30,51.26,51.37,49.6,50.03,65866208,-7.248794957360028
2025-07-31,48.96,49.3,46.9,47.07,50372520,-5.916450129922046
2025-08-01,48.27,49.03,47.55,48.19,34787444,2.3794348842149926
2025-08-04,49.08,49.21,48.36,48.81,20691934,1.2865739780037355
2025-08-05,47.88,48.2,47.12,47.22,21508375,-3.2575291948371277
2025-08-06,45.97,46.49,45.05,45.38,37438114,-3.896653960186358
2025-08-07,48.47,49.1,47.92,48.76,40780514,7.448215072719244
2025-08-08,50.7,51.3,50.11,51.08,23367541,4.757998359310922
2025-08-11,50.4,50.695,49.79,49.87,16177631,-2.3688332028191095
2025-08-12,49.415,50.305,49.38,49.78,11131935,-0.18046921997192378
2025-08-13,50.28,51.235,50.24,50.9,19443196,2.249899558055435
2025-08-14,50.475,50.95,49.865,50.95,12620563,0.09823182711199419
2025-08-15,51.435,52.75,51.37,52.41,17622514,2.8655544651619014
2025-08-18,54.6,54.99,53.745,53.75,32445098,2.5567639763403927
2025-08-19,54.565,55.48,54.02,54.78,25993715,1.9162790697674348
2025-08-20,54.33,54.63,53.83,54.3,14100671,-0.8762322015334112
2025-08-21,54.8,55.85,54.565,55.45,12883179,2.117863720073676
2025-08-22,56.71,57.51,56.64,56.98,17913419,2.759242560865638
2025-08-25,57.43,58.34,56.2513,56.34,16184964,-1.1232011232011119
2025-08-26,55.02,55.3658,54.6,55.34,12869453,-1.7749378771742985
2025-08-27,55.68,56.63,55.32,56.44,11697659,1.987712323816404
2025-08-28,56.72,56.76,55.71,56.11,9542455,-0.5846917080085001
2025-08-29,56.05,56.525,55.7101,56.46,9116508,0.6237747282124451
2025-09-02,56.72,57.18,55.7728,56.38,11642656,-0.1416932341480659
2025-09-03,56.68,57.35,56.465,56.74,9105648,0.6385242993969475
2025-09-04,55.965,56.5,55.46,56.14,8778079,-1.0574550581600284
2025-09-05,55.82,56.08,54.73,55.23,15505078,-1.6209476309226978
2025-09-08,54.35,54.895,54.085,54.28,12988140,-1.720079666847718
2025-09-09,53.06,54.3,52.72,54.3,20606380,0.03684598378776993
2025-09-10,54.205,55.235,53.865,54.37,16488284,0.12891344383056946
2025-09-11,53.62,54.62,53.55,54.3,11793077,-0.12874747103182038
2025-09-12,55.055,55.2,54.33,54.87,10317968,1.0497237569060847
2025-09-15,56.5,56.98,55.545,55.62,13764301,1.3668671405139499
2025-09-16,57.14,57.73,56.6291,57.2,17115594,2.8407047824523746
2025-09-17,57.78,59.15,57.67,58.2,16809045,1.7482517482517501
2025-09-18,61.84,62.25,60.84,61.85,24602049,6.2714776632302405
2025-09-19,62.3,62.3202,60.7201,61.4,12902886,-0.7275666936135905
2025-09-22,60.0,61.12,59.62,60.71,10742748,-1.1237785016286583
2025-09-23,60.3,60.33,59.08,59.54,11510852,-1.927194860813708
2025-09-24,58.85,59.25,58.14,58.74,11232120,-1.343634531407456
2025-09-25,57.14,57.35,55.87,56.04,18287352,-4.596527068437184
2025-09-26,55.58,56.02,54.56,55.61,17739801,-0.767309064953603
2025-09-29,54.14,55.64,54.01,55.5,19329138,-0.19780614997302326
2025-09-30,54.01,55.57,53.7697,55.49,19003492,-0.018018018018017834
2025-10-01,56.01,59.22,56.0,59.17,24835126,6.631825554153892
2025-10-02,58.88,59.12,58.0,58.74,11966669,-0.7267196214297833
2025-10-03,59.0,60.095,58.4475,59.63,15362866,1.5151515151515138
2025-10-06,60.135,60.9,59.65,59.65,13782363,0.033540164346801404
2025-10-07,59.46,59.59,58.53,59.02,9675071,-1.0561609388097137
2025-10-08,59.81,60.13,59.47,59.61,9888693,0.9996611318197068
2025-10-09,58.92,59.4,58.445,58.68,8839762,-1.5601409159537005
2025-10-10,58.595,58.8,56.79,56.93,15047646,-2.9822767552828866
2025-10-13,57.3,58.125,57.25,57.5,8835455,1.0012295801862026
2025-10-14,56.28,56.8664,55.8,56.66,7632741,-1.460869565217393
2025-10-15,56.405,56.94,56.1,56.72,8475239,0.10589481115426125
2025-10-16,57.08,57.55,55.97,56.09,8353746,-1.1107193229901169
2025-10-17,53.88,54.44,53.54,54.37,14761514,-3.0665002674273634
2025-10-20,55.41,56.23,55.19,55.74,7901607,2.519771933051329
2025-10-21,55.3,55.365,54.5307,54.78,10182127,-1.7222820236813763
2025-10-22,53.5,53.77,52.93,53.38,12420857,-2.5556772544724327
2025-10-23,52.57,53.46,52.38,53.23,9326542,-0.28100412139379083
2025-10-24,53.42,53.545,52.93,52.96,8497647,-0.5072327634792373
2025-10-27,52.78,53.225,52.6444,52.89,10309970,-0.13217522658610648
2025-10-28,52.81,52.88,51.5,52.05,12172170,-1.588201928530919
2025-10-29,52.67,52.805,51.19,51.37,9478161,-1.3064361191162388
2025-10-30,49.95,50.54,49.435,50.04,21057534,-2.5890597625072953
2025-10-31,48.78,49.47,48.49,49.46,20020869,-1.159072741806555
2025-11-03,49.41,49.51,48.565,49.11,11146996,-0.7076425394258012
2025-11-04,47.96,49.9,47.76,48.25,28629444,-1.7511708409692517
2025-11-05,46.98,49.0,46.16,48.46,37996646,0.435233160621773
2025-11-06,47.75,49.56,46.285,46.51,43747213,-4.023937267849775
2025-11-07,46.03,46.27,45.15,45.68,19979581,-1.7845624596860898
2025-11-10,46.22,46.37,45.57,45.94,14406537,0.5691768826619814
2025-11-11,47.07,49.425,47.05,49.15,27711097,6.987374836743587
2025-11-12,49.48,50.43,49.32,50.26,24672288,2.258392675483223
2025-11-13,49.2,50.09,48.91,49.16,18878330,-2.188619180262641
2025-11-14,48.5,48.907336,48.03,48.26,12507560,-1.830756712774606
2025-11-17,47.91,49.19,47.72,48.46,13520490,0.4144218814753575
2025-11-18,47.6,48.02,47.2,47.55,17104700,-1.8778373916632396
2025-11-19,48.035,49.385,47.76,49.0,16585034,3.0494216614090464
2025-11-20,49.5,49.53,47.4812,47.6,15252292,-2.857142857142858
2025-11-21,47.02,48.15,46.69,47.63,18985250,0.06302521008403339
2025-11-24,43.425,45.22,43.08,44.97,73618723,-5.58471551543146
2025-11-25,45.975,47.21,45.94,47.06,30458571,4.647542806315319
2025-11-26,48.53,49.03,48.18,48.71,17834795,3.506162345941344
2025-11-28,49.13,49.705,48.35,49.35,15484203,1.3138985834530992
2025-12-01,48.925,49.4853,48.37,48.43,11626707,-1.864235055724417
2025-12-02,47.86,47.9799,47.371,47.43,11905167,-2.0648358455502835
2025-12-03,47.63,48.11,47.3,47.57,11472469,0.2951718321737351
2025-12-04,47.98,48.24,47.37,47.99,18457125,0.8829093966785884
2025-12-05,48.94,49.1199,47.83,47.86,15325308,-0.2708897687018208
2025-12-08,47.16,47.17,46.35,46.77,14872530,-2.2774759715837756
2025-12-09,46.215,46.79,46.08,46.36,10247881,-0.8766303185802959
2025-12-10,47.4,49.5,47.04,49.05,16964840,5.802415875754963
2025-12-11,49.96,50.54,49.585,50.29,15601182,2.528032619775744
2025-12-12,50.53,50.75,49.915,50.18,12392841,-0.21873135812288114
2025-12-15,49.96,50.66,49.55,50.37,11354710,0.378636907134311
2025-12-16,49.81,49.97,48.41,48.96,14148517,-2.7992852888624076
2025-12-17,48.1,48.75,47.73,47.77,10340893,-2.430555555555547
2025-12-18,48.01,48.31,47.515,47.61,8303277,-0.33493824576094067
2025-12-19,48.105,48.8,47.98,48.09,10927109,1.0081915563957322
2025-12-22,47.75,48.215,47.59,48.1,16059128,0.020794343938446147
2025-12-23,52.67,53.2,51.04,51.61,67564823,7.297297297297289
2025-12-24,52.85,53.63,52.0,52.56,19300102,1.8407285409804297
2025-12-26,53.02,53.025,51.7,52.4,13255553,-0.3044140030441511
2025-12-29,51.56,51.99,51.345,51.47,16895918,-1.7748091603053462
2025-12-30,51.52,51.67,51.065,51.22,11902520,-0.48571983679813746
2025-12-31,51.06,51.255,50.5501,50.88,10803856,-0.6638032018742579
2026-01-02,51.61,52.41,51.41,52.39,12134109,2.96776729559749
2026-01-05,53.92,55.415,53.36,55.11,30028729,5.191830502004202
2026-01-06,57.18,58.15,56.02,56.26,32942190,2.086735619669744
2026-01-07,56.85,57.765,56.23,56.57,17538435,0.5510131532172169
2026-01-08,57.04,57.9098,57.01,57.34,17505646,1.361145483471815
