date,open,high,low,close,volume,change_pct
2025-07-10,239.94,240.055,233.5,235.0,11486345,0.0
2025-07-11,231.37,234.0,229.87,230.56,10208178,-1.8893617021276565
2025-07-14,229.45,230.64,225.12,229.28,11336967,-0.5551700208188737
2025-07-15,232.405,235.6,229.2,234.96,10728795,2.4773203070481475
2025-07-16,235.51,241.33,233.19,241.3,12597452,2.6983316309159067
2025-07-17,243.34,251.5999,242.01,248.75,17631328,3.087443016991287
2025-07-18,248.5,249.68,245.0,245.45,9678072,-1.3266331658291497
2025-07-21,245.31,246.8,243.24,243.54,7348362,-0.778162558565898
2025-07-22,242.19,242.29,235.4101,238.11,11380866,-2.229613205222958
2025-07-23,239.95,243.42,238.66,241.9,7255797,1.59170131451849
2025-07-24,242.41,244.08,240.5601,242.83,8237851,0.3844563869367601
2025-07-25,242.34,245.47,241.43,245.12,7149571,0.9430465757937601
2025-07-28,246.0,247.78,243.42,247.71,6756775,1.0566253263707637
2025-07-29,248.7,253.07,246.59,249.98,8415324,0.916394170602719
2025-07-30,249.095,251.05,245.6,250.6,8441378,0.24801984158733248
2025-07-31,255.765,260.87,253.318,253.77,15548726,1.2649640861931433
2025-08-01,247.18,248.41,242.0,244.42,12718218,-3.684438664932821
2025-08-04,245.9,252.91,245.9,252.53,8614784,3.3180590786351383
2025-08-05,255.0,258.4872,251.37,255.67,11197287,1.243416623767457
2025-08-06,256.81,256.84,251.72,256.43,9930222,0.29725818437831286
2025-08-07,257.71,257.76,246.52,249.39,11954223,-2.7453886050774146
2025-08-08,249.925,250.8934,247.86,250.05,8313278,0.2646457355948595
2025-08-11,248.4,254.69,245.56,252.68,9012112,1.0517896420715767
2025-08-12,253.315,257.87,251.08,253.86,10001712,0.4669938261833151
2025-08-13,257.17,257.6699,242.635,244.18,14182078,-3.81312534467817
2025-08-14,243.85,248.92,242.57,244.96,10285555,0.31943648128429647
2025-08-15,246.76,250.63,242.925,248.28,11553988,1.3553233180927382
2025-08-18,246.22,249.16,243.62,249.07,6759921,0.3181891412920912
2025-08-19,249.24,249.25,232.23,234.62,16819250,-5.801581884610751
2025-08-20,232.47,235.88,228.2543,235.06,11256417,0.18753729434830557
2025-08-21,233.045,235.9199,232.43,233.16,7403128,-0.8083042627414327
2025-08-22,234.06,238.5,231.46,236.37,9343637,1.3767370046320115
2025-08-25,237.5,239.03,235.27,235.41,6308625,-0.40614291153699966
2025-08-26,235.0,236.905,232.71,234.21,11805197,-0.5097489486427853
2025-08-27,234.995,236.53,232.68,235.81,5637590,0.6831476025788819
2025-08-28,235.54,241.95,235.12,240.32,8691548,1.9125567193927218
2025-08-29,237.61,238.22,223.11,226.13,16618641,-5.904627163781628
2025-09-02,222.0,225.45,218.79,225.3,10461903,-0.3670455047981136
2025-09-03,225.9,225.9,221.75,223.45,8900813,-0.8211273857079537
2025-09-04,222.41,223.57,219.5601,223.0,10303069,-0.20138733497425676
2025-09-05,230.94,234.62,225.885,232.8,15386096,4.394618834080721
2025-09-08,239.44,242.42,235.31,238.48,18803046,2.439862542955318
2025-09-09,239.94,243.49,234.56,241.51,41178697,1.270546796377059
2025-09-10,319.22,345.72,312.09,328.33,131618085,35.948821994948446
2025-09-11,330.51,331.0,304.6,307.86,69986027,-6.234581061736655
2025-09-12,305.79,307.97,291.75,292.18,51781914,-5.093224192814915
2025-09-15,306.0,307.03,297.29,302.14,40004004,3.4088575535628607
2025-09-16,314.06,319.97,302.2724,306.65,51923268,1.4926855100284575
2025-09-17,307.69,308.66,295.03,301.41,27707949,-1.7087885211152676
2025-09-18,303.035,303.82,292.0,296.62,24673116,-1.5891974387047592
2025-09-19,299.0,311.11,297.32,308.66,40776201,4.059065470972967
2025-09-22,309.01,329.5,306.92,328.15,44437549,6.314391239551598
2025-09-23,324.0,325.0,310.05,313.83,35280199,-4.363857991772058
2025-09-24,312.0,312.47,300.03,308.46,33765279,-1.711117483988145
2025-09-25,295.27,298.75,288.55,291.33,39274883,-5.553394281268231
2025-09-26,293.0,294.0,283.0,283.46,25990691,-2.7014039062231876
2025-09-29,284.6,285.98,279.61,282.76,25778508,-0.24694842305792442
2025-09-30,283.69,284.0,275.9,281.24,23880810,-0.5375583533738792
2025-10-01,278.8,289.99,277.88,289.01,23378324,2.7627648983074904
2025-10-02,291.8,294.97,286.05,288.78,16215460,-0.07958202138335091
2025-10-03,289.4,294.64,284.0,286.14,13688407,-0.9141907334302868
2025-10-06,292.38,296.68,290.8,291.59,14076795,1.9046620535402292
2025-10-07,293.22,293.22,271.0,284.24,31723384,-2.5206625741623356
2025-10-08,285.42,291.53,283.6,288.63,18982122,1.5444694624261235
2025-10-09,291.05,300.97,287.26,296.96,26479833,2.8860478813706125
2025-10-10,300.51,307.72,292.01,292.96,28895338,-1.346982758620685
2025-10-13,298.7,310.7,297.74,308.01,21703725,5.137220098306949
2025-10-14,303.57,304.42,291.98,299.0,17346186,-2.9252297003343974
2025-10-15,304.9,311.01,298.92,303.62,13698938,1.5451505016722322
2025-10-16,305.6,322.54,303.07,313.0,32500863,3.089388050853037
2025-10-17,303.75,304.28,287.5,291.31,37653000,-6.929712460063897
2025-10-20,288.95,289.24,275.31,277.18,32810748,-4.850502900689991
2025-10-21,278.11,280.2999,272.26,275.15,18370806,-0.7323760733097706
2025-10-22,274.82,277.2,269.25,272.66,16474016,-0.9049609304015771
2025-10-23,272.96,283.1,272.385,280.07,16872158,2.717670358688462
2025-10-24,285.92,287.19,282.245,283.33,13194896,1.1639947156068198
2025-10-27,286.57,287.0,279.81,281.4,13855836,-0.681184484523345
2025-10-28,283.0,285.46,280.54,280.83,12448523,-0.2025586353944564
2025-10-29,281.46,281.62,271.35,275.3,18007149,-1.9691628387280447
2025-10-30,268.74,269.76,256.28,256.89,27954197,-6.68725027243009
2025-10-31,259.51,265.81,256.7097,262.61,16898693,2.22663396784617
2025-11-03,265.24,265.62,255.23,257.85,15709214,-1.8125737786070517
2025-11-04,249.98,255.28,245.185,248.17,19772593,-3.7541206127593707
2025-11-05,247.91,252.4,247.03,250.31,11991459,0.8623121247532062
2025-11-06,247.94,249.07,239.29,243.8,18678269,-2.600775038951697
2025-11-07,239.0,240.4,232.35,239.26,20969260,-1.8621821164889307
2025-11-10,245.95,247.24,237.07,240.83,16698716,0.656189918916672
2025-11-11,236.23,237.45,228.89,236.15,20686607,-1.9432794917576768
2025-11-12,236.74,236.81,226.17,226.99,24194992,-3.8788905356764714
2025-11-13,225.0,225.16,215.22,217.57,30008998,-4.149962553416453
2025-11-14,210.83,227.05,210.77,222.85,36053807,2.426805166153412
2025-11-17,218.21,222.8,215.56,219.86,16143779,-1.3417096701817233
2025-11-18,216.205,223.7,214.5,220.49,21098291,0.2865459838078843
2025-11-19,219.06,228.1499,217.31,225.53,21679490,2.2858179509274823
2025-11-20,231.16,234.0,210.3,210.69,27459600,-6.5800558683988815
2025-11-21,207.08,208.31,193.55,198.76,44834071,-5.662347524799472
2025-11-24,196.855,203.82,194.3,200.28,31144706,0.7647413966592964
2025-11-25,194.08,199.41,185.63,197.03,29594993,-1.6227281805472393
2025-11-26,209.5,210.0,202.24,204.96,26544148,4.024767801857587
2025-11-28,199.51,202.3399,197.61,201.95,13848479,-1.468579234972689
2025-12-01,200.5,203.5,196.7,200.94,13461204,-0.5001237930180702
2025-12-02,205.14,209.7,200.0,201.1,19664471,0.07962575893301072
2025-12-03,200.33,207.92,199.4,207.73,19060528,3.296867230233702
2025-12-04,207.86,215.41,206.315,214.33,23316937,3.1772011746016515
2025-12-05,219.0,219.5,213.62,217.58,24208687,1.5163532869873597
2025-12-08,221.345,224.75,216.91,220.54,24711161,1.3604191561724432
2025-12-09,220.03,222.62,218.28,221.53,17643643,0.4488981590641261
2025-12-10,221.8,225.32,217.58,223.01,47927993,0.6680810725409714
2025-12-11,190.62,201.99,186.23,198.85,100612691,-10.83359490605802
2025-12-12,196.29,197.85,185.98,189.97,55201644,-4.4656776464671815
2025-12-15,188.29,188.9697,181.4,184.92,43897509,-2.6583144707059025
2025-12-16,184.7,189.8,184.49,188.65,32433525,2.0170884706900427
2025-12-17,183.45,186.5,177.07,178.46,50222018,-5.401537238271937
2025-12-18,182.72,184.76,178.58,180.03,36297285,0.8797489633531219
2025-12-19,188.385,195.12,188.12,191.97,77008550,6.632227962006332
2025-12-22,196.82,198.8,192.83,198.38,27148017,3.339063395322195
2025-12-23,196.43,197.2,192.19,195.34,18301588,-1.5324125415868473
2025-12-24,195.0,198.28,194.42,197.49,9282733,1.100645029179903
2025-12-26,198.06,200.3699,196.11,197.99,11262030,0.2531773760696687
2025-12-29,194.16,198.51,192.64,195.38,14748125,-1.3182483963836589
2025-12-30,196.06,198.38,195.71,197.21,14197359,0.9366362984952525
2025-12-31,196.43,197.2,194.73,194.91,10341453,-1.1662694589523959
2026-01-02,197.47,198.59,194.21,195.71,14540657,0.41044584680109963
2026-01-05,198.34,201.69,192.33,192.59,22635516,-1.5941954933319735
