date,open,high,low,close,volume,change_pct
2025-07-16,29.85,29.95,28.53,28.92,6428494,0.0
2025-07-17,28.62,28.62,28.09,28.39,3894423,-1.832641770401111
2025-07-18,28.75,28.78,27.8848,28.09,5416008,-1.0567101091933817
2025-07-21,28.685,29.715,28.65,29.47,5777692,4.912780348878609
2025-07-22,29.86,30.48,29.54,30.15,5175563,2.3074312860536184
2025-07-23,30.01,30.25,29.385,29.55,4848031,-1.990049751243772
2025-07-24,29.13,29.73,28.78,29.27,3868396,-0.9475465313028786
2025-07-25,28.88,29.422,28.59,29.14,4200185,-0.44414075845575773
2025-07-28,28.8,28.9,28.14,28.51,3253337,-2.161976664378862
2025-07-29,28.55,28.56,28.0333,28.38,3596212,-0.45598035776921453
2025-07-30,28.095,28.315,27.18,27.37,4521707,-3.5588442565186673
2025-07-31,27.41,27.45,26.7724,27.02,3874706,-1.2787723785166238
2025-08-01,27.55,27.62,26.765,27.02,5123276,0.0
2025-08-04,27.3,28.14,27.3,28.14,3382530,4.145077720207269
2025-08-05,28.02,29.175,27.865,29.14,5692768,3.553660270078174
2025-08-06,29.25,29.39,28.9,29.35,5780213,0.720658888126291
2025-08-07,30.24,31.581,29.76,31.44,11991311,7.120954003407154
2025-08-08,31.55,32.12,31.11,31.95,7555036,1.6221374045801484
2025-08-11,30.75,31.815,30.7,31.55,4777747,-1.2519561815336422
2025-08-12,31.84,32.09,31.33,32.01,3324792,1.4580031695720974
2025-08-13,32.5,32.5,31.14,31.66,4923529,-1.0934083099031433
2025-08-14,31.35,32.0635,31.215,31.41,3023508,-0.7896399241945629
2025-08-15,31.3,31.845,31.13,31.74,3428271,1.0506208213944657
2025-08-18,31.62,31.75,31.24,31.69,2305660,-0.1575299306868172
2025-08-19,31.67,31.8,30.59,30.64,3603927,-3.3133480593247056
2025-08-20,30.79,31.28,30.6834,31.27,5179120,2.056135770234979
2025-08-21,31.29,32.28,31.16,32.04,4076021,2.46242404860888
2025-08-22,31.785,32.82,31.6,32.64,4242788,1.8726591760299671
2025-08-25,32.47,32.77,32.4,32.51,3034803,-0.39828431372549433
2025-08-26,32.57,33.205,32.57,33.11,3467051,1.845585973546604
2025-08-27,32.77,33.045,32.32,33.0,3493224,-0.33222591362126463
2025-08-28,33.135,33.2,32.46,32.93,3655208,-0.21212121212120794
2025-08-29,32.95,33.99,32.95,33.92,4285807,3.0063771636805514
2025-09-02,35.0,35.0,33.5,34.3,11008190,1.120283018867907
2025-09-03,34.78,34.91,33.69,34.04,8973761,-0.7580174927113603
2025-09-04,33.5,34.05,33.332,33.58,4856931,-1.3513513513513487
2025-09-05,34.475,34.75,33.72,34.6,6506900,3.037522334723053
2025-09-08,35.8191,36.14,35.02,35.75,9247971,3.3236994219653093
2025-09-09,35.95,36.31,35.135,35.4,8179329,-0.9790209790209836
2025-09-10,35.835,36.49,35.46,36.24,7354693,2.3728813559322104
2025-09-11,36.17,36.87,35.83,36.82,4577894,1.6004415011037443
2025-09-12,37.065,37.56,36.625,36.68,6946348,-0.38022813688213253
2025-09-15,36.74,37.73,36.69,37.19,6772858,1.390403489640124
2025-09-16,37.21,37.38,36.0401,36.21,6304852,-2.6351169669265873
2025-09-17,35.49,36.26,35.06,35.34,6620060,-2.4026512013255896
2025-09-18,35.38,35.5,34.44,35.22,5721659,-0.3395585738540041
2025-09-19,35.4,36.59,35.3,36.46,20234975,3.5207268597387875
2025-09-22,37.75,38.16,36.54,37.37,11079456,2.495885902358741
2025-09-23,37.7,38.41,37.54,37.77,7162154,1.0703773080010803
2025-09-24,37.8,38.055,36.36,36.39,4609733,-3.653693407466252
2025-09-25,36.87,37.09,36.4,36.8,5296829,1.1266831547128264
2025-09-26,37.08,38.51,36.9,38.36,8045827,4.239130434782612
2025-09-29,39.47,39.6,38.605,38.81,7180200,1.1730969760166854
