date,open,high,low,close,volume,change_pct
2025-07-09,139.655,143.17,137.39,143.13,68494760,0.0
2025-07-10,143.31,145.16,139.53,142.5,64383873,-0.4401592957451239
2025-07-11,142.11,144.58,141.47,142.1,52134812,-0.2807017543859702
2025-07-14,142.72,149.575,142.22,149.15,81774443,4.961294862772703
2025-07-15,148.93,150.62,147.3601,148.58,59126190,-0.3821656050955413
2025-07-16,149.3,151.51,147.6744,150.91,57636985,1.5681787589177487
2025-07-17,151.56,155.68,150.82,153.99,60165516,2.0409515605327666
2025-07-18,154.86,154.92,151.9,153.52,45771634,-0.30521462432625546
2025-07-21,153.88,155.44,151.36,151.79,45072814,-1.1268890046899571
2025-07-22,150.85,151.7899,145.062,149.07,49880762,-1.7919494037815342
2025-07-23,149.74,155.0,148.2871,154.63,48061985,3.729791373180391
2025-07-24,153.98,155.63,152.575,154.86,38925748,0.14874215870142038
2025-07-25,155.63,160.39,155.58,158.8,57972341,2.5442335012269224
2025-07-28,159.88,160.2799,153.04,157.88,63886935,-0.5793450881612205
2025-07-29,158.715,160.14,154.91,156.24,42427214,-1.0387636179376658
2025-07-30,157.365,159.38,156.56,158.61,40261681,1.5168970814132043
2025-07-31,159.99,160.89,156.73,158.35,45342610,-0.1639240905365491
2025-08-01,155.05,158.19,151.0576,154.27,61286993,-2.5765708872750093
2025-08-04,158.53,161.4,157.9301,160.66,82993558,4.1420885460556
2025-08-05,171.81,176.33,169.2201,173.27,130917543,7.848873397236411
2025-08-06,171.175,180.5813,171.01,179.54,82924849,3.6186298839960607
2025-08-07,181.01,184.48,178.17,182.2,77829184,1.481563996880908
2025-08-08,184.735,187.99,184.41,186.96,62657935,2.6125137211855165
2025-08-11,186.47,187.18,181.92,182.68,56125630,-2.289259734702609
2025-08-12,184.7,190.0,182.1,186.97,54983765,2.348368732209316
2025-08-13,189.0,189.46,183.59,184.37,53610031,-1.3905974220463135
2025-08-14,182.41,185.33,179.2,181.02,53472933,-1.8169984270759887
2025-08-15,179.725,180.0,173.38,177.17,60288736,-2.1268368136117655
2025-08-18,175.27,177.9,171.39,174.03,62656597,-1.7723090816729625
2025-08-19,171.36,172.3,156.9,157.75,137922722,-9.354708958225599
2025-08-20,152.3,156.46,142.34,156.01,220336359,-1.1030110935023818
2025-08-21,157.17,157.97,153.81,156.18,94678639,0.10896737388630395
2025-08-22,155.315,163.2,151.77,158.74,102099177,1.6391343321808138
2025-08-25,156.1,158.59,149.37,157.17,86879821,-0.9890386796018835
2025-08-26,155.39,162.13,154.57,160.87,86573715,2.354138830565633
2025-08-27,162.32,162.4,155.9801,156.72,76380553,-2.5797227575060644
2025-08-28,157.63,158.23,152.55,158.12,57885244,0.893312914752431
2025-08-29,156.98,158.42,153.0,156.71,45270502,-0.8917278016696173
2025-09-02,151.2,158.39,150.28,157.09,65434969,0.24248612086017474
2025-09-03,158.0,161.15,152.71,154.9,66052296,-1.3941052899611672
2025-09-04,154.865,157.04,153.16,156.14,53292341,0.8005164622336913
2025-09-05,157.82,158.97,148.04,153.11,81855896,-1.9405661585756184
2025-09-08,154.91,158.3,154.84,156.1,47642952,1.952844360263839
2025-09-09,157.25,162.75,156.37,162.36,61359531,4.010249839846258
2025-09-10,166.0,169.0,163.44,166.74,62211418,2.69770879526976
2025-09-11,167.24,167.458,163.22,164.36,42025501,-1.4273719563392073
2025-09-12,165.35,171.53,164.01,171.43,54498535,4.3015332197615
2025-09-15,169.6,171.8,167.41,171.21,45396116,-0.12833226389780128
2025-09-16,171.04,171.31,168.96,170.26,34598658,-0.5548741311839356
2025-09-17,169.02,169.68,161.27,168.33,69255497,-1.133560436978731
2025-09-18,170.27,178.8,169.39,176.97,70768631,5.132774906433779
2025-09-19,177.07,184.42,176.71,182.39,109129929,3.0626659885856222
2025-09-22,180.88,182.25,178.29,179.33,45916684,-1.6777235594056528
2025-09-23,182.51,185.75,177.01,182.55,62354834,1.7955724084090852
2025-09-24,183.91,184.85,177.12,179.56,45379666,-1.637907422623941
2025-09-25,175.8,184.32,174.29,179.12,72321194,-0.24504343951882168
2025-09-26,179.05,180.12,174.91,177.57,44275794,-0.8653416703885752
2025-09-29,179.64,181.48,177.16,178.86,38413753,0.7264740665653191
2025-09-30,178.98,182.77,178.22,182.42,43561729,1.9903835401990255
2025-10-01,181.32,186.28,179.5,184.95,45717299,1.386909330117314
2025-10-02,186.7,188.2,182.95,187.05,39849210,1.1354420113544261
2025-10-03,186.4,186.84,170.77,173.07,105533447,-7.4739374498797195
2025-10-06,179.18,182.95,177.83,179.53,52504240,3.7325937481943683
2025-10-07,180.31,186.18,179.4201,182.17,58179256,1.4705063220631587
2025-10-08,182.8,184.26,181.2,183.56,36299659,0.7630235494318516
2025-10-09,183.58,187.62,179.95,185.47,45050252,1.0405317062540886
2025-10-10,185.17,187.1,173.53,175.44,55194034,-5.407882676443632
2025-10-13,178.68,179.22,173.45,177.21,41332442,1.0088919288645748
2025-10-14,176.0,182.34,170.82,179.74,49261447,1.4276846679081245
2025-10-15,181.655,184.35,176.02,179.62,37372129,-0.06676310225881554
2025-10-16,181.78,184.82,176.45,178.12,42870891,-0.8350963144415968
2025-10-17,177.75,181.59,173.95,178.15,43421494,0.016842578037268296
2025-10-20,179.49,183.09,177.44,181.59,31975847,1.9309570586584224
2025-10-21,182.06,182.3891,178.6501,181.51,27528145,-0.04405528938818959
2025-10-22,181.93,182.21,169.42,175.49,58263102,-3.3166216737369747
2025-10-23,175.445,181.56,175.01,180.48,35812304,2.843466864208777
2025-10-24,182.88,186.17,182.85,184.63,34813464,2.299423758865249
2025-10-27,188.97,192.83,187.52,189.18,47153057,2.4643882359313363
2025-10-28,189.48,191.78,186.78,189.6,38201014,0.2220107833809104
2025-10-29,191.08,199.85,190.49,198.81,65537255,4.8575949367088755
2025-10-30,198.425,199.67,194.1201,194.55,43541719,-2.1427493586841706
2025-10-31,199.2,204.18,197.92,200.47,52697644,3.042919557954238
2025-11-03,205.045,207.52,201.82,207.18,81016835,3.347134234548821
2025-11-04,192.07,195.7,185.56,190.74,121380862,-7.935128873443387
2025-11-05,189.0,190.32,181.21,187.9,76121036,-1.4889378211177529
2025-11-06,187.99,191.09,174.53,175.05,78468584,-6.838744012772747
2025-11-07,173.15,178.7,168.91,177.93,73989654,1.6452442159383018
2025-11-10,184.31,194.9299,183.52,193.61,87764245,8.812454335974817
2025-11-11,190.335,192.925,187.13,190.96,49819723,-1.3687309539796577
2025-11-12,190.58,190.58,180.4,184.17,55347134,-3.5557184750733217
2025-11-13,181.715,182.7,170.7314,172.14,63188767,-6.532008470434924
2025-11-14,166.975,177.29,164.5,174.01,62596757,1.0863250842337635
2025-11-17,170.53,174.2399,167.68,171.25,50339029,-1.5861157404746806
2025-11-18,168.37,172.83,165.5,167.33,53710064,-2.289051094890504
2025-11-19,167.8,169.6,162.42,165.42,46108211,-1.141457001135493
2025-11-20,172.07,174.57,154.395,155.745,78443936,-5.848748639825885
2025-11-21,156.01,158.11,147.56,154.85,71346356,-0.5746572923689408
2025-11-24,157.47,165.17,157.0,162.25,57877788,4.778818211172098
2025-11-25,160.07,164.6499,156.555,163.55,36523528,0.8012326656394508
2025-11-26,166.85,168.3385,163.88,165.77,34610541,1.3573830632833905
2025-11-28,167.76,168.8,165.875,168.45,17199497,1.6166978343487903
2025-12-01,165.0,169.1,163.12,167.49,27779617,-0.5699020480854688
2025-12-02,169.59,175.75,169.59,170.69,35367971,1.910561824586532
2025-12-03,170.14,177.91,168.83,176.08,30541605,3.1577713984416222
