date,open,high,low,close,volume,change_pct
2025-07-16,6.5033,6.535,6.215,6.45,6094652,0.0
2025-07-17,6.6693,6.89,6.605,6.63,8268472,2.7906976744185963
2025-07-18,6.63,6.8,6.47,6.79,8331987,2.413273001508287
2025-07-21,7.0,7.25,6.84,7.03,14576071,3.53460972017674
2025-07-22,6.975,6.975,6.465,6.6,8596359,-6.116642958748231
2025-07-23,6.59,6.87,6.56,6.86,6929884,3.9393939393939537
2025-07-24,6.86,6.97,6.715,6.84,4577668,-0.291545189504383
2025-07-25,6.8598,7.16,6.61,6.65,5460400,-2.777777777777768
2025-07-28,6.67,6.69,6.32,6.36,5526566,-4.360902255639099
2025-07-29,6.49,6.515,6.05,6.19,5051974,-2.672955974842761
2025-07-30,6.25,6.41,6.17,6.28,4932974,1.453957996768973
2025-07-31,6.32,6.51,6.18,6.25,4271412,-0.4777070063694322
2025-08-01,6.025,6.31,5.87,6.18,6299549,-1.1200000000000099
2025-08-04,6.25,6.57,6.24,6.54,5447075,5.825242718446599
2025-08-05,6.64,6.735,6.29,6.39,5000345,-2.2935779816513846
2025-08-06,6.425,6.425,6.27,6.32,2914617,-1.0954616588419341
2025-08-07,6.35,6.48,6.155,6.27,4402194,-0.7911392405063444
2025-08-08,6.37,6.56,6.27,6.4,6790172,2.0733652312599826
2025-08-11,6.355,6.54,6.27,6.42,4692769,0.31249999999998224
2025-08-12,6.43,6.7,6.35,6.65,5588460,3.5825545171339623
2025-08-13,6.8,6.88,6.5,6.74,5946312,1.3533834586466176
2025-08-14,6.615,6.98,6.5,6.82,6072433,1.1869436201780381
2025-08-15,6.855,6.855,6.52,6.78,5268042,-0.5865102639296182
2025-08-18,6.78,7.03,6.64,6.84,5669599,0.8849557522123908
2025-08-19,6.78,6.8,6.3742,6.38,5864593,-6.725146198830412
2025-08-20,6.34,6.44,6.1,6.43,4658358,0.7836990595611271
2025-08-21,6.35,6.48,6.3417,6.48,3640587,0.7776049766718529
2025-08-22,6.48,6.84,6.37,6.8,5216290,4.938271604938271
2025-08-25,6.78,7.21,6.73,7.06,9365260,3.8235294117646923
2025-08-26,7.03,7.24,6.9522,6.98,5637960,-1.1331444759206666
2025-08-27,6.98,7.135,6.85,7.08,5354627,1.4326647564469885
2025-08-28,7.15,7.38,6.96,7.21,7811811,1.836158192090398
2025-08-29,7.155,7.1616,6.7928,7.09,6413917,-1.664355062413314
2025-09-02,6.76,6.79,6.41,6.65,9985502,-6.205923836389271
2025-09-03,6.72,6.76,6.43,6.44,7154765,-3.157894736842104
2025-09-04,6.4,6.55,6.29,6.46,7159758,0.31055900621117516
2025-09-05,6.6,6.65,6.255,6.53,8951303,1.0835913312693624
2025-09-08,7.705,9.7081,7.29,9.66,64238873,47.932618683001536
2025-09-09,8.64,9.555,8.51,9.02,43488110,-6.625258799171851
2025-09-10,9.19,9.35,8.595,8.97,32549844,-0.5543237250554167
2025-09-11,9.18,10.08,9.13,9.67,26479166,7.803790412486067
2025-09-12,9.62,9.79,9.39,9.78,14954211,1.1375387797311287
2025-09-15,9.97,10.11,9.485,9.86,11072109,0.8179959100204526
2025-09-16,9.86,9.9763,9.66,9.75,7932096,-1.1156186612576002
2025-09-17,9.68,10.4,9.68,10.23,12872250,4.923076923076919
2025-09-18,10.48,10.71,10.22,10.61,10558180,3.7145650048875822
2025-09-19,10.66,11.41,10.615,11.11,21936211,4.712535344015079
2025-09-22,10.86,11.15,10.72,11.11,10118831,0.0
2025-09-23,11.23,12.13,11.07,12.05,14718969,8.460846084608464
2025-09-24,12.14,12.23,11.67,11.93,11956683,-0.9958506224066466
2025-09-25,11.5,12.28,11.42,11.96,12749219,0.25146689019279744
2025-09-26,11.8408,12.33,11.76,12.2,10358844,2.006688963210679
2025-09-29,12.39,13.0,12.36,12.79,17484323,4.836065573770498
2025-09-30,12.68,13.06,12.12,12.98,17939360,1.485535574667729
2025-10-01,12.84,14.02,12.6,13.77,17926978,6.086286594761159
2025-10-02,14.36,15.1074,14.08,14.85,21246665,7.843137254901955
2025-10-03,14.95,15.5,14.76,15.31,18155291,3.09764309764311
2025-10-06,15.8,15.89,15.19,15.24,17077852,-0.4572175048987659
2025-10-07,14.9009,16.01,14.78,15.68,16764443,2.887139107611536
2025-10-08,16.62,16.78,15.26,15.6,15536412,-0.5102040816326481
2025-10-09,15.59,15.8,15.08,15.66,10681094,0.38461538461538325
2025-10-10,15.835,16.05,14.555,14.7,19306378,-6.130268199233724
2025-10-13,15.21,15.95,15.16,15.25,11235981,3.741496598639471
2025-10-14,14.8182,15.25,14.545,14.78,13581023,-3.0819672131147557
2025-10-15,15.44,15.665,14.85,15.09,11494741,2.0974289580514283
2025-10-16,15.47,15.5594,13.12,13.23,18607277,-12.326043737574544
2025-10-17,12.99,13.58,12.572,13.11,13601544,-0.9070294784580546
2025-10-20,14.02,14.4098,13.5,13.56,9701405,3.4324942791762014
2025-10-21,13.19,13.3355,12.81,12.91,7543190,-4.7935103244837745
2025-10-22,12.7,13.05,11.97,12.5,12319584,-3.1758326878388865
2025-10-23,12.61,13.305,12.59,12.95,7062337,3.600000000000003
2025-10-24,13.26,13.715,13.14,13.61,7294059,5.096525096525095
2025-10-27,13.95,13.96,13.27,13.31,6607274,-2.204261572373245
2025-10-28,13.39,13.47,12.78,12.84,6461820,-3.531179564237419
2025-10-29,12.91,13.335,12.765,12.9,6691988,0.4672897196261738
2025-10-30,12.715,13.2,12.5307,12.86,6048143,-0.31007751937984773
2025-10-31,12.89,13.7299,12.89,13.45,8672483,4.587869362363928
2025-11-03,13.33,13.3799,12.73,13.19,6522066,-1.9330855018587334
2025-11-04,12.66,13.52,12.4601,12.7,9895234,-3.7149355572403397
2025-11-05,12.84,13.345,12.53,13.25,6718018,4.330708661417337
2025-11-06,13.0,13.02,12.07,12.46,9772941,-5.962264150943386
2025-11-07,12.11,12.825,11.93,12.81,6879019,2.8089887640449396
2025-11-10,13.22,13.8,12.9224,13.39,10943870,4.527712724434041
2025-11-11,13.21,13.37,12.28,12.47,8585239,-6.870799103808811
2025-11-12,12.63,12.9,12.33,12.44,5990838,-0.24057738572574872
2025-11-13,12.2007,12.41,11.045,11.41,10882953,-8.279742765273312
2025-11-14,11.0,11.8495,10.7322,11.4,9106403,-0.08764241893075564
2025-11-17,11.1505,11.61,10.88,11.21,7325524,-1.6666666666666607
2025-11-18,11.03,11.885,10.965,11.45,8449415,2.140945584299714
2025-11-19,11.48,12.48,11.4,11.79,7431480,2.9694323144104695
2025-11-20,12.215,12.5,11.0913,11.23,10283080,-4.7497879558948135
2025-11-21,11.24,11.5,10.52,11.16,11250912,-0.6233303650934996
2025-11-24,11.335,11.655,11.26,11.54,6034398,3.4050179211469356
2025-11-25,11.54,11.8686,11.26,11.73,4527107,1.6464471403812908
2025-11-26,11.77,12.02,11.63,11.72,4688187,-0.08525149190110604
2025-11-28,11.9,12.01,11.716,11.9,2046819,1.5358361774743923
2025-12-01,11.575,11.82,11.4,11.7,4982226,-1.6806722689075682
2025-12-02,11.92,12.26,11.665,11.77,5645474,0.5982905982905962
2025-12-03,11.83,12.19,11.74,12.01,5612662,2.039082412914195
2025-12-04,11.99,13.2,11.93,12.94,9919229,7.743547044129895
2025-12-05,12.76,12.875,12.51,12.77,5322840,-1.3137557959814528
2025-12-08,13.17,13.23,12.62,12.95,7012261,1.4095536413468945
2025-12-09,12.69,13.0,12.5585,12.84,5872544,-0.8494208494208455
