date,open,high,low,close,volume,change_pct
2025-07-18,12.3,12.73,11.25,11.27,12076133,0.0
2025-07-21,11.5,11.62,9.33,9.415,17479796,-16.45962732919255
2025-07-22,9.665,9.665,8.78,8.98,9521630,-4.62028677642059
2025-07-23,9.07,9.57,9.07,9.56,8451110,6.458797327394206
2025-07-24,9.51,10.23,9.33,9.9,7492237,3.556485355648542
2025-07-25,9.85,9.95,9.37,9.46,4573317,-4.444444444444439
2025-07-28,9.7,9.985,8.8,9.05,6297447,-4.334038054968293
2025-07-29,9.04,9.05,8.21,8.24,6014922,-8.950276243093924
2025-07-30,8.38,8.52,7.96,8.19,4115035,-0.6067961165048597
2025-07-31,8.35,8.6,8.2101,8.28,4799002,1.098901098901095
2025-08-01,7.814,8.36,7.79,8.2,3809688,-0.9661835748792313
2025-08-04,8.33,8.97,8.33,8.83,5679784,7.6829268292682995
2025-08-05,9.11,10.41,9.02,10.01,17455196,13.363533408833517
2025-08-06,9.76,9.95,9.31,9.48,6839240,-5.2947052947052935
2025-08-07,9.9,9.97,9.26,9.33,6081194,-1.5822784810126667
2025-08-08,9.56,9.99,9.31,9.33,5731077,0.0
2025-08-11,9.5,10.13,9.21,9.365,7750056,0.37513397642015
2025-08-12,9.32,9.57,9.02,9.5,5201913,1.4415376401494928
2025-08-13,9.67,9.84,9.27,9.39,4331211,-1.1578947368421022
2025-08-14,9.39,9.825,8.915,9.37,8470237,-0.21299254526092604
2025-08-15,8.7,8.75,7.9,8.41,18131851,-10.245464247598711
2025-08-18,8.33,9.38,8.328,9.19,9890278,9.274673008323408
2025-08-19,9.15,9.22,8.66,9.01,6680124,-1.9586507072905324
2025-08-20,8.7,9.03,8.2,8.99,5594124,-0.221975582685896
2025-08-21,9.05,9.82,9.01,9.74,8605604,8.342602892102335
2025-08-22,9.58,10.06,9.51,9.82,6018694,0.8213552361396204
2025-08-25,9.63,10.24,9.36,10.07,5990358,2.5458248472504996
2025-08-26,10.0,10.4,9.37,9.39,8659510,-6.752730883813307
2025-08-27,9.36,9.36,8.84,8.975,7060507,-4.419595314164015
2025-08-28,9.07,9.348,8.97,9.04,3851172,0.7242339832868927
2025-08-29,9.06,9.075,8.6,8.94,3629628,-1.106194690265483
2025-09-02,8.58,8.9,8.48,8.88,3630048,-0.6711409395973034
2025-09-03,8.96,9.09,8.53,8.57,2812513,-3.490990990990994
2025-09-04,8.57,8.7233,8.38,8.51,2838341,-0.7001166861143604
2025-09-05,8.68,8.815,8.33,8.52,2979445,0.1175088131609936
2025-09-08,8.57,9.0451,8.57,8.87,5372178,4.107981220657275
2025-09-09,8.83,8.84,8.48,8.62,3690924,-2.8184892897407
2025-09-10,8.73,8.85,8.45,8.52,2752110,-1.1600928074245953
2025-09-11,9.275,11.21,9.22,11.0,30887731,29.107981220657276
2025-09-12,10.55,11.23,9.9,10.99,13422507,-0.09090909090908594
