date,open,high,low,close,volume,change_pct
2025-07-17,144.3,147.05,140.89,142.52,4454730,0.0
2025-07-18,142.51,149.09,138.11,148.24,6405912,4.013471793432499
2025-07-21,145.02,149.7288,144.41,146.29,5134872,-1.3154344306530064
2025-07-22,145.4,147.8,138.6,145.8,5183121,-0.3349511244787662
2025-07-23,147.97,152.25,144.3202,146.1,5664369,0.2057613168724215
2025-07-24,147.85,150.75,142.9,148.13,5460455,1.38945927446954
2025-07-25,149.94,152.78,147.9,149.66,4505610,1.0328765273746043
2025-07-28,150.84,153.2,147.55,151.6,4008671,1.2962715488440413
2025-07-29,151.55,152.0,141.6,144.85,6464107,-4.452506596306072
2025-07-30,145.72,150.38,144.085,149.33,5280716,3.0928546772523324
2025-07-31,160.4,162.88,154.83,160.59,19988941,7.540346882742921
2025-08-01,182.0,196.6799,177.77,188.64,27258289,17.466841023725
2025-08-04,191.7,203.73,188.98,201.76,15113312,6.955046649703145
2025-08-05,198.67,208.68,197.51,199.09,10585061,-1.3233544805709707
2025-08-06,198.98,212.98,198.75,212.81,8279389,6.891355668290733
2025-08-07,215.745,217.3,205.72,211.82,6074456,-0.46520370283351653
2025-08-08,212.0,219.0,208.85,215.44,4726955,1.7089982060239928
2025-08-11,215.23,225.35,211.8001,220.75,5563370,2.464723356851106
2025-08-12,221.175,229.4469,220.69,224.02,4803252,1.4813137032842594
2025-08-13,225.92,237.3531,224.3,234.77,7466951,4.798678689402736
2025-08-14,229.955,244.85,229.955,243.47,7579693,3.7057545683008897
2025-08-15,242.575,248.015,235.79,246.5,6434008,1.2445065100423092
2025-08-18,245.63,253.14,237.54,241.76,6933845,-1.9229208924949281
2025-08-19,238.22,238.84,225.5001,228.18,8655674,-5.617140966247513
2025-08-20,221.5,225.0318,205.374,218.37,13073431,-4.299237444123061
2025-08-21,217.44,221.73,215.1,218.65,4002415,0.12822274121904176
2025-08-22,215.0,230.25,214.1,217.31,7640575,-0.6128515892979691
2025-08-25,214.27,222.47,212.57,219.73,4580555,1.1136164925682257
2025-08-26,218.84,220.5,214.99,219.43,5316164,-0.13653119737859765
2025-08-27,220.97,226.6688,208.24,211.1,4906088,-3.7961992434945135
2025-08-28,212.8,227.0,212.4,225.54,5146994,6.840360018948366
2025-08-29,225.06,227.9,219.62,225.08,3922315,-0.203954952558294
2025-09-02,219.98,223.44,213.15,220.06,4639979,-2.230318109116758
2025-09-03,226.28,239.37,218.7,223.14,8426761,1.3996182859220108
2025-09-04,225.0,234.38,223.5,232.11,4269990,4.019897821995166
2025-09-05,234.0,241.18,230.24,240.0,5567611,3.399250355434913
2025-09-08,245.09,246.99,229.86,229.98,5949183,-4.175000000000006
2025-09-09,235.35,240.3,232.05,240.2,3655873,4.443864683885557
2025-09-10,245.14,261.1273,244.845,259.03,7445754,7.83930058284763
2025-09-11,260.57,266.6395,257.45,260.54,3726896,0.5829440605335412
2025-09-12,262.22,266.15,251.19,254.29,3683657,-2.3988638980578902
2025-09-15,256.66,265.54,255.42,263.64,4584343,3.676904321837271
2025-09-16,265.075,268.15,260.5,266.66,3671286,1.1455014413594533
2025-09-17,263.1,270.36,249.22,266.47,10028725,-0.07125178129453458
2025-09-18,271.99,282.95,269.92,270.71,6843943,1.5911734904491937
2025-09-19,270.5,271.99,251.5,264.48,11586079,-2.3013556942853786
2025-09-22,257.45,262.99,253.34,257.56,5281151,-2.6164549304295237
2025-09-23,255.575,255.78,235.85,237.45,8042236,-7.807889423823577
2025-09-24,241.51,244.0,234.89,235.69,4821560,-0.7412086755106295
2025-09-25,228.15,236.52,223.5,232.75,4646075,-1.2474012474012475
2025-09-26,234.08,240.61,231.2379,240.11,3280330,3.162191192266395
2025-09-29,244.804,246.43,239.3,241.98,3784584,0.7788097122152227
2025-09-30,240.335,240.99,225.09,229.99,4885384,-4.954954954954949
2025-10-01,213.0,218.319,202.26,202.6,15773953,-11.909213444062793
2025-10-02,208.1,209.0,198.8,200.92,7759210,-0.829220138203357
2025-10-03,212.02,213.38,205.41,207.2,8463205,3.1256221381644522
2025-10-06,207.3,211.15,198.87,203.63,4985092,-1.7229729729729693
2025-10-07,206.24,209.7364,202.5071,205.92,3706730,1.1245887148259026
2025-10-08,206.225,206.225,195.01,202.29,6644149,-1.7628205128205066
