date,open,high,low,close,volume,change_pct
2025-07-14,14.3,15.84,13.54,14.68,1074383,0.0
2025-07-15,14.18,15.15,13.67,13.7,813626,-6.675749318801094
2025-07-16,14.5,15.3,14.05,15.29,1357414,11.605839416058394
2025-07-17,16.64,16.68,14.33,14.86,1055577,-2.8122956180510084
2025-07-18,15.6,15.6,14.15,14.5,644390,-2.4226110363391617
2025-07-21,14.0,14.4,13.65,14.4,504249,-0.6896551724137945
2025-07-22,14.29,14.29,13.51,13.67,407443,-5.069444444444448
2025-07-23,13.75,18.4051,13.75,14.79,2758155,8.193123628383315
2025-07-24,14.88,15.37,14.56,15.18,525286,2.6369168356997985
2025-07-25,15.03,15.3,14.67,15.05,280545,-0.8563899868247682
2025-07-28,14.83,15.05,13.8,13.8,425158,-8.30564784053156
2025-07-29,14.0,14.1906,13.4,13.89,378389,0.6521739130434856
2025-07-30,13.77,14.8,13.1072,14.43,479009,3.88768898488121
2025-07-31,14.2,14.6,13.2,13.2,318603,-8.52390852390853
2025-08-01,13.23,13.4499,12.76,12.97,369416,-1.7424242424242342
2025-08-04,13.0,13.77,12.902,13.76,234850,6.090979182729361
2025-08-05,13.75,13.75,13.011,13.46,185959,-2.1802325581395277
2025-08-06,14.26,14.26,12.6,12.6,393609,-6.389301634472522
2025-08-07,13.8,13.86,13.06,13.18,392874,4.603174603174609
2025-08-08,13.3,14.1,13.3,13.97,291750,5.993930197268593
2025-08-11,13.65,13.77,13.1,13.52,232413,-3.2211882605583497
2025-08-12,13.53,13.65,13.28,13.44,218073,-0.591715976331364
2025-08-13,13.38,13.74,13.3,13.42,340679,-0.14880952380952328
2025-08-14,13.18,13.45,12.55,12.7,293823,-5.365126676602094
2025-08-15,12.87,13.12,12.7,13.12,153369,3.307086614173227
2025-08-18,12.92,13.33,12.75,13.325,133362,1.5625
2025-08-19,13.04,13.16,12.31,12.47,174367,-6.4165103189493315
2025-08-20,12.3,12.559,12.12,12.33,147211,-1.122694466720131
2025-08-21,12.23,12.72,12.23,12.56,88720,1.8653690186536842
2025-08-22,12.95,13.0,12.52,12.8,165369,1.9108280254777066
2025-08-25,12.6,12.79,12.22,12.28,260371,-4.062500000000013
2025-08-26,12.3,13.55,12.3,13.55,306014,10.342019543973958
2025-08-27,13.3,14.4499,13.3,14.24,367475,5.092250922509223
2025-08-28,14.3,16.69,13.985,15.28,1012860,7.3033707865168385
2025-08-29,14.88,15.12,14.0,14.05,281045,-8.049738219895275
2025-09-02,13.91,14.1315,12.0108,12.85,498304,-8.54092526690392
2025-09-03,13.2,13.9,13.03,13.82,311086,7.548638132295715
2025-09-04,13.5,13.82,12.4101,12.84,291578,-7.09117221418235
2025-09-05,13.4,13.4,12.9,13.26,195526,3.2710280373831724
2025-09-08,13.18,13.75,13.03,13.43,177099,1.2820512820512775
2025-09-09,13.15,13.68,12.705,13.57,222875,1.042442293373047
2025-09-10,13.5,13.57,13.2687,13.31,310305,-1.915991156963892
2025-09-11,13.22,13.57,13.0569,13.45,103112,1.0518407212622094
2025-09-12,13.28,14.97,13.28,14.7,435575,9.293680297397767
2025-09-15,15.0,15.25,14.2,14.35,172665,-2.3809523809523836
2025-09-16,14.08,14.5,14.08,14.31,73004,-0.2787456445992986
2025-09-17,14.6,15.73,14.44,15.6,454163,9.014675052410892
2025-09-18,15.51,15.6,14.9,15.15,122718,-2.8846153846153855
2025-09-19,15.15,15.8,15.12,15.64,204069,3.2343234323432446
2025-09-22,15.7,15.7,14.75,15.44,163456,-1.278772378516635
2025-09-23,15.44,15.44,14.67,14.75,122432,-4.468911917098439
2025-09-24,15.0,15.03,14.5,14.58,146338,-1.15254237288136
2025-09-25,15.48,15.9,13.58,15.14,259183,3.840877914952001
2025-09-26,15.0,15.36,14.935,15.1,64526,-0.26420079260238705
2025-09-29,15.12,16.39,14.96,16.39,296421,8.543046357615891
2025-09-30,15.8,16.35,15.45,15.45,114757,-5.735204392922522
2025-10-01,15.35,16.0,15.29,15.83,140986,2.4595469255663582
2025-10-02,16.31,16.81,15.8,16.15,210953,2.0214782059380765
2025-10-03,16.2,17.2,16.2,17.1,230490,5.882352941176494
2025-10-06,17.1,17.38,16.5482,17.25,148354,0.8771929824561209
2025-10-07,17.97,21.7499,17.4,20.05,837583,16.231884057971023
2025-10-08,20.0,20.0,18.21,19.4,440489,-3.2418952618453956
2025-10-09,19.5,19.8,18.44,18.44,129944,-4.948453608247405
2025-10-10,18.38,18.81,16.51,16.81,244244,-8.839479392624739
2025-10-13,16.77,18.18,16.3287,17.99,257941,7.019631171921481
2025-10-14,17.0,17.71,16.62,17.22,132830,-4.280155642023342
2025-10-15,17.4,19.3,17.25,18.76,338407,8.943089430894325
2025-10-16,18.14,19.0,17.81,17.95,124992,-4.317697228145001
2025-10-17,17.73,18.0951,17.3111,17.41,72975,-3.0083565459609996
2025-10-20,17.5,17.88,16.0,16.96,193101,-2.5847214244686945
2025-10-21,16.96,17.4899,16.03,16.03,137603,-5.48349056603773
2025-10-22,16.0,16.3,15.0501,15.75,195888,-1.7467248908296984
2025-10-23,15.55,16.38,15.2,16.02,98747,1.7142857142857126
2025-10-24,16.28,16.3598,15.8304,15.9,59398,-0.7490636704119757
2025-10-27,17.19,17.19,16.37,16.51,129970,3.836477987421394
2025-10-28,16.5,17.45,16.3,17.28,76537,4.663840096910965
2025-10-29,17.23,17.2455,16.37,16.61,107251,-3.877314814814825
2025-10-30,16.23,16.92,15.79,16.35,98588,-1.5653220951234115
2025-10-31,16.48,16.9199,16.32,16.65,60810,1.83486238532109
2025-11-03,16.89,16.89,13.56,13.56,253493,-18.558558558558545
2025-11-04,13.0,13.7,12.6,13.13,215980,-3.1710914454277317
2025-11-05,12.98,13.51,12.61,13.1,92964,-0.22848438690024064
2025-11-06,13.15,13.56,13.11,13.26,56363,1.2213740458015376
2025-11-07,13.0,13.31,12.6,13.02,100024,-1.8099547511312264
2025-11-10,13.5,14.9,13.49,13.83,135866,6.2211981566820285
2025-11-11,13.11,14.71,13.11,14.54,151941,5.133767172812709
