date,open,high,low,close,volume,change_pct
2025-07-15,14.015,14.115,13.2,13.31,15340439,0.0
2025-07-16,13.44,13.64,13.1801,13.6,11528961,2.1788129226145703
2025-07-17,13.63,14.035,13.53,13.78,15451531,1.3235294117647012
2025-07-18,13.98,14.06,13.66,13.99,11635003,1.5239477503628418
2025-07-21,14.24,15.29,14.24,15.04,38174412,7.505360972122932
2025-07-22,15.425,16.37,15.33,16.0,51748433,6.382978723404253
2025-07-23,17.32,17.32,15.87,16.21,64280868,1.3125000000000053
2025-07-24,15.95,16.0,14.83,14.86,26582345,-8.328192473781627
2025-07-25,14.8,15.1265,14.6,15.0,16723681,0.9421265141319024
2025-07-28,14.9,15.07,14.58,15.04,11515076,0.2666666666666595
2025-07-29,15.065,15.625,15.02,15.2,16740344,1.0638297872340496
2025-07-30,15.15,15.2624,14.52,14.66,17555903,-3.552631578947363
2025-07-31,14.76,15.255,14.5,14.77,23502975,0.7503410641200414
2025-08-01,15.915,17.23,15.83,16.54,55979392,11.983750846310093
2025-08-04,16.75,17.095,16.48,16.88,20091931,2.055622732769047
2025-08-05,16.9,18.155,16.65,18.03,31737611,6.812796208530814
2025-08-06,17.9,18.35,17.54,18.12,24927782,0.4991680532445919
2025-08-07,18.3,18.455,17.5,17.55,13395502,-3.14569536423841
2025-08-08,17.645,17.645,16.74,16.81,12929357,-4.216524216524231
2025-08-11,16.935,17.35,16.93,17.11,9832914,1.7846519928613969
2025-08-12,17.585,18.48,17.57,18.27,23228274,6.779661016949157
2025-08-13,18.6,19.665,18.5,19.62,32836025,7.389162561576357
2025-08-14,18.99,19.22,18.545,18.72,22158197,-4.587155963302758
2025-08-15,19.115,19.115,18.51,18.53,11259114,-1.0149572649572502
2025-08-18,18.425,18.5,17.69,17.83,11885681,-3.7776578521316884
2025-08-19,18.2096,18.44,17.805,18.44,17699732,3.4212002243410256
2025-08-20,18.42,18.57,17.76,17.76,14486025,-3.6876355748373113
2025-08-21,17.57,17.68,17.13,17.58,14954647,-1.013513513513531
2025-08-22,17.67,19.625,17.55,19.21,30245744,9.27189988623438
2025-08-25,18.86,19.08,18.6,18.73,14800709,-2.4986985944820406
2025-08-26,18.815,18.98,18.43,18.94,18239101,1.1211959423385043
2025-08-27,18.9,19.0,18.06,18.08,23637907,-4.540654699049651
2025-08-28,18.3,18.325,17.52,17.89,14082957,-1.050884955752196
2025-08-29,17.965,18.135,17.625,17.77,15830512,-0.6707657909446718
2025-09-02,17.1,17.42,16.68,17.16,12995312,-3.4327518289251513
2025-09-03,17.2,17.99,17.15,17.88,17755991,4.195804195804187
2025-09-04,18.0,19.23,18.0,19.15,25201351,7.102908277404918
2025-09-05,19.96,20.47,19.35,20.26,39315136,5.796344647519591
2025-09-08,20.27,20.5,19.95,20.48,22760609,1.0858835143139123
2025-09-09,20.29,20.49,19.8716,20.46,17392112,-0.09765625
2025-09-10,21.39,22.08,20.64,20.9,39784890,2.1505376344086002
2025-09-11,21.36,22.555,20.88,21.11,50859712,1.0047846889952305
2025-09-12,20.79,21.44,20.66,21.1,22608530,-0.0473709142586376
2025-09-15,21.28,21.7499,20.905,21.1,24065270,0.0
2025-09-16,21.11,21.12,20.095,20.77,22885915,-1.563981042654039
2025-09-17,21.05,21.96,20.265,21.16,32820145,1.877708233028419
2025-09-18,21.01,21.54,20.56,21.14,21810487,-0.0945179584120992
2025-09-19,21.16,21.4,20.19,20.51,21839801,-2.980132450331119
2025-09-22,20.13,20.41,19.74,19.82,33141306,-3.364212579229653
2025-09-23,19.87,20.38,19.5222,19.62,22886314,-1.0090817356205761
2025-09-24,19.565,20.055,19.2607,19.59,20625771,-0.1529051987767649
2025-09-25,19.01,19.33,18.82,19.05,19369241,-2.7565084226646164
2025-09-26,19.09,19.75,18.92,19.51,21805649,2.414698162729656
2025-09-29,19.575,20.14,19.17,20.14,21421651,3.229113275243467
2025-09-30,20.33,20.4,18.465,19.38,29723083,-3.7735849056603876
2025-10-01,19.76,20.62,19.25,19.59,95607916,1.0835913312693624
2025-10-02,18.77,18.87,17.785,18.37,91027779,-6.227667177131179
2025-10-03,18.44,18.82,17.63,17.8,191092662,-3.1028851388132828
2025-10-06,17.93,17.9673,16.9,16.94,58463971,-4.831460674157295
2025-10-07,17.05,17.1,15.85,16.28,59866872,-3.8961038961038974
2025-10-08,16.54,16.79,16.21,16.22,36456006,-0.3685503685503799
2025-10-09,16.22,16.52,15.8,16.26,45818234,0.2466091245376223
2025-10-10,16.395,16.825,16.12,16.39,34426933,0.7995079950799511
