date,open,high,low,close,volume,change_pct
2025-07-17,12.9,13.3,12.605,12.65,647474,0.0
2025-07-18,12.75,12.78,12.19,12.48,604118,-1.3438735177865646
2025-07-21,12.61,12.61,12.22,12.38,574446,-0.8012820512820484
2025-07-22,12.43,12.67,12.24,12.51,636717,1.050080775444262
2025-07-23,12.63,12.82,12.47,12.64,731503,1.0391686650679466
2025-07-24,12.4,12.55,11.69,11.8,1068749,-6.645569620253166
2025-07-25,11.85,11.93,11.74,11.83,965582,0.25423728813558366
2025-07-28,11.98,12.14,11.71,12.08,681670,2.1132713440405793
2025-07-29,12.23,12.33,11.79,12.15,1335486,0.5794701986755024
2025-07-30,12.19,12.4499,11.87,11.99,1579062,-1.3168724279835398
2025-07-31,11.99,12.08,11.5,11.59,1237909,-3.3361134278565463
2025-08-01,11.59,11.775,10.19,10.31,2082659,-11.044003451251072
2025-08-04,10.42,10.78,10.31,10.55,1120515,2.3278370514064006
2025-08-05,10.53,10.595,10.14,10.3,1281968,-2.3696682464455
2025-08-06,10.33,10.615,10.21,10.56,852335,2.5242718446601975
2025-08-07,10.58,11.08,10.56,10.88,990481,3.0303030303030276
2025-08-08,10.94,10.945,10.645,10.72,994970,-1.4705882352941235
2025-08-11,10.75,10.87,10.49,10.84,966385,1.1194029850746245
2025-08-12,10.99,12.195,10.89,12.09,1316170,11.53136531365313
2025-08-13,12.2,13.01,11.95,12.98,1472688,7.361455748552537
2025-08-14,12.63,12.83,12.3,12.55,717471,-3.3127889060092452
2025-08-15,12.67,12.73,12.12,12.2,687914,-2.788844621513953
2025-08-18,12.13,12.49,12.04,12.22,699987,0.16393442622952836
2025-08-19,12.24,12.545,12.19,12.2,547041,-0.16366612111293755
2025-08-20,12.06,12.15,11.7,11.86,681790,-2.786885245901638
2025-08-21,11.75,11.75,11.5,11.62,576720,-2.02360876897133
2025-08-22,11.78,12.74,11.78,12.63,697335,8.691910499139421
2025-08-25,12.46,12.6,12.3,12.45,430025,-1.4251781472684244
2025-08-26,12.52,12.86,12.51,12.82,554642,2.9718875502008135
2025-08-27,12.66,13.08,12.66,13.07,563737,1.950078003120126
2025-08-28,13.2,13.33,12.82,13.05,794309,-0.15302218821728886
2025-08-29,13.07,13.285,12.91,13.25,663088,1.5325670498084198
2025-09-02,12.88,13.4,12.88,13.38,922148,0.9811320754717023
2025-09-03,13.4,13.88,13.22,13.5,701965,0.8968609865470878
2025-09-04,13.51,13.62,12.9,12.96,1094863,-3.9999999999999925
2025-09-05,12.97,13.385,12.75,13.17,982986,1.620370370370372
2025-09-08,13.27,13.41,12.575,12.83,1437888,-2.581624905087321
2025-09-09,12.89,12.89,12.55,12.67,1079447,-1.247077162899457
2025-09-10,12.6,13.355,12.45,13.11,906757,3.4727703235990504
2025-09-11,13.28,13.775,13.2,13.65,1052213,4.118993135011451
2025-09-12,13.91,14.22,13.62,13.65,1314420,0.0
2025-09-15,13.65,13.71,13.0,13.1,1412806,-4.029304029304037
2025-09-16,13.2,13.3,12.87,13.1,946895,0.0
2025-09-17,13.17,13.43,12.605,12.63,905459,-3.5877862595419807
2025-09-18,12.82,13.23,12.63,13.2,1188180,4.51306413301662
2025-09-19,13.2,13.2,12.58,12.62,4141250,-4.3939393939393945
2025-09-22,12.76,12.76,12.17,12.35,667804,-2.1394611727416746
2025-09-23,12.45,13.0753,12.4,12.48,841771,1.0526315789473717
2025-09-24,12.52,12.52,12.22,12.35,602231,-1.041666666666674
2025-09-25,12.19,12.31,11.86,11.87,1182497,-3.886639676113368
2025-09-26,11.91,12.06,11.76,11.78,858404,-0.7582139848357206
2025-09-29,12.01,12.09,11.7,11.97,1028757,1.6129032258064724
2025-09-30,11.96,12.055,11.715,11.81,1183029,-1.3366750208855471
2025-10-01,11.8,11.9,11.42,11.77,818878,-0.3386960203217715
2025-10-02,11.73,11.889,11.4,11.84,808196,0.5947323704333041
2025-10-03,11.86,12.1125,11.66,11.9,889492,0.5067567567567544
2025-10-06,11.99,11.99,11.5041,11.56,903359,-2.857142857142858
2025-10-07,11.57,11.63,11.17,11.33,1007151,-1.9896193771626325
2025-10-08,11.39,11.78,11.235,11.48,718470,1.3239187996469504
2025-10-09,11.94,12.14,11.07,11.19,925974,-2.5261324041811917
2025-10-10,11.26,11.63,10.705,10.77,1185090,-3.753351206434319
2025-10-13,10.97,11.21,10.87,11.12,712687,3.249767873723308
2025-10-14,10.9,11.845,10.86,11.6,747055,4.316546762589923
2025-10-15,11.63,11.76,11.48,11.71,804532,0.9482758620689813
2025-10-16,11.68,11.735,11.07,11.47,751211,-2.0495303159692613
2025-10-17,11.35,11.6,11.03,11.31,660691,-1.3949433304272008
2025-10-20,11.45,12.09,11.44,11.83,891276,4.597701149425282
2025-10-21,11.74,12.09,11.695,12.01,888985,1.5215553677092153
2025-10-22,12.01,12.13,11.685,11.78,709109,-1.9150707743547102
2025-10-23,11.87,11.96,11.27,11.38,601001,-3.3955857385398858
2025-10-24,11.53,11.63,11.41,11.51,513015,1.1423550087873435
2025-10-27,11.52,11.76,11.4101,11.51,656600,0.0
2025-10-28,11.4,11.45,10.85,10.93,817741,-5.039096437880108
2025-10-29,10.94,11.0,10.25,10.61,2024911,-2.9277218664226945
2025-10-30,10.78,11.28,10.48,11.27,1575178,6.220546654099901
2025-10-31,11.22,12.32,11.125,12.28,1443806,8.96184560780835
2025-11-03,12.765,12.85,12.24,12.46,1310637,1.4657980456026287
2025-11-04,12.29,12.29,11.86,11.93,845260,-4.253611556982351
2025-11-05,12.0,12.76,11.98,12.59,1129343,5.5322715842414105
2025-11-06,12.48,12.73,12.12,12.39,645575,-1.5885623510722757
2025-11-07,12.28,12.79,11.96,12.51,943709,0.9685230024212954
2025-11-10,12.97,12.97,12.15,12.31,612936,-1.5987210231814486
2025-11-11,12.3,12.49,11.99,12.26,664909,-0.4061738424045558
2025-11-12,12.35,12.775,12.35,12.71,646621,3.6704730831973897
2025-11-13,12.57,12.83,12.37,12.61,787623,-0.7867820613690069
2025-11-14,12.38,12.61,12.22,12.38,526827,-1.8239492466296525
2025-11-17,12.36,12.4144,11.705,11.755,907343,-5.048465266558965
2025-11-18,11.65,12.0,11.64,11.96,555640,1.7439387494683212
2025-11-19,12.05,12.08,11.3,11.37,836470,-4.93311036789299
2025-11-20,11.52,11.87,11.235,11.33,770166,-0.3518029903254116
