date,open,high,low,close,volume,change_pct
2025-07-10,27.39,27.73,26.66,27.37,87602523,0.0
2025-07-11,26.85,27.54,26.55,27.29,71855387,-0.2922908293752302
2025-07-14,26.635,26.7712,25.3213,26.5,99670560,-2.8948332722608994
2025-07-15,28.07,28.46,27.205,27.29,108926203,2.981132075471704
2025-07-16,26.6,27.05,24.91,27.03,125700856,-0.9527299377061094
2025-07-17,26.96,27.5101,26.42,27.32,85334112,1.072881982981877
2025-07-18,27.71,27.9,26.755,27.33,68274331,0.03660322108345326
2025-07-21,27.56,28.5,27.44,27.5,79860326,0.622027076472742
2025-07-22,27.12,27.28,25.34,26.32,118871562,-4.290909090909089
2025-07-23,25.67,25.91,24.84,25.78,105639244,-2.0516717325227973
2025-07-24,25.66,25.79,24.95,25.62,77503286,-0.6206361520558534
2025-07-25,25.165,25.62,24.83,25.6,68037930,-0.07806401249024209
2025-07-28,26.38,26.99,26.3352,26.88,88108434,4.999999999999982
2025-07-29,27.41,28.16,26.5,27.03,101714456,0.5580357142857206
2025-07-30,27.745,28.13,26.93,27.61,96772150,2.1457639659637318
2025-07-31,26.675,26.74,24.2,24.98,133413756,-9.525534226729437
2025-08-01,23.58,24.83,22.565,24.08,132665236,-3.602882305844679
2025-08-04,24.59,25.1799,24.24,25.0,85963838,3.8205980066445155
2025-08-05,25.42,25.68,23.61,24.52,99733426,-1.9199999999999995
2025-08-06,23.84,24.12,22.95,23.99,103447465,-2.1615008156606885
2025-08-07,25.48,25.88,24.53,25.0,117228393,4.210087536473539
2025-08-08,25.16,25.83,24.9,25.71,71389885,2.839999999999998
2025-08-11,26.03,26.885,25.45,25.61,75943484,-0.388953714507978
2025-08-12,26.23,28.08,25.68,28.0,125910469,9.332292073408821
2025-08-13,28.685,29.33,28.31,29.27,89497115,4.535714285714287
2025-08-14,28.12,29.66,27.95,29.42,84286844,0.5124701059104897
2025-08-15,28.71,28.71,27.07,27.37,93664662,-6.968048946295036
2025-08-18,27.1,27.65,27.03,27.53,50310362,0.5845816587504604
2025-08-19,27.56,27.86,26.1,26.24,75595120,-4.685797312023254
2025-08-20,26.105,26.11,23.66,25.8,117636493,-1.6768292682926789
2025-08-21,25.38,25.9,24.905,25.35,67871086,-1.74418604651162
2025-08-22,25.56,28.32,25.335,27.45,117140893,8.284023668639051
2025-08-25,27.35,27.58,26.81,27.3,55018743,-0.5464480874316835
2025-08-26,27.53,28.22,27.52,27.94,57544326,2.344322344322336
2025-08-27,27.61,28.23,27.28,28.18,61375213,0.8589835361488829
2025-08-28,28.42,29.11,27.96,28.53,74466372,1.2420156139105742
2025-08-29,27.315,27.35,25.67,26.04,108411318,-8.727655099894848
2025-09-02,24.0203,25.275,23.8,25.25,101906668,-3.03379416282642
2025-09-03,25.365,25.41,24.12,24.91,79482164,-1.3465346534653477
2025-09-04,24.41,25.73,23.98,25.65,81641173,2.97069450020071
2025-09-05,26.82,26.9656,25.6,26.45,110749436,3.1189083820662766
2025-09-08,26.96,27.43,26.68,27.08,72341742,2.3818525519848643
2025-09-09,27.165,27.37,26.5699,27.18,55882318,0.36927621861153614
2025-09-10,28.48,28.83,28.067509,28.6,86721576,5.224429727740998
2025-09-11,29.055,29.61,28.97,29.17,69919842,1.993006993006996
2025-09-12,29.37,29.55,28.79,29.3,52502568,0.4456633527596843
2025-09-15,29.1,30.03,28.92,30.0,61267957,2.3890784982935065
2025-09-16,30.33,30.65,29.79,30.48,54148198,1.6000000000000014
2025-09-17,30.26,31.25,29.16,30.47,80483924,-0.032808398950134876
2025-09-18,32.76,34.14,32.43,33.64,104513292,10.403675746636033
2025-09-19,33.56,33.6,32.12,33.02,66106137,-1.8430439952437538
2025-09-22,33.195,34.75,33.19,34.43,62948159,4.270139309509369
2025-09-23,34.7,35.2999,33.665,34.3,63661723,-0.37757769387163354
2025-09-24,33.96,34.39,32.81,34.2,58369917,-0.2915451895043608
2025-09-25,32.44,34.06,31.36,33.85,79969598,-1.023391812865504
2025-09-26,33.93,34.23,32.83,34.02,60944517,0.5022156573116776
2025-09-29,35.03,35.49,33.99,34.02,56593682,0.0
2025-09-30,34.065,34.955,33.5734,34.84,60696784,2.41034685479129
2025-10-01,34.18,36.98,33.98,36.86,67094664,5.79793340987369
2025-10-02,38.96,39.32,38.14,39.08,68834360,6.022788931090606
2025-10-03,39.475,40.06,37.62,38.23,69252451,-2.175025588536339
2025-10-06,42.83,43.37,41.66,41.71,99880312,9.102798849071414
2025-10-07,42.78,43.0157,38.7003,38.83,96375863,-6.9048189882522255
2025-10-08,38.87,42.94,38.68,42.78,77149758,10.172546999742483
2025-10-09,42.58,42.84,41.01,42.24,63095734,-1.2622720897615736
2025-10-10,42.52,42.84,34.165,34.21,204858945,-19.010416666666664
2025-10-13,38.22,39.47,37.37,39.14,89274051,14.410990938322122
2025-10-14,36.49,39.005,35.95,36.63,100358199,-6.4128768523249775
2025-10-15,39.55,40.17,37.71,39.98,96059772,9.145509145509134
2025-10-16,41.45,41.925,39.28,40.57,89397028,1.475737868934468
2025-10-17,39.6,40.8045,38.32,40.29,92083361,-0.6901651466600933
2025-10-20,41.22,43.04,41.13,42.24,62424470,4.839910647803425
2025-10-21,41.805,42.0263,40.5201,41.51,54386720,-1.7282196969697017
2025-10-22,40.075,40.81,35.965,38.39,110646684,-7.51626114189351
2025-10-23,37.7163,41.47,37.55,41.17,72467001,7.241469132586609
2025-10-24,43.43,44.1565,42.96,43.14,69872492,4.785037648773383
2025-10-27,45.535,47.16,45.135,46.84,72684112,8.576726935558643
2025-10-28,46.435,47.605,45.94,46.96,53994951,0.2561912894961438
2025-10-29,49.37,50.76,48.05,49.38,88268792,5.153321976149927
2025-10-30,48.5,49.97,47.2701,47.39,76956282,-4.029971648440666
2025-10-31,48.77,49.99,46.71,47.78,75650410,0.8229584300485371
2025-11-03,49.5,50.19,48.03,48.58,52610598,1.6743407283382084
2025-11-04,44.77,46.8784,42.5301,42.8,87734250,-11.897900370522851
2025-11-05,43.22,48.43,43.2117,46.83,76488923,9.415887850467296
2025-11-06,46.46,46.99,42.1541,43.01,106419629,-8.157164210975875
2025-11-07,41.1,41.74,37.04,41.74,143013492,-2.9528016740292817
2025-11-10,45.0889,45.52,43.4601,44.96,74223272,7.714422616195482
2025-11-11,43.67,44.04,41.65,41.81,80862657,-7.00622775800711
2025-11-12,44.01,44.63,42.85,43.71,77730881,4.544367376225789
2025-11-13,42.17,42.635,38.0,39.22,126123730,-10.27224891329216
2025-11-14,35.74,40.5999,35.1501,38.86,125398567,-0.9178990311065727
2025-11-17,37.9,40.08,35.532,36.84,101936577,-5.198147195059177
2025-11-18,35.335,36.005,33.15,34.35,153515794,-6.75895765472313
2025-11-19,34.73,37.3,34.2,35.96,120458904,4.687045123726352
2025-11-20,38.79,39.19,30.405,30.81,228883579,-14.32146829810902
2025-11-21,30.85,33.04,28.12,31.73,205537921,2.9860434923726142
2025-11-24,32.69,36.31,32.65,35.86,108832472,13.016073116924055
2025-11-25,34.37,36.45,32.05,36.17,108634652,0.8644729503625381
2025-11-26,37.44,40.145,37.3,39.19,104203889,8.349460879181624
2025-11-28,39.715,41.33,39.25,41.26,57190383,5.281959683592752
2025-12-01,39.575,42.36,39.46,41.31,79426185,0.1211827435773305
2025-12-02,42.77,44.61,42.03,43.8,111736203,6.027596223674636
2025-12-03,44.45,46.68,43.15,46.58,94299305,6.347031963470329
2025-12-04,45.89,46.0979,44.4399,45.16,77656860,-3.04851867754401
2025-12-05,46.47,48.05,46.3,46.5,77049801,2.967227635075287
2025-12-08,47.61,48.6,46.7001,47.99,69224952,3.2043010752688117
2025-12-09,47.0401,48.045,46.47,47.79,56373266,-0.41675349031048414
2025-12-10,47.645,50.09,47.01,49.65,91153108,3.8920276208411764
2025-12-11,47.985,48.898,44.66,48.79,88062977,-1.7321248741188344
2025-12-12,46.92,47.38,41.06,41.71,138088157,-14.511170321787247
2025-12-15,43.105,43.42,40.8,41.18,78218561,-1.2706784943658622
2025-12-16,40.75,41.6599,39.24,40.49,94566659,-1.6755706653715285
2025-12-17,41.0,41.32,35.7,36.01,126113940,-11.064460360582872
2025-12-18,39.97,40.4162,38.11,38.58,97163997,7.136906414884758
2025-12-19,39.52,42.36,39.5,41.72,92529110,8.138932089165362
2025-12-22,44.45,44.56,42.73,43.26,62717429,3.691275167785224
2025-12-23,42.615,43.8,42.22,43.7,44455671,1.0171058714748105
2025-12-24,43.72,44.36,43.59,44.21,30717753,1.1670480549198947
2025-12-26,44.75,44.79,43.81,44.21,38006427,0.0
2025-12-29,42.98,44.325,42.35,43.82,54612080,-0.8821533589685626
2025-12-30,44.125,44.75,43.57,43.67,40697363,-0.3423094477407518
2025-12-31,43.89,44.15,42.01,42.03,44754816,-3.7554385161438053
2026-01-02,45.13,48.09,45.08,47.24,132719716,12.395907684986906
2026-01-05,50.345,51.22,48.63,49.22,94987531,4.1913632514817944
2026-01-06,51.105,54.3,51.07,54.01,91899013,9.73181633482325
