date,open,high,low,close,volume,change_pct
2025-07-21,66.82,68.5,66.62,67.26,429160,0.0
2025-07-22,67.12,67.73,66.11,67.28,354632,0.029735355337501268
2025-07-23,67.55,67.83,66.145,67.24,254916,-0.05945303210465047
2025-07-24,66.63,67.07,65.81,66.22,355517,-1.516954193932174
2025-07-25,66.23,66.7,65.72,66.45,230003,0.3473270915131499
2025-07-28,67.07,67.88,67.065,67.8,364485,2.0316027088036037
2025-07-29,68.19,69.39,67.14,67.41,262367,-0.5752212389380507
2025-07-30,68.45,68.45,64.1,64.89,506219,-3.738317757009335
2025-07-31,64.63,64.63,61.78,62.7,564133,-3.374942209893661
2025-08-01,61.21,61.355,58.925,60.47,569282,-3.5566188197767246
2025-08-04,60.84,62.13,60.72,62.095,510841,2.6872829502232465
2025-08-05,62.63,62.78,60.93,61.61,385284,-0.7810612770754455
2025-08-06,61.42,61.52,59.07,60.1,482793,-2.4509008277876942
2025-08-07,61.31,61.405,58.86,59.7,729583,-0.6655574043261225
2025-08-08,61.6,64.1799,58.31,63.52,894937,6.398659966499154
2025-08-11,63.85,65.0,63.63,64.12,798660,0.9445843828715494
2025-08-12,65.15,68.49,64.89,67.49,688405,5.2557704304428965
2025-08-13,67.77,69.32,66.8937,68.73,466184,1.8373092309972083
2025-08-14,67.21,68.15,66.0565,68.03,381409,-1.018478102720799
2025-08-15,68.18,68.4426,66.17,66.8,409854,-1.8080258709393005
2025-08-18,67.73,70.62,67.3079,70.12,679987,4.97005988023953
2025-08-19,70.47,70.5,68.08,68.26,501471,-2.652595550484882
2025-08-20,68.02,68.08,65.48,66.76,540986,-2.1974802226779944
2025-08-21,66.39,66.8,65.965,66.32,268661,-0.65907729179151
2025-08-22,67.01,72.22,66.785,71.45,678028,7.735223160434268
2025-08-25,71.0,71.0,69.93,70.39,312385,-1.4835549335199483
2025-08-26,70.66,71.12,70.0,70.55,410131,0.2273050149168787
2025-08-27,69.96,71.11,69.8429,70.8,197786,0.3543586109142405
2025-08-28,71.28,71.61,70.64,71.37,273561,0.8050847457627297
2025-08-29,71.28,71.4,69.215,69.86,335527,-2.115734902620159
2025-09-02,67.95,68.125,66.58,68.0,248039,-2.662467792728318
2025-09-03,68.0,68.66,66.895,67.84,264429,-0.23529411764705577
2025-09-04,67.28,69.62,66.53,69.56,373016,2.535377358490565
2025-09-05,70.31,71.57,69.67,69.9,348305,0.4887866589994294
2025-09-08,70.49,70.695,69.05,70.57,292640,0.958512160228886
2025-09-09,70.7,70.8,69.155,69.92,278562,-0.9210712767464768
2025-09-10,70.02,70.3654,68.65,69.1,442748,-1.1727688787185442
2025-09-11,70.24,72.04,69.6765,71.44,449469,3.3863965267727947
2025-09-12,71.51,71.53,70.0,70.37,296866,-1.497760358342659
2025-09-15,70.97,71.15,69.825,70.51,349906,0.19894841551797438
2025-09-16,72.25,74.49,71.04,72.43,644375,2.723018011629552
2025-09-17,72.4,74.06,71.0,71.91,425789,-0.7179345575038076
2025-09-18,73.8,74.63,73.17,74.35,375014,3.3931303017660897
2025-09-19,74.09,74.27,71.685,71.82,972943,-3.402824478816413
2025-09-22,72.1,73.86,71.8701,73.02,276054,1.670843776106934
2025-09-23,73.75,74.0,71.15,71.61,354842,-1.930977814297452
2025-09-24,71.61,72.15,70.825,70.88,280277,-1.0194106968300587
2025-09-25,69.55,69.6,68.49,69.37,321278,-2.1303611738148875
2025-09-26,69.41,69.96,68.44,69.59,242368,0.31713997405218297
2025-09-29,70.48,70.5022,68.3307,68.45,288811,-1.6381664032188548
2025-09-30,68.14,68.77,67.19,68.34,340579,-0.16070124178232392
2025-10-01,67.51,68.205,66.4401,67.9,408679,-0.6438396254023981
2025-10-02,68.89,68.89,67.375,68.11,434987,0.3092783505154628
2025-10-03,68.72,70.3953,68.365,69.17,258797,1.5563059756276587
2025-10-06,69.93,70.085,68.7,68.83,315835,-0.4915425762613945
2025-10-07,69.4,69.66,65.55,65.65,507095,-4.6200784541624245
2025-10-08,65.78,68.4,65.2,68.31,356527,4.051789794364047
2025-10-09,68.27,68.505,66.03,67.17,216848,-1.6688625384277511
2025-10-10,67.25,67.5,61.84,62.02,438146,-7.667113294625572
2025-10-13,64.63,66.11,64.05,65.93,284433,6.304417929700112
2025-10-14,63.88,67.71,63.842,66.74,316508,1.2285757621719906
2025-10-15,67.74,69.66,67.24,69.64,412556,4.345220257716531
2025-10-16,70.0,70.71,68.8,69.9,508061,0.37334865020104413
2025-10-17,69.07,70.7,68.665,69.45,406423,-0.6437768240343367
