date,open,high,low,close,volume,change_pct
2025-07-21,5.59,5.72,5.54,5.64,1058217,0.0
2025-07-22,5.64,6.025,5.55,6.0,1135324,6.382978723404253
2025-07-23,6.08,6.18,5.99,6.09,689876,1.4999999999999902
2025-07-24,6.07,6.2099,6.055,6.06,744258,-0.49261083743842304
2025-07-25,6.04,6.06,5.75,6.05,1152476,-0.16501650165016146
2025-07-28,6.09,6.11,5.86,5.95,847829,-1.6528925619834656
2025-07-29,5.98,5.98,5.57,5.75,990021,-3.361344537815125
2025-07-30,5.84,6.1,5.7501,5.91,861236,2.7826086956521667
2025-07-31,5.83,5.96,5.76,5.83,755102,-1.3536379018612488
2025-08-01,5.69,5.82,5.42,5.47,1266757,-6.174957118353353
2025-08-04,5.55,5.885,5.4,5.75,1345316,5.118829981718465
2025-08-05,5.77,6.16,5.63,6.08,951718,5.739130434782602
2025-08-06,5.98,6.34,5.54,5.67,1729698,-6.743421052631582
2025-08-07,5.71,5.92,5.34,5.64,1182077,-0.5291005291005346
2025-08-08,5.67,6.1985,5.635,6.08,799001,7.801418439716312
2025-08-11,6.09,6.34,6.01,6.3,965437,3.6184210526315708
2025-08-12,6.35,6.7,6.35,6.53,1365312,3.65079365079366
2025-08-13,6.6,6.82,6.45,6.49,1263628,-0.6125574272588086
2025-08-14,6.43,6.85,6.43,6.77,1209455,4.314329738058542
2025-08-15,6.77,7.12,6.72,7.05,1852380,4.1358936484490405
2025-08-18,7.05,7.16,6.73,6.76,1184100,-4.11347517730497
2025-08-19,6.72,6.92,6.411,6.55,1438136,-3.106508875739644
2025-08-20,6.55,6.64,6.275,6.3,801169,-3.8167938931297662
2025-08-21,6.24,6.875,6.2324,6.76,1123330,7.301587301587298
2025-08-22,6.77,7.07,6.59,6.93,1304703,2.51479289940828
2025-08-25,6.92,7.0,6.65,6.69,873413,-3.463203463203457
2025-08-26,6.7,7.26,6.7,7.25,982281,8.370702541106123
2025-08-27,7.24,7.32,6.87,6.89,1267074,-4.965517241379313
2025-08-28,6.93,7.13,6.88,7.07,606913,2.612481857764881
2025-08-29,7.07,7.14,6.78,6.96,912387,-1.5558698727015652
2025-09-02,6.95,7.78,6.93,7.56,1895162,8.620689655172399
2025-09-03,7.53,7.709,7.25,7.44,1040664,-1.5873015873015817
