date,open,high,low,close,volume,change_pct
2025-07-18,1.515,1.54,1.47,1.48,1267054,0.0
2025-07-21,1.51,1.68,1.5,1.53,2516484,3.378378378378377
2025-07-22,1.54,1.59,1.5,1.57,1466505,2.614379084967333
2025-07-23,1.57,1.66,1.545,1.57,1783889,0.0
2025-07-24,1.55,1.58,1.48,1.48,1223228,-5.732484076433131
2025-07-25,1.5,1.5,1.41,1.42,980584,-4.054054054054057
2025-07-28,1.42,1.4295,1.37,1.4,900145,-1.4084507042253502
2025-07-29,1.4,1.42,1.33,1.34,1017744,-4.2857142857142705
2025-07-30,1.35,1.3565,1.28,1.29,1018895,-3.731343283582089
2025-07-31,1.28,1.325,1.18,1.19,1302156,-7.751937984496127
2025-08-01,1.18,1.215,1.15,1.16,998885,-2.5210084033613467
2025-08-04,1.16,1.28,1.16,1.24,1215276,6.896551724137945
2025-08-05,1.23,1.27,1.21,1.25,1092962,0.8064516129032251
2025-08-06,1.2499,1.33,1.2304,1.25,888740,0.0
2025-08-07,1.29,1.33,1.25,1.27,931345,1.6000000000000014
2025-08-08,1.28,1.35,1.26,1.28,1010522,0.7874015748031482
2025-08-11,1.27,1.29,1.215,1.24,1281692,-3.125
2025-08-12,1.2495,1.27,1.2299,1.25,522993,0.8064516129032251
2025-08-13,1.27,1.36,1.24,1.34,1612141,7.200000000000006
2025-08-14,1.31,1.315,1.2,1.26,2751775,-5.97014925373135
2025-08-15,1.39,1.5,1.29,1.48,5761405,17.460317460317466
2025-08-18,1.53,1.62,1.48,1.55,2459224,4.729729729729737
2025-08-19,1.55,1.5765,1.41,1.46,2544537,-5.8064516129032295
2025-08-20,1.35,1.39,1.29,1.33,2093439,-8.904109589041088
2025-08-21,1.34,1.49,1.34,1.48,1201377,11.2781954887218
2025-08-22,1.45,1.61,1.42,1.59,2429094,7.432432432432434
2025-08-25,1.56,1.6699,1.54,1.62,1894013,1.8867924528301883
2025-08-26,1.59,1.6302,1.57,1.61,1168395,-0.6172839506172867
2025-08-27,1.6,1.63,1.57,1.58,996545,-1.8633540372670843
2025-08-28,1.58,1.65,1.565,1.64,1274903,3.797468354430378
2025-08-29,1.6555,1.6799,1.59,1.65,1056378,0.6097560975609762
2025-09-02,1.59,1.9,1.59,1.89,3814834,14.54545454545455
2025-09-03,1.9,1.94,1.79,1.83,1989336,-3.1746031746031633
2025-09-04,1.98,2.1172,1.8,1.85,4413743,1.0928961748633892
2025-09-05,1.91,1.99,1.81,1.98,2212523,7.027027027027022
2025-09-08,2.0,2.11,1.9206,1.98,2641264,0.0
2025-09-09,2.0,2.0,1.91,1.94,1410816,-2.020202020202022
2025-09-10,1.94,1.985,1.84,1.87,1345638,-3.6082474226803996
2025-09-11,1.8507,1.98,1.85,1.88,1216040,0.53475935828875
2025-09-12,1.9,1.9,1.8001,1.86,1062636,-1.0638297872340274
2025-09-15,1.88,1.88,1.77,1.78,1424750,-4.301075268817211
2025-09-16,1.78,1.79,1.7,1.75,1154356,-1.6853932584269704
2025-09-17,1.8,1.85,1.74,1.77,1568325,1.1428571428571344
2025-09-18,1.79,1.875,1.7563,1.86,1082355,5.084745762711873
2025-09-19,1.88,2.01,1.845,1.95,2676091,4.8387096774193505
2025-09-22,1.94,2.03,1.8547,2.03,2319796,4.102564102564088
2025-09-23,2.0,2.03,1.83,1.84,2554216,-9.359605911330037
2025-09-24,1.9,2.265,1.87,2.2,6069794,19.565217391304344
2025-09-25,2.12,2.335,2.07,2.27,5058098,3.1818181818181746
2025-09-26,2.25,2.27,2.1412,2.2,1961138,-3.083700440528625
2025-09-29,2.21,2.46,2.2,2.33,3561273,5.909090909090908
2025-09-30,2.31,2.36,2.07,2.18,3161902,-6.4377682403433445
2025-10-01,2.2,2.42,2.17,2.39,3070350,9.633027522935777
2025-10-02,2.41,2.41,2.29,2.36,1871697,-1.2552301255230214
2025-10-03,2.4,2.535,2.36,2.53,3194623,7.203389830508478
2025-10-06,2.56,2.83,2.47,2.8,4064718,10.671936758893285
2025-10-07,2.84,3.01,2.72,2.86,4800911,2.1428571428571352
2025-10-08,2.92,3.03,2.86,2.93,3866189,2.447552447552459
2025-10-09,3.13,3.86,2.998,3.83,18475886,30.716723549488044
2025-10-10,4.16,4.19,3.52,3.64,16197975,-4.960835509138384
2025-10-13,3.85,4.005,3.47,3.5,7274379,-3.8461538461538547
2025-10-14,3.37,4.08,3.2,4.01,11281403,14.57142857142857
2025-10-15,5.005,5.26,4.63,5.24,29593602,30.673316708229436
2025-10-16,5.09,5.31,4.45,4.69,12147977,-10.496183206106869
2025-10-17,4.58,4.67,4.25,4.32,6611793,-7.889125799573559
2025-10-20,4.55,4.875,4.36,4.76,9421334,10.185185185185164
2025-10-21,4.7,4.7,4.3612,4.48,5637340,-5.88235294117646
