date,open,high,low,close,volume,change_pct
2025-07-21,3.28,3.32,3.22,3.24,4315763,0.0
2025-07-22,3.3,3.45,3.22,3.45,8080511,6.481481481481488
2025-07-23,3.5,3.62,3.41,3.44,4401650,-0.28985507246377384
2025-07-24,3.43,3.505,3.38,3.44,4901043,0.0
2025-07-25,3.43,3.46,3.38,3.44,3164301,0.0
2025-07-28,3.42,3.44,3.31,3.43,3114508,-0.29069767441859407
2025-07-29,3.425,3.45,3.32,3.36,3205671,-2.0408163265306256
2025-07-30,3.31,3.34,2.955,3.1,15187679,-7.738095238095233
2025-07-31,3.05,3.17,3.05,3.07,4686360,-0.967741935483879
2025-08-01,3.02,3.08,2.99,3.08,4298846,0.32573289902280145
2025-08-04,3.11,3.19,3.09,3.09,2431501,0.32467532467532756
2025-08-05,3.09,3.125,3.01,3.07,3442304,-0.6472491909385147
2025-08-06,3.08,3.11,3.0,3.05,3055942,-0.6514657980456029
2025-08-07,3.13,3.4,3.02,3.11,7737567,1.967213114754096
2025-08-08,3.15,3.24,3.08,3.17,3443188,1.9292604501607746
2025-08-11,3.155,3.205,3.09,3.1,3023629,-2.208201892744477
2025-08-12,3.15,3.2,3.09,3.17,2805030,2.2580645161290214
2025-08-13,3.22,3.51,3.2,3.39,9694634,6.940063091482651
2025-08-14,3.335,3.335,3.24,3.3,2682995,-2.6548672566371723
2025-08-15,3.34,3.34,3.24,3.27,1827769,-0.9090909090909038
2025-08-18,3.25,3.2951,3.14,3.17,4681233,-3.0581039755351758
2025-08-19,3.17,3.18,3.07,3.08,3740709,-2.8391167192428957
2025-08-20,3.09,3.11,3.01,3.09,3266567,0.32467532467532756
2025-08-21,3.09,3.135,3.07,3.1,2439222,0.3236245954692629
2025-08-22,3.1,3.195,3.0701,3.17,5251391,2.2580645161290214
2025-08-25,3.14,3.23,3.14,3.23,1700649,1.8927444794952786
2025-08-26,3.21,3.24,3.16,3.19,2371084,-1.2383900928792602
2025-08-27,3.18,3.19,3.115,3.18,2449906,-0.31347962382444194
2025-08-28,3.1799,3.22,3.15,3.19,2367161,0.3144654088050203
2025-08-29,3.22,3.265,3.18,3.26,2187984,2.1943573667711602
2025-09-02,3.245,3.31,3.14,3.29,3808611,0.920245398773023
2025-09-03,3.32,3.46,3.29,3.4,4226003,3.3434650455927084
2025-09-04,3.4,3.41,3.28,3.36,3030245,-1.17647058823529
2025-09-05,3.4,3.43,3.33,3.33,2534092,-0.8928571428571397
2025-09-08,3.3872,3.46,3.35,3.46,2584335,3.9039039039038936
2025-09-09,3.44,3.56,3.37,3.38,2973125,-2.3121387283236983
2025-09-10,3.42,3.44,3.37,3.41,2185514,0.887573964497057
2025-09-11,3.39,3.5,3.37,3.5,2063590,2.639296187683282
2025-09-12,3.5,3.585,3.47,3.55,2863360,1.4285714285714235
2025-09-15,3.55,3.69,3.54,3.66,3321047,3.0985915492957927
2025-09-16,3.67,3.69,3.6,3.64,3725060,-0.5464480874316946
2025-09-17,3.63,3.71,3.53,3.66,4876829,0.5494505494505475
2025-09-18,3.68,3.7,3.63,3.66,1927847,0.0
2025-09-19,3.7,3.77,3.66,3.76,4024441,2.7322404371584508
