date,open,high,low,close,volume,change_pct
2025-07-17,101.725,103.94,101.59,103.65,4529531,0.0
2025-07-18,103.94,104.28,102.143,103.46,5282100,-0.183309213699967
2025-07-21,102.11,103.6561,101.6756,101.71,4478766,-1.691474966170503
2025-07-22,102.66,106.9078,102.45,106.54,6473016,4.748795595320043
2025-07-23,107.5,108.9,106.8,107.43,5907473,0.835366998310505
2025-07-24,107.19,108.43,105.44,105.82,5415239,-1.4986502839058113
2025-07-25,106.67,107.02,105.15,106.05,3476001,0.21735021735023174
2025-07-28,106.22,106.795,105.25,106.43,3864916,0.3583215464403766
2025-07-29,106.26,106.285,103.92,104.18,4753506,-2.1140655830123034
2025-07-30,104.695,105.0,102.34,103.14,4527102,-0.9982722211556938
2025-07-31,102.35,102.625,100.36,100.5,6442342,-2.5596276905177406
2025-08-01,99.775,100.31,98.44,99.77,5021740,-0.7263681592039828
2025-08-04,100.01,101.0588,99.6,99.79,5312712,0.02004610604391388
2025-08-05,100.05,102.96,99.78,102.43,5093419,2.645555666900501
2025-08-06,103.47,106.36,102.975,105.39,6306597,2.889778385238695
2025-08-07,106.5,106.93,104.12,105.67,4191041,0.2656798557737927
2025-08-08,105.9199,106.25,104.79,105.4,3494893,-0.25551244440238374
2025-08-11,105.4,106.58,103.655,104.01,5020050,-1.3187855787476277
2025-08-12,104.9,107.8199,104.245,106.26,6595068,2.1632535333141023
2025-08-13,103.9,105.67,102.33,105.36,7364729,-0.8469791078486777
2025-08-14,103.88,104.31,102.58,104.25,4985772,-1.0535307517084314
2025-08-15,102.25,104.44,101.95,103.02,6305133,-1.1798561151079134
2025-08-18,104.11,106.23,103.66,104.95,6901622,1.8734226363812834
2025-08-19,105.8,107.265,104.44,105.36,8815517,0.39066222010479823
2025-08-20,94.405,99.56,94.15,98.69,33165726,-6.330675778283979
2025-08-21,98.48,98.5,96.1301,97.06,11415724,-1.6516364373290071
2025-08-22,97.445,101.34,97.36,99.24,13663612,2.246033381413559
2025-08-25,98.56,98.8384,96.595,97.13,7651270,-2.1261588069326876
2025-08-26,96.985,96.985,95.83,96.11,6398801,-1.0501389889838286
2025-08-27,96.34,98.17,96.32,97.96,6486002,1.9248777442513632
2025-08-28,98.47,98.79,96.34,96.81,5145000,-1.1739485504287384
2025-08-29,96.875,97.2235,95.67,95.98,5370878,-0.8573494473711363
2025-09-02,95.13,95.36,91.92,92.44,12987184,-3.688268389247762
2025-09-03,92.5,92.86,91.687,92.35,8485805,-0.09736045002164406
2025-09-04,92.74,93.29,92.28,92.71,5900988,0.3898213318895394
2025-09-05,92.78,93.95,92.45,93.17,4894606,0.4961708553554267
2025-09-08,93.33,93.4432,91.335,91.5,9261731,-1.7924224535794786
2025-09-09,91.52,91.86,90.22,90.91,7564772,-0.6448087431694005
2025-09-10,90.77,91.4,90.04,90.78,5747858,-0.1429985700142966
2025-09-11,90.89,92.25,90.79,91.52,9492495,0.8151575236836184
2025-09-12,91.3,91.42,89.96,89.96,6176195,-1.7045454545454586
2025-09-15,90.095,90.19,88.44,88.56,9310894,-1.5562472209870948
2025-09-16,88.93,89.79,88.57,89.72,6736663,1.3098464317976566
2025-09-17,89.84,90.814,88.7403,88.93,9399028,-0.8805171645118071
2025-09-18,88.71,89.525,88.16,89.42,8781141,0.550995164736312
2025-09-19,89.55,89.74,87.8101,88.13,13319502,-1.4426302840527927
2025-09-22,88.02,88.07,86.3,86.56,12449463,-1.7814592079881897
2025-09-23,86.89,87.88,86.73,87.05,8077829,0.5660813308687507
2025-09-24,87.21,88.34,86.87,88.31,10691650,1.447443997702469
2025-09-25,87.805,88.0,86.5265,87.14,8566342,-1.324878269731633
2025-09-26,86.89,88.5899,86.84,87.85,7575624,0.8147808124856493
2025-09-29,88.305,88.83,87.3121,88.83,7955637,1.1155378486055856
2025-09-30,88.53,90.21,87.255,89.7,16872289,0.9793988517392771
2025-10-01,89.45,89.5,87.26,89.14,10378548,-0.6243032329988907
2025-10-02,88.925,90.28,88.18,89.51,7557397,0.41507740632713563
2025-10-03,89.85,90.3689,88.28,89.03,6871981,-0.5362529326332299
2025-10-06,89.34,90.17,87.84,88.96,8975719,-0.0786251825227513
2025-10-07,89.18,90.09,88.51,89.27,6348052,0.34847122302159583
2025-10-08,89.615,90.99,89.54,90.38,6848496,1.2434188417161485
2025-10-09,90.985,90.985,88.62,89.1,7189211,-1.4162425315335292
2025-10-10,89.18,89.23,85.36,85.53,13925230,-4.006734006734003
2025-10-13,86.92,88.35,86.73,87.34,10515490,2.116216532210924
2025-10-14,86.525,89.4,86.35,88.96,6352348,1.8548202427295601
2025-10-15,89.255,91.19,88.9092,90.91,6402547,2.191996402877705
2025-10-16,90.875,91.65,89.12,90.07,5556500,-0.923990760092408
2025-10-17,90.0,90.955,89.81,90.84,6461369,0.8548906406128598
2025-10-20,91.08,92.17,90.995,91.53,4886287,0.7595772787318378
2025-10-21,91.88,94.55,91.735,94.4,7770113,3.135583961542676
2025-10-22,94.29,94.73,93.45,94.02,4972951,-0.40254237288136485
2025-10-23,94.135,95.03,92.96,94.25,4833358,0.24462880238247386
2025-10-24,94.86,95.61,93.92,94.26,5458994,0.010610079575612552
2025-10-27,95.25,97.905,94.95,97.77,10000006,3.723742838956068
2025-10-28,97.52,99.49,96.41,97.11,7959604,-0.6750536974531984
2025-10-29,96.52,97.07,94.03,94.12,6125647,-3.07898259705488
2025-10-30,93.31,94.63,92.66,92.92,5631171,-1.2749681257968604
2025-10-31,92.55,93.04,91.51,92.72,7084802,-0.21523891519587002
2025-11-03,92.605,92.655,90.9,91.45,5698075,-1.3697152717860206
2025-11-04,90.88,91.29,89.75,89.98,5057365,-1.607435757244391
2025-11-05,89.83,93.26,89.02,91.94,8215290,2.1782618359635464
2025-11-06,91.82,92.71,88.48,89.15,7051541,-3.034587774635622
2025-11-07,89.255,91.58,89.15,91.24,6524897,2.3443634324172624
2025-11-10,91.815,93.43,89.92,90.73,6299898,-0.5589653660675098
2025-11-11,91.39,92.13,90.94,91.58,4762908,0.9368455858040248
2025-11-12,91.88,92.6,91.11,91.91,5512363,0.3603406857392466
2025-11-13,91.74,92.615,90.41,90.62,6303511,-1.4035469481013974
2025-11-14,90.35,91.107,89.41,89.9,6096943,-0.7945265945707325
2025-11-17,89.52,90.26,88.23,88.48,7549384,-1.5795328142380494
2025-11-18,87.94,90.02,87.62,88.53,10063376,0.056509945750438106
2025-11-19,86.42,89.62,85.3,86.08,18972022,-2.7674234722692925
2025-11-20,86.15,86.93,83.44,83.68,12051777,-2.788104089219323
2025-11-21,84.44,88.98,84.24,87.62,12573876,4.7084130019120485
2025-11-24,87.62,87.98,84.52,84.54,9227308,-3.515179182834971
2025-11-25,84.99,86.63,84.725,86.58,6520053,2.4130589070262554
2025-11-26,86.66,90.23,86.61,89.8,7927569,3.7191037191037113
2025-11-28,90.275,91.7,89.8721,90.62,4058992,0.9131403118040282
