date,open,high,low,close,volume,change_pct
2025-07-09,230.52,233.27,230.24,231.84,9475340,0.0
2025-07-10,232.78,233.05,227.77,229.76,13124703,-0.897170462387864
2025-07-11,231.02,232.27,229.4001,230.4,8817763,0.278551532033422
2025-07-14,229.33,229.85,226.31,228.67,10673518,-0.7508680555555647
2025-07-15,234.46,237.71,233.85,236.95,14270133,3.6209384702846847
2025-07-16,236.395,238.31,234.15,237.56,15092753,0.2574382781177498
2025-07-17,245.79,248.28,241.39,245.6,27395684,3.384408149520124
2025-07-18,245.31,245.97,238.69,240.4,16252018,-2.1172638436482094
2025-07-21,240.12,242.34,238.71,238.85,11971805,-0.6447587354409312
2025-07-22,237.83,238.0,231.76,234.6,11919542,-1.7793594306049876
2025-07-23,238.445,240.5,236.38,240.33,9885441,2.4424552429667568
2025-07-24,240.205,241.95,238.03,241.6,9081946,0.5284400615819917
2025-07-25,241.32,246.24,240.94,245.6,11593366,1.655629139072845
2025-07-28,243.0,243.95,241.05,242.75,11892202,-1.1604234527687218
2025-07-29,241.495,243.97,239.82,241.33,9411525,-0.5849639546858909
2025-07-30,242.12,244.57,241.22,242.91,6823770,0.654705175485848
2025-07-31,245.98,247.41,239.8,241.62,13490682,-0.5310608867481803
2025-08-01,235.62,237.19,231.8401,235.21,13549793,-2.652926082277951
2025-08-04,237.545,239.0,236.39,239.0,6450728,1.6113260490625336
2025-08-05,238.325,238.63,230.17,232.47,11868867,-2.7322175732217624
2025-08-06,230.705,232.2,228.82,231.37,9457183,-0.4731793349679547
2025-08-07,244.47,247.84,240.8,242.62,17691005,4.862341703764539
2025-08-08,243.06,243.16,238.97,241.83,10552538,-0.3256120682548769
2025-08-11,242.04,245.35,241.54,242.09,8272024,0.1075135425712137
2025-08-12,243.73,244.77,241.7,244.29,7301986,0.9087529431203167
2025-08-13,246.24,246.43,239.94,241.44,7971850,-1.1666461991894805
2025-08-14,237.97,241.38,236.82,241.0,11040536,-0.1822398939695158
2025-08-15,240.02,240.8,237.26,238.88,8155486,-0.8796680497925369
2025-08-18,239.99,242.8575,239.99,241.41,6919779,1.0591091761553928
2025-08-19,240.02,240.165,232.58,232.7,14594688,-3.6079698438341468
2025-08-20,228.36,229.03,223.7,228.6,17165201,-1.7619252256123707
2025-08-21,228.15,230.33,226.26,227.33,7449144,-0.5555555555555425
2025-08-22,228.0,234.4493,226.17,232.99,10299467,2.4897725773105117
2025-08-25,234.47,237.275,232.2501,235.59,7654954,1.115927722219845
2025-08-26,236.37,238.83,235.73,238.72,9793068,1.3285793115157762
2025-08-27,236.87,239.4,235.4356,239.29,9516362,0.23877345844502962
2025-08-28,236.295,240.66,236.0,238.27,8466216,-0.42626102219064377
2025-08-29,235.0,235.95,230.58,230.87,15526018,-3.105720401225498
2025-09-02,226.15,229.34,225.6301,228.39,13974904,-1.074197600381177
2025-09-03,231.515,232.445,228.6,231.39,7198492,1.3135426244581527
2025-09-04,231.35,235.31,230.3,235.21,6241940,1.6508924326894103
2025-09-05,240.24,244.55,237.9,243.41,14056566,3.486246333064069
2025-09-08,241.99,247.88,241.62,247.19,12986596,1.5529353765252107
2025-09-09,246.93,254.7299,246.93,250.92,13443419,1.5089607184756604
2025-09-10,258.87,264.58,257.75,260.44,18822431,3.7940379403794022
2025-09-11,260.345,261.64,258.2301,258.91,10004967,-0.5874673629242766
2025-09-12,260.85,260.95,258.38,259.33,8496585,0.16221853153604027
2025-09-15,259.95,262.8,258.75,261.38,8147738,0.7904985925269115
2025-09-16,265.92,266.4383,260.61,262.06,10381854,0.2601576249139148
2025-09-17,264.77,264.81,259.73,262.79,10422030,0.27856216133710365
2025-09-18,258.0,270.54,257.98,268.64,16917295,2.2261121047223886
2025-09-19,266.37,266.57,262.8102,264.87,17640249,-1.4033650982727797
2025-09-22,266.22,276.36,265.45,272.63,15630292,2.929739117302832
2025-09-23,282.395,286.0,280.0,282.71,17830324,3.697318710340025
2025-09-24,280.305,281.21,276.7177,280.71,10230965,-0.7074387181210451
2025-09-25,273.12,277.14,270.19,276.66,11863397,-1.4427701186277453
2025-09-26,273.89,275.5,270.62,273.36,10451886,-1.1927998265018447
2025-09-29,276.49,279.87,273.23,273.23,8046187,-0.04755633596722486
2025-09-30,275.32,279.49,273.83,279.29,8348796,2.21791164952605
2025-10-01,278.435,290.48,277.17,288.47,14620139,3.2869060832826147
2025-10-02,296.52,296.72,287.031,288.11,10197961,-0.12479633930738698
2025-10-03,292.81,296.0634,290.49,292.19,10572491,1.4161257852903342
2025-10-06,300.01,307.3,299.935,302.4,15785026,3.494301653033971
2025-10-07,306.62,307.1,293.28,294.03,13080969,-2.767857142857144
2025-10-08,294.75,306.4,293.98,304.52,12821210,3.5676631636227585
2025-10-09,302.305,302.83,297.42,299.88,10259887,-1.5237094443714683
2025-10-10,299.955,300.2,280.33,280.66,23398001,-6.409230358810181
2025-10-13,298.235,304.63,292.32,302.89,20318268,7.92061569158411
2025-10-14,295.55,301.75,291.3426,295.94,16567867,-2.2945623823830363
2025-10-15,306.285,306.61,300.07,304.71,20788021,2.9634385348381365
2025-10-16,310.93,311.3685,296.69,299.84,26341457,-1.5982409504118666
2025-10-17,298.395,303.3,294.915,295.08,17633323,-1.5875133404482322
2025-10-20,300.34,303.65,297.06,297.7,13391614,0.8878948081876059
2025-10-21,299.05,299.37,293.655,294.51,11190502,-1.071548538797451
2025-10-22,293.0,295.2,284.4,288.88,15409109,-1.9116498590879716
2025-10-23,289.8,294.09,289.63,290.73,10379853,0.6404043201329257
2025-10-24,295.45,297.9499,294.3897,294.96,8747007,1.4549582086471835
2025-10-27,298.65,300.48,293.69,298.25,13615029,1.1154054787089862
2025-10-28,298.315,302.13,296.08,301.53,11804198,1.09974853310979
2025-10-29,305.8,307.96,302.38,305.09,16177305,1.1806453752528867
2025-10-30,302.57,307.31,300.8248,303.22,14507088,-0.6129338883607893
2025-10-31,305.5,307.675,296.675,300.43,12667857,-0.9201240023745227
2025-11-03,302.59,310.12,302.12,304.86,12466592,1.4745531404986245
2025-11-04,296.88,301.99,293.51,294.05,16224285,-3.545889916683065
2025-11-05,292.62,298.2185,291.5,293.64,10502502,-0.13943206937596653
2025-11-06,293.62,294.64,287.3811,289.24,11516858,-1.4984334559324242
2025-11-07,285.21,287.885,277.13,286.5,15715706,-0.9473101922279126
2025-11-10,294.36,297.13,291.75,295.27,10869194,3.061082024432804
2025-11-11,292.06,294.92,288.91,291.17,9666250,-1.3885596233955244
2025-11-12,293.7,294.87,289.58,290.62,9715927,-0.18889308651304226
2025-11-13,289.15,289.4998,280.0,282.2,13827622,-2.897254146307904
2025-11-14,275.91,286.86,273.23,284.82,11486828,0.9284195605953283
2025-11-17,281.3,286.53,279.8,282.01,10227124,-0.9865880205041755
2025-11-18,277.65,280.19,272.72,277.91,11850366,-1.4538491542852916
2025-11-19,276.92,284.5489,276.32,282.37,11179176,1.604836098017337
2025-11-20,292.16,292.85,276.41,277.5,15747324,-1.7246874667988799
2025-11-21,272.81,278.6887,266.82,275.06,20872828,-0.879279279279277
2025-11-24,273.19,285.06,273.19,284.64,13570309,3.482876463317086
2025-11-25,282.73,285.4,273.08,284.68,13726811,0.014052838673417334
2025-11-26,289.1025,292.81,287.73,289.96,12220253,1.8547140649149751
2025-11-28,292.48,292.67,289.0,291.51,5515376,0.5345564905504308
2025-12-01,287.12,291.1599,283.19,287.68,7713000,-1.31384858152378
2025-12-02,292.0,294.5,289.18,292.09,10746376,1.532953281423799
2025-12-03,292.18,296.6225,286.07,295.45,9599221,1.150330377623332
2025-12-04,293.98,294.03,290.2,292.93,6752997,-0.8529361990184392
2025-12-05,296.05,300.8,293.25,294.72,10275297,0.611067490526751
2025-12-08,301.2,302.62,296.72,301.87,16643118,2.426031487513569
2025-12-09,299.695,304.68,298.5,303.41,11349073,0.5101533772816191
2025-12-10,305.37,313.98,302.5,310.14,12429150,2.218120694769432
2025-12-11,305.31,305.84,299.64,304.85,15028375,-1.7056813052169884
2025-12-12,304.26,304.28,290.976,292.04,19306089,-4.202066590126297
2025-12-15,295.145,295.8,287.55,287.74,12082441,-1.4724010409532973
2025-12-16,286.8,288.46,283.32,286.87,11418442,-0.3023562938764157
2025-12-17,288.525,289.1,275.0773,276.96,16823004,-3.454526440547989
2025-12-18,284.595,287.16,281.7501,284.68,11260340,2.787406123627978
2025-12-19,286.38,292.17,286.38,288.95,12735804,1.4999297456793625
2025-12-22,294.67,295.01,291.21,293.28,6091071,1.4985291572936488
2025-12-23,293.395,297.91,292.2001,296.95,6802255,1.2513638843426156
2025-12-24,297.74,299.16,296.2301,298.8,2753914,0.6230005051355514
2025-12-26,299.74,303.38,298.52,302.84,5125913,1.3520749665327791
2025-12-29,301.78,304.5,298.65,300.92,6205140,-0.6339981508387105
2025-12-30,302.425,304.55,299.45,299.58,6190570,-0.4453010766981347
2025-12-31,304.18,307.39,303.43,303.89,8175079,1.4386808198143974
2026-01-02,311.98,321.59,311.7,319.61,18526908,5.172924413439084
2026-01-05,330.4,331.25,321.5,322.25,17382122,0.8260066956603307
