date,open,high,low,close,volume,change_pct
2025-07-14,43.76,45.24,43.32,44.3,1871375,0.0
2025-07-15,45.45,46.275,44.83,45.79,2548778,3.363431151241536
2025-07-16,45.84,46.51,45.3887,45.81,1916644,0.04367765887749453
2025-07-17,45.81,47.63,45.77,46.22,2082348,0.8950010914647422
2025-07-18,46.76,46.76,44.75,45.03,2969114,-2.574643011683253
2025-07-21,45.35,48.59,45.1,47.47,5789840,5.418609815678432
2025-07-22,47.045,47.17,43.5,45.04,3270242,-5.119022540551931
2025-07-23,45.58,46.66,45.38,46.455,1883655,3.1416518650088765
2025-07-24,46.56,46.56,44.26,44.27,1977830,-4.703476482617575
2025-07-25,44.64,45.89,44.51,45.29,2128269,2.304043370228137
2025-07-28,45.795,46.15,45.295,45.95,1761496,1.4572753367189328
2025-07-29,47.045,50.06,46.91,48.52,4039857,5.5930359085963
2025-07-30,48.68,50.43,48.22,48.73,5149366,0.4328112118713756
2025-07-31,47.19,51.15,46.31,47.25,5727991,-3.0371434434639744
2025-08-01,45.362,45.39,42.84,43.34,5241055,-8.275132275132268
2025-08-04,44.47,45.4599,44.25,44.83,2578026,3.4379326257498732
2025-08-05,44.964,45.52,43.41,43.85,2137293,-2.1860361365157233
2025-08-06,43.74,43.77,42.34,43.21,2084264,-1.4595210946408255
2025-08-07,44.17,44.2,42.8206,43.36,1590110,0.3471418653089531
2025-08-08,43.55,45.43,42.9,45.28,1807269,4.428044280442811
2025-08-11,45.45,46.11,44.43,44.61,2021409,-1.479681978798586
2025-08-12,45.2,46.745,44.94,46.63,1332489,4.528132705671384
2025-08-13,47.13,47.5,44.55,44.96,1859485,-3.581385374222612
2025-08-14,43.6,43.975,41.93,42.62,2323408,-5.204626334519579
2025-08-15,42.36,42.4192,40.78,41.8,3586778,-1.9239793524167048
2025-08-18,41.61,42.1,41.19,41.82,1323442,0.04784688995216335
2025-08-19,41.49,41.53,39.93,40.5,2511642,-3.1563845050215256
2025-08-20,40.43,40.8,39.2,40.06,2197188,-1.0864197530864095
2025-08-21,40.12,40.94,39.66,40.78,2295493,1.7973040439341004
2025-08-22,40.86,44.605,40.4594,44.43,2774254,8.95046591466404
2025-08-25,44.44,45.1399,44.0,44.09,1421567,-0.7652487058293911
2025-08-26,44.07,45.925,44.07,44.87,2284104,1.7691086414152624
2025-08-27,44.76,44.87,43.2755,44.5,1839579,-0.8246044127479313
2025-08-28,45.2,46.99,44.86,46.9,1888670,5.393258426966296
2025-08-29,46.408,46.59,44.38,44.57,1517780,-4.968017057569297
2025-09-02,42.88,45.05,42.69,44.96,2557358,0.8750280457707094
2025-09-03,45.39,46.5199,45.1,46.23,1533096,2.8247330960853967
2025-09-04,46.3,47.33,45.88,46.07,1162583,-0.346095608911956
2025-09-05,47.69,49.46,46.28,47.7,2166988,3.5380942044714647
