date,open,high,low,close,volume,change_pct
2025-07-21,4.0,4.12,3.51,3.53,7684537,0.0
2025-07-22,3.46,3.56,3.28,3.56,4226830,0.8498583569405138
2025-07-23,3.5888,3.74,3.5112,3.73,3606422,4.7752808988763995
2025-07-24,3.76,3.8163,3.53,3.6,3332666,-3.4852546916890104
2025-07-25,3.53,3.595,3.24,3.35,4324338,-6.944444444444442
2025-07-28,3.4,3.4083,3.16,3.34,2832084,-0.29850746268657025
2025-07-29,3.315,3.345,3.05,3.07,3246125,-8.083832335329344
2025-07-30,3.11,3.2,2.875,2.92,5308269,-4.885993485342022
2025-07-31,2.88,3.08,2.8,3.06,4182551,4.794520547945202
2025-08-01,2.9899,3.11,2.88,2.96,3614971,-3.26797385620915
2025-08-04,3.07,3.59,3.01,3.55,6966779,19.932432432432435
2025-08-05,3.61,3.63,3.265,3.44,4577973,-3.0985915492957705
2025-08-06,3.45,3.5,3.26,3.4,3092689,-1.1627906976744207
2025-08-07,3.49,3.62,3.44,3.52,3446241,3.529411764705892
2025-08-08,3.6606,3.79,3.48,3.64,4848254,3.409090909090917
2025-08-11,3.85,4.04,3.69,3.79,7526901,4.120879120879128
2025-08-12,3.84,3.91,3.6,3.82,5019175,0.79155672823219
2025-08-13,3.87,4.01,3.41,4.01,10180968,4.973821989528804
2025-08-14,3.95,4.15,3.82,4.13,6007092,2.9925187032419087
2025-08-15,4.13,4.415,3.95,4.27,7026819,3.3898305084745672
2025-08-18,4.3957,4.58,4.2306,4.49,6411542,5.152224824355978
2025-08-19,4.5,4.62,4.07,4.26,7206116,-5.122494432071278
2025-08-20,4.1,4.54,3.93,4.4,7469429,3.2863849765258246
2025-08-21,4.3001,4.59,4.22,4.54,5021483,3.1818181818181746
2025-08-22,4.55,4.8299,4.43,4.72,9232741,3.9647577092510877
2025-08-25,4.79,4.98,4.545,4.82,8761596,2.1186440677966267
2025-08-26,4.9627,5.128643,4.795,4.94,7422006,2.4896265560165887
2025-08-27,4.8,4.93,4.57,4.59,6381895,-7.085020242914986
2025-08-28,4.6,4.675,4.38,4.57,4591375,-0.43572984749454813
2025-08-29,4.62,4.6928,4.43,4.55,5761307,-0.4376367614879806
2025-09-02,4.5,4.5,4.14,4.31,4448455,-5.274725274725278
2025-09-03,4.41,4.54,4.27,4.31,3610184,0.0
2025-09-04,4.2921,4.59,4.25,4.58,3905608,6.264501160092828
2025-09-05,4.68,4.72,4.26,4.51,4799836,-1.5283842794759916
2025-09-08,4.46,4.48,4.31,4.31,3240355,-4.434589800443467
2025-09-09,4.4,4.95,4.3017,4.62,5158585,7.1925754060324865
2025-09-10,4.5706,5.0,4.55,4.71,6214923,1.9480519480519431
2025-09-11,4.7871,4.8,4.5,4.59,4633896,-2.547770700636942
2025-09-12,4.5985,4.96,4.46,4.93,4918382,7.407407407407396
2025-09-15,4.9254,5.09,4.8403,5.07,4633997,2.8397565922920975
2025-09-16,5.2,5.5,5.02,5.32,8340747,4.930966469428011
2025-09-17,5.3701,5.68,5.2343,5.6,5658191,5.263157894736836
2025-09-18,5.665,5.925,5.4838,5.89,6740528,5.178571428571432
2025-09-19,5.96,6.68,5.94,6.49,20200422,10.186757215619702
2025-09-22,6.51,6.53,6.05,6.45,6826470,-0.6163328197226536
2025-09-23,7.07,8.1695,6.99,7.3,29007539,13.178294573643413
2025-09-24,7.97,7.97,6.46,6.67,14867880,-8.630136986301373
2025-09-25,6.47,6.96,6.15,6.31,11130257,-5.397301349325345
2025-09-26,6.495,7.0,6.015,6.25,9873656,-0.9508716323296307
2025-09-29,6.52,6.6799,6.23,6.39,6218085,2.2399999999999975
2025-09-30,6.34,6.63,5.95,6.2,6488133,-2.9733959311423974
2025-10-01,6.717,7.68,6.67,7.55,18193366,21.7741935483871
2025-10-02,7.635,7.75,7.2201,7.51,8271120,-0.5298013245033095
2025-10-03,7.6416,8.4,7.46,7.75,12260818,3.1957390146471365
2025-10-06,8.29,8.59,7.6,8.09,15999372,4.387096774193555
2025-10-07,8.48,9.49,8.41,8.7,20387726,7.540173053152022
2025-10-08,9.57,10.04,9.195,9.52,21930201,9.425287356321842
2025-10-09,10.25,10.97,10.09,10.88,19425105,14.285714285714302
2025-10-10,11.995,13.93,11.42,12.21,35904116,12.224264705882359
2025-10-13,14.69,17.265,13.36,16.71,45854808,36.85503685503686
2025-10-14,19.5,19.71,15.42,17.47,53749294,4.548174745661271
2025-10-15,15.99,16.7116,12.875,13.76,41603627,-21.23640526617058
