date,open,high,low,close,volume,change_pct
2025-07-17,12.285,13.38,11.53,11.85,7948044,0.0
2025-07-18,11.99,12.19,10.63,10.87,6403792,-8.27004219409283
2025-07-21,11.23,11.43,9.88,10.01,5657391,-7.911683532658687
2025-07-22,10.33,10.42,9.61,10.25,3372001,2.3976023976024052
2025-07-23,10.4,10.73,10.0501,10.69,2576568,4.292682926829272
2025-07-24,10.92,11.57,10.74,11.37,4227491,6.361085126286237
2025-07-25,11.625,11.9,10.91,10.94,3848428,-3.781882145998239
2025-07-28,11.15,11.24,10.03,10.15,2661307,-7.221206581352824
2025-07-29,10.11,10.165,9.26,9.29,3138480,-8.472906403940893
2025-07-30,9.22,9.6493,9.08,9.4,1793650,1.1840688912809538
2025-07-31,9.34,9.59,9.14,9.24,1637434,-1.7021276595744705
2025-08-01,8.785,9.19,8.51,8.84,2313619,-4.329004329004338
2025-08-04,9.0,9.725,8.85,9.68,2020861,9.502262443438902
2025-08-05,10.075,11.08,9.89,10.46,6174680,8.057851239669422
2025-08-06,10.295,10.31,9.83,9.91,2287397,-5.258126195028689
2025-08-07,10.05,10.0799,9.51,9.59,1776853,-3.229061553985879
2025-08-08,9.72,10.24,9.53,10.09,1890833,5.213764337851923
2025-08-11,10.24,10.74,9.82,9.96,2289705,-1.2884043607532147
2025-08-12,9.9699,10.67,9.7,10.61,1922356,6.526104417670675
2025-08-13,10.88,11.38,10.32,10.48,2670025,-1.2252591894439169
2025-08-14,10.03,10.35,9.455,9.86,2871532,-5.916030534351158
2025-08-15,9.75,10.07,9.5,9.88,1798649,0.20283975659229903
2025-08-18,9.66,10.35,9.55,10.05,2111922,1.7206477732793601
2025-08-19,10.57,10.72,9.61,9.75,2963844,-2.9850746268656803
2025-08-20,9.82,10.17,8.95,9.62,2442794,-1.333333333333342
2025-08-21,9.535,10.6372,9.4109,10.51,3977359,9.25155925155925
2025-08-22,10.3,11.39,10.11,11.07,3695329,5.328258801141783
2025-08-25,11.05,11.955,10.8,11.55,4089281,4.336043360433606
2025-08-26,11.55,11.82,10.61,10.76,3322088,-6.839826839826846
2025-08-27,10.68,10.79,10.23,10.23,1752065,-4.925650557620809
2025-08-28,10.3945,10.75,10.16,10.17,1880266,-0.5865102639296182
2025-08-29,9.9,9.96,9.36,9.6,3129560,-5.604719764011801
2025-09-02,9.2,9.3528,8.65,9.16,3122125,-4.583333333333329
2025-09-03,9.37,9.3899,8.7844,9.02,2122138,-1.5283842794759916
2025-09-04,8.9937,9.28,8.82,9.27,1319002,2.7716186252771724
2025-09-05,9.3,9.61,8.924,9.56,1737276,3.1283710895361416
2025-09-08,9.6371,10.02,9.58,10.02,2086059,4.811715481171541
2025-09-09,10.04,10.13,9.61,9.66,1548072,-3.59281437125748
2025-09-10,9.8608,10.03,9.68,9.95,1535246,3.002070393374723
2025-09-11,10.04,10.92,10.0,10.59,2991490,6.432160804020115
2025-09-12,10.62,10.6262,9.88,10.5,2672427,-0.8498583569405138
2025-09-15,10.7999,10.99,10.26,10.95,2313913,4.2857142857142705
2025-09-16,10.97,11.69,10.334,11.64,3444375,6.301369863013706
2025-09-17,11.33,11.9,11.11,11.43,3769516,-1.8041237113402109
2025-09-18,11.5,11.55,10.91,11.11,2708491,-2.7996500437445393
2025-09-19,11.085,13.13,11.05,13.1,7302062,17.91179117911792
2025-09-22,12.95,14.89,12.67,14.35,7102471,9.541984732824439
2025-09-23,14.345,15.23,13.6092,14.0,4087907,-2.4390243902439046
2025-09-24,14.0,14.65,13.2809,13.4,2540503,-4.285714285714281
2025-09-25,12.2013,13.35,11.82,13.11,3222652,-2.164179104477615
2025-09-26,12.87,13.2,12.51,12.91,1334572,-1.5255530129671957
2025-09-29,13.4,14.41,13.31,13.8,3582511,6.893880712625866
2025-09-30,14.49,15.43,13.51,15.1,6073631,9.420289855072461
2025-10-01,15.12,15.98,14.35,14.86,3485844,-1.5894039735099397
2025-10-02,15.01,15.5,14.7,14.97,3668529,0.7402422611036519
2025-10-03,16.125,17.18,15.18,16.38,9167188,9.4188376753507
2025-10-06,16.75,17.48,16.0,16.21,4423928,-1.037851037851023
2025-10-07,16.36,17.25,15.1301,15.99,3118249,-1.3571869216533083
2025-10-08,15.96,16.65,14.91,15.64,3265404,-2.1888680425265816
2025-10-09,15.96,16.77,14.75,15.25,3679250,-2.493606138107418
2025-10-10,15.175,15.175,13.26,13.37,4359684,-12.327868852459023
2025-10-13,13.9003,14.61,13.47,14.32,2932435,7.1054599850411515
2025-10-14,13.7583,15.55,13.15,15.21,3227462,6.215083798882692
2025-10-15,16.25,16.97,13.7,14.26,6781010,-6.245890861275482
2025-10-16,14.39,14.5623,12.55,12.75,4103449,-10.589060308555398
2025-10-17,12.51,12.6999,11.81,12.34,3172431,-3.2156862745098103
2025-10-20,12.955,13.1,12.4,12.76,1953238,3.4035656401944836
2025-10-21,12.78,13.18,12.4,12.47,1552084,-2.2727272727272707
2025-10-22,11.8,12.0,11.11,11.67,2802124,-6.415396952686447
2025-10-23,11.71,12.1599,11.55,11.88,1524855,1.799485861182526
2025-10-24,12.29,14.3399,11.94,12.84,16891051,8.080808080808065
2025-10-27,15.45,16.45,14.54,15.13,16049686,17.834890965732097
2025-10-28,15.42,15.47,13.8,14.01,4805360,-7.40251156642433
2025-10-29,14.245,16.38,13.45,15.9,7391361,13.490364025695945
2025-10-30,15.3058,16.35,14.95,15.06,4335692,-5.283018867924527
2025-10-31,15.38,15.38,14.23,14.97,2494476,-0.5976095617529875
2025-11-03,15.0,15.0977,13.27,13.46,3345819,-10.086840347361392
2025-11-04,12.62,13.0569,12.02,12.08,2818928,-10.252600297176828
2025-11-05,12.18,12.3819,11.5,11.91,2896910,-1.407284768211925
2025-11-06,12.202,12.202,10.71,10.75,2791615,-9.739714525608733
2025-11-07,10.0,10.9,9.425,10.59,6931216,-1.4883720930232602
2025-11-10,11.455,11.54,10.71,11.48,3136280,8.404154863078372
2025-11-11,11.2,11.21,10.7,10.86,1689723,-5.400696864111509
2025-11-12,11.17,11.39,10.3,10.73,2150482,-1.1970534069981498
2025-11-13,10.37,10.6045,9.4,9.65,3232447,-10.065237651444548
2025-11-14,9.05,9.9199,8.9,9.35,2634557,-3.1088082901554515
2025-11-17,9.33,9.41,8.4369,8.58,2559620,-8.23529411764705
2025-11-18,8.4,9.23,8.27,9.05,2861263,5.477855477855487
2025-11-19,9.12,9.27,8.59,8.69,1606559,-3.977900552486202
2025-11-20,9.1381,9.2499,7.7,7.76,2829787,-10.701956271576519
2025-11-21,8.0447,8.1,7.245,7.88,2821572,1.546391752577314
2025-11-24,7.98,8.52,7.5718,8.49,1803410,7.74111675126905
2025-11-25,8.575,8.6165,7.82,8.41,1350263,-0.9422850412249661
2025-11-26,8.56,8.66,8.22,8.51,1003667,1.189060642092743
2025-11-28,8.79,8.95,8.6,8.75,974611,2.820211515863691
2025-12-01,8.54,8.74,8.38,8.45,905313,-3.4285714285714364
2025-12-02,8.6,9.27,8.49,9.0,1912516,6.5088757396449815
2025-12-03,9.35,10.395,8.94,10.31,3172254,14.555555555555566
2025-12-04,10.3,11.25,10.1,10.94,3024947,6.110572259941804
2025-12-05,11.05,11.1,10.46,10.67,1915712,-2.468007312614251
2025-12-08,10.9,11.4,10.8,11.09,1468131,3.936269915651369
2025-12-09,10.71,11.64,10.7,11.3,1404163,1.8935978358882055
2025-12-10,11.0307,11.15,10.5,10.52,1779712,-6.902654867256652
2025-12-11,10.395,10.94,10.0,10.88,1106554,3.4220532319391817
2025-12-12,10.735,10.81,9.935,10.02,1602049,-7.904411764705888
