date,open,high,low,close,volume,change_pct
2025-07-21,32.56,33.61,31.81,31.94,3618315,0.0
2025-07-22,32.1,32.59,31.63,32.1,2813438,0.5009392611145858
2025-07-23,32.65,34.4,32.16,33.4,5903449,4.049844236760114
2025-07-24,31.5,34.6687,31.2168,33.5,7802283,0.29940119760478723
2025-07-25,33.83,35.215,33.5296,34.42,5179787,2.746268656716433
2025-07-28,35.145,35.4,33.0,33.2,3801026,-3.5444509006391622
2025-07-29,32.87,33.88,32.02,32.91,3828457,-0.8734939759036386
2025-07-30,33.26,34.6,33.125,33.71,3333092,2.430872075357038
2025-07-31,33.14,34.01,32.3,32.57,3766343,-3.3817858202313866
2025-08-01,32.0,33.57,31.8007,32.68,3354965,0.3377341111452159
2025-08-04,33.0,34.02,32.585,33.98,2953201,3.977968176254576
2025-08-05,33.94,34.73,33.5,34.03,2703895,0.1471453796350941
2025-08-06,34.075,34.125,31.3,31.88,3622003,-6.317954745812527
2025-08-07,34.31,36.07,32.92,35.56,8544895,11.543287327478048
2025-08-08,35.69,38.29,35.5602,37.89,7016048,6.5523059617547785
2025-08-11,38.75,40.13,37.3019,38.19,6856851,0.7917656373713333
2025-08-12,38.14,40.18,37.75,39.86,4016653,4.372872479706724
2025-08-13,40.53,41.6795,39.88,41.27,4524121,3.5373808329152157
2025-08-14,40.3,41.31,39.35,40.24,5861302,-2.495759631693728
2025-08-15,40.46,41.09,39.4,40.03,3309143,-0.5218687872763472
2025-08-18,40.38,42.23,40.35,42.09,5098210,5.14614039470398
2025-08-19,26.0,26.2499,23.21,24.36,64601040,-42.1240199572345
2025-08-20,24.605,26.74,24.53,25.69,23763211,5.4597701149425415
2025-08-21,25.665,25.75,24.5701,25.66,9018420,-0.11677695601401972
2025-08-22,25.38,26.65,24.96,26.0,10593655,1.3250194855806807
2025-08-25,25.83,26.47,25.07,25.85,8603767,-0.5769230769230749
2025-08-26,25.5,26.12,24.77,26.04,7298564,0.7350096711798759
2025-08-27,26.0,27.5,25.8601,26.62,7493322,2.227342549923206
2025-08-28,26.87,28.05,26.7,27.58,5809302,3.6063110443275592
2025-08-29,27.59,28.14,26.82,27.05,3796128,-1.921682378535161
2025-09-02,27.0,27.515,26.13,27.49,4698546,1.626617375231043
2025-09-03,27.13,28.26,26.52,26.83,4837859,-2.4008730447435456
2025-09-04,26.55,27.04,25.89,26.53,4214450,-1.1181513231457219
2025-09-05,26.48,27.29,25.77,26.98,5246508,1.6961929890689786
2025-09-08,26.72,26.84,25.33,25.48,6218402,-5.5596738324684924
2025-09-09,25.26,25.43,24.92,25.27,3914900,-0.8241758241758323
2025-09-10,25.46,26.04,24.82,25.87,6075821,2.3743569449940605
2025-09-11,25.85,26.5,25.63,25.74,4336481,-0.5025125628140836
2025-09-12,25.88,25.89,24.8,24.81,4060154,-3.6130536130536073
2025-09-15,24.71,24.95,23.84,24.085,6852665,-2.922208786779512
2025-09-16,24.125,24.16,23.53,23.69,4293898,-1.64002491177081
2025-09-17,23.61,24.135,22.959,23.09,5022072,-2.5327142254115698
2025-09-18,23.41,26.12,23.06,26.04,8307562,12.77609354699003
2025-09-19,26.12,26.4288,25.16,25.4,7276845,-2.457757296466978
2025-09-22,25.35,27.485,24.52,26.25,7868503,3.346456692913402
2025-09-23,26.45,26.635,24.95,24.97,4690830,-4.876190476190478
2025-09-24,25.07,26.96,24.78,26.63,5493008,6.647977573087704
2025-09-25,26.4,26.4,25.055,25.09,4330516,-5.78295155839279
2025-09-26,25.24,25.65,24.88,25.57,3709847,1.913112793941818
2025-09-29,25.55,26.46,25.29,25.81,3986285,0.9385999217833341
2025-09-30,25.72,26.55,25.04,26.28,5009322,1.8209996125532868
2025-10-01,26.35,27.4,26.17,27.37,4690297,4.1476407914764035
2025-10-02,27.66,27.9,27.09,27.88,3501702,1.8633540372670732
2025-10-03,28.23,29.8496,28.095,29.72,5358807,6.599713055954082
2025-10-06,30.55,32.64,30.5,32.28,7245430,8.613728129205933
2025-10-07,32.5,32.86,31.33,31.535,5149295,-2.307930607187114
2025-10-08,31.93,34.305,31.66,32.37,5980033,2.647851593467565
2025-10-09,33.53,35.45,33.4,34.98,7168943,8.063021316033359
2025-10-10,35.75,35.925,33.17,33.56,6652990,-4.05946255002857
2025-10-13,34.02,34.4141,33.12,33.91,3534520,1.0429082240762666
2025-10-14,32.868,34.09,32.21,33.05,3093844,-2.53612503686228
2025-10-15,33.62,35.66,33.62,35.12,5327712,6.263237518910736
2025-10-16,35.55,36.8,34.16,34.73,4498994,-1.110478359908884
2025-10-17,32.9,34.89,32.76,33.535,4043584,-3.4408292542470464
2025-10-20,34.55,34.92,33.53,33.75,3285349,0.641121216639351
2025-10-21,33.78,34.0,32.285,32.98,2880107,-2.2814814814814954
2025-10-22,32.63,32.99,30.85,31.42,4293141,-4.730139478471784
2025-10-23,35.44,36.11,33.2,33.92,8628575,7.95671546785488
2025-10-24,35.0,35.25,33.0,34.42,4386389,1.474056603773577
2025-10-27,34.93,35.95,33.75,35.93,3921558,4.386984311446818
2025-10-28,35.77,36.0399,34.61,34.93,2771085,-2.783189535207342
2025-10-29,35.19,36.45,34.84,35.22,3894501,0.8302318923561369
2025-10-30,36.55,39.57,36.5,38.17,7867264,8.375922771152755
2025-10-31,38.5,38.88,36.9405,38.08,3604069,-0.23578726748756385
2025-11-03,38.11,38.72,35.51,36.0,3899004,-5.462184873949571
2025-11-04,36.74,38.0,34.615,34.63,6399840,-3.805555555555551
2025-11-05,34.565,37.19,34.15,36.47,3822532,5.313312157089212
2025-11-06,36.01,38.02,35.62,37.27,5240034,2.193583767480134
2025-11-07,35.86,37.5,34.67,36.77,4647818,-1.34156157767642
2025-11-10,38.228,38.77,36.49,37.77,4018530,2.7196083763938006
2025-11-11,37.66,40.69,37.06,40.6,5497614,7.492719089224242
2025-11-12,42.215,43.15,40.0,40.78,5670971,0.4433497536945774
2025-11-13,40.5,40.8834,38.4,39.0,3826563,-4.364884747425213
2025-11-14,37.26,40.3,37.24,39.11,3432305,0.2820512820512766
2025-11-17,38.07,38.75,36.86,38.22,3751019,-2.275632830478136
2025-11-18,37.125,38.335,36.66,37.76,3493715,-1.2035583464154898
2025-11-19,38.05,38.12,35.39,36.04,4622787,-4.555084745762706
2025-11-20,37.02,37.37,34.19,34.27,3751519,-4.911209766925628
2025-11-21,34.03,34.93,32.9,34.26,2852239,-0.029180040852072597
2025-11-24,34.3,34.86,33.3539,34.65,2592012,1.138353765323985
2025-11-25,34.54,35.51,33.44,35.46,2234811,2.3376623376623495
2025-11-26,35.65,36.5799,35.42,36.27,2461298,2.2842639593908753
2025-11-28,36.45,36.83,36.0801,36.81,1187030,1.4888337468982549
2025-12-01,36.27,36.27,34.44,34.55,2333417,-6.139635968486834
2025-12-02,34.64,35.42,33.85,33.88,2212470,-1.9392185238784165
2025-12-03,34.1,35.845,33.81,35.41,2760117,4.515938606847669
2025-12-04,35.1,39.9899,34.8,38.57,5138283,8.924032759107604
2025-12-05,38.34,39.48,38.05,38.55,2745931,-0.051853772361942774
2025-12-08,38.51,39.08,36.25,37.98,5055025,-1.4785992217898891
2025-12-09,37.86,38.35,37.06,37.28,1692509,-1.8430753027909308
2025-12-10,37.15,37.74,36.49,37.53,1965443,0.670600858369097
2025-12-11,36.68,38.15,36.68,37.21,2022987,-0.8526512123634422
2025-12-12,37.06,38.5,36.51,37.08,2463724,-0.3493684493415805
2025-12-15,36.77,37.1633,35.95,36.15,1937661,-2.5080906148867266
2025-12-16,35.852,36.15,35.0,35.72,1665979,-1.189488243430148
2025-12-17,35.78,36.3811,34.08,34.3,2405307,-3.9753639417693165
2025-12-18,34.31,35.1,33.92,33.95,1863292,-1.020408163265285
2025-12-19,34.01,35.83,33.89,35.19,3397544,3.6524300441826085
2025-12-22,35.0,35.8,34.84,35.4,1987172,0.5967604433077645
2025-12-23,35.61,36.99,35.1,36.41,2181219,2.853107344632755
2025-12-24,36.68,37.83,36.22,37.35,1673961,2.5817083218895975
2025-12-26,37.25,37.44,36.0,37.18,1633160,-0.4551539491298606
2025-12-29,36.74,37.09,36.13,36.46,1872526,-1.9365250134480871
2025-12-30,36.46,36.66,35.21,35.32,2175139,-3.1267142073505227
2025-12-31,35.14,35.5,34.67,35.18,2147527,-0.3963759909399789
2026-01-02,35.54,36.1746,34.8811,35.42,1845031,0.6822057987492913
2026-01-05,35.2,35.205,31.85,32.14,8275559,-9.260304912478823
2026-01-06,31.88,33.28,31.56,32.3,3700849,0.49782202862476144
2026-01-07,32.5,33.35,31.73,32.38,3880157,0.2476780185758587
2026-01-08,32.3,32.3,31.59,31.65,3037526,-2.2544780728845137
2026-01-09,32.35,32.94,31.79,31.99,2876223,1.0742496050552885
2026-01-12,32.33,32.33,31.04,31.76,2867877,-0.7189746795873586
2026-01-13,31.69,31.8199,29.5363,30.69,5163769,-3.369017632241811
