date,open,high,low,close,volume,change_pct
2025-07-21,8.92,8.92,8.205,8.43,7880722,0.0
2025-07-22,8.445,8.445,7.838,8.09,5543069,-4.033214709371292
2025-07-23,8.42,8.84,8.11,8.74,6272890,8.034610630407911
2025-07-24,8.63,8.685,8.32,8.33,4411995,-4.691075514874143
2025-07-25,8.26,8.4,8.11,8.26,2929974,-0.8403361344537896
2025-07-28,8.145,8.45,8.145,8.34,2997981,0.9685230024213176
2025-07-29,8.63,8.78,8.1,8.28,5693978,-0.7194244604316613
2025-07-30,8.11,8.245,7.9523,8.02,3647793,-3.1400966183574908
2025-07-31,8.02,8.53,8.01,8.31,7587241,3.615960099750626
2025-08-01,7.895,7.895,7.17,7.49,8422628,-9.867629362214203
2025-08-04,7.67,7.86,7.64,7.82,2392101,4.405874499332452
2025-08-05,7.91,8.125,7.78,7.83,4189422,0.12787723785165905
2025-08-06,7.82,8.07,7.72,8.01,2509510,2.298850574712641
2025-08-07,8.19,8.43,8.135,8.15,4290672,1.7478152309613026
2025-08-08,8.04,8.1,7.835,7.98,3226679,-2.0858895705521463
2025-08-11,8.25,8.41,7.9,8.02,3589060,0.5012531328320691
2025-08-12,7.9,8.01,7.28,7.8,5969218,-2.7431421446383997
2025-08-13,7.89,8.3,7.85,8.01,4489659,2.6923076923076827
2025-08-14,7.87,8.215,7.87,7.95,4452975,-0.7490636704119757
2025-08-15,8.0,8.0499,7.73,7.77,3137649,-2.264150943396237
2025-08-18,7.93,8.1796,7.725,7.75,4516242,-0.2574002574002532
2025-08-19,7.87,8.3,7.79,7.84,4865017,1.1612903225806326
2025-08-20,7.85,7.99,7.405,7.98,4559545,1.7857142857143016
2025-08-21,7.45,7.93,7.27,7.34,7365842,-8.020050125313293
2025-08-22,7.65,8.725,7.405,8.29,9459400,12.94277929155312
2025-08-25,8.39,8.3964,7.755,7.84,4922952,-5.428226779252099
2025-08-26,7.84,8.365,7.8,7.81,5811528,-0.3826530612244916
2025-08-27,7.83,7.87,7.665,7.8,2535441,-0.1280409731113874
2025-08-28,7.89,8.545,7.88,8.53,8533348,9.358974358974347
2025-08-29,8.9,9.14,8.46,8.66,14156877,1.5240328253224078
2025-09-02,8.35,8.49,7.91,8.06,5579111,-6.928406466512693
2025-09-03,8.02,8.21,7.915,8.0,2884416,-0.7444168734491385
