date,open,high,low,close,volume,change_pct
2025-07-09,572.46,574.26,570.76,573.61,7156477,0.0
2025-07-10,573.78,576.26,572.7,575.29,4961691,0.29288192325795936
2025-07-11,572.45,574.3757,571.37,573.22,4428852,-0.3598185263084641
2025-07-14,572.85,574.679,571.58,574.35,4747041,0.19713199120756641
2025-07-15,576.85,577.16,571.85,571.86,5398956,-0.43353355967615803
2025-07-16,573.4,574.26,568.17,573.74,6141184,0.3287517923967309
2025-07-17,574.02,577.65,573.8,577.18,6495346,0.5995747202565571
2025-07-18,578.47,578.5,575.84,576.92,4262378,-0.04504660591150289
2025-07-21,577.98,580.53,577.59,577.95,5913837,0.17853428551619643
2025-07-22,578.28,578.84,575.64,577.95,4767703,0.0
2025-07-23,580.57,582.96,578.87,582.86,4257345,0.8495544597283411
2025-07-24,583.34,584.75,582.72,583.26,3840901,0.06862711457296111
2025-07-25,583.81,586.04,583.59,585.58,4210090,0.39776429036793015
2025-07-28,586.04,586.5,584.24,585.44,4193101,-0.0239079203524728
2025-07-29,586.82,587.08,583.12,583.92,5053447,-0.2596337797212467
2025-07-30,584.66,586.15,580.55,583.21,6974729,-0.12159199890394712
2025-07-31,587.83,588.16144,579.84,581.02,7046843,-0.3755079645410886
2025-08-01,575.73,575.74,569.29,571.45,8781254,-1.6471033699356208
2025-08-04,575.17,580.21,575.08,580.14,6640089,1.5206929740134711
2025-08-05,580.79,581.5,576.4,577.35,4647381,-0.4809183990071353
2025-08-06,578.25,582.27,577.41,581.64,4545015,0.7430501428942415
2025-08-07,584.87,585.52,578.3127,581.29,4594260,-0.06017467849529501
2025-08-08,582.93,586.17,582.6,585.74,4342341,0.7655387156152882
2025-08-11,586.03,587.36,583.44,584.54,5373949,-0.20486905452932191
2025-08-12,586.75,590.96,585.435,590.78,5874245,1.0675060731515362
2025-08-13,592.86,594.03,590.81,592.84,5392973,0.3486915603100993
2025-08-14,590.92,593.51,590.5,592.85,6236666,0.0016867957627564323
2025-08-15,593.86,593.95,590.66,591.57,7196315,-0.215906215737538
2025-08-18,590.98,592.02,590.35,591.36,5311743,-0.035498757543495074
2025-08-19,591.25,592.12,586.94,588.13,6739284,-0.5461985930735991
2025-08-20,587.81,588.0,581.85,586.58,7113572,-0.2635471749443119
2025-08-21,584.93,586.46,582.65,584.27,4807277,-0.3938081762078549
2025-08-22,586.27,594.32,585.84,593.21,6389278,1.5301145018570272
2025-08-25,592.05,593.2299,590.55,590.7,6483035,-0.42312166012036245
2025-08-26,590.38,593.43,589.795,593.06,4776577,0.3995259861181433
2025-08-27,592.52,595.14,592.44,594.42,6171422,0.22931912454051684
2025-08-28,595.07,597.07,593.27,596.52,5058689,0.353285555667715
2025-08-29,595.24,595.55,591.245,593.08,7512032,-0.5766780661167981
2025-09-02,586.06,588.8,583.67,588.71,11116704,-0.7368314561273404
2025-09-03,590.81,592.23,588.78,591.72,8205922,0.511287391075399
2025-09-04,592.47,596.77,591.6,596.59,8045575,0.8230244034340473
2025-09-05,598.91,599.6,591.45,594.96,6641512,-0.27321946395346686
2025-09-08,596.31,597.41,595.03,596.5,9472235,0.2588409304827177
2025-09-09,596.61,598.37,595.01,597.95,7844787,0.24308466051969901
2025-09-10,600.92,601.75,598.16,599.68,21641066,0.28932184965295704
