date,open,high,low,close,volume,change_pct
2025-07-10,64.96,65.605,64.585,65.06,3917443,0.0
2025-07-11,64.75,66.63,64.23,66.14,5339157,1.6600061481709227
2025-07-14,66.04,67.3452,65.24,66.93,5100413,1.1944360447535551
2025-07-15,67.95,68.06,67.17,67.53,6335121,0.8964589870013251
2025-07-16,67.53,67.6,65.795,66.53,4780272,-1.480823337775805
2025-07-17,66.51,67.675,66.35,67.02,6211307,0.7365098451826091
2025-07-18,67.86,68.52,67.265,68.0,4275307,1.4622500746046097
2025-07-21,68.19,68.77,67.7,68.74,4128038,1.0882352941176343
2025-07-22,68.53,68.7677,66.04,67.06,5096706,-2.443991853360483
2025-07-23,67.61,69.6,67.575,69.32,7210623,3.370116313748861
2025-07-24,69.2,69.62,68.34,69.02,8054280,-0.4327755337564909
2025-07-25,69.25,69.7197,66.51,68.82,7880376,-0.2897710808461351
2025-07-28,69.4,69.62,68.665,68.985,4508865,0.23975588491718103
2025-07-29,69.45,71.31,69.405,70.61,8861358,2.3555845473653747
2025-07-30,69.45,71.81,69.3,71.43,13984025,1.1613085965160863
2025-07-31,74.25,78.7994,73.25,78.69,24012721,10.16379672406551
2025-08-01,75.71,77.02,74.49,76.55,8789789,-2.7195323421019157
2025-08-04,77.77,78.02,76.0536,77.29,5097441,0.96668843892882
2025-08-05,77.935,78.21,74.205,75.84,5898439,-1.8760512356061576
2025-08-06,75.925,76.46,73.505,73.78,7647042,-2.7162447257384037
2025-08-07,73.71,74.615,73.44,74.44,6938344,0.8945513689346596
2025-08-08,74.93,75.8,74.49,74.97,4983830,0.7119828049435784
2025-08-11,75.32,76.67,74.37,74.64,7304259,-0.44017607042816653
2025-08-12,74.9,75.93,74.62,75.91,7694755,1.7015005359056756
2025-08-13,76.28,77.18,75.67,76.07,5298719,0.21077591885125813
2025-08-14,75.28,76.61,74.7235,76.24,6621516,0.2234783751807523
2025-08-15,76.5,76.58,74.54,75.06,4258515,-1.5477439664218218
2025-08-18,74.79,76.42,74.625,76.29,5191856,1.6386890487609884
2025-08-19,75.9,76.46,75.11,75.86,3770844,-0.5636387468868853
2025-08-20,75.68,75.68,73.14,75.64,5478307,-0.290007909306611
2025-08-21,75.75,76.0,74.415,74.66,5490564,-1.2956107879428913
2025-08-22,74.78,77.35,74.57,76.97,6521653,3.094026252343962
2025-08-25,76.97,79.84,76.7,79.22,5401371,2.9232168377289813
2025-08-26,79.1,80.3,79.1,79.71,8724764,0.6185306740722041
2025-08-27,80.25,80.8,79.55,80.67,5536581,1.204365826119691
2025-08-28,80.9,82.16,80.7,82.04,4557500,1.6982769307053447
2025-08-29,81.57,82.32,79.8,80.34,5004446,-2.0721599219892806
2025-09-02,78.515,81.935,77.9,81.91,5777791,1.954194672641263
