date,open,high,low,close,volume,change_pct
2025-07-18,111.11,111.73,107.34,107.77,32366594,0.0
2025-07-21,107.6,108.77,107.44,108.05,17010405,0.25981256379326023
2025-07-22,107.98,109.44,107.61,108.54,13970885,0.45349375289218674
2025-07-23,108.93,110.0,108.85,109.93,12002687,1.280633867698544
2025-07-24,109.66,110.95,109.125,110.79,15647208,0.7823160192850009
2025-07-25,110.73,110.98,109.7,110.4,10548938,-0.3520173300839424
2025-07-28,111.085,112.1078,110.84,111.44,12352966,0.9420289855072372
2025-07-29,111.82,113.0,111.41,112.88,15927998,1.2921751615218913
2025-07-30,112.41,112.61,111.26,111.9,12996905,-0.8681785967398881
2025-07-31,110.36,112.495,110.36,111.64,17233744,-0.23235031277927254
2025-08-01,112.0,112.54,108.86,109.64,19652030,-1.7914725904693674
2025-08-04,109.22,109.92,107.085,107.37,19129474,-2.070412258299892
2025-08-05,107.22,107.8151,106.07,107.24,21314254,-0.12107665083357366
2025-08-06,108.305,109.05,106.37,106.51,15321811,-0.6807161506900306
2025-08-07,107.14,108.06,105.89,105.95,13468287,-0.5257722279598198
2025-08-08,106.5,107.51,105.95,106.8,14417734,0.8022652194431323
2025-08-11,107.11,107.5346,105.525,105.83,13570661,-0.9082397003745357
2025-08-12,106.15,107.28,105.78,106.13,14113216,0.28347349522819254
2025-08-13,106.05,107.6,105.74,107.6,17958695,1.3850937529445106
2025-08-14,107.515,107.59,106.441,107.38,13683472,-0.20446096654275214
2025-08-15,106.16,107.56,105.95,106.49,19271861,-0.8288321847643942
2025-08-18,106.1,107.2276,105.67,106.72,13040018,0.2159827213823018
2025-08-19,106.2,107.46,106.15,107.42,16113611,0.6559220389805054
2025-08-20,107.88,109.33,107.68,108.53,18959716,1.0333271271643962
2025-08-21,108.42,109.565,107.96,109.23,12194897,0.6449829540219332
2025-08-22,109.6,111.41,109.6,111.28,13586668,1.8767737800970297
2025-08-25,110.9,111.92,110.54,111.74,9744897,0.4133716750539085
2025-08-26,111.37,111.81,110.355,111.49,18143880,-0.22373366744227186
2025-08-27,111.42,112.98,111.42,112.75,15262630,1.1301462014530417
2025-08-28,112.87,113.645,112.07,113.35,14189829,0.5321507760532196
2025-08-29,113.715,114.79,113.58,114.29,14597872,0.8292898103220203
2025-09-02,114.18,115.24,113.33,114.69,15206667,0.3499868754921698
2025-09-03,113.97,114.43,111.46,111.91,14920087,-2.4239253640247593
2025-09-04,112.105,113.125,111.38,112.4,12864438,0.4378518452327951
2025-09-05,111.6,111.78,109.02,109.23,16826692,-2.8202846975089013
2025-09-08,109.73,110.045,108.35,109.85,15440513,0.5676096310537337
2025-09-09,110.525,112.51,110.525,110.65,14899502,0.7282658170232326
2025-09-10,111.16,112.56,110.84,112.5,15837583,1.671938544961593
2025-09-11,111.4,112.765,110.87,112.14,11534502,-0.31999999999999806
2025-09-12,112.86,113.22,111.875,112.16,11105690,0.017834849295517152
2025-09-15,112.18,112.455,111.315,112.35,12880487,0.169400855920121
2025-09-16,112.955,115.315,112.775,114.68,17208044,2.073876279483766
2025-09-17,114.525,115.485,114.05,115.29,13302030,0.5319148936170137
2025-09-18,115.17,115.35,113.4,113.93,14628726,-1.1796339665192113
2025-09-19,113.9,113.98,112.64,112.82,38746517,-0.9742824541385198
2025-09-22,112.45,112.8,111.56,112.02,15611495,-0.7090941322460576
2025-09-23,112.72,114.7488,112.475,113.95,25369106,1.7229066238171775
2025-09-24,114.57,115.76,114.47,114.56,14756050,0.5353225098727599
2025-09-25,114.64,115.8999,114.41,115.59,15012553,0.8990921787709549
2025-09-26,115.96,118.36,115.92,117.22,18568916,1.4101565879401257
2025-09-29,116.06,116.5,113.665,114.22,19189260,-2.5592902235113457
2025-09-30,113.35,113.49,111.9393,112.75,18076211,-1.2869900192610695
