2026-01-15 14:03:52,578 - [2025-12-15] UAMY | HOLD | 信:65 | 20日线走平，价格位于箱体底部附近，威廉指标进入超卖区，但信号共振不明显，符合震荡期特征。
2026-01-15 14:03:57,448 - [2025-12-15] LPTH | HOLD | 信:55 | 20日线走平，价格位于箱体中位，技术指标中性且无明显共振信号，符合震荡期特征。
2026-01-15 14:04:02,978 - [2025-12-15] POET | HOLD | 信:60 | 20日线走平，价格处于箱体中位，无明显技术指标共振，符合震荡期特征。
2026-01-15 14:04:08,249 - [2025-12-15] BKKT | BUY | 信:65 | 处于震荡期底部，且出现RSI低位、威廉WR超卖的多指标超卖共振，存在反弹预期
2026-01-15 14:04:13,780 - [2025-12-15] LUNR | HOLD | 信:65 | 20日线走平，价格位于箱体中上部，技术指标中性且无明显共振，符合震荡期特征。
2026-01-15 14:04:18,486 - [2025-12-15] UMAC | HOLD | 信:60 | 20日线走平，价格位于箱体中部，技术指标中性且无明显共振信号，符合震荡期特征。
2026-01-15 14:04:23,768 - [2025-12-15] MSTR | HOLD | 信:65 | 20日线走平，价格位于箱体内部，威廉指标进入超卖区但信号共振不明显，符合震荡期特征。
2026-01-15 14:04:29,706 - [2025-12-15] VKTX | HOLD | 信:60 | 20日线走平，价格位于箱体中部，技术指标普遍中性，无明显共振信号，符合震荡期特征。
2026-01-15 14:04:35,426 - [2025-12-15] CLSK | HOLD | 信:60 | 20日线走平，价格位于箱体中部，技术指标呈中性，无明显共振信号
2026-01-15 14:04:42,523 - [2025-12-15] EWTX | BUY | 信:65 | 处于震荡期，20日线走平，价格位于箱体中位。但KDJ出现金叉，且动量共振信号（2/3）提供部分技术支撑，符合左侧博弈条件。
2026-01-15 14:04:48,385 - [2025-12-15] RDW | HOLD | 信:60 | 20日线走平，价格位于箱体中上部，KDJ死叉但无明显共振信号，符合震荡期特征，建议观望等待更明确信号。
2026-01-15 14:04:54,395 - [2025-12-15] USAR | HOLD | 信:65 | 20日线走平，价格位于箱体中部，技术指标中性且无共振信号
2026-01-15 14:05:04,388 - [2025-12-15] TGB | HOLD | 信:65 | 20日线走平，价格在箱体内部波动，但RSI与威廉指标均处于超买区，资金强度中性，未出现明确的底部共振买点。
2026-01-15 14:05:11,735 - [2025-12-15] SOC | HOLD | 信:65 | 20日线走平，价格位于箱体中上部，KDJ死叉但无明显共振信号，符合震荡期特征，建议观望等待更明确信号。
2026-01-15 14:05:16,332 - [2025-12-15] ORIC | BUY | 信:65 | 处于震荡期底部，且出现超卖共振（RSI低位、威廉WR超卖）
2026-01-15 14:05:23,132 - [2025-12-15] PCT | HOLD | 信:65 | 20日线走平，价格位于箱体内部，威廉指标进入超卖区，但信号无明显共振，符合震荡期特征。
2026-01-15 14:05:28,777 - [2025-12-15] ERAS | HOLD | 信:65 | 20日线走平，价格在箱体内部（相对位置71.1%），符合震荡期特征。KDJ死叉且RSI处于强弱分界，暂无明确的底部共振买入信号。
2026-01-15 14:05:34,560 - [2025-12-15] UEC | HOLD | 信:65 | 20日线走平，价格位于箱体中位，技术指标普遍中性，无明显共振信号，符合震荡期特征。
2026-01-15 14:05:39,389 - [2025-12-15] INFY | HOLD | 信:60 | 20日线走平，价格在箱体内部波动，技术指标呈中性，无明显共振信号
2026-01-15 14:05:44,509 - [2025-12-15] MP | HOLD | 信:65 | 20日线走平，价格位于箱体底部附近，威廉指标进入超卖区，但无明显技术指标共振信号。
