2026-01-15 17:42:58,117 - [2025-12-15] UAMY | HOLD | 信:60 | 20日线走平，价格位于箱体底部附近，威廉指标超卖但无明确共振信号
2026-01-15 17:43:02,927 - [2025-12-15] LPTH | HOLD | 信:65 | 20日线走平，价格位于箱体中位，技术指标呈中性且无明显共振信号
2026-01-15 17:43:09,642 - [2025-12-15] POET | HOLD | 信:60 | 20日线走平，价格位于箱体中位，技术指标中性且无明显共振信号
2026-01-15 17:43:14,687 - [2025-12-15] BKKT | BUY | 信:65 | 处于震荡期底部，且出现RSI低位、威廉WR超卖的多指标超卖共振，存在反弹预期
2026-01-15 17:43:18,802 - [2025-12-15] LUNR | HOLD | 信:65 | 20日线走平，价格在箱体内部波动，技术指标呈中性且无明显共振信号
2026-01-15 17:43:22,156 - [2025-12-15] UMAC | HOLD | 信:60 | 20日线走平，价格位于箱体中部，技术指标普遍中性且无共振信号
2026-01-15 17:43:26,014 - [2025-12-15] MSTR | HOLD | 信:60 | 20日线走平，价格位于箱体内部，威廉指标超卖但未形成底部共振信号
2026-01-15 17:43:31,005 - [2025-12-15] VKTX | HOLD | 信:50 | 20日线走平，价格位于箱体中部，技术指标中性且无共振信号
2026-01-15 17:43:35,077 - [2025-12-15] CLSK | HOLD | 信:65 | 20日线走平，价格位于箱体中下部，技术指标中性且无共振信号，符合震荡期特征，暂无明确博弈信号。
2026-01-15 17:43:39,126 - [2025-12-15] EWTX | HOLD | 信:60 | 趋势走平，价格处于箱体中位，KDJ金叉但整体信号共振不足
2026-01-15 17:43:43,523 - [2025-12-15] RDW | HOLD | 信:65 | 20日线走平，价格位于箱体中上部，KDJ死叉但无明显共振信号，符合震荡期特征，建议观望。
2026-01-15 17:43:47,408 - [2025-12-15] USAR | HOLD | 信:60 | 20日线走平，价格位于箱体中位，无明显多空共振信号
2026-01-15 17:43:51,330 - [2025-12-15] TGB | HOLD | 信:65 | 20日线走平，价格在箱体内部，但RSI与WR均处超买区，未出现底部共振信号
2026-01-15 17:43:54,863 - [2025-12-15] SOC | HOLD | 信:60 | 20日线走平，价格在箱体中部，无明显共振信号
2026-01-15 17:43:58,355 - [2025-12-15] ORIC | BUY | 信:65 | 处于震荡期底部，且出现RSI、WR超卖共振
2026-01-15 17:44:02,994 - [2025-12-15] PCT | HOLD | 信:65 | 20日线走平，价格位于箱体内部，威廉指标进入超卖区但无明确底部共振信号
2026-01-15 17:44:07,641 - [2025-12-15] ERAS | HOLD | 信:60 | 20日线走平，价格位于箱体中上部，KDJ死叉但均线呈多头排列，信号矛盾，需观望等待更明确信号。
2026-01-15 17:44:12,044 - [2025-12-15] UEC | HOLD | 信:60 | 20日线走平，价格位于箱体中位，技术指标普遍中性且无共振信号
2026-01-15 17:44:17,456 - [2025-12-15] INFY | HOLD | 信:60 | 20日线走平，价格在箱体内部波动，技术指标呈中性且无明显共振信号
2026-01-15 17:44:22,752 - [2025-12-15] MP | HOLD | 信:60 | 趋势走平，价格位于箱体底部附近，威廉指标超卖但无明确共振信号
2026-01-15 17:44:27,481 - [2025-12-16] UAMY | HOLD | 信:65 | 20日线走平，价格位于箱体内部，威廉指标超卖但无明确共振信号
2026-01-15 17:44:32,925 - [2025-12-16] LPTH | HOLD | 信:60 | 20日线走平，价格处于箱体中位，技术指标中性且无共振信号，缺乏明确方向。
2026-01-15 17:44:36,243 - [2025-12-16] POET | HOLD | 信:65 | 20日线走平，价格位于箱体中上部，技术指标中性且无共振信号
2026-01-15 17:44:39,672 - [2025-12-16] LUNR | HOLD | 信:60 | 20日线走平，价格在箱体中部，技术指标中性且无共振信号
2026-01-15 17:44:44,693 - [2025-12-16] UMAC | HOLD | 信:60 | 20日线走平，价格位于箱体中位，技术指标中性且无共振信号，符合震荡期特征。
2026-01-15 17:44:47,661 - [2025-12-16] MSTR | HOLD | 信:55 | 20日线走平，价格位于箱体内部，技术指标呈中性且无明显共振信号
2026-01-15 17:44:51,568 - [2025-12-16] VKTX | HOLD | 信:60 | 20日线走平，价格位于箱体中下部，技术指标中性且无共振信号
2026-01-15 17:44:54,448 - [2025-12-16] CLSK | HOLD | 信:55 | 20日线走平，价格处于箱体中位，威廉指标超卖但无其他指标共振，整体方向不明
2026-01-15 17:44:57,395 - [2025-12-16] EWTX | HOLD | 信:60 | 20日线走平，价格位于箱体内部，KDJ死叉且无明显共振信号，建议观望。
2026-01-15 17:45:00,245 - [2025-12-16] RDW | HOLD | 信:60 | 20日线走平，价格位于箱体中位，技术指标中性且无明显共振信号
2026-01-15 17:45:03,562 - [2025-12-16] USAR | HOLD | 信:65 | 20日线走平，价格位于箱体中位，技术指标中性且无共振信号
2026-01-15 17:45:07,421 - [2025-12-16] TGB | HOLD | 信:65 | 20日线走平，价格在箱体内部波动，技术指标呈中性且无明显共振信号
2026-01-15 17:45:10,999 - [2025-12-16] SOC | HOLD | 信:60 | 20日线走平，价格位于箱体中位，技术指标普遍中性且无共振信号
2026-01-15 17:45:14,733 - [2025-12-16] PCT | HOLD | 信:60 | 20日线走平，价格位于箱体内部（相对位置10.4%），威廉指标进入超卖区，但未形成明确的底部共振信号。
2026-01-15 17:45:18,414 - [2025-12-16] ERAS | HOLD | 信:65 | 20日线走平，价格位于箱体中上部，技术指标中性，未出现明确的底部共振信号
2026-01-15 17:45:21,354 - [2025-12-16] UEC | HOLD | 信:60 | 20日线走平，价格位于箱体中下部，威廉指标超卖但无明确共振信号
2026-01-15 17:45:24,690 - [2025-12-16] INFY | HOLD | 信:65 | 20日线走平，价格在箱体内部波动，技术指标呈中性且无明显共振信号
2026-01-15 17:45:28,634 - [2025-12-16] MP | BUY | 信:65 | 处于震荡期底部，且出现超卖共振（RSI低位、威廉WR超卖）
