date,open,close,high,low,volume,turnover,amplitude,change_pct,change_amount,turnover_rate
2025-10-20,97.1,92.5,97.25,90.75,3877500,360814384.0,7.04,0.16,0.15,1.86
2025-10-21,93.15,96.4,97.05,88.45,9005200,839026176.0,9.3,4.22,3.9,4.32
2025-10-22,98.0,91.95,99.85,91.45,7187027,683372880.0,8.71,-4.62,-4.45,3.45
2025-10-23,91.0,81.9,91.2,79.45,17157397,1428161344.0,12.78,-10.93,-10.05,8.23
2025-10-24,81.9,84.55,85.8,81.9,5512334,464942688.0,4.76,3.24,2.65,2.64
2025-10-27,87.0,88.95,89.3,86.1,5244820,461427744.0,3.78,5.2,4.4,2.51
2025-10-28,89.5,87.35,89.5,85.5,3067596,267445976.0,4.5,-1.8,-1.6,1.47
2025-10-30,87.6,84.5,87.6,82.4,5010473,422490240.0,5.95,-3.26,-2.85,2.4
2025-10-31,81.5,90.0,92.75,81.5,9870702,882468400.0,13.31,6.51,5.5,4.73
2025-11-03,90.8,92.85,94.9,87.9,6281990,577823888.0,7.78,3.17,2.85,3.01
2025-11-04,91.5,91.0,92.4,89.7,3449811,313640176.0,2.91,-1.99,-1.85,1.65
2025-11-05,88.5,87.75,90.5,85.45,5362278,469481168.0,5.55,-3.57,-3.25,2.57
2025-11-06,88.5,86.9,88.65,83.25,5573662,473674400.0,6.15,-0.97,-0.85,2.67
2025-11-07,85.45,83.05,86.8,82.2,3855127,324363040.0,5.29,-4.43,-3.85,1.85
2025-11-10,84.0,84.15,86.0,81.2,3683750,306744080.0,5.78,1.32,1.1,1.77
2025-11-11,83.85,80.8,84.2,80.2,4289540,348507120.0,4.75,-3.98,-3.35,2.06
2025-11-12,76.0,80.6,82.0,73.25,7289604,574910448.0,10.83,-0.25,-0.2,3.49
2025-11-13,82.0,84.5,85.2,81.65,4878500,410122992.0,4.4,4.84,3.9,2.34
2025-11-14,83.2,85.45,87.0,82.7,2802128,238410283.0,5.09,1.12,0.95,1.34
2025-11-17,86.75,84.65,87.35,83.35,2697204,227451488.0,4.68,-0.94,-0.8,1.29
2025-11-18,84.5,83.8,87.3,82.7,3162844,265997214.0,5.43,-1.0,-0.85,1.52
2025-11-19,82.85,84.45,84.7,80.9,3099516,256191920.0,4.53,0.78,0.65,1.49
2025-11-20,84.2,84.95,86.6,81.5,3788500,318824320.0,6.04,0.59,0.5,1.82
2025-11-21,82.55,80.9,83.7,79.2,5309484,430870064.0,5.3,-4.77,-4.05,2.55
2025-11-24,80.6,83.0,85.5,80.6,15245204,1266313952.0,6.06,2.6,2.1,7.31
2025-11-25,84.3,81.2,85.0,80.9,6267869,519847600.0,4.94,-2.17,-1.8,3.01
2025-11-26,81.8,85.3,87.0,80.1,5941042,506685824.0,8.5,5.05,4.1,2.85
2025-11-27,84.85,90.0,91.5,84.65,5323484,475774624.0,8.03,5.51,4.7,2.55
2025-11-28,89.35,92.95,95.45,89.35,4790516,447527504.0,6.78,3.28,2.95,2.3
2025-12-01,93.0,88.4,94.45,86.8,3996616,357034224.0,8.23,-4.9,-4.55,1.92
2025-12-02,88.9,85.7,89.9,85.6,2704500,236504765.0,4.86,-3.05,-2.7,1.3
2025-12-03,85.35,84.45,86.5,83.5,1713500,144758538.0,3.5,-1.46,-1.25,0.82
2025-12-04,85.55,89.7,90.6,85.5,3347500,295566496.0,6.04,6.22,5.25,1.6
2025-12-05,89.0,88.35,91.1,87.35,2150000,189901737.0,4.18,-1.51,-1.35,1.03
2025-12-08,89.25,79.25,89.25,77.0,13299200,1062384080.0,13.87,-10.3,-9.1,6.38
2025-12-09,78.4,75.5,79.85,74.35,6667954,509269760.0,6.94,-4.73,-3.75,3.2
2025-12-10,76.8,77.2,77.95,75.25,3956468,303786752.0,3.58,2.25,1.7,1.9
2025-12-11,77.25,78.25,82.85,77.25,6386503,512157680.0,7.25,1.36,1.05,3.06
2025-12-12,79.75,79.0,79.95,76.05,3162400,246582352.0,4.98,0.96,0.75,1.52
2025-12-15,79.0,74.95,79.0,74.55,3097000,233805385.0,5.63,-5.13,-4.05,1.48
2025-12-16,75.8,76.3,78.15,75.0,3248766,248091920.0,4.2,1.8,1.35,1.56
2025-12-17,76.4,77.5,78.45,75.6,1962300,151979646.0,3.74,1.57,1.2,0.94
2025-12-18,77.4,76.7,78.15,75.9,1335247,102719695.0,2.9,-1.03,-0.8,0.64
2025-12-19,76.95,78.3,80.25,75.15,2759943,216434133.0,6.65,2.09,1.6,1.32
2025-12-22,78.5,76.3,78.75,75.7,2513833,192418613.0,3.9,-2.55,-2.0,1.21
2025-12-23,76.75,77.35,79.35,75.9,2811049,218715110.0,4.52,1.38,1.05,1.35
2025-12-24,77.0,76.0,79.15,75.65,1381796,106971044.0,4.52,-1.75,-1.35,0.66
2025-12-29,76.0,75.5,77.1,74.35,3049000,230406600.0,3.62,-0.66,-0.5,1.46
2025-12-30,75.5,72.75,75.5,70.2,5645726,408060640.0,7.02,-3.64,-2.75,2.71
2025-12-31,72.3,72.0,72.3,70.55,1816625,129787125.0,2.41,-1.03,-0.75,0.87
2026-01-02,72.1,73.65,74.5,72.1,601950,44486867.0,3.33,2.29,1.65,0.29
2026-01-05,73.3,79.5,80.0,71.55,6358341,492451040.0,11.47,7.94,5.85,3.05
2026-01-06,79.95,81.2,81.55,78.65,3160422,253730419.0,3.65,2.14,1.7,1.52
2026-01-07,81.2,91.7,92.4,80.5,8995900,786471104.0,14.66,12.93,10.5,4.31
2026-01-08,91.7,92.05,95.3,90.25,3845167,357152656.0,5.51,0.38,0.35,1.84
2026-01-09,91.5,94.65,94.95,89.3,4153680,387319680.0,6.14,2.82,2.6,1.99
2026-01-12,94.0,92.8,96.0,90.2,3228502,297781856.0,6.13,-1.95,-1.85,1.55
2026-01-13,101.0,100.1,106.6,99.55,19475824,1990072928.0,7.6,7.87,7.3,9.34
2026-01-14,101.1,93.15,101.1,91.1,10529732,997188352.0,9.99,-6.94,-6.95,5.05
2026-01-15,94.0,94.25,95.95,92.75,3626450,343139520.0,3.44,1.18,1.1,1.74
2026-01-16,95.4,97.3,99.25,94.85,3931532,382170736.0,4.67,3.24,3.05,1.88
