date,open,high,low,close,volume,change_pct
2025-07-21,28.68,29.44,27.98,28.23,3092370,0.0
2025-07-22,28.18,28.23,25.4,26.35,5039409,-6.659582004959264
2025-07-23,27.2,27.778,25.915,26.305,3038743,-0.17077798861481197
2025-07-24,26.56,27.45,25.7,25.84,3064231,-1.7677247671545326
2025-07-25,26.41,27.88,25.77,27.13,4194173,4.992260061919507
2025-07-28,27.51,27.59,24.76,25.22,5495001,-7.040176925912278
2025-07-29,25.54,26.35,23.99,24.11,4077056,-4.40126883425852
2025-07-30,24.3,24.57,22.4,23.06,5050994,-4.355039402737459
2025-07-31,23.78,24.53,22.86,22.87,5361532,-0.8239375542064109
2025-08-01,21.46,22.3,20.94,21.53,5885907,-5.859204197638823
2025-08-04,22.71,22.85,21.4539,22.19,3617413,3.0654900139340358
2025-08-05,22.36,22.36,20.48,21.415,4020382,-3.4925642181162786
2025-08-06,21.72,23.375,21.52,23.23,5727556,8.4753677328975
2025-08-07,23.56,23.6,21.8017,22.33,6412023,-3.874300473525627
2025-08-08,23.975,24.4,20.67,21.59,12222895,-3.3139274518584783
2025-08-11,21.6,21.6,19.885,20.86,5699699,-3.3811949976841116
2025-08-12,21.33,23.8106,21.305,22.79,5558993,9.252157238734426
2025-08-13,23.645,24.3,22.095,23.02,4930741,1.0092145677929043
2025-08-14,22.13,22.5,20.459,21.01,4933253,-8.731537793223277
2025-08-15,21.81,22.96,21.315,22.365,4211058,6.449309852451202
2025-08-18,22.78,26.968,22.0,26.13,8720260,16.834339369550634
2025-08-19,25.52,25.79,22.52,22.77,6877937,-12.858783008036735
2025-08-20,22.5,22.5999,20.7189,21.93,4400340,-3.6890645586297732
2025-08-21,21.82,23.75,21.6,23.7,4430630,8.071135430916554
2025-08-22,23.47,25.99,23.35,24.79,5150343,4.599156118143455
2025-08-25,25.075,26.33,24.33,24.34,5866378,-1.8152480839047969
2025-08-26,25.79,26.3299,24.75,25.07,5071895,2.9991783073130662
2025-08-27,25.2,25.54,24.025,24.05,4676163,-4.068607897885923
2025-08-28,24.3,25.93,22.45,25.49,5717256,5.987525987525988
2025-08-29,25.82,26.65,24.09,24.2,3700268,-5.060808160062768
2025-09-02,22.83,23.64,22.2,23.35,4528715,-3.51239669421487
2025-09-03,23.81,24.59,22.51,23.02,4953398,-1.413276231263394
2025-09-04,23.34,23.68,22.04,23.32,4102155,1.303214596003488
2025-09-05,23.85,24.225,22.6304,23.99,3867467,2.8730703259005175
2025-09-08,24.27,24.49,23.165,23.63,3254745,-1.5006252605252124
2025-09-09,23.555,24.1,22.74,23.72,2923504,0.3808717731696998
2025-09-10,24.7,28.03,24.35,27.72,10593043,16.863406408094427
2025-09-11,27.35,27.6504,26.28,26.85,5414232,-3.1385281385281294
2025-09-12,26.83,27.47,26.0216,27.07,3793462,0.819366852886394
2025-09-15,28.09,29.8,27.75,29.56,8128902,9.198374584410773
2025-09-16,29.7,29.7,27.3,28.93,6601938,-2.1312584573748294
2025-09-17,28.41,30.05,28.23,29.47,5373236,1.8665744901486425
2025-09-18,30.37,30.415,28.4369,29.04,4777129,-1.459110960298604
2025-09-19,28.7,29.88,28.52,28.99,4323359,-0.1721763085399508
2025-09-22,28.2,30.8,27.8,30.54,4741817,5.346671265953784
2025-09-23,30.5,31.13,27.62,28.06,6163036,-8.120497707924034
2025-09-24,27.965,28.46,26.5,26.69,4704984,-4.882394868139695
2025-09-25,25.74,26.645,24.79,26.34,4339284,-1.311352566504309
2025-09-26,26.3,26.44,25.45,25.77,2730658,-2.1640091116173155
2025-09-29,26.3,26.5,25.71,25.94,3107426,0.659681800543277
2025-09-30,25.8,26.8,25.13,25.93,3542994,-0.038550501156520145
