date,open,high,low,close,volume,change_pct
2025-07-17,8.58,8.605,8.39,8.48,13831234,0.0
2025-07-18,8.61,8.61,8.24,8.28,16485176,-2.358490566037752
2025-07-21,8.495,8.83,8.495,8.69,14698632,4.951690821256038
2025-07-22,8.73,8.88,8.55,8.85,14094353,1.8411967779056404
2025-07-23,8.805,9.0,8.69,8.82,15981414,-0.3389830508474523
2025-07-24,8.65,8.82,8.585,8.67,10157578,-1.7006802721088454
2025-07-25,8.58,8.72,8.35,8.57,15165439,-1.1534025374855816
2025-07-28,8.44,8.485,8.14,8.35,13195239,-2.5670945157526326
2025-07-29,8.33,8.41,8.17,8.39,11532712,0.47904191616767733
2025-07-30,8.28,8.42,7.9809,8.09,16796695,-3.5756853396901156
2025-07-31,8.02,8.13,7.87,7.95,12473696,-1.7305315203955507
2025-08-01,8.05,8.15,7.74,7.83,16716206,-1.5094339622641506
2025-08-04,7.965,8.195,7.965,8.19,8155989,4.597701149425282
2025-08-05,8.18,8.43,8.03,8.35,13906054,1.9536019536019467
2025-08-06,8.37,8.47,8.31,8.38,10253380,0.359281437125758
2025-08-07,8.65,8.82,8.46,8.73,18728469,4.17661097852029
2025-08-08,8.78,8.835,8.49,8.61,14497535,-1.3745704467354014
2025-08-11,8.35,8.81,8.28,8.74,15750403,1.5098722415795685
2025-08-12,8.76,8.96,8.68,8.95,11805218,2.4027459954233388
2025-08-13,9.04,9.055,8.792,8.94,15672260,-0.11173184357541333
2025-08-14,8.67,9.38,8.5,8.86,25282943,-0.8948545861297563
2025-08-15,8.89,9.12,8.61,8.85,21741831,-0.11286681715575453
2025-08-18,9.05,9.15,8.56,8.8,15025798,-0.5649717514124131
2025-08-19,8.76,8.92,8.34,8.36,14596207,-5.000000000000016
2025-08-20,8.44,8.59,8.385,8.53,11733203,2.0334928229664984
2025-08-21,8.51,8.835,8.51,8.71,11117140,2.110199296600257
2025-08-22,8.62,9.14,8.54,9.0,24493634,3.3295063145809323
2025-08-25,8.99,9.09,8.83,8.91,14184852,-1.0000000000000009
2025-08-26,8.93,9.17,8.9,9.01,14697097,1.122334455667784
2025-08-27,8.925,9.09,8.72,9.08,10549753,0.7769145394006749
2025-08-28,9.21,9.29,8.87,8.96,17824559,-1.3215859030836885
2025-08-29,8.94,9.33,8.9,9.14,22850684,2.0089285714285587
2025-09-02,9.395,9.62,9.0,9.61,35277827,5.142231947483578
2025-09-03,9.72,9.83,9.2801,9.47,24107956,-1.4568158168574263
2025-09-04,9.33,9.49,9.04,9.07,22595493,-4.223864836325242
2025-09-05,9.35,9.515,9.04,9.15,20386125,0.8820286659316334
2025-09-08,9.32,9.57,9.22,9.44,21651107,3.1693989071038153
2025-09-09,9.47,9.47,9.1,9.14,17982418,-3.177966101694907
2025-09-10,9.2,9.45,9.06,9.43,19208331,3.1728665207877427
2025-09-11,9.33,10.4,9.3,10.39,43309889,10.180275715800647
2025-09-12,10.64,10.83,10.435,10.54,25785709,1.443695861405181
2025-09-15,10.54,10.85,10.415,10.79,19056461,2.371916508538896
2025-09-16,10.82,10.9,10.335,10.37,20711976,-3.8924930491195497
2025-09-17,10.05,10.5399,9.94,10.05,21396619,-3.0858244937319035
2025-09-18,10.03,10.13,9.68,9.94,17082551,-1.0945273631840946
2025-09-19,10.03,10.66,10.01,10.62,32975096,6.841046277665996
2025-09-22,11.06,12.16,10.91,12.14,39456919,14.312617702448227
2025-09-23,12.275,12.6682,11.73,11.8,31686000,-2.8006589785831926
2025-09-24,11.98,12.1,11.38,11.41,18150606,-3.305084745762721
2025-09-25,11.58,11.69,11.385,11.67,26786239,2.2787028921998242
2025-09-26,11.85,12.54,11.74,12.14,25712025,4.027420736932319
2025-09-29,12.64,12.67,12.32,12.41,24881048,2.224052718286651
2025-09-30,11.82,12.69,11.6,12.29,25643672,-0.966962127316684
2025-10-01,12.37,13.0,12.135,12.26,24853679,-0.24410089503661414
2025-10-02,12.5,12.5,11.605,12.06,24038639,-1.631321370309946
2025-10-03,12.26,12.54,12.01,12.11,23311920,0.4145936981757803
2025-10-06,12.51,13.55,12.505,12.84,26497907,6.028075970272506
2025-10-07,12.84,12.93,12.51,12.69,20136446,-1.1682242990654235
2025-10-08,13.31,14.18,13.17,14.13,33955920,11.34751773049647
2025-10-09,14.55,14.73,13.48,13.74,34527982,-2.7600849256900206
2025-10-10,14.25,14.26,13.13,13.24,27355899,-3.639010189228531
2025-10-13,14.075,14.1965,13.865,14.0,20502035,5.740181268882183
2025-10-14,13.48,14.33,13.37,13.81,20828616,-1.3571428571428568
2025-10-15,14.09,14.9,14.0,14.87,21677635,7.675597393193323
2025-10-16,15.06,15.69,14.84,15.33,32606486,3.093476798924022
2025-10-17,14.76,15.01,13.655,14.03,28054961,-8.48010437051533
2025-10-20,14.42,14.45,13.99,14.36,16363768,2.3521026372059772
2025-10-21,13.01,13.19,12.605,12.75,25632585,-11.2116991643454
2025-10-22,12.28,12.8919,12.28,12.66,19538672,-0.7058823529411784
2025-10-23,13.06,13.105,12.785,12.89,12674141,1.8167456556082096
2025-10-24,12.6975,13.04,12.69,12.84,13643815,-0.38789759503491394
2025-10-27,12.27,12.62,11.97,12.44,18752225,-3.1152647975077885
2025-10-28,12.15,12.83,12.15,12.75,14060672,2.4919614147909996
2025-10-29,13.12,13.1381,12.49,12.64,18078329,-0.8627450980392082
2025-10-30,12.6,13.13,12.5,13.02,13795052,3.0063291139240444
2025-10-31,12.94,12.99,12.55,12.77,15381767,-1.920122887864828
2025-11-03,12.77,12.86,12.29,12.52,11824631,-1.9577133907595967
2025-11-04,11.915,12.08,11.4701,11.56,22894242,-7.66773162939296
2025-11-05,11.21,11.32,10.19,10.67,27183387,-7.698961937716264
2025-11-06,10.8,11.36,10.765,10.9,15731992,2.1555763823805085
2025-11-07,10.99,11.43,10.81,11.41,13923683,4.678899082568799
2025-11-10,12.01,12.14,11.68,11.88,17749301,4.119193689745848
2025-11-11,12.02,12.04,11.595,11.94,11696016,0.5050505050504972
2025-11-12,12.1,12.815,11.95,12.57,22623757,5.276381909547756
2025-11-13,12.68,12.7,11.955,12.22,15430900,-2.7844073190135266
2025-11-14,11.42,12.24,11.32,12.01,12197904,-1.7184942716857665
2025-11-17,11.87,12.065,11.34,11.55,12138491,-3.830141548709398
